"openedyear","naics","business","id"
"2021","454100-Electronic Shopping & Mail Order Houses","Amazon.com","1140"
"2020","990000-Unclassified Establishments"," Unknown","1113"
"2020","711300-Promoters of performing arts, sports & similar eve","Brown Paper Tickets","1031"
"2021","990000-Unclassified Establishments"," Unknown","958"
"2020","920000-Public Administration","Washington State Employment Security Department","925"
"2020","454100-Electronic Shopping & Mail Order Houses","Amazon.com","824"
"2019","990000-Unclassified Establishments"," Unknown","720"
"2018","990000-Unclassified Establishments"," Unknown","656"
"2013","990000-Unclassified Establishments","","631"
"2020","454100-Electronic Shopping & Mail Order Houses","","625"
"2016","513200-Cable Networks & Program Distribution","Comcast","578"
"2022","990000-Unclassified Establishments"," Unknown","560"
"2022","454100-Electronic Shopping & Mail Order Houses","Amazon.com","559"
"2016","513310-Wired Telecommunications Carriers","CenturyLink","555"
"2016","993000-Phishing","Unknown - IRS Phishing","529"
"2015","993000-Phishing","Unknown - IRS Phishing","522"
"2018","513200-Cable Networks & Program Distribution","Comcast","507"
"2013","561422-Telemarketing","CALLERID4U, Inc","462"
"2021","454100-Electronic Shopping & Mail Order Houses","","459"
"2020","513200-Cable Networks & Program Distribution","Comcast","446"
"2017","513200-Cable Networks & Program Distribution","Comcast","435"
"2015","513200-Cable Networks & Program Distribution","Comcast","434"
"2015","513310-Wired Telecommunications Carriers","CenturyLink","421"
"2019","513200-Cable Networks & Program Distribution","Comcast","415"
"2019","454100-Electronic Shopping & Mail Order Houses","Amazon.com","409"
"2017","522291-Consumer Lending (includes Payday Lenders)","Navient","408"
"2013","513200-Cable Networks & Program Distribution","Comcast","397"
"2013","513320-Telecommunications/Wireless","T-Mobile","396"
"2014","513200-Cable Networks & Program Distribution","Comcast","389"
"2014","513310-Wired Telecommunications Carriers","CenturyLink","379"
"2022","713990-Amusement & Recreational Industries","Stevens Pass","363"
"2017","454100-Electronic Shopping & Mail Order Houses","","360"
"2017","513310-Wired Telecommunications Carriers","CenturyLink","352"
"2021","993000-Phishing","Unknown - Utility Scam","350"
"2019","454100-Electronic Shopping & Mail Order Houses","","324"
"2017","561450-Credit Bureaus","Equifax Office of Consumer Affairs","321"
"2013","561422-Telemarketing"," Unknown","317"
"2014","454100-Electronic Shopping & Mail Order Houses",,"315"
"2018","454100-Electronic Shopping & Mail Order Houses","","314"
"2015","454100-Electronic Shopping & Mail Order Houses",,"314"
"2021","531311-Residential property managers (includes landlords)","","312"
"2014","561440-Collection Agencies",,"305"
"2016","454100-Electronic Shopping & Mail Order Houses","","302"
"2018","454100-Electronic Shopping & Mail Order Houses","Amazon.com","296"
"2020","993000-Phishing","Unknown - Utility Scam","291"
"2021","711300-Promoters of performing arts, sports & similar eve","Brown Paper Tickets","285"
"2013","513310-Wired Telecommunications Carriers","CenturyLink","284"
"2015","561440-Collection Agencies",,"281"
"2020","511210-Software Publishers","Soulbound Studios, LLC","273"
"2017","993000-Phishing"," Unknown","272"
"2021","711300-Promoters of performing arts, sports & similar eve","Fever Up/Van Gogh: The Immersive Experience","271"
"2020","531311-Residential property managers (includes landlords)","","271"
"2015","235000-Special trade Contractors (includes plumbers, elec",,"271"
"2013","561440-Collection Agencies","","270"
"2017","454100-Electronic Shopping & Mail Order Houses","Amazon.com","268"
"2017","990000-Unclassified Establishments"," Unknown","263"
"2022","454100-Electronic Shopping & Mail Order Houses","","262"
"2020","235000-Special trade Contractors (includes plumbers, elec","","262"
"2016","993000-Phishing"," Unknown","262"
"2020","513310-Wired Telecommunications Carriers","CenturyLink","260"
"2016","990000-Unclassified Establishments"," Unknown","259"
"2022","531311-Residential property managers (includes landlords)","","257"
"2018","235000-Special trade Contractors (includes plumbers, elec","","256"
"2021","235000-Special trade Contractors (includes plumbers, elec","","252"
"2022","812199-Dating Clubs and Social Networking","Facebook","250"
"2018","513310-Wired Telecommunications Carriers","CenturyLink","250"
"2021","513200-Cable Networks & Program Distribution","Comcast","247"
"2022","235000-Special trade Contractors (includes plumbers, elec","","245"
"2016","454100-Electronic Shopping & Mail Order Houses","Amazon.com","241"
"2021","920000-Public Administration","Washington State Employment Security Department","235"
"2013","454100-Electronic Shopping & Mail Order Houses","","235"
"2013","561422-Telemarketing","Pacific Telecom Communications Group","233"
"2014","513320-Telecommunications/Wireless","T-Mobile","228"
"2019","513310-Wired Telecommunications Carriers","CenturyLink","227"
"2015","513320-Telecommunications/Wireless","T-Mobile","226"
"2022","514191-Internet service providers/info. services (doesn't","Comcast","224"
"2018","513310-Wired Telecommunications Carriers","Ziply Fiber fka Frontier Communications","219"
"2017","513320-Telecommunications/Wireless","T-Mobile","218"
"2017","993000-Phishing","Unknown - IRS Phishing","216"
"2019","235000-Special trade Contractors (includes plumbers, elec","","214"
"2017","235000-Special trade Contractors (includes plumbers, elec","","213"
"2014","513320-Telecommunications/Wireless","Verizon Wireless","204"
"2022","513320-Telecommunications/Wireless","T-Mobile","201"
"2014","235000-Special trade Contractors (includes plumbers, elec",,"200"
"2013","522390-Real Estate Loan Servicing","Bank of America NA","199"
"2016","561440-Collection Agencies","","198"
"2016","513320-Telecommunications/Wireless","T-Mobile","197"
"2021","233000-General Contracting, building, & developing","","195"
"2015","454100-Electronic Shopping & Mail Order Houses","Amazon.com","195"
"2020","561510-Travel Agents","Expedia","193"
"2019","514191-Internet service providers/info. services (doesn't","Ziply Fiber fka Frontier Communications","193"
"2018","993000-Phishing","Unknown - IRS Phishing","189"
"2016","531311-Residential property managers (includes landlords)","","186"
"2013","513320-Telecommunications/Wireless","Verizon Wireless","186"
"2021","513310-Wired Telecommunications Carriers","CenturyLink","185"
"2017","531311-Residential property managers (includes landlords)","","185"
"2016","454100-Electronic Shopping & Mail Order Houses","Northwest Territorial Mint","185"
"2014","990000-Unclassified Establishments",,"183"
"2015","513320-Telecommunications/Wireless","Verizon Wireless","182"
"2016","513310-Wired Telecommunications Carriers","Ziply Fiber fka Frontier Communications","179"
"2014","454100-Electronic Shopping & Mail Order Houses","Amazon.com","179"
"2013","235000-Special trade Contractors (includes plumbers, elec","","179"
"2022","233000-General Contracting, building, & developing","","178"
"2021","513320-Telecommunications/Wireless","T-Mobile","177"
"2016","513320-Telecommunications/Wireless","Verizon Wireless","176"
"2014","990000-Unclassified Establishments"," Unknown","175"
"2021","513320-Telecommunications/Wireless","Verizon Wireless","173"
"2014","531311-Residential property managers (includes landlords)",,"173"
"2015","531311-Residential property managers (includes landlords)",,"171"
"2018","531311-Residential property managers (includes landlords)","","169"
"2017","511210-Software Publishers","Bungie","168"
"2019","233000-General Contracting, building, & developing","","167"
"2014","513200-Cable Networks & Program Distribution","Dish Network","167"
"2017","513320-Telecommunications/Wireless","Verizon Wireless","166"
"2013","513200-Cable Networks & Program Distribution","DIRECTV","166"
"2018","993000-Phishing"," Unknown","163"
"2018","233000-General Contracting, building, & developing","","161"
"2014","993000-Phishing","Unknown - IRS Phishing","160"
"2015","990000-Unclassified Establishments",,"158"
"2014","811100-Automotive Repair & Maintenance",,"157"
"2020","514191-Internet service providers/info. services (doesn't","Ziply Fiber fka Frontier Communications","156"
"2015","993000-Phishing"," Unknown","156"
"2022","531390-Timeshare exchange services","Reed Hein & Associates LLC dba Timeshare Exit Team","155"
"2017","513310-Wired Telecommunications Carriers","Ziply Fiber fka Frontier Communications","155"
"2016","235000-Special trade Contractors (includes plumbers, elec","","155"
"2021","561510-Travel Agents","Expedia","153"
"2016","233000-General Contracting, building, & developing","","151"
"2016","811100-Automotive Repair & Maintenance","","151"
"2013","531311-Residential property managers (includes landlords)","","151"
"2020","999000-Tech Support Scam","Unknown - Technical Support","150"
"2020","513320-Telecommunications/Wireless","Verizon Wireless","149"
"2017","513200-Cable Networks & Program Distribution","DIRECTV","149"
"2014","992000-Advance Fee Fraud",,"148"
"2017","233000-General Contracting, building, & developing","","147"
"2015","511210-Software Publishers","Microsoft Corporation","147"
"2019","513200-Cable Networks & Program Distribution","DIRECTV","145"
"2016","990000-Unclassified Establishments","","145"
"2013","811100-Automotive Repair & Maintenance","","145"
"2022","513310-Wired Telecommunications Carriers","CenturyLink","144"
"2014","513200-Cable Networks & Program Distribution","DIRECTV","144"
"2014","561422-Telemarketing"," Unknown","142"
"2020","522320-Financial Transaction Processing","PayPal","141"
"2017","561422-Telemarketing"," Unknown","141"
"2013","454100-Electronic Shopping & Mail Order Houses","Amazon.com","141"
"2021","811100-Automotive Repair & Maintenance","","139"
"2022","811100-Automotive Repair & Maintenance","","138"
"2020","513320-Telecommunications/Wireless","AT&T Mobility","137"
"2018","993000-Phishing","Unknown - Utility Scam","137"
"2018","811100-Automotive Repair & Maintenance","","137"
"2013","990000-Unclassified Establishments"," Unknown","137"
"2019","513320-Telecommunications/Wireless","AT&T Mobility","136"
"2019","993000-Phishing"," Unknown","136"
"2013","992000-Advance Fee Fraud","","136"
"2020","233000-General Contracting, building, & developing","","134"
"2015","811100-Automotive Repair & Maintenance",,"134"
"2018","513320-Telecommunications/Wireless","T-Mobile","133"
"2018","513200-Cable Networks & Program Distribution","DIRECTV","133"
"2022","441100-Automotive Dealers","","130"
"2016","511210-Software Publishers","Microsoft Corporation","130"
"2015","513200-Cable Networks & Program Distribution","DIRECTV","130"
"2016","813110-Religious Organizations","Christian Prayer Center AKA Velorum Inc","129"
"2019","531311-Residential property managers (includes landlords)","","128"
"2022","511140-Database & Directory Publishers","CareDash","127"
"2021","452910-Warehouse Clubs & Superstores","Costco","126"
"2021","999000-Tech Support Scam","Unknown - Technical Support","126"
"2022","990000-Unclassified Establishments","","125"
"2020","990000-Unclassified Establishments","","125"
"2016","441100-Automotive Dealers","","124"
"2020","811100-Automotive Repair & Maintenance","","123"
"2019","811100-Automotive Repair & Maintenance","","123"
"2013","561440-Collection Agencies","Universal Fidelity, LP","123"
"2018","513320-Telecommunications/Wireless","Verizon Wireless","122"
"2014","513320-Telecommunications/Wireless","AT&T Mobility","122"
"2022","511210-Software Publishers","Microsoft Corporation","121"
"2015","993000-Phishing",,"121"
"2021","514191-Internet service providers/info. services (doesn't","Ziply Fiber fka Frontier Communications","120"
"2017","811100-Automotive Repair & Maintenance","","120"
"2018","813900-Business, professional, labor, political & other organizations including PACs","The Freedom Foundation/OptOutToday.com","119"
"2014","522390-Real Estate Loan Servicing","Ocwen Loan Servicing LLC / Ocwen Financial Corporation","119"
"2013","441100-Automotive Dealers","","119"
"2017","561440-Collection Agencies","","118"
"2016","513200-Cable Networks & Program Distribution","Dish Network","118"
"2020","513320-Telecommunications/Wireless","T-Mobile","117"
"2022","513320-Telecommunications/Wireless","Verizon Wireless","116"
"2020","531390-Timeshare exchange services","Reed Hein & Associates LLC dba Timeshare Exit Team","116"
"2020","514191-Internet service providers/info. services (doesn't","Frontier Communications ","116"
"2017","513320-Telecommunications/Wireless","Sprint Executive Services","116"
"2016","513200-Cable Networks & Program Distribution","DIRECTV","116"
"2015","561422-Telemarketing"," Unknown","116"
"2014","441100-Automotive Dealers",,"116"
"2019","513320-Telecommunications/Wireless","T-Mobile","114"
"2018","513320-Telecommunications/Wireless","Sprint Executive Services","113"
"2015","513320-Telecommunications/Wireless","AT&T Mobility","113"
"2021","513320-Telecommunications/Wireless","AT&T Mobility","111"
"2020","713940-Fitness & Recreational Industries","","111"
"2017","993000-Phishing","Unknown - Technical Support","111"
"2020","920000-Public Administration","United States Postal Service","110"
"2014","453000-Misc. Stores (incl. florists, office supplies, gif",,"110"
"2021","722000-Restaurants and Bars","","109"
"2021","441100-Automotive Dealers","","108"
"2021","990000-Unclassified Establishments","","108"
"2020","445110-Supermarkets","","108"
"2019","513320-Telecommunications/Wireless","Verizon Wireless","107"
"2018","513320-Telecommunications/Wireless","AT&T Mobility","107"
"2017","441100-Automotive Dealers","","106"
"2021","560000-Admin. & support services (office admin., faciliti","","105"
"2020","722000-Restaurants and Bars","","104"
"2015","513200-Cable Networks & Program Distribution","Dish Network","104"
"2013","513310-Wired Telecommunications Carriers","Ziply Fiber fka Frontier Communications","104"
"2013","513320-Telecommunications/Wireless","AT&T Mobility","104"
"2020","560000-Admin. & support services (office admin., faciliti","","103"
"2021","812199-Dating Clubs and Social Networking","Facebook","102"
"2022","561510-Travel Agents","Expedia","101"
"2021","514191-Internet service providers/info. services (doesn't","Comcast","101"
