"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","businesstypecode","businesstypecodedesc","ubi","authorizedsigner","signerrole"
"123 Electric Service Inc","123ELES892CP","EC","ELECTRICAL CONTRACTOR","C","Corporation","602762749",,
"16D LLC","16DLLL*882JT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603092523","Reed, Derrick","Permits"
"16D LLC","16DLLL*882JT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603092523","Fromm, Shelley","Permits"
"16D LLC","16DLLL*882JT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603092523","Robbins, Evan","Permits"
"16D LLC","16DLLL*882JT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603092523","Lovell, Pam","Permits"
"1-800 PLUMBER & AIR PACIFIC NW","1800PPA785KB","PC","PLUMBING CONTRACTOR","C","Corporation","604745340",,
"1ST AIR MECHANICAL INC","1STAIAM851OP","EC","ELECTRICAL CONTRACTOR","C","Corporation","602493370","Forkner, Marylue","Permits"
"1ST AIR MECHANICAL INC","1STAIAM851OP","EC","ELECTRICAL CONTRACTOR","C","Corporation","602493370","Pratt, Duane","Permits"
"1ST CHANCE ELECTRIC INC","1STCHCE790ON","EC","ELECTRICAL CONTRACTOR","C","Corporation","604778460",,
"1ST CHOICE PLUMBING/REPAIR LLC","1STCHCP793NE","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604664586",,
"1ST GENERATION ELECTRIC LLC","1STGEGE782KE","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604904076",,
"1st Responders, LLC","1STRERL794CE","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604649984",,
"1ST RESPONSE PLUMBING","1STRERP781D8","PC","PLUMBING CONTRACTOR","I","Individual","602976951",,
"20/20 ELECTRICAL ENTRPRSES L","2020EEE804C6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604582520",,
"2020 Electric Company LLC","2020EEC804CQ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604574222",,
"21st Century Electric LLC","21STCCE901QA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603057815",,
"222 ELECTRIC CO","222ELEC859RN","EC","ELECTRICAL CONTRACTOR","C","Corporation","603556873",,
"24/7 ELECTRICAL COMPANY","247ELEC904DH","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602996963",,
"24/7 ELECTRICAL SERVICES LLC","247ELES850R2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603564535",,
"24 HOUR ELECTRIC INC","24HOUHE926NE","EC","ELECTRICAL CONTRACTOR","C","Corporation","602848849",,
"2 GUYS PLUMBING LLC","2GUYSGP786KB","PC","PLUMBING CONTRACTOR","P","Partnership","604265404",,
"2K ELECTRIC LLC","2KELEEL831BT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604076723",,
"360 ELECTRIC SERVICES INC","360ELES786C4","EC","ELECTRICAL CONTRACTOR","C","Corporation","604822948",,
"360 PLUMBING AND SERVICE LLC","360PLPS787MH","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603041094",,
"3 BRIDGES ELECTRIC","3BRIDBE787LA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604810136",,
"3 Cities Refrigeration LLC","3CITICR814JA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604407693",,
"3-D ELECTRIC INC","3DELEEI942J8","EC","ELECTRICAL CONTRACTOR","C","Corporation","602453256",,
"3 DIMENSIONAL ELECTRIC LLC","3DIMEDE860NG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603414869",,
"3G PLUMBING SOLUTIONS LLC","3GPLUPS794QT","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603248046",,
"3PE LLC","3PELLL*784M1","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604948310",,
"3 PHASE ELECTRIC LLC","3PHASPE826P4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604335081",,
"3 POINT CONSTRUCTION","3POINC*979Q6","EC","ELECTRICAL CONTRACTOR","I","Individual","602301512",,
"3WIRE GROUP INC","3WIREGI872QG","EC","ELECTRICAL CONTRACTOR","C","Corporation","602652236",,
"3WIRE LLC DBA 3WIRE SRVC LLC","3WIRELD828P2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604282990",,
"411 PLUMBING LLC","411PLPL780DG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604880043",,
"4749N, Inc","4749NI*803P4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604386049",,
"4D ELECTRIC LLC","4DELEEL841OM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604033343",,
"4J Electric Inc","4JELEEI797BL","EC","ELECTRICAL CONTRACTOR","C","Corporation","601477612",,
"4 SEASONS ELECTRIC, INC","4SEASSE787D9","EC","ELECTRICAL CONTRACTOR","C","Corporation","604864334",,
"4 SEASONS HEATING & AIR CNDTNG","4SEASSH818L4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604232217",,
"4th Systems","4THSYS*781MA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604871144",,
"4WARD ELECTRIC LLC","4WARDEL855QD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603552312",,
"4WINDS","4WIND**8245Z","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604286894",,
"509 Electric","509ELE*8218O","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604339851",,
"5 CORNERS PLUMBING LLC","5CORNCP792NG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602497440",,
"5 Star Electrical LLC","5STARSE789MN","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604918377",,
"7 DEES ELECTRICAL LLC","7DEESDE790RA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604829675",,
"7ELECTRIC LLC","7ELECL*797JF","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604596148",,
"A-1 DRILLING & DIGGING INC","1DRILDD792O2","PC","PLUMBING CONTRACTOR","C","Corporation","601592297",,
"A-1 DRILLING & DIGGING INC","1DRILDD786CQ","PC","PLUMBING CONTRACTOR","C","Corporation","601592297",,
"A-1 DRILLING & DIGGING INC","1DRILDD786TQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601592297",,
"A1 ELECTRIC","A1ELEE*921N9","EC","ELECTRICAL CONTRACTOR","I","Individual","602725823",,
"A-1 Electrical Services","1ELECES916NC","EC","ELECTRICAL CONTRACTOR","I","Individual","602938833",,
"A-1 GENERAL CONTRACTORS INC","A1GENCI996Q1","EC","ELECTRICAL CONTRACTOR","C","Corporation","601305437",,
"A-1 HEATING INC","1HEATHI869RJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602976882","Reise, Angela","Permits"
"A-1 HEATING INC","1HEATHI869RJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602976882","Bell, Janet","Permits"
"A-1 HEATING INC","1HEATHI869RJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602976882","Adlesperger, Jodi","Permits"
"A-1 HEATING INC","1HEATHI869RJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602976882","Ferguson, Cassandra","Permits"
"A-1 PLUMBNG & EMERGENCY ROOTER","1PLUMPE791MW","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602951311",,
"A-1 POOL & PATIO SUPPLY INC","A1POOPS991R8","EC","ELECTRICAL CONTRACTOR","C","Corporation","600014001",,
"A1 Rockhold Electric Inc","A1ROCRE812OR","EC","ELECTRICAL CONTRACTOR","C","Corporation","604495888",,
"AAAC Electric Co","AAACEEC902KQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","603014349","Smith, Chelsey","Permits"
"AAA ELECTRICAL CONTRACTORS INC","AAAELEC814N1","EC","ELECTRICAL CONTRACTOR","C","Corporation","604498841",,
"AAA Electric LLC","AAAELEL901JB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603000130",,
"AAA FIRE PROTECTION INC","AAAFIFP841N3","EC","ELECTRICAL CONTRACTOR","C","Corporation","600579238","Cropper, Chris","Permits"
"AAA FIRE PROTECTION INC","AAAFIFP841N3","EC","ELECTRICAL CONTRACTOR","C","Corporation","600579238","Evango, Jennifer","Permits"
"AAA FIRE PROTECTION INC","AAAFIFP841N3","EC","ELECTRICAL CONTRACTOR","C","Corporation","600579238","Washburn, George","Permits"
"AAA FIRE PROTECTION INC","AAAFIFP841N3","EC","ELECTRICAL CONTRACTOR","C","Corporation","600579238","Soderquist, Boyd","Permits"
"AAA FIRE & SAFETY INC","AAAFISI144KT","EC","ELECTRICAL CONTRACTOR","C","Corporation","600579238","Washburn, George","Permits"
"AAA FIRE & SAFETY INC","AAAFISI144KT","EC","ELECTRICAL CONTRACTOR","C","Corporation","600579238","Cropper, Chris","Permits"
"AAA HEATING/REFRIGERATION INC","AAAHEHR975M2","EC","ELECTRICAL CONTRACTOR","C","Corporation","601882148",,
"AA AMERICAN ELECTRIC INC","AAAMEAE913DC","EC","ELECTRICAL CONTRACTOR","C","Corporation","602900944",,
"A A ANDERSON CO","AAANDC*385BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","371003148","WENDLING, JEFFREY S","Permits"
"A A ANDERSON CO","AAANDC*385BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","371003148","WENDLING, BARRY M","Permits"
"A A ANDERSON CO","AAANDC*385BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","371003148","WENDLING, SHARON A","Permits"
"A A ANDERSON CO","AAANDC*385BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","371003148","WENDLING, DEVYN R","Permits"
"A A ANDERSON CO","AAANDC*385BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","371003148","WENDLING, SHERRYL J","Permits"
"A A ANDERSON CO","AAANDC*385BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","371003148","WENDLING, DAVID A","Permits"
