"id","report_number","origin","filer_id","person_id","type","filer_name","election_year","amount","itemized_or_non_itemized","expenditure_date","description","code","recipient_name","recipient_address","recipient_city","recipient_state","recipient_zip","url","recipient_location"
"16352348","110103967","A/GT50","HASER *124","1066","Candidate","Bob Hasegawa Surplus 2021-2025","2020","0.00","Itemized","2022-07-01T00:00:00.000",,,"EXPENSES OF $50 OR LESS",,,,,"https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110103967",
"16352684","110103995","A/GT50","HARRL *108","34612","Candidate","Re-Elect Harris for School Board Surplus Account","2020","0.00","Itemized","2022-07-01T00:00:00.000",,,"EXPENSES OF $50 OR LESS",,,,,"https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110103995",
"16352716","110103997","A/GT50","OLOWS-*108","32354","Candidate","Shukri Olow Surplus Funds","2022","0.00","Itemized","2022-06-01T00:00:00.000",,,"EXPENSES OF $50 OR LESS",,,,,"https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110103997",
"16352715","110103997","A/GT50","OLOWS-*108","32354","Candidate","Shukri Olow Surplus Funds","2022","71.09","Itemized","2022-07-20T00:00:00.000","Remaining balance owed on contract","Utilities, phone, and other overhead costs","NATIONBUILDER","520 S Grand Ave","New York","NY","10022","https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110103997","POINT (-73.96751 40.75937)"
"16352714","110103997","A/GT50","OLOWS-*108","32354","Candidate","Shukri Olow Surplus Funds","2022","100.00","Itemized","2022-06-02T00:00:00.000","Transfer to new campaign","Transfer to new campaign","FRIENDS OF SHUKRI","2518 S Brandon Ct","Seattle","WA","98108","https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110103997","POINT (-122.30058 47.55314)"
"16352916","110104013","A/GT50","PAULD-*277","30388","Candidate","Dave Paul Surplus Funds","2021","50.00","Itemized","2022-07-01T00:00:00.000",,,"EXPENSES OF $50 OR LESS",,,,,"https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110104013",
"16352965","110104015","A/GT50","DUERD-*104","30267","Candidate","Davina Duerr Surplus Funds","2020","0.00","Itemized","2022-01-01T00:00:00.000",,,"EXPENSES OF $50 OR LESS",,,,,"https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110104015",
"16352964","110104015","A/GT50","DUERD-*104","30267","Candidate","Davina Duerr Surplus Funds","2020","165.00","Itemized","2022-01-14T00:00:00.000","Event Tickets","Monetary contributions to PAC or candidate","KING COUNTY DEMOCRATS","PO Box 9100","Seattle","WA","98109","https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110104015","POINT (-122.34933 47.634)"
"16352963","110104015","A/GT50","DUERD-*104","30267","Candidate","Davina Duerr Surplus Funds","2020","89.95","Itemized","2022-01-03T00:00:00.000","Bank Fees","Bank and payment processing charges","BANK OF AMERICA","100 N Tyron St","Charlotte","NC","28255","https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110104015",
"16353250","110104030","A/GT50","NASSC *110","27216","Candidate","ROLFES CHRISTINE N SURPLUS ACCT","2021","0.00","Itemized","2022-07-01T00:00:00.000",,,"EXPENSES OF $50 OR LESS",,,,,"https://apollo.pdc.wa.gov/public/registrations/campaign-finance-surplus-report/110104030",
