"id","report_number","origin","filer_id","filer_name","type","funding_source_id","funding_source","filing_period","receipt_date","employer_id","employer_name","compensation","sub_lobbyist_compensation","net_compensation","personal_expenses","entertainment","contributions","advertising","political_ads","other","total_expenses","net_total","employment_registration_id","employment_type","contractor_id","contractor_name","url"
"93452-49481","93452","FE","49469","Sarah Commerford Brady","Employer","49481","Child Care Resources","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","49480","Child Care Resources","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49481","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93452)"
"93452-49469","93452","FE","49469","Sarah Commerford Brady","Lobbyist","49469","Sarah Commerford Brady (Self)","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93452)"
"93453-19153","93453","FE","17754","KENT LOPEZ","Employer","19153","WA RURAL ELECTRIC CO-OP ASSN","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","17181","WA RURAL ELECTRIC CO-OP ASSN","2000.00","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2000.00","19153","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93453)"
"93453-17754","93453","FE","17754","KENT LOPEZ","Lobbyist","17754","KENT LOPEZ (Self)","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93453)"
"93454-19534","93454","FE","17911","RENEE R SINCLAIR","Employer","19534","WA PUBLIC AFFAIRS NETWORK DBA TVW","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","17165","WA PUBLIC AFFAIRS NETWORK DBA TVW","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19534","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93454)"
"93454-17911","93454","FE","17911","RENEE R SINCLAIR","Lobbyist","17911","RENEE R SINCLAIR (Self)","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93454)"
"93456-18947","93456","FE","17619","SUZANNE C HANSON","Employer","18947","WFIS","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","17116","WFIS","6000.00","0.00","6000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6000.00","18947","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93456)"
"93456-17619","93456","FE","17619","SUZANNE C HANSON","Lobbyist","17619","SUZANNE C HANSON (Self)","2022-06-01T00:00:00.000","2022-06-30T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93456)"
"93459-18813","93459","FE","17579","Melissa M Gombosky","Employer","18813","ASSN OF AMERICAN PUBLISHERS","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16116","ASSN OF AMERICAN PUBLISHERS","4000.00","0.00","4000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4000.00","18813","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-18814","93459","FE","17579","Melissa M Gombosky","Employer","18814","EDUCATIONAL SERVICE DISTRICT 105","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16406","EDUCATIONAL SERVICE DISTRICT 105","3333.33","0.00","3333.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3333.33","18814","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-18816","93459","FE","17579","Melissa M Gombosky","Employer","18816","INLAND EMPIRE PAPER","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16530","INLAND EMPIRE PAPER","3500.00","0.00","3500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3500.00","18816","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-28133","93459","FE","17579","Melissa M Gombosky","Employer","28133","WA ASSN OF SCHOOL ADMINISTRATORS","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","17186","WA ASSN OF SCHOOL ADMINISTRATORS","5833.33","0.00","5833.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5833.33","28133","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-29482","93459","FE","17579","Melissa M Gombosky","Employer","29482","Spokane Public Schools","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","29481","Spokane Public Schools","4500.00","0.00","4500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4500.00","29482","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-34839","93459","FE","17579","Melissa M Gombosky","Employer","34839","EVERGREEN SCHOOL DIST #114","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16423","EVERGREEN SCHOOL DIST #114","6000.00","0.00","6000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6000.00","34839","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-48908","93459","FE","17579","Melissa M Gombosky","Employer","48908","WA ST DENTAL ASSN","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","17238","WA ST DENTAL ASSN","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","48908","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-64586","93459","FE","17579","Melissa M Gombosky","Employer","64586","Safelite Group, Inc.","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","64584","Safelite Group, Inc.","5000.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5000.00","64586","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-68662","93459","FE","17579","Melissa M Gombosky","Employer","68662","Central Valley School District","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","68661","Central Valley School District","3500.00","0.00","3500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3500.00","68662","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-70488","93459","FE","17579","Melissa M Gombosky","Employer","70488","Richland School District","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16860","Richland School District","3500.00","0.00","3500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3500.00","70488","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-83398","93459","FE","17579","Melissa M Gombosky","Employer","83398","ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16778","ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES","6250.00","0.00","6250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6250.00","83398","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-84192","93459","FE","17579","Melissa M Gombosky","Employer","84192","PROCTER & GAMBLE CO","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16814","PROCTER & GAMBLE CO","3750.00","0.00","3750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3750.00","84192","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-86535","93459","FE","17579","Melissa M Gombosky","Employer","86535","CTIA - The Wireless Assocation (JEFFREY S GOMBOSKY)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","86382","CTIA - The Wireless Assocation","1000.00","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1000.00","86535","Subcontract","17578","JEFFREY S GOMBOSKY","View report (https://accesshub.pdc.wa.gov/node/93459)"
"93459-17579","93459","FE","17579","Melissa M Gombosky","Lobbyist","17579","Melissa M Gombosky (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93459)"
"93461-51699","93461","FE","45903","Doug Mah & Associates, LLC","Employer","51699","Thurston County Chamber of Commerce","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","47800","Thurston County Chamber of Commerce","1500.00","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1500.00","51699","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93461)"
"93461-45903","93461","FE","45903","Doug Mah & Associates, LLC","Lobbyist","45903","Doug Mah & Associates, LLC (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93461)"
"93462-74706","93462","FE","74705","John Keane","Employer","74706","AHAM - Assn of Home Appliance Manufacturers","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","41320","AHAM - Assn of Home Appliance Manufacturers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74706","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93462)"
"93462-74705","93462","FE","74705","John Keane","Lobbyist","74705","John Keane (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93462)"
"93463-74743","93463","FE","74742","Kathy Putt","Employer","74743","Crown Castle and Affiliates ","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","38969","Crown Castle and Affiliates ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74743","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93463)"
"93463-74742","93463","FE","74742","Kathy Putt","Lobbyist","74742","Kathy Putt (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93463)"
"93464-19127","93464","FE","17739","JUSTIN D LEIGHTON","Employer","19127","WA ST TRANSIT ASSN","2022-03-01T00:00:00.000","2022-07-01T00:00:00.000","17288","WA ST TRANSIT ASSN","1400.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1400.00","19127","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93464)"
"93464-17739","93464","FE","17739","JUSTIN D LEIGHTON","Lobbyist","17739","JUSTIN D LEIGHTON (Self)","2022-03-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93464)"
"93465-19127","93465","FE","17739","JUSTIN D LEIGHTON","Employer","19127","WA ST TRANSIT ASSN","2022-04-01T00:00:00.000","2022-07-01T00:00:00.000","17288","WA ST TRANSIT ASSN","1400.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1400.00","19127","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93465)"
"93465-17739","93465","FE","17739","JUSTIN D LEIGHTON","Lobbyist","17739","JUSTIN D LEIGHTON (Self)","2022-04-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93465)"
"93470-19127","93470","FE","17739","JUSTIN D LEIGHTON","Employer","19127","WA ST TRANSIT ASSN","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","17288","WA ST TRANSIT ASSN","1400.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1400.00","19127","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93470)"
"93470-17739","93470","FE","17739","JUSTIN D LEIGHTON","Lobbyist","17739","JUSTIN D LEIGHTON (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","100.00","0.00","0.00","0.00","100.00","100.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93470)"
"93471-19739","93471","FE","18019","MICHAEL TEMPLE","Employer","19739","PHARMACEUTICAL CARE MANAGEMENT ASSN","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16775","PHARMACEUTICAL CARE MANAGEMENT ASSN","2500.00","0.00","2500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2500.00","19739","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93471)"
"93471-19740","93471","FE","18019","MICHAEL TEMPLE","Employer","19740","SPOKANE TRIBE OF INDIANS","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16944","SPOKANE TRIBE OF INDIANS","5000.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5000.00","19740","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93471)"
"93471-18019","93471","FE","18019","MICHAEL TEMPLE","Lobbyist","18019","MICHAEL TEMPLE (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","100.00","0.00","0.00","0.00","100.00","100.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93471)"
"93472-18945","93472","FE","17617","JENNIFER LAWRENCE HANSCOM","Employer","18945","WA ST MEDICAL ASSN","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","17261","WA ST MEDICAL ASSN","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18945","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93472)"
"93472-17617","93472","FE","17617","JENNIFER LAWRENCE HANSCOM","Lobbyist","17617","JENNIFER LAWRENCE HANSCOM (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93472)"
"93473-84326","93473","FE","83766","Scarlet Oak Strategies","Employer","84326","Blue Wolf Capital Partners LLC","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","84299","Blue Wolf Capital Partners LLC","10000.00","0.00","10000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10000.00","84326","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93473)"
"93473-85177","93473","FE","83766","Scarlet Oak Strategies","Employer","85177","Fire Boss, LLC","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","85160","Fire Boss, LLC","2500.00","0.00","2500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2500.00","85177","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93473)"
"93473-93157","93473","FE","83766","Scarlet Oak Strategies","Employer","93157","3M CO","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16055","3M CO","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","93157","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93473)"
"93473-93207","93473","FE","83766","Scarlet Oak Strategies","Employer","93207","Divert, Inc.","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","93206","Divert, Inc.","5000.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5000.00","93207","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93473)"
"93473-93369","93473","FE","83766","Scarlet Oak Strategies","Employer","93369","Perimeter Solutions","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","93348","Perimeter Solutions","2500.00","0.00","2500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2500.00","93369","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93473)"
"93473-83766","93473","FE","83766","Scarlet Oak Strategies","Lobbyist","83766","Scarlet Oak Strategies (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93473)"
"93474-18275","93474","FE","17395","CHARLOTTE L BOOTH","Employer","18275","INSTITUTE FOR FAMILY DEVELOPMENT","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16187","INSTITUTE FOR FAMILY DEVELOPMENT","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18275","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93474)"
"93474-17395","93474","FE","17395","CHARLOTTE L BOOTH","Lobbyist","17395","CHARLOTTE L BOOTH (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93474)"
"93466-74816","93466","FE","74815","Daniel Schweizer","Employer","74816","Crown Castle and Affiliates ","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","38969","Crown Castle and Affiliates ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74816","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93466)"
"93466-74815","93466","FE","74815","Daniel Schweizer","Lobbyist","74815","Daniel Schweizer (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93466)"
"93475-18722","93475","FE","17546","MARY G FISCHER","Employer","18722","INSTITUTE FOR FAMILY DEVELOPMENT","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16187","INSTITUTE FOR FAMILY DEVELOPMENT","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18722","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93475)"
"93475-17546","93475","FE","17546","MARY G FISCHER","Lobbyist","17546","MARY G FISCHER (Self)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93475)"
"93468-19127","93468","FE","17739","JUSTIN D LEIGHTON","Employer","19127","WA ST TRANSIT ASSN","2022-05-01T00:00:00.000","2022-07-01T00:00:00.000","17288","WA ST TRANSIT ASSN","1400.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1400.00","19127","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93468)"
"93468-17739","93468","FE","17739","JUSTIN D LEIGHTON","Lobbyist","17739","JUSTIN D LEIGHTON (Self)","2022-05-01T00:00:00.000","2022-07-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/93468)"
"92635-68590","92635","FE","46364","Mike Hoover Public Affairs","Employer","68590","RIU 420 dba Uncle Ando's Wurld of Weed","2022-06-01T00:00:00.000","2022-08-01T00:00:00.000","68559","RIU 420 dba Uncle Ando's Wurld of Weed","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","68590","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/92635)"
"92635-92332","92635","FE","46364","Mike Hoover Public Affairs","Employer","92332","Washington State School Directors Association","2022-06-01T00:00:00.000","2022-08-01T00:00:00.000","31150","Washington State School Directors Association","2500.00","0.00","2500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2500.00","92332","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/92635)"
"92635-46364","92635","FE","46364","Mike Hoover Public Affairs","Lobbyist","46364","Mike Hoover Public Affairs (Self)","2022-06-01T00:00:00.000","2022-08-01T00:00:00.000","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","View report (https://accesshub.pdc.wa.gov/node/92635)"
"93476-26037","93476","FE","26001","BMcConsulting","Employer","26037","City of Bremerton","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","26023","City of Bremerton","5000.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5000.00","26037","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93476)"
"93476-26108","93476","FE","26001","BMcConsulting","Employer","26108","FIRE SPRINKLER ADVISORY BD OF PUGET SOUND (DOTY & ASSOC INC*)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","16444","FIRE SPRINKLER ADVISORY BD OF PUGET SOUND","1050.00","0.00","1050.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1050.00","26108","Subcontract","17496","DOTY & ASSOC INC*","View report (https://accesshub.pdc.wa.gov/node/93476)"
"93476-28541","93476","FE","26001","BMcConsulting","Employer","28541","WA ST ASSN OF FIRE CHIEFS (DOTY & ASSOC INC*)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","17247","WA ST ASSN OF FIRE CHIEFS","1250.00","0.00","1250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1250.00","28541","Subcontract","17496","DOTY & ASSOC INC*","View report (https://accesshub.pdc.wa.gov/node/93476)"
"93476-28543","93476","FE","26001","BMcConsulting","Employer","28543","WA REFLEXOLOGY ASSN (DOTY & ASSOC INC*)","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","17177","WA REFLEXOLOGY ASSN","125.00","0.00","125.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","125.00","28543","Subcontract","17496","DOTY & ASSOC INC*","View report (https://accesshub.pdc.wa.gov/node/93476)"
"93476-41183","93476","FE","26001","BMcConsulting","Employer","41183","City of Poulsbo","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","40750","City of Poulsbo","3750.00","0.00","3750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3750.00","41183","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93476)"
"93476-43435","93476","FE","26001","BMcConsulting","Employer","43435","Washington Sungrowers Industry Association","2022-06-01T00:00:00.000","2022-07-01T00:00:00.000","43434","Washington Sungrowers Industry Association","2500.00","-2000.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500.00","43435","Direct",,,"View report (https://accesshub.pdc.wa.gov/node/93476)"
