"objectid","anchorname","bldgnbr","predir","suffdir","caicat","bbservice","publicwifi","url","transtech","fullfipsid","caiid","subscrbdow","subsrbup","datasource","bb_provide","district","updatedby","updatetitl","updatephon","updateemai","updateorg","county","location_1"
"304","Mason County","411","North",,"6","U",,,"-999","530459608003033",,,,"ACCIS-County",,,,,,,,"MASON","411 N 5th
Shelton, WA 98584
(47.215634403, -123.104513595)"
"3232","SeaTac City Hall","4800","South",,"6","U",,,"-999","530330288022002",,,,"ACCIS-City",,,,,,,,"KING","4800 S 188th St
SeaTac, WA 98188
(47.433772453, -122.272675203)"
"1531","Carnation City Hall","4621",,,"6","U",,,"-999","530330325003030",,,,"ACCIS-City",,,,,,,,"KING","4621 Tolt Ave
Carnation, WA 98014
(47.648870731, -121.913656107)"
"1551","Medina City Hall","501",,,"6","U",,,"-999","530330242002037",,,,"ACCIS-City",,,,,,,,"KING","501 Evergreen Pt Rd
Medina, WA 98039
(47.615456046, -122.239222067)"
"975","Vintage Park Apartments School","13737",,,"7","U",,,"-999","530330276002007",,,,"CTC/Betty Buckley",,,,,,,,"KING","13737 12TH
Burien, WA 98166
(47.480172479, -122.350348025)"
"2719","RESIDENTIAL CONSORTIUM","2142",,"West","1","U","U",,"-999","530330069004002","530771002873",,,,,,,,,,,"KING","2142 10 AV WEST
SEATTLE, WA 98119
(47.638055866, -122.370245201)"
"1847","NORTHGATE BRANCH LIBRARY","10548",,"Northeast","2","U","U",,"-999","530330012003003",,,,,,,,,,,,"KING","10548 FIFTH AVE. N.E.
SEATTLE, WA 98125
(47.705093, -122.323125)"
"1875","GREENWOOD BRANCH LIBRARY","8016",,"North","2","U","U",,"-999","530330028004019",,,,,,,,,,,,"KING","8016 GREENWOOD AVE N
SEATTLE, WA 98103
(47.687122, -122.355279)"
"858","Griffin Bay School","265",,,"1","Y",,,"50","530559604002020","530765001125","8","8",,"Qwest",,"Edson Rodriguez","K20 NSS - Regional Data ITU","360-299-4076","erodriguez@nwesd.org","NWESD","SAN JUAN","265 Blaire Avenue
Friday Harbor, WA 98250
(48.532551836, -123.020413521)"
"1204","EASTSIDE FIRE AND RESCUE STATION 79","20505","Southeast",,"4","U",,,"-999","530330319042002",,,,"HSIP Freedom - 2008_09_19_WA_FireStations.shp",,,,,,,,"KING","20505 SOUTHEAST 152ND STREET
RENTON, WA 98059
(47.465438927, -122.067100568)"
"93","THURSTON COUNTY FIRE PROTECTION DISTRICT 11 - LITTLEROCK FIRE AND RESCUE STATION 4","2640",,"Southwest","4","U",,,"-999","530670118213011",,,,"HSIP Freedom - 2008_09_19_WA_FireStations.shp",,,,,,,,"THURSTON","2640 TREVUE AVENUE SOUTHWEST
OLYMPIA, WA 98512
(46.920085136, -122.939155867)"
"1399","SKAGIT COUNTY FIRE PROTECTION DISTRICT 5 - ALLEN STATION","9061",,,"4","U",,,"-999","530579508003028",,,,"HSIP Freedom - 2008_09_19_WA_FireStations.shp",,,,,,,,"SKAGIT","9061 AVON ALLEN ROAD
BOW, WA 98232
(48.514695363, -122.377922695)"
"1098","Associated Recreational Council of King Countyá",,,,"7","U",,,"-999","530330010002001",,,,"CTC/Betty Buckley",,,,,,,,"KING","10550 Lake City Way NE, Suite A
Seattle, WA 98125
(47.706352159, -122.301248404)"
"843","Queets-Clearwater School District","146000",,,"1","Y",,,"50","530090004001121","530138000243","7","7","GIS-Joy Paulus, attributes-Doug Mah","Qwest",,,,,,,"CLALLAM","146000 Hwy. 101
Forks, WA 98331
(48.055256439, -124.353487248)"
"1379","NORTH KITSAP FIRE AND RESCUE STATION 84","18533",,,"4","U",,,"-999","530359401004023",,,,"HSIP Freedom - 2008_09_19_WA_FireStations.shp",,,,,,,,"KITSAP","18533 AUGUSTA AVENUE
SUQUAMISH, WA 98392
(47.731265681, -122.552756767)"
"1619","BREMERTON FIRE DEPARTMENT STATION 3","3031",,,"4","U",,,"-999","530350802001029",,,,"HSIP Freedom - 2008_09_19_WA_FireStations.shp",,,,,,,,"KITSAP","3031 OLYMPUS DRIVE
BREMERTON, WA 98310
(47.59143781, -122.61919028)"
"171","MASON COUNTY FIRE PROTECTION DISTRICT 5 STATION 56 - DEER CREEK","21","East",,"4","U",,,"-999","530459611005012",,,,"HSIP Freedom - 2008_09_19_WA_FireStations.shp",,,,,,,,"MASON","21 EAST GOSSER ROAD
SHELTON, WA 98584
(47.264641668, -123.001865783)"
