"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","licensestatus","licensestatusdesc","ubi","insurancecompany","insurancepolicyno","insuranceamt","effectivedate","expirationdate","canceldate","createdate","createdby_waoic_id","lastupdatedate","updatedby_waoic_id","insuranceagencyname"
"04 CONSTRUCTION LLC","04CONCL862CR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603320569","Ohio Security Ins Co","BKS57134937","1000000","2021-06-08T00:00:00.000","2023-06-08T00:00:00.000",,"2021-06-01T00:00:00.000","249926","2022-06-01T00:00:00.000","249926","AIC INSURANCE AGENCY LLC"
"1002 COATINGS & CONST LLC","1002CCC811LR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604411571","Ohio Cas Ins Co","BKS59643120","1000000","2020-03-13T00:00:00.000","2023-03-13T00:00:00.000",,"2020-03-19T00:00:00.000","L&I Staff","2022-02-14T00:00:00.000","961105","LIBERTY MUTUAL AGENCY CORP"
"100 PROOF DRYWALL LLC","100PRPD823OR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604312899","Continental Cas Co","QCN06731004","2000000","2022-08-31T00:00:00.000","2023-08-31T00:00:00.000",,"2022-08-31T00:00:00.000","922845","2022-08-31T00:00:00.000","922845","Thompson Agency LLC"
"100 PROOF DRYWALL LLC","100PRPD823OR","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604312899","Continental Cas Co","C6983191740","2000000","2022-08-31T00:00:00.000","2023-08-31T00:00:00.000",,"2022-09-01T00:00:00.000","922845","2022-09-01T00:00:00.000","922845","Thompson Agency LLC"
"101 CONSTRUCTION LLC","101COCL799M6","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604784212","Ohio Cas Ins Co","BLS65055934","1000000","2022-07-01T00:00:00.000","2023-07-01T00:00:00.000",,"2022-07-28T00:00:00.000","L&I Staff","2022-07-28T00:00:00.000","L&I Staff",
"101 GENERAL CONTRACTING LLC","101GEGC810PH","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604524842","Atlantic Cas Ins Co","19088145B","1000000","2019-09-30T00:00:00.000","2022-09-30T00:00:00.000",,"2019-10-08T00:00:00.000","L&I Staff","2021-09-28T00:00:00.000","843570","Shappie Agency Inc"
"101 Pest Control LLC","101PEPC881MZ","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603217463","Philadelphia Indemnity Ins Co","PHPK2061540","1000000","2020-01-07T00:00:00.000","2023-01-07T00:00:00.000",,"2019-11-13T00:00:00.000","0","2021-12-29T00:00:00.000","0","CALLIS & ASSOCIATES INC"
"101 WEST LLC","101WEWL795L8","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604550842","Clear Blue Specialty INS","AC040001182","1000000","2022-04-23T00:00:00.000","2023-04-23T00:00:00.000",,"2022-04-22T00:00:00.000","0","2022-04-22T00:00:00.000","0","HUB INTERNATIONAL Bothell"
"1040WINDOWREMODELING L L C","1040WLL806MG","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604478977","Kinsale Insurance Company","0100202945","1000000","2022-08-17T00:00:00.000","2023-08-17T00:00:00.000",,"2022-08-18T00:00:00.000","758252","2022-08-18T00:00:00.000","758252","West Coast Insurance Services"
"10TH CASTLE LLC","10THCCL851D7","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603488046","Contractors Bonding & Insuranc","D11PI8064","1000000","2015-04-15T00:00:00.000","2023-04-18T00:00:00.000",,"2015-04-24T00:00:00.000","L&I Staff","2022-02-23T00:00:00.000","261693","JOSHUA C KUCHENMEISTER F/S/INC"
"10XR","10XR***780N5","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","603291468","Atlantic Cas Ins Co","L318049848","1000000","2022-08-12T00:00:00.000","2023-08-12T00:00:00.000",,"2022-08-25T00:00:00.000","L&I Staff","2022-08-25T00:00:00.000","L&I Staff",
"10/Zero5 General Contr LLC","10ZERGC793J2","CC","CONSTRUCTION CONTRACTOR","A","ACTIVE","604193408","Developers Surety & Indem Co","BIS00035190-02","1000000","2021-07-28T00:00:00.000","2023-07-28T00:00:00.000",,"2021-08-05T00:00:00.000","838249","2022-03-18T00:00:00.000","792907","HARVEY-MONTEITH INSURANCE"
