"funding_program","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open_yr_1","application_closed_yr_1","application_open_yr_2","application_closed_yr_2","funding_award_duration","additional_application","supplemental_information","last_updated"
"Coastal and Marine Habitat Restoration Grants (NOAA)","https://www.fisheries.noaa.gov/grant/coastal-and-marine-habitat-restoration-grants","NOAA Restoration Center","Active","Megan Callahan Grant; 503-231-2213; Megan.callahan-grant@noaa.gov","Jennifer Steger; 206-526-4364; Jennifer.steger@noaa.gov","Grant","This funding supports projects that promote productive and sustainable fisheries, improve the recovery and conservation of protected resources, and promote healthy ecosystems and resilient communities through the restoration of coastal habitat.  Applicants may submit one or more projects to be completed in one, two, or three years.","See NOAA website for funding details as project funding is often tied to specific project purpose(s).","n/a","100%","Non-federal match, recommended 1:1.","$   4,000,000","Up to $4M over a three year cooperative agreement.","2019-10-01T00:00:00.000","2019-12-01T00:00:00.000","2020-10-01T00:00:00.000","2020-12-01T00:00:00.000","1-3 years","Application dates are estimates at this time, pending appropriations.","Update provided by paul.r.cereghino@noaa.gov","2018-08-19T00:00:00.000"
"319 Grants -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Eliza Keeley-Arnold; 360-407-6509; eliza.keeley-arnold@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The 319 grant program provides funding for nonpoint source pollution projects to improve and protect water quality.","n/a","Water Quality Program","25%","n/a","$250,000 or $500,000","$250K grant limit with in-kind match contribution;  $500K grant limit with cash-only match contribution.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000","2018-08-12T00:00:00.000","2018-10-14T00:00:00.000","3 years","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2018-08-19T00:00:00.000"
"Aquatic Invasive Plant Management Grant Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management grant program provides financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams.","n/a","Water Quality Program","25%","n/a","$30,000 or $75,000","$30K for planning grants, and $75K for implementation grants.  Each applicant is limited to $75K per annual grant cycle.  Early infestation projects are limited to $50K per project.","2018-10-01T00:00:00.000","2018-12-15T00:00:00.000","2019-10-01T00:00:00.000","2019-11-15T00:00:00.000","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Centennial Grants -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Alissa Ferrell; 360-407-6509; alissa.ferrell@ecy.wa.gov","Grant","The Centennial grant program provides funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.","n/a","Water Quality Program","25%","n/a","$250,000 or $500,000","$250K grant limit with in-kind match contribution;  $500K grant limit with cash-only match contribution.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000","2018-08-12T00:00:00.000","2018-10-14T00:00:00.000","4 years","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2018-08-19T00:00:00.000"
"Clean Water State Revolving Loan Fund -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Shelly McMurry; 360-407-7132; shelly.mcmurry@ecy.wa.gov","Daniel Thompson; 360-407-6510; daniel.thompson@ecy.wa.gov","Loan","The Clean Water State Revolving Fund provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","n/a","Water Quality Program","0%","n/a","n/a","No more than 50% available funds can go to any one project.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000","2018-08-12T00:00:00.000","2018-10-14T00:00:00.000","4 years","n/a","n/a","2018-08-19T00:00:00.000"
"Freshwater Algae Program (Ecology)","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","n/a","Water Quality Program","25%","n/a","$   50,000","n/a","2018-10-01T00:00:00.000","2018-12-15T00:00:00.000","2019-10-01T00:00:00.000","2019-11-15T00:00:00.000","2 years","n/a","n/a","2018-08-19T00:00:00.000"
"Stormwater Financial Assistance Program -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Jessica Schwing; 360-407-6216; jessica.schwing@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Stormwater Financial Assistance Program provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","n/a","Water Quality Program","25%","25%  for non-hardship communities.  15% for hardship communities.","$   5,000,000","$5M per funding cycle per community.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000","2018-08-12T00:00:00.000","2018-10-14T00:00:00.000","4 years","n/a","n/a","2018-08-19T00:00:00.000"
"Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","Washington State Department of Ecology","Active","Eliza Keeley-Arnold; 360-407-6509; eliza.keeley-arnold@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The 319 grant program provides funding for nonpoint source pollution projects to improve and protect water quality.","n/a","Water Quality Program","25%","n/a","$250,000 or $500,000","$250K grant limit with in-kind match contribution;  $500K grant limit with cash-only match contribution.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000","2018-08-12T00:00:00.000","2018-10-14T00:00:00.000","various","Apply via the annual Water Quality Combined Funding Cycle process.","n/a","2018-08-19T00:00:00.000"
"Family Forest Fish Passage Program (WA State)","http://www.rco.wa.gov/grants/schedules.shtml#fffpp","Washington State Recreation and Conservation Office, Washington State Department of Fish and Wildlife, and Washington State Department of Natural Resources","Active","Dave Caudill; 360-902-2649; dave.caudill@rco.wa.gov","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Grant","This program provides assistance to small forest landowners to fix inadequate or blocked culverts on logging roads in order for salmon to access streams.","n/a","n/a","0%","n/a","n/a","n/a","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","1 year","n/a","n/a","2018-08-19T00:00:00.000"
"Salmon Recovery Funding Board (RCO)","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Kat Moore; 360-902-0210; kathryn.moore@rco.wa.gov","Grant","Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat and implement salmon recovery plans.","Planning, acquisition and restoration projects intended to implement salmon recovery plans.","Washington State Salmon Recovery Regions and Lead Entities","15%","Match may include cash, bond funds, grants (unless prohibited by the funding entity), labor, equipment and equipment use, materials, staff time, and donations.","$   5,000","Minimum $5K application.","2019-02-01T00:00:00.000","2019-08-01T00:00:00.000","2020-02-01T00:00:00.000","2020-08-01T00:00:00.000","4 years","Feb-June 30 pre-application, Feb-July site visits, Aug app due, Dec grants funded.","n/a","2018-08-19T00:00:00.000"
