"fscskey","libid","librarysystem","branchlibrary","wifihours","password","address","city","zip","phone","outlettype","longitude","latitude","website","ecardaccess"
"WA0032","WA0032-002","ANACORTES PUBLIC LIBRARY","ANACORTES PUBLIC LIBRARY","7:00-22:00","false","1220 10TH ST","ANACORTES","98221","(360) 293-1910","CE","-122.61614","48.514261","https://www.anacorteswa.gov/220/Library","true"
"WA0033","WA0033-002","ASOTIN COUNTY LIBRARY","DOWNTOWN BRANCH LIBRARY","24x7","false","417 SYCAMORE ST.","CLARKSTON","99403","(509) 758-5454","CE","-117.043242","46.412661","https://asotincountylibrary.org","true"
"WA0033","WA0033-004","ASOTIN COUNTY LIBRARY","HEIGHTS BRANCH LIBRARY","24x7","false","2036 4TH AVE.","CLARKSTON","99403","(509) 758-4601","BR","-117.081862","46.392683","https://asotincountylibrary.org","true"
"WA0050","WA0050-002","BELLINGHAM PUBLIC LIBRARY","BELLINGHAM PUBLIC (CENTRAL) LIBRARY","24x7","false","210 CENTRAL AVE","BELLINGHAM","98225","(360) 778-7323","CE","-122.479837","48.753882","https://www.bellinghampubliclibrary.org","true"
"WA0050","WA0050-003","BELLINGHAM PUBLIC LIBRARY","FAIRHAVEN BRANCH LIBRARY","24x7","false","1117 12TH STREET","BELLINGHAM","98225","(360) 778-7188","BR","-122.502175","48.722125","https://www.bellinghampubliclibrary.org","true"
"WA0002","WA0002-002","BURLINGTON PUBLIC LIBRARY","BURLINGTON PUBLIC LIBRARY","24x7","false","820 EAST WASHINGTON AVENUE","BURLINGTON","98233","(360) 755-0760","CE","-122.323936","48.474678","https://www.burlingtonwa.gov/93/Library","true"
"WA0034","WA0034-002","CAMAS PUBLIC LIBRARY","CAMAS PUBLIC LIBRARY","24x7","false","625 NE 4TH AVENUE","CAMAS","98607","(360) 834-4692","CE","-122.402185","45.586862","https://www.cityofcamas.us/camaspubliclibrary",
"WA0003","WA0003-002","CASTLE ROCK PUBLIC LIBRARY","CASTLE ROCK PUBLIC LIBRARY",,"true","137 COWLITZ ST W.","CASTLE ROCK","98611","(360) 274-6961","CE","-122.909866","46.275309","https://crplibrary.com",
"WA0004","WA0004-002","CATHLAMET PUBLIC LIBRARY","CATHLAMET PUBLIC LIBRARY","24x7","true","115 COLUMBIA ST","CATHLAMET","98612","(360) 795-3254","CE","-123.384233","46.201236","https://www.cathlamet.lib.wa.us","true"
"WA0076","WA0076-000","CENTRAL SKAGIT LIBRARY DISTRICT","LIBRARY ADMINISTRATION","24x7","false","720 METCALF STREET","SEDRO WOOLLEY","98284","(360) 755-3985","CE","-122.23867","48.505135","https://www.centralskagitlibrary.org/index.html",
