"schoolyear","esd","county","districtcode","district","subgroup","readingproficiency","readingtargetproficiency","readingmetproficiency","mathproficiency","mathtargetproficiency","mathmetproficiency","readingmetparticipation","mathmetparticipation","otherindicatormet"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","All","60.8","56.5","On/Above","54.1","51.9","On/Above","On/Above","On/Above","Below"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","American Indian","37.9","42.3","Below","27.6","25.3","On/Above","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Asian","73.9","70.7","On/Above","81","85.3","Below","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Pacific Islander",,,"N<Required",,,"N<Required","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Black",,,"N<Required",,,"N<Required","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Hispanic","50.1","48","On/Above","42.6","42.8","Below","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","White","64.5","58.9","On/Above","58","55.8","On/Above","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Two or More Races","68.8","65.2","On/Above","63.9","50.2","On/Above","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Limited English","15.1","28","Below","17.4","31.4","Below","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Special Education","21.1","24.1","Below","17.9","20.4","Below","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","Low Income","52.4","48.7","On/Above","47.1","44.5","On/Above","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","All","68.6","68","On/Above","61.1","54.6","On/Above","On/Above","On/Above","On/Above"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","American Indian",,,"No Students",,,"No Students","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Asian",,,"N<Required",,,"N<Required","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Pacific Islander",,,"No Students",,,"No Students","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Black",,,"No Students",,,"No Students","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Hispanic",,,"N<Required",,,"N<Required","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","White","68.7","67.5","On/Above","61.2","54.5","On/Above","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Two or More Races",,,"N<Required",,,"N<Required","N<Required","N<Required","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Limited English",,,"No Students",,,"No Students","No Students","No Students","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Special Education","25.9","43.8","Below","25.9","23.1","On/Above","On/Above","On/Above","N/A"
"2011-12","Educational Service District 113","Lewis","21226","Adna School District","Low Income","58.5","55.5","On/Above","47.3","38.6","On/Above","On/Above","On/Above","N/A"
