"biennium","program_index_code","title","program","subprogram","activity","subactivity"
"2021","00100","ADMIN AND SUPPORT PROGRAM ALLOTMENTS","010",,,
"2023","00100","ADMIN AND SUPPORT PROGRAM ALLOTMENTS","010",,,
"2021","00111","111-COMMISSIONER'S OFFICE","010","01","01",
"2023","00111","111-COMMISSIONER'S OFFICE","010","01","01",
"2021","00112","112-POLICY","010","01","03",
"2023","00112","112-POLICY GOVT AND EXT AFFAIRS","010","01","03",
"2021","00113","113-EXECUTIVE LEADERSHIP","010","01","05",
"2023","00113","113-EXECUTIVE OPERATIONS","010","01","04",
"2021","00114","114-COMMUNICATIONS AND OUTREACH","010","01","02",
"2023","00114","114-COMMUNICATIONS AND PUBLIC INFORMATIO","010","01","02",
"2021","00116","116-SAFETY","010","01","06",
"2023","00116","116-SAFETY","010","01","05",
"2023","00117","117-PROJECT MANAGEMENT","010","01","06",
"2021","00121","121-CORR CAMPS OTHER ST AGY WORK","020","01","06","02"
"2023","00121","121-CORR CAMPS OTHER ST AGY WORK","020","01","06","02"
"2021","00122","122-CORR CAMPS STATE LANDS WORK","020","01","06","03"
"2023","00122","122-CORR CAMPS STATE LANDS WORK","020","01","06","03"
"2021","00123","123-CORR CAMPS LOCAL WORK","020","01","06","04"
"2023","00123","123-CORR CAMPS LOCAL GRANTS IAAS","020","01","06","04"
"2021","00124","124-FINANCE,BUDGET AND ECONOMICS","010","02","01",
"2023","00124","124-FINANCE,BUDGET AND ECONOMICS","010","02","01",
"2021","00125","125-INTERAGENCY PAYMENTS","060","02",,
"2023","00125","125-INTERAGENCY PAYMENTS","060","02",,
"2021","00126","126-RETIREMENT SL BUY-OUTS FIN USE ONLY","010","02","03",
"2021","00127","127-ATG LEGAL SERVICES","060","01",,
"2023","00127","127-ATG LEGAL SERVICES","060","01",,
"2021","00128","128-AGY VENDOR PAYMENTS (FIN USE ONLY)","010","02","02",
"2023","00128","128-AGY VENDOR PAYMENTS (FIN USE ONLY)","010","02","02",
"2021","00129","129-CORR CAMPS GENERAL","020","01","06","01"
"2023","00129","129-CORR CAMPS GENERAL","020","01","06","01"
"2021","0012P","12P-CORRECTIONAL CAMPS PROVISO","020","01","06","06"
"2023","0012Q","12Q-CORR CAMPS ST LANDS FH WORK","020","01","06","06"
"2023","0012R","12R-CORR CAMPS STATE LANDS ROADS ARRF","020","01","06","07"
"2021","0012W","12W-CORRECTIONAL CAMPS FEDERAL WORK","020","01","06","05"
"2023","0012W","12W-CORR CAMPS FEDERAL GRANTS","020","01","06","05"
"2021","0012Z","CAMPS PROGRAM ALLOTMENTS","020","01","06",
"2023","0012Z","CAMPS PROGRAM ALLOTMENTS","020","01","06",
"2021","00132","132-EMPLOYEE SERVICES","010","03","01",
"2023","00132","132-EMPLOYEE SERVICES","010","03","01",
"2021","00133","133-STAFF DEVELOPMENT","010","03","02",
"2023","00133","133-STAFF DEVELOPMENT","010","03","02",
"2021","00134","134-WORKPLACE CULTURE AND DEVELOPMENT","010","03","03",
"2023","00134","134-DNR  EMPL TRAINING AND DEVELOPMENT","010","05","02",
"2023","00135","135-WCD OFFICE","010","05","01",
"2021","0013A","HUMAN RESOURCES ALLOTMENTS","010","03",,
"2023","0013A","HUMAN RESOURCES ALLOTMENTS","010","03",,
"2023","0013Z","WCD ALLOTMENTS","010","05",,
"2023","00143","143-IT PROJECT MGMT OFC","010","04","01","01"
