"districts","project_description","applicant","funding_source","previous_allocations","fy20","fy21","fy22","fy23","fy24","fy25","total_programmed","na_count","title"
"Operating Costs for Intercity Passenger Rail Service",,,,,,,,,,,,"11","1.0"
"Nova, Culpeper, Lynchburg","Route 29 to I-81 Corridor Future Operations","Amtrak","IPROC","0","0.0","0.0","0.0","0.0","2363568.0","2434474.0","4798042.0","0",
,,,"VDOT - TTF","0","0.0","432600.0","445578.0","458945.0","0.0","0.0","1337123.0","3",
,,,"Federal","0","0.0","1730400.0","1782312.0","1835782.0","0.0","0.0","5348494.0","3",
,,,"Subtotal","0","0.0","2163000.0","2227890.0","2294727.0","2363568.0","2434474.0","11483659.0","3",
"Nova, Culpeper, Lynchburg, Salem","Roanoke Route 46 Service, 1 daily round trip","Amtrak","IPROC","553166","206000.0","210635.0","215374.28750000003","220220.20896875003","225175.1636705469","230241.6048531342","1860812.264992431","0",
"Nova, Fredericksburg, Richmond, Hampton Roads","Newport News Route 47 Service, 2 daily round trips","Amtrak","IPROC","1432443","2950658.2900000005","3017048.1015250008","3084931.6838093135","3154342.646695023","3225315.35624566","3297884.951761188","20162624.03003619","0",
"Richmond, Hampton Roads","Norfolk Route 50 Service, 2 daily round trips","Amtrak","IPROC","2011335","2200000.0","2249500.0","2300113.75","2351866.309375","2404783.301335938","2458890.9256159966","15976489.286326934","0",
"Nova, Fredericksburg, Richmond, Hampton Roads","Norfolk Train 3","Amtrak","IPROC","0",,"0.0","2185454.0","2234626.715","2284905.8160875","2336316.196949469","9041302.72803697","1",
"Nova, Fredericksburg, Richmond","Richmond Route 51 Service, 1 daily round trip","Amtrak","IPROC","2053218","2114767.5","2162349.76875","2211002.6385468747","2260750.1979141794","2311617.0773672485","2363628.4616080117","15477333.644186312","0",
,"Amtrak Marketing Costs","Various","IPROC","1752853","900000.0","900000.0","900000.0","900000.0","900000.0","900000.0","7152853.0","1",
,,,"Total Intercity Passenger Rail Operating Costs","7803015","8371425.790000001","10702532.870275002","13124766.359856188","13416533.077952951","13715364.714706894","14021436.140787799","81155073.95357884","3",
"Capital Equipment Contribution for Intercity Passenger Rail Service",,,,,,,,,,,,"11","1.0"
"Nova, Culpeper, Lynchburg","Route 46 Roanoke Service","Amtrak","IPROC","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0",
"Nova, Fredericksburg, Richmond, Hampton Roads","Newport News Route 47 Service","Amtrak","IPROC","1860548","1329351.29","1359261.694025","1389845.0821405626","1421116.5964887254","1453091.7199097218","1485786.2836076906","10299000.6661717","0",
"Nova, Fredericksburg, Richmond","Richmond Route 51 Service","Amtrak","IPROC","1105171","1130037.3475000001","1155463.1878187503","1181461.109544672","1208043.984509427","1235224.9741608892","1263017.5360795092","8278419.139613248","0",
"Nova, Fredericksburg, Richmond, Hampton Roads","Norfolk Train 3","Amtrak","IPROC","0",,,"500000.0","511250.0","522753.125","534515.0703125","2068518.1953125","2",
"Nova, Fredericksburg, Richmond, Hampton Roads","Norfolk  Route 50 Service","Amtrak","IPROC","1153781","2282826.0","2334189.585","2386708.8506624997","2440409.7998024058","2495319.02029796","2551463.698254664","15644697.954017527","0",
,,,"Total Capital Equipment Contribution","4119500","4742214.6375","4848914.46684375","5458015.042347735","5580820.380800558","5706388.839368571","5834782.588254364","36290635.95511498","3",
"Nova, Fredericksburg, Richmond, Hampton Roads","Amtrak Station State-of-Good-Repair","Amtrak","IPROC","0","0.0","1341060.0","1381292.0","1422731.0","1465412.0","1509375.0","7119870.0","0",
,,,"Total Station Improvements","0","0.0","1341060.0","1381292.0","1422731.0","1465412.0","1509375.0","7119870.0","3",
"Capacity and Speed Improvements",,,,,,,,,,,,"10","1.0"
"CSX National Gateway / I-95 Corridor",,,,,,,,,,,,"10","1.0"
"Nova, Fredericksburg, Richmond","I-95 Corridor Improvements","CSX","IPROC","44467039","32125348.0","30312328.0","30935286.0","31486197.0","0.0","0.0","169326198.0","0",
,"I-95 Corridor Improvements","78520-01","PTF","41992622","32700000.0","32700000.0","32700000.0","32700000.0","32620919.0","0.0","205413541.0","1",
