"projectgroupid","fiscalyear_budgets","project_unique","orgname","shortdesc","fund_category_description","fund_parent_source","project_category_label","project_category_description","budget"
"7801401.0","2014","78014-01","Rail Transportation","Amtrak Services in FY2014","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","0.0"
"4601408.0","2014","46014-08","Crater Planning District Commission","FTA 5303 FY2014 - Crater PDC - Petersburg Area MPO","Highway Federal Fund","Federal Funds","Transit","5303 / 5304 Planning & TDP's","0.0"
"4601408.0","2014","46014-08","Crater Planning District Commission","FTA 5303 FY2014 - Crater PDC - Petersburg Area MPO","Local Share","Local Funds","Transit","5303 / 5304 Planning & TDP's","6233.0"
"7651304.0","2014","76514-04","CSX","CSX - Virginia Avenue Tunnel","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","10501099.61"
"7651304.0","2014","76514-04","CSX","CSX - Virginia Avenue Tunnel","Local Share","Local Funds","Rail","Rail Enhancement Fund","4893043.0"
"7651401.0","2014","76514-01","Virginia Port Authority","VPA - APMT","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651401.0","2014","76514-01","Virginia Port Authority","VPA - APMT","Local Share","Local Funds","Rail","Rail Enhancement Fund","2859785.0"
"7651403.0","2014","76514-03","Virginia Port Authority","VPA - Port of Richmond","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","1632366.0"
"7651403.0","2014","76514-03","Virginia Port Authority","VPA - Port of Richmond","Local Share","Local Funds","Rail","Rail Enhancement Fund","972799.0"
"7651405.0","2014","76514-05","Norfolk Southern Railway","NS - Rehab of Sunray-Portlock Bridge","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","163100.0"
"7651405.0","2014","76514-05","Norfolk Southern Railway","NS - Rehab of Sunray-Portlock Bridge","Local Share","Local Funds","Rail","Rail Enhancement Fund","69900.0"
"7651406.0","2014","76514-06","Norfolk Southern Railway","NS - Lipscomb Siding","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651406.0","2014","76514-06","Norfolk Southern Railway","NS - Lipscomb Siding","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7651407.0","2014","76514-07","Norfolk Southern Railway","NS - Kinsey Siding","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651407.0","2014","76514-07","Norfolk Southern Railway","NS - Kinsey Siding","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7651408.0","2014","76514-08","Norfolk Southern Railway","NS - Montgomery Tunnel","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","1071000.0"
"7651408.0","2014","76514-08","Norfolk Southern Railway","NS - Montgomery Tunnel","Local Share","Local Funds","Rail","Rail Enhancement Fund","459000.0"
"7651411.0","2014","76514-11","Norfolk Southern Railway","NS - Dominion Power Plant Siding","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651411.0","2014","76514-11","Norfolk Southern Railway","NS - Dominion Power Plant Siding","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7651414.0","2014","76514-14","Norfolk Southern Railway","NS - F-Line Bridge Clearances","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651414.0","2014","76514-14","Norfolk Southern Railway","NS - F-Line Bridge Clearances","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7001590.0","2014","76514-12","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Highway Federal Fund","Federal Funds","Rail","Rail Enhancement Fund","0.0"
"7001590.0","2014","76514-13","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Highway Federal Fund","Federal Funds","Rail","Rail Enhancement Fund","0.0"
"7550803.0","2014","75514-01","Buckingham Branch RR","FY2008 BBRR Buckingham Division Rail and Tie Replacement","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","420000.0"
"7550803.0","2014","75514-01","Buckingham Branch RR","FY2008 BBRR Buckingham Division Rail and Tie Replacement","Local Share","Local Funds","Rail","Rail Preservation","180000.0"
"7550910.0","2014","75514-13","Winchester and Western RR Company","FY2009 WWRR Improvements to WST and Sandman Subdivisions","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","438039.0"
"7550910.0","2014","75514-13","Winchester and Western RR Company","FY2009 WWRR Improvements to WST and Sandman Subdivisions","Local Share","Local Funds","Rail","Rail Preservation","279066.0"
"7001590.0","2014","76513-12","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","1736490.0"
"7001590.0","2014","76514-12","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Priority Transportation","State Funds","Rail","Rail Enhancement Fund","0.0"
"7001590.0","2014","76514-12","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7001590.0","2014","76514-13","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7001590.0","2014","76514-13","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Priority Transportation","State Funds","Rail","Rail Enhancement Fund","0.0"
"7001590.0","2014","76514-13","Rail Division Project Management","DC2RVA-payroll and fringes, VDOT, project work plans, NEPA, PE, implementation early work","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7551419.0","2014","75514-19","Shenandoah Valley Railroad","FY2014 SVRR Tie Replacement and Track Bed Upgrade","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","34930.0"
"7551419.0","2014","75514-19","Shenandoah Valley Railroad","FY2014 SVRR Tie Replacement and Track Bed Upgrade","Local Share","Local Funds","Rail","Rail Preservation","15750.0"
"7801401.0","2014","78014-02","Rail Transportation","Amtrak Services in FY2014","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","0.0"
"7801401.0","2014","78014-03","Rail Transportation","Amtrak Services in FY2014","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","0.0"
"7801451.0","2014","78014-51","Rail Transportation","Archived/Closed?","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","357610.53"
"7801452.0","2014","78014-52","Rail Transportation","Archived/Closed?","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","0.0"
"7801453.0","2014","78014-53","Rail Transportation","Archived/Closed?","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","0.0"
"8101301.0","2014","78014-54","Rail Transportation","Amtrak Extension to Roanoke","Intercity Passenger Rail Operating & Capital (IPROC)","State Funds","Rail","Rail Planning","2382909.0"
"7131403.0","2014","71314-03","Crater Planning District Commission","FY2014 - Tri Cities MPO - Petersburg Area Station Location Study","Transportation Trust Fund / VW Trust Fund","State Funds","Transit","State Technical Assistance Grant & I-95 Operating and Hot Lanes","179391.42"
"7131403.0","2014","71314-03","Crater Planning District Commission","FY2014 - Tri Cities MPO - Petersburg Area Station Location Study","Federal Share","Federal Funds","Transit","State Technical Assistance Grant & I-95 Operating and Hot Lanes","0.0"
"7131403.0","2014","71314-03","Crater Planning District Commission","FY2014 - Tri Cities MPO - Petersburg Area Station Location Study","Local Share","Local Funds","Transit","State Technical Assistance Grant & I-95 Operating and Hot Lanes","14000.0"
"7550803.0","2015","75515-03","Buckingham Branch RR","FY2008 BBRR Buckingham Division Rail and Tie Replacement","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","420000.0"
"7550803.0","2015","75515-03","Buckingham Branch RR","FY2008 BBRR Buckingham Division Rail and Tie Replacement","Local Share","Local Funds","Rail","Rail Preservation","180000.0"
"7551004.0","2015","75515-05","Buckingham Branch RR","FY2010 BBRR Virginia Southern Division Upgrade","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","1499672.0"
"7551004.0","2015","75515-05","Buckingham Branch RR","FY2010 BBRR Virginia Southern Division Upgrade","Local Share","Local Funds","Rail","Rail Preservation","705882.0"
"7551419.0","2015","75515-18","Shenandoah Valley Railroad","FY2014 SVRR Tie Replacement and Track Bed Upgrade","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","34992.0"
"7551419.0","2015","75515-18","Shenandoah Valley Railroad","FY2014 SVRR Tie Replacement and Track Bed Upgrade","Local Share","Local Funds","Rail","Rail Preservation","16200.0"
"7550910.0","2015","75515-22","Winchester and Western RR Company","FY2009 WWRR Improvements to WST and Sandman Subdivisions","Short Line Railway Preservation","State Funds","Rail","Rail Preservation","200000.0"
"7550910.0","2015","75515-22","Winchester and Western RR Company","FY2009 WWRR Improvements to WST and Sandman Subdivisions","Local Share","Local Funds","Rail","Rail Preservation","85714.0"
"7651501.0","2015","76515-01","NVTC - VRE","VRE - Brooke, Leeland, and Potomac Shores Study","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651501.0","2015","76515-01","NVTC - VRE","VRE - Brooke, Leeland, and Potomac Shores Study","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
"7651502.0","2015","76515-02","Virginia Port Authority","VPA - NIT","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651502.0","2015","76515-02","Virginia Port Authority","VPA - NIT","Local Share","Local Funds","Rail","Rail Enhancement Fund","559800.0"
"7651401.0","2015","76515-03","Virginia Port Authority","VPA - APMT","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651401.0","2015","76515-03","Virginia Port Authority","VPA - APMT","Local Share","Local Funds","Rail","Rail Enhancement Fund","649153.0"
"7651403.0","2015","76515-04","Virginia Port Authority","VPA - Port of Richmond","Rail Enhancement","State Funds","Rail","Rail Enhancement Fund","0.0"
"7651403.0","2015","76515-04","Virginia Port Authority","VPA - Port of Richmond","Local Share","Local Funds","Rail","Rail Enhancement Fund","0.0"
