"business_name","license_number","inspection_date","placard","formatted_address","inspection_id","violation_id","business_city","business_postal_code","inspection_type","inspection_frequency","inspector","inspector_comments","inspection_result","inspection_description","correct_by_date","corrected_on_site","violation_description","is_major_violation","violation_code","business_id","businessaddress","placard_id","row_id"
"MARY E. SILVEIRA ELEMENTARY SCHOOL","L11177","2022-09-09T09:40:00.000","GREEN","375 BLACKSTONE DR, SAN RAFAEL, CA 94903","53235","78384","SAN RAFAEL","94903","Routine","Food Semi-yearly Inspection","KATHLEEN DEA","Minor violations found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report. Green placard issued.","VIOLMINOR","Only Minor Violation(s) Found","2022-04-14T00:00:00.000","No","Facility is using Time as a Public Health Control (TPHC) thru service with LunchMaster, but TPHC logs are incomplete. Ensure TPHC logs are filled out completely by delivery driver and by school in required fields, to ensure food is eaten/discarded after 4 hours out of temperature control. Discussed with LunchMaster and operator of facility at time of inspection. Send inspector completed TPHC logs for next 2 weeks by 9/27/22 for review.",,"CHSC 114000","5636","375 BLACKSTONE DR
SAN RAFAEL, CA 94903
(38.038178, -122.543935)","1","5636_53235_78384"
"KEN BETT'S MARIN CAR WASH","L14903","2022-09-09T08:10:00.000","GREEN","170 MERRYDALE RD, SAN RAFAEL, CA 94903","55504","78370","SAN RAFAEL","94903","Follow-up","Food Yearly Inspection","KATHLEEN DEA","Reinspection following the routine inspection conducted on 9/2/22. Today, true cooler has not been repaired, but there are no PHFs stored in unit. Repair/replacement of unit is in progress.<div><br></div><div>Minor violation found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report.<br></div>","VIOLMINOR","Only Minor Violation(s) Found","2022-09-09T00:00:00.000","No","MAJOR: True cooler measured at 62.6F. Only potentially hazardous food in cooler is orange juice, placed there ~3.5hrs. prior. ~35x 11.5/12 oz. bottles of orange juice set aside for discard. Maintain potentially hazardous foods at 41F or below. Repair cooler ASAP - do not use for PHFs until repaired. ",,"CHSC 113996","5586","170 MERRYDALE RD
SAN RAFAEL, CA 94903
(37.995351, -122.534859)","1","5586_55504_78370"
"SUPER DUPER BURGER","L14313","2022-09-08T13:30:00.000","GREEN","5800 NAVE DR C, NOVATO, CA 94949","53984","78380","NOVATO","94949","Routine","Food Semi-yearly Inspection","KATHLEEN DEA","Minor violations found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report. Green placard issued.","VIOLMINOR","Only Minor Violation(s) Found","2022-06-14T00:00:00.000","No","Observed the following foods at unsafe temperatures:<div>- shredded cheese at 45.1F (ambient ~44F) in LINE 1 cooler; cooler logs shows ~45F at 11 am -- operator immediately adjusted cooler; measured 41F at end of inspection</div><div>- slaw at 47F in LINE 3 cooler; cooler logs shows 43F at 11 am -- maintain at 41F or below; slaw is non-PHF</div><div>- quinoa at 45.9F in walk in cooler (ambient ~45F); operator states unit was 39F this morning before doors open/closed for delivery -- measured at 40F at end of inspection; monitor hourly</div><div>- LINE 2 cooler: super sauce at 46F -- operator immediately adjusted cooler; ensure 41F or below</div><div>Maintain potentially hazardous foods (PHFs) cold at 41F or below. Repair coolers if needed. </div>",,"CHSC 113996","8693","5800 NAVE DR
NOVATO, CA 94949
(38.063721, -122.534184)","1","8693_53984_78380"
"MICHAEL'S SOURDOUGH SANDWICHES","L10663","2022-09-08T11:00:00.000","GREEN","42 DIGITAL DR 8, NOVATO, CA 94949","53199","78379","NOVATO","94949","Routine","Food Semi-yearly Inspection","KATHLEEN DEA","Minor violations found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report. Green placard issued.","VIOLMINOR","Only Minor Violation(s) Found","2022-04-14T00:00:00.000","No","Certified Food Manager certification is expired. Operator completed training but did not take exam yet. Provide a current CFM certification within 30 days - send copy to inspector.",,"CHSC 113947.1","5128","42 DIGITAL DR
NOVATO, CA 94949
(38.070752, -122.531504)","1","5128_53199_78379"
"WEST BROOKLYN PIZZA CO","L16488","2022-09-08T11:00:00.000","GREEN","900 ANDERSEN DR B, SAN RAFAEL, CA 94901","55514","78376","SAN RAFAEL","94901","Routine","Food Additional Inspection","OBDULIA DUQUE-TURCIOS","<p class=MsoNormal><i><span style=font-size:12.0pt>“Minor violations were also found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report.”</span></i><span style=font-size:12.0pt>  <o:p></o:p></span></p>  <p class=MsoNormal><span style=font-size:12.0pt> </span></p>","VIOLMINOR","Only Minor Violation(s) Found","2022-09-07T06:55:00.000","No","A large cheese pizza internal temperature readings were measured at 99F, 108F, and 112F in different parts of the food. Cheese pizza was observed stored at ambient temperature in the preparation area. [CA] Potentially hazardous foods shall be held at or below 41F and at or above 135F when hot. (COS) Pizza was served within an hour.  (Repeated violation). ",,"CHSC 113996","4993","900 ANDERSEN DR
SAN RAFAEL, CA 94901
(37.957837, -122.508191)","1","4993_55514_78376"
"BAHIA VISTA ELEMENTARY SCHOOL","L10487","2022-09-08T09:45:00.000","GREEN","125 BAHIA WAY, SAN RAFAEL, CA 94901","54362",,"SAN RAFAEL","94901","Routine","Food Semi-yearly Inspection","OBDULIA DUQUE-TURCIOS","No violations were observed during the time of the inspection.","NOVIOL","No Violation(s) Found","2022-07-14T00:00:00.000","No",,,,"4950","125 BAHIA WAY
SAN RAFAEL, CA 94901
(37.965503, -122.498334)","1","4950_54362_"
"NORTHGATE MALL FOOD CRT & TRASH ENCLOSUR","L11253","2022-09-08T08:45:00.000","GREEN","5800 NORTHGATE DR FC GEN, SAN RAFAEL, CA 94903","54913","77920","SAN RAFAEL","94903","Follow-up","Food Yearly Inspection","KATHLEEN DEA","Reinspection following the routine inspection conducted on 7/8/22. Today, major violation has been corrected.<div><br></div><div>For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report.<br></div>","NOVIOL","No Violation(s) Found","2022-09-08T00:00:00.000","Yes","MAJOR: Hot water measured at 77F at food court restroom hand sinks. Only facility in food court, Sbarro, has &gt;120F hot water. Repair hand sinks in restrooms to have 100F warm water within 60 days to avoid cost recovery fees. Repeat violation. ",,"CHSC 113953.c","5715","5800 NORTHGATE DR
SAN RAFAEL, CA 94903
(38.003246, -122.546828)","1","5715_54913_77920"
"LAUREL DELL ELEMENTARY","L11179","2022-09-08T08:30:00.000","GREEN","225 WOODLAND AVE, SAN RAFAEL, CA 94901","53614",,"SAN RAFAEL","94901","Routine","Food Semi-yearly Inspection","OBDULIA DUQUE-TURCIOS","No violations were observed during the time of the inspection. ","NOVIOL","No Violation(s) Found","2022-05-16T00:00:00.000","No",,,,"5638","225 WOODLAND AVE
SAN RAFAEL, CA 94901
(37.964191, -122.52595)","1","5638_53614_"
"NAPA VALLEY BURGER CO","L10473","2022-09-07T13:05:00.000","GREEN","670 BRIDGEWAY BLVD, SAUSALITO, CA 94965","53175","78371","SAUSALITO","94965","Routine","Food Semi-yearly Inspection","JULIAN TAM","<i><span style=font-size:12.0pt;font-family:&quot;Calibri&quot;,sans-serif; mso-fareast-font-family:Calibri;mso-fareast-theme-font:minor-latin;mso-ansi-language: EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA>Minor violations were also found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report.</span></i><div><span style=font-size: 12.0pt;font-family:&quot;Calibri&quot;,sans-serif;mso-fareast-font-family:Calibri; mso-fareast-theme-font:minor-latin;mso-ansi-language:EN-US;mso-fareast-language: EN-US;mso-bidi-language:AR-SA><br></span></div><div><span style=font-size: 12.0pt;font-family:&quot;Calibri&quot;,sans-serif;mso-fareast-font-family:Calibri; mso-fareast-theme-font:minor-latin;mso-ansi-language:EN-US;mso-fareast-language: EN-US;mso-bidi-language:AR-SA><i>A green placard was issued.</i> </span></div>","VIOLMINOR","Only Minor Violation(s) Found","2022-04-14T00:00:00.000","Yes","Hot water at all sinks recorded around 100°F at time of inspection.  /  Facility must immediately repair hot water heater to dispense at least 100-108°F hot water at hand washing sinks and at least 120°F hot water at all other sinks.  Facility must close if hot water is not available.",,"CHSC 114195","4936","670 BRIDGEWAY BLVD
SAUSALITO, CA 94965","1","4936_53175_78371"
"SAUSALITO MARKET","L16247","2022-09-07T12:20:00.000","GREEN","46 CALEDONIA ST, SAUSALITO, CA 94965","54110","78372","SAUSALITO","94965","Routine","Food Semi-yearly Inspection","JULIAN TAM","<i><span style=font-size: 12pt; font-family: Calibri, sans-serif;>Minor violations were also found.  For more information, contact Marin County Environmental Health Services at (415) 473-6907 and ask to see the actual inspection report OR ask the food facility for the inspection report.</span></i><div><span style=font-size: 12pt; font-family: Calibri, sans-serif;><br></span></div><div><span style=font-size: 12pt; font-family: Calibri, sans-serif;><i>A green placard was issued.</i></span></div>","VIOLMINOR","Only Minor Violation(s) Found","2022-06-14T00:00:00.000","No","Salsa and hummus recorded at around 46°F in refrigeration case by vegetables.  /  Repair unit to cold hold at 41°F or below.",,"CHSC 113996","4614","46 CALEDONIA ST
SAUSALITO, CA 94965
(37.85857, -122.485205)","1","4614_54110_78372"
