"license_number","inspection_date","inspection_type","inspection_result","corrected_on_site","violations","number_pharmaceutical_violations","license_status","earliest_license_dt","city","zipcode","address","latitude","longitude","location","inspection_id","unique_id"
"L13129","2022-08-31T09:00:00.000","Routine","VIOLFOUND","No","CHSC 117935 Management Plan- Small Qty",,"Active","2012-11-18T00:00:00.000","NOVATO","94949","1800 IGNACIO BLVD, NOVATO, CA 94949","38.0776390","-122.5838180","POINT (-122.583818 38.077639)","37813","37813_08-31-2022"
"L13286","2022-08-31T08:15:00.000","Routine","VIOLFOUND","No","CHSC 117935 Management Plan- Small Qty",,"Active","2012-11-18T00:00:00.000","KENTFIELD","94904","835 COLLEGE AVE, KENTFIELD, CA 94904","37.9516402","-122.5491653","POINT (-122.5491653 37.9516402)","37108","37108_08-31-2022"
"L14219","2022-08-16T13:00:00.000","Routine","NOVIOL","No","",,"Active","2014-10-02T00:00:00.000","SAUSALITO","94965","38 CALEDONIA ST 1, SAUSALITO, CA 94965","37.8584810","-122.4848440","POINT (-122.484844 37.858481)","37483","37483_08-16-2022"
"L13030","2022-08-10T10:00:00.000","Routine","NOVIOL","No","",,"Active","2012-11-18T00:00:00.000","SAN ANSELMO","94960","124 PINE ST, SAN ANSELMO, CA 94960","37.9738000","-122.5631239","POINT (-122.5631239 37.9738)","37473","37473_08-10-2022"
"L13188","2022-08-09T12:00:00.000","Follow-up","NOVIOL","No","",,"Active","2012-11-18T00:00:00.000","SAN RAFAEL","94903","4050 REDWOOD HWY A, SAN RAFAEL, CA 94903","38.0079167","-122.5407397","POINT (-122.5407397 38.0079167)","54879","54879_08-09-2022"
"L13306","2022-08-03T13:00:00.000","Routine","NOVIOL","No","",,"Active","2012-11-18T00:00:00.000","SAN RAFAEL","94903","920 NORTHGATE DR 10, SAN RAFAEL, CA 94903","38.0071160","-122.5451847","POINT (-122.5451847 38.007116)","41076","41076_08-03-2022"
"L16616","2022-08-02T09:00:00.000","Routine","NOVIOL","No","",,"Active","2022-08-02T00:00:00.000","San Anselmo","94960","915 Sir Francis Drake BLVD 1B, San Anselmo, CA 94960","37.9804404","-122.5663723","POINT (-122.5663723 37.9804404)","55164","55164_08-02-2022"
"L13302","2022-07-28T09:15:00.000","Routine","NOVIOL","No","",,"Active","2012-11-18T00:00:00.000","SAN ANSELMO","94960","915 SIR FRANCIS DRAKE BLVD 2, SAN ANSELMO, CA 94960","37.9804430","-122.5664270","POINT (-122.566427 37.980443)","37405","37405_07-28-2022"
"L13205","2022-07-26T12:45:00.000","Routine","VIOLMINOR","No","CHSC 118310 Storage Area Security",,"Active","2012-11-18T00:00:00.000","SAN RAFAEL","94903","1 THORNDALE DR 210, SAN RAFAEL, CA 94903","38.0050466","-122.5474384","POINT (-122.5474384 38.0050466)","37009","37009_07-26-2022"
"L13282","2022-07-25T08:15:00.000","Routine","VIOLFOUND","Yes","CHSC 117935 Management Plan- Small Qty;
CHSC 118275.g Pharmaceutical Waste Disposal","1","Active","2012-11-18T00:00:00.000","CORTE MADERA","94925","81 CASA BUENA DR 1, CORTE MADERA, CA 94925","37.9246756","-122.5175344","POINT (-122.5175344 37.9246756)","37487","37487_07-25-2022"
"L15010","2022-07-12T12:45:00.000","Routine","VIOLMINOR","No","CHSC 117945 Record Retention- Documentation & Transportation Small Qty",,"Active","2017-03-31T00:00:00.000","MILL VALLEY","94941","655 REDWOOD HWY 110, MILL VALLEY, CA 94941","37.8991957","-122.5150443","POINT (-122.5150443 37.8991957)","39075","39075_07-12-2022"
"L13188","2022-07-07T07:45:00.000","Routine","VIOLFOUND","No","CHSC 117945 Record Retention- Documentation & Transportation Small Qty;
CHSC 118275.g Pharmaceutical Waste Disposal;
CHSC 118310 Storage Area Security","1","Active","2012-11-18T00:00:00.000","SAN RAFAEL","94903","4050 REDWOOD HWY A, SAN RAFAEL, CA 94903","38.0079167","-122.5407397","POINT (-122.5407397 38.0079167)","54164","54164_07-07-2022"
"L14703","2022-06-09T13:30:00.000","Routine","NOVIOL","No","",,"Active","2016-03-08T00:00:00.000","SAN RAFAEL","94901","791 LINCOLN AVE, SAN RAFAEL, CA 94901","37.9702188","-122.5248104","POINT (-122.5248104 37.9702188)","53809","53809_06-09-2022"
"L14609","2022-06-09T12:15:00.000","Routine","NOVIOL","No","",,"Active","2015-11-25T00:00:00.000","NOVATO","94949","95 DIGITAL DR, NOVATO, CA 94949","38.0721435","-122.5294071","POINT (-122.5294071 38.0721435)","51403","51403_06-09-2022"
"L14608","2022-06-09T11:00:00.000","Routine","NOVIOL","No","",,"Active","2015-11-25T00:00:00.000","NOVATO","94949","46 GALLI DR, NOVATO, CA 94949","38.0723034","-122.5339152","POINT (-122.5339152 38.0723034)","51402","51402_06-09-2022"
