"project_name","preserve","vicinity","latitude","longitude","approx_size_in_acres","species_common_name","objectives","status","year","season","ipm_method_type","methods","crew","notes","upload_date","geo_location"
"Horse Hill Fuels Management","Horse Hill","Preserve-wide","37.909654","-122.518352","54.176896","Mixed vegetation","Fire fuel reduction","Completed","2018","Spring, Summer, Fall, Winter","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.518352 37.909654)"
"Maintenance: Santa Margarita Island Mow","Santa Margarita Island","TRAIL","38.009273","-122.524945","1.42","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.524945 38.009273)"
"Maintenance: Indian Tree Mow","Indian Tree","Upper Meadow Trail","38.103295","-122.638565","2.06","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.638565 38.103295)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Knocknaboul Way to Las Raposas Road","38.016444","-122.557301","2.3","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.557301 38.016444)"
"Ryder Ridge Access and Fuelbreak","Blithedale Summit","Blithedale Ridge Fire Road from south end to Corte Madera Ridge Fire Road intersection","37.91938","-122.547433","16","Mixed vegetation","Fire fuel reduction","Completed","2018","Summer","Non-chemical","Weed whip","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.547433 37.91938)"
"Maintenance: Baltimore Canyon Prune","Baltimore Canyon","Evergreen Fire Road","37.940402","-122.56485","0.87","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.56485 37.940402)"
"Maintenance: Mt Burdell Mow","Mt Burdell","San Andreas Drive Entry","38.130465","-122.604724","0.17","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.604724 38.130465)"
"Ring Mountain Pampas Grass Control","Ring Mountain","Reed Ranch Fire Road, Shepherd Way Fire Road, Taylor Road","37.90673","-122.48972","3.6","Pampas/jubata grass","Invasive species control","Completed","2020","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.48972 37.90673)"
"Redwood Road","Bald Hill","Redwood Road","37.97353301","-122.5784047","0.3","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2019","Fall","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5784047 37.97353301)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Hacienda Way","38.017685","-122.513605","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.513605 38.017685)"
"Maintenance: Stafford Lake Mow","Stafford Lake","terwilliger trail, tread edges no more than 24 inches out from tread.","38.107738","-122.655834","0.58","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"As Needed","2022-01-04T00:00:00.000","POINT (-122.655834 38.107738)"
"Maintenance: Homestead Valley Mow","Homestead Valley",,"37.901318","-122.555869","0.12","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.555869 37.901318)"
