"departmentname","contactdisplayname","departmentheadname","deptaddress","streetaddress","city","state","zip","imageurl","hour","mainphonenumber","mainfaxnumber","generalemail","emailaddress","phone","fax","tty","roomnumber","location","departmentcode","notes","image","latitude","longitude","floor","mapalt","logoalt","mapheader","mapdescription","direction","iconname","imagename","locationwing","orgtype","recid"
"Agriculture, Weights and Measures - Marin County","Agriculture, Weights & Measures","Stacy K. Carlsen","1682 Novato Blvd. Suite 150-A,    Novato, CA 94947","1682 Novato Blvd.  Suite 150-A","Novato","CA","94947","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/countyofMarin.jpg)","","(415) 473-6700","","","Marin.Dept.Ag@marincounty.org","(415) 473-6700","415-473-7543","","","(38.106392, -122.580237)","AG",,,"38.106392","-122.580237",,,,,,,,"countyofMarin.jpg",,"Office","2"
"Assessor - Recorder - County Clerk","ARCC General Information (Assessor - Recorder)","Richard N. Benson","3501 Civic Center Drive, San Rafael, CA 94903 ","3501 Civic Center Drive, Suite 208","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_208.jpg)","","(415) 473-7215","(415) 473-6542","assessor@marincounty.org","assessor@marincounty.org","415-473-7215","415-473-6542","","208","(37.996904, -122.530406)","AR","The ARCC-General Information is on the west side of the Civic Center on the 2nd floor of the Administration Building. It is next door to the Tax Collector's Office and across the hall from Stair A.",,"37.996904","-122.530406","2","Assessor's Office","ARCC Logo","ARCC General Information","Suite 208<br>2nd Floor, Administration Building","Located on west side 2nd floor, near Stair A.","arcc_logo.png","cc_208.jpg","2nd Floor, Administration Building","Office","7"
"Assessor - Recorder - County Clerk","Assessor","Richard N. Benson","3501 Civic Center Drive, San Rafael, CA 94903 ","3501 Civic Center Drive, Room 208","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_208.jpg)","","(415) 473-7215","(415) 473-6542","assessor@marincounty.org","assessor@marincounty.org","415-473-7215","415-473-6542","","208","(37.996904, -122.530406)","AR","The Assessor Office is on the west side of the Civic Center on the 2nd floor of the Administration Building. It is next door to the Tax Collector's Office and across the hall from Stair A.",,"37.996904","-122.530406","2","Map to Assessor's Office","ARCC Logo","Assessor's Office","Suite 208<br>2nd Floor, Administration Building","Located on west side 2nd floor, near Stair A.","arcc_logo.png","cc_208.jpg","2nd Floor, Administration Building","Office","3"
"Assessor - Recorder - County Clerk","County Clerk (Assessor - Recorder)","Richard N. Benson","3501 Civic Center Drive, San Rafael, CA 94903 ","3501 Civic Center Drive, Suite 234","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_234.jpg)","","(415) 473-7215","(415) 473-6542","assessor@marincounty.org","countyclerk@marincounty.org","415-473-6152","","","234","(37.997962, -122.530578)","AR","The ARCC-County Clerk is located on the west side of the Civic Center on the 2nd floor of the Hall of Justice. It is across the hall and south of Elevators 5 and 6 and directly across the hall from the Civic Center Café.",,"37.997962","-122.530578","2","County Clerk Map","ARCC Logo","County Clerk","Suite 234<br>2nd Floor, Hall of Justice","Located on west side 2nd floor, near Elevators 5 and 6.","arcc_logo.png","cc_234.jpg","2nd Floor, Hall of Justice","Office","6"
"Assessor - Recorder - County Clerk","Recorder","Richard N. Benson","3501 Civic Center Drive, San Rafael, CA 94903 ","3501 Civic Center Drive, Suite 232","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_232.jpg)","","(415) 473-7215","(415) 473-6542","assessor@marincounty.org","recorder@marincounty.org","415-473-6092","415-473-7893","","232","(37.997801, -122.530015)","AR","The ARCC-Recorder Office is located on the west side of the Civic Center on the 2nd floor of the Hall of Justice and is slightly north of Stair C and across the hall from the Civic Center Café.",,"37.997801","-122.530015","2","Recorder's Office Map","ARCC Logo","Recorder's Office","Suite 232<br>2nd Floor, Hall of Justice","Located on west side 2nd floor, near Stair C.","arcc_logo.png","cc_232.jpg","2nd Floor, Hall of Justice","Office","5"
"Assessor - Recorder - County Clerk","Veterans (Assessor - Recorder)","Richard N. Benson","3501 Civic Center Drive, San Rafael, CA 94903 ","3501 Civic Center Drive, Room 208","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_208.jpg)","","(415) 473-7215","(415) 473-6542","assessor@marincounty.org","veterans@marincounty.org","415-473-6193","","","208","(37.996904, -122.530406)","AR","The ARCC-Veterans Office is on the west side of the Civic Center on the 2nd floor of the Administration Building. It is next door to the Tax Collector's Office and across the hall from Stair A.",,"37.996904","-122.530406","2","Assessor's Office","ARCC Logo","Veterans","Suite 208<br>2nd Floor, Administration Building","Located on west side 2nd floor, near Stair A.","arcc_logo.png","cc_208.jpg","2nd Floor, Administration Building","Office","4"
"ATM","","","","3501 Civic Center Drive","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/countyofMarin.jpg)","6AM - 6PM, M - F","","","","","","","","","(37.998089, -122.53079)","","Marin County Federal Credit Union has one ATM located on the 2nd floor of the Hall of Justice. It is on the east side in an alcove between Elevators 5 and 6 and the Civic Center Café.",,"37.998089","-122.530790","2","Map to ATM","ATM logo","ATM","2nd Floor, Hall of Justice","Located on the 2nd floor next to Civic Center Café, near Elevator 3, near Stair B.","atm_logo.png","countyofMarin.jpg","2nd Floor, Hall of Justice","ATM","122"
"Bailiff Station","","","","3501 Civic Center Drive","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_c24.jpg)","8AM – 4PM, M - F","","","","","","","","C-24","(37.998366, -122.53112)","","The Bailiff Station is located near the northern end of the Civic Center on the Court floor of the Hall of Justice.",,"37.998366","-122.531120","C","Bailiff Station Map","Marin County Sheriff logo","Bailiff Station","Court Floor, Hall of Justice","Located near the northern end on the Court floor. Use Elevators 5 and 6.","sheriff_logo.png","cc_c24.jpg","Court Floor, Hall of Justice","Office","123"
"Board of Supervisors","Board of Supervisors","","3501 Civic Center Drive Suite #329,    San Rafael, CA 94903","3501 Civic Center Drive, Suite 329","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_329.jpg)","","(415) 473-7331","(415) 473-3645","bos@co.marin.ca.us","bos@marincounty.org","(415) 473-7331","(415) 473-3645","(415) 473-6172","329","(37.997476, -122.53043)","BS","The Board Chambers are located on the 3rd floor at the northern end of the Administration Building, just north of Stair B.",,"37.997476","-122.530430","3","Board Chambers Map","County of Marin logo","Board Chambers","Suite 330<br>2nd Floor, Administration Building","Located at the northern end of 3rd floor, near Stair B.","cc_logo.png","cc_329.jpg","3rd Floor, Administration Building","Office","8"
"Case Filings","","","","3501 Civic Center Drive","San Rafael","CA","94903","View Image (http://apps.marincounty.org/OfficeLocator/officeimages/cc_113.jpg)","8AM - 4PM, M - F","","","","","","","","113","(37.997777, -122.530627)","","The Case Filings office is located on the east side of the Hall of Justice on the 1st floor and is just south of Elevators 5 and 6 and across the hall from Stair C.",,"37.997777","-122.530627","1","Case Filings Map","Superior Court logo","Case Filings","Suite 113<br>1st Floor, Hall of Justice","Located on the east side 1st floor, near Elevators 5 and 6, near Stair C.","courts_logo.png","cc_113.jpg","1st Floor, Hall of Justice","Office","124"
