"fiscal_year","type","revenue_type","sub_type","function","amount","adjusted_for_thousands"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","15237","15237000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","97720","97720000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","784506","784506000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","1137741","1137741000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Health","231071","231071000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","384108","384108000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","54893","54893000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","547232","547232000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","342184","342184000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Education","27495","27495000"
"2020-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","182218","182218000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Legislative","0","0"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","44687","44687000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","116721","116721000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","63868","63868000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","13509","13509000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","49229","49229000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","18668","18668000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","22999","22999000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","2212","2212000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","14237","14237000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","554990","554990000"
"2020-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","175968","175968000"
"2020-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","989206","989206000"
"2020-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1164165","1164165000"
"2020-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","88852","88852000"
"2020-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","19361","19361000"
"2020-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","30032","30032000"
"2020-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","62492","62492000"
"2020-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","-373209","-373209000"
"2020-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-7869141","-7869141000"
"2020-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-8242350","-8242350000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","13042","13042000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","82244","82244000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","559641","559641000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","907323","907323000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Health","238073","238073000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","386903","386903000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","52926","52926000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","575877","575877000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","268729","268729000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Education","14576","14576000"
"2019-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","195296","195296000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Legislative","1","1000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","73056","73056000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","132865","132865000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","77876","77876000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","15485","15485000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","70545","70545000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","26419","26419000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","18005","18005000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","3466","3466000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","15215","15215000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","499009","499009000"
"2019-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","76635","76635000"
"2019-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","970442","970442000"
"2019-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1242220","1242220000"
"2019-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","94473","94473000"
"2019-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","16876","16876000"
"2019-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","43806","43806000"
"2019-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","65028","65028000"
"2019-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","146792","146792000"
"2019-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-8015933","-8015933000"
"2019-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-7869141","-7869141000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","12386","12386000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","83928","83928000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","687063","687063000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","849495","849495000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Health","235752","235752000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","373268","373268000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","51428","51428000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","554138","554138000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","272988","272988000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Education","29417","29417000"
"2018-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","195590","195590000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","80375","80375000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","50667","50667000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","118643","118643000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","15638","15638000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","65855","65855000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","26967","26967000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","19713","19713000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","3467","3467000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","16251","16251000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","470257","470257000"
"2018-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","102546","102546000"
"2018-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","951323","951323000"
"2018-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1194466","1194466000"
"2018-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","94619","94619000"
"2018-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","17812","17812000"
"2018-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","36229","36229000"
"2018-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","65516","65516000"
"2018-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","-46916","-46916000"
"2018-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-8000817","-8000817000"
"2018-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-8047733","-8047733000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","11509","11509000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","82389","82389000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","1440490","1440490000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","902481","902481000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Health","230060","230060000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","334088","334088000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","55899","55899000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","562660","562660000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","267307","267307000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Education","27081","27081000"
"2017-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","187302","187302000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","68146","68146000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","76735","76735000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","115015","115015000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","11645","11645000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","56310","56310000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","26038","26038000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","18394","18394000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","6090","6090000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","13409","13409000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","455999","455999000"
"2017-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","214058","214058000"
"2017-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","933203","933203000"
"2017-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1151393","1151393000"
"2017-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","83760","83760000"
"2017-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","16449","16449000"
"2017-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","29248","29248000"
"2017-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","62328","62328000"
"2017-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","-763046","-763046000"
"2017-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-7237771","-7237771000"
"2017-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-8000817","-8000817000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","11071","11071000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","75957","75957000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","640338","640338000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","851983","851983000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Health","232742","232742000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Public Works","338243","338243000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Recreation and Parks","53339","53339000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Social Services","550994","550994000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Corrections","250128","250128000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Education","24650","24650000"
"2016-12-31T00:00:00.000","Expenses","N/A","N/A","Debt Service Interest","187527","187527000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Judicial","72814","72814000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","General Government","77911","77911000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Protection of Persons","76316","76316000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Health","12423","12423000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Public Works","72722","72722000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Recreation and Parks","25457","25457000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Social Services","20807","20807000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Corrections","3852","3852000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Charges for services","Education","12757","12757000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Operating Grants","N/A","554439","554439000"
"2016-12-31T00:00:00.000","Revenues","Program Revenues","Capital Grants","N/A","125408","125408000"
"2016-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Property Taxes","925790","925790000"
"2016-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Sales Taxes","1124085","1124085000"
"2016-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","80809","80809000"
"2016-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Tobacco Settlement Revenue and Tobacco Receipts","55551","55551000"
"2016-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Investment Income","34987","34987000"
"2016-12-31T00:00:00.000","Revenues","General Revenues","Taxes","Other Taxes","57575","57575000"
"2016-12-31T00:00:00.000","Change in Net Position","N/A","N/A","N/A","116731","116731000"
"2016-12-31T00:00:00.000","Beginning Net Position","N/A","N/A","N/A","-7354502","-7354502000"
"2016-12-31T00:00:00.000","Ending Net Position","N/A","N/A","N/A","-7237771","-7237771000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Legislative","11094","11094000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Judicial","69964","69964000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","General Government","734832","734832000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Protection of Persons","779467","779467000"
"2015-12-31T00:00:00.000","Expenses","N/A","N/A","Health","221582","221582000"
