"fiscal_year","report","amount"
"2019-12-31T00:00:00.000","State Comptroller's Fiscal Stress Score","54.6"
"2018-12-31T00:00:00.000","State Comptroller's Fiscal Stress Score","72.1"
"2017-12-31T00:00:00.000","State Comptroller's Fiscal Stress Score","68.8"
"2016-12-31T00:00:00.000","State Comptroller's Fiscal Stress Score","56.3"
"2015-12-31T00:00:00.000","State Comptroller's Fiscal Stress Score","62.5"
"2014-12-31T00:00:00.000","State Comptroller's Fiscal Stress Score","72.5"
"2020-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","45.0"
"2019-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","54.6"
"2018-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","72.1"
"2017-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","68.8"
"2016-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","56.3"
"2015-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","62.5"
"2014-12-31T12:00:00.000","State Comptroller's Fiscal Stress Score","72.5"
