"fiscal_year","fund_type","reservation_type","spendable_type","unreserved_type","amount","adjusted_for_thousands"
"2008-12-31T00:00:00.000","General Fund","Reserved for Encumbrances","N/A","N/A","72597","72597000"
"2008-12-31T00:00:00.000","General Fund","Unreserved, Designated for Ensuring Year's Budget","N/A","N/A","10000","10000000"
"2008-12-31T00:00:00.000","General Fund","Unreserved","N/A","N/A","47928","47928000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Reserved for Retirement of Temporary Financing","N/A","N/A","4679","4679000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Reserved for Encumbrances","N/A","N/A","339524","339524000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Restricted - Senior Liquidity Reserve","N/A","N/A","24009","24009000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Unreserved, Designated for Ensuring Year's Budget","N/A","N/A","59496","59496000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Special Revenue Fund","65174","65174000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Capital Fund","-155310","-155310000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Special Revenue Funds","-31613","-31613000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Capital Projects Funds","-23728","-23728000"
"2008-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Debt Service Funds","21477","21477000"
"2009-12-31T00:00:00.000","General Fund","Reserved for Encumbrances","N/A","N/A","68459","68459000"
"2009-12-31T00:00:00.000","General Fund","Unreserved","N/A","N/A","52784","52784000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Reserved for Retirement of Temporary Financing","N/A","N/A","8835","8835000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Reserved for Encumbrances","N/A","N/A","339976","339976000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Restricted - Senior Liquidity Reserve","N/A","N/A","24009","24009000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Unreserved, Designated for Ensuring Year's Budget","N/A","N/A","52785","52785000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Special Revenue Fund","71477","71477000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Capital Fund","-75019","-75019000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Special Revenue Funds","-11348","-11348000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Capital Projects Funds","-48728","-48728000"
"2009-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Debt Service Funds","18054","18054000"
"2010-12-31T00:00:00.000","General Fund","Reserved for Encumbrances","N/A","N/A","86227","86227000"
"2010-12-31T00:00:00.000","General Fund","Unreserved","N/A","N/A","93498","93498000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Reserved for Retirement of Temporary Financing","N/A","N/A","8588","8588000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Reserved for Encumbrances","N/A","N/A","342310","342310000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Restricted - Senior Liquidity Reserve","N/A","N/A","24009","24009000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Unreserved, Designated for Ensuring Year's Budget","N/A","N/A","35538","35538000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Special Revenue Fund","56481","56481000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Capital Fund","-11774","-11774000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Special Revenue Funds","-10353","-10353000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Capital Projects Funds","-32730","-32730000"
"2010-12-31T00:00:00.000","Other Governmental Funds","Unreserved","N/A","Nonmajor Debt Service Funds","16295","16295000"
"2011-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","33860","33860000"
"2011-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","19638","19638000"
"2011-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","-9182","-9182000"
"2011-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","11176","11176000"
"2011-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","70622","70622000"
"2011-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","151051","151051000"
"2011-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","88072","88072000"
"2011-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-13759","-13759000"
"2012-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","37275","37275000"
"2012-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","17849","17849000"
"2012-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","-9535","-9535000"
"2012-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","11304","11304000"
"2012-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","58509","58509000"
"2012-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","151162","151162000"
"2012-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","81930","81930000"
"2012-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-4420","-4420000"
"2013-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","41017","41017000"
"2013-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","16436","16436000"
"2013-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","560","560000"
"2013-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","37243","37243000"
"2013-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","12103","12103000"
"2013-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","141541","141541000"
"2013-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","296976","296976000"
"2013-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","69393","69393000"
"2013-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-13939","-13939000"
"2014-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","42222","42222000"
"2014-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","16354","16354000"
"2014-12-31T00:00:00.000","General Fund","Spendable","Committed","N/A","1871","1871000"
"2014-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","20422","20422000"
"2014-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","12124","12124000"
"2014-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","130999","130999000"
"2014-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","263786","263786000"
"2014-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","52682","52682000"
"2014-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-21184","-21184000"
"2015-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","44645","44645000"
"2015-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","37992","37992000"
"2015-12-31T00:00:00.000","General Fund","Spendable","Committed","N/A","76","76000"
"2015-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","8999","8999000"
"2015-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","43520","43520000"
"2015-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","12036","12036000"
"2015-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","94092","94092000"
"2015-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","143397","143397000"
"2015-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","46213","46213000"
"2015-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-19547","-19547000"
"2016-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","47577","47577000"
"2016-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","46567","46567000"
"2016-12-31T00:00:00.000","General Fund","Spendable","Committed","N/A","80","80000"
"2016-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","27724","27724000"
"2016-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","63654","63654000"
"2016-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","13077","13077000"
"2016-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","120689","120689000"
"2016-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","126996","126996000"
"2016-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","42183","42183000"
"2016-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-16842","-16842000"
"2017-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","54055","54055000"
"2017-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","58308","58308000"
"2017-12-31T00:00:00.000","General Fund","Spendable","Committed","N/A","13217","13217000"
"2017-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","679","679000"
"2017-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","-44432","-44432000"
"2017-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","13974","13974000"
"2017-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","107804","107804000"
"2017-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","152679","152679000"
"2017-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","24022","24022000"
"2017-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-24383","-24383000"
"2018-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","40543","40543000"
"2018-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","9526","9526000"
"2018-12-31T00:00:00.000","General Fund","Spendable","Committed","N/A","21473","21473000"
"2018-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","763","763000"
"2018-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","-4469","-4469000"
"2018-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","13611","13611000"
"2018-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","112641","112641000"
"2018-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","282173","282173000"
"2018-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","8647","8647000"
"2018-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-17481","-17481000"
"2019-12-31T00:00:00.000","General Fund","Nonspendable","N/A","N/A","40160","40160000"
"2019-12-31T00:00:00.000","General Fund","Spendable","Restricted","N/A","8064","8064000"
"2019-12-31T00:00:00.000","General Fund","Spendable","Committed","N/A","36920","36920000"
"2019-12-31T00:00:00.000","General Fund","Spendable","Assigned","N/A","71","71000"
"2019-12-31T00:00:00.000","General Fund","Spendable","Unassigned","N/A","112204","112204000"
"2019-12-31T00:00:00.000","Other Governmental Funds","Nonspendable","N/A","N/A","13301","13301000"
"2019-12-31T00:00:00.000","Other Governmental Funds","Spendable","Restricted","N/A","102850","102850000"
"2019-12-31T00:00:00.000","Other Governmental Funds","Spendable","Committed","N/A","302345","302345000"
"2019-12-31T00:00:00.000","Other Governmental Funds","Spendable","Assigned","N/A","2286","2286000"
"2019-12-31T00:00:00.000","Other Governmental Funds","Spendable","Unassigned","N/A","-28","-28000"
