"fiscal_year","industry","tax_base","rank","total_tax_base"
"2018-12-31T00:00:00.000","Retail Trade","16127788.00","1","0.58131"
"2018-12-31T00:00:00.000","Accommodation and Food Services","3186886.00","2","0.11487"
"2018-12-31T00:00:00.000","Wholesale Trade","1448335.00","3","0.0522"
"2018-12-31T00:00:00.000","Information","926297.00","4","0.04704"
"2018-12-31T00:00:00.000","Other Services","766163.00","5","0.03339"
"2018-12-31T00:00:00.000","Manufacturing","746193.00","6","0.02762"
"2018-12-31T00:00:00.000","Administrative Support and Waste Management and Remediation","593168.00","7","0.0269"
"2018-12-31T00:00:00.000","Utilities","574164.00","8","0.02138"
"2018-12-31T00:00:00.000","Real Estate and Rental and Leasing","513424.00","9","0.02069"
"2018-12-31T00:00:00.000","Professional, Scientific, and Technical","474209.00","10","0.01851"
"2018-12-31T00:00:00.000","Construction","387775.00","11","0.01709"
"2018-12-31T00:00:00.000","Public Administration","370832.00","12","0.01398"
"2018-12-31T00:00:00.000","Arts, Entertainment, and Recreation","121872.00","13","0.01337"
"2018-12-31T00:00:00.000","Finance and Insurance","76192.00","14","0.00439"
"2018-12-31T00:00:00.000","Transportation and Warehousing","45503.00","15","0.00275"
"2018-12-31T00:00:00.000","Health Care and Social Assistance","33796.00","16","0.00164"
"2018-12-31T00:00:00.000","Unclassified","19543.00","17","0.00122"
"2018-12-31T00:00:00.000","Management of Companies and Enterprises","12908.00","18","0.00070"
"2018-12-31T00:00:00.000","Educational Services","11882.00","19","0.00047"
"2018-12-31T00:00:00.000","Agriculture, Forestry, Fishing and Hunting","2331.00","20","0.00043"
"2018-12-31T00:00:00.000","Mining, Quarrying, and Oil and Gas Extraction","3880.44","21","0.000080"
"2009-12-31T00:00:00.000","Retail Trade","12834937.00","1","0.5669"
"2009-12-31T00:00:00.000","Accommodation and Food Services","2067538.00","2","0.09132"
"2009-12-31T00:00:00.000","Utilities","1745043.00","3","0.07708"
"2009-12-31T00:00:00.000","Information","1357653.00","4","0.05997"
"2009-12-31T00:00:00.000","Wholesale Trade","1278718.00","5","0.05648"
"2009-12-31T00:00:00.000","Ag., Mining, Trans., FIRE, Educ., Govt.","670732.00","6","0.02963"
"2009-12-31T00:00:00.000","Administrative/Support Services","640705.00","7","0.0283"
"2009-12-31T00:00:00.000","Other Services","599287.00","8","0.02647"
"2009-12-31T00:00:00.000","Manufacturing","346556.00","9","0.01531"
"2009-12-31T00:00:00.000","Arts, Entertainment, and Recreation","346442.00","10","0.0153"
"2009-12-31T00:00:00.000","Construction","330084.00","11","0.01458"
"2009-12-31T00:00:00.000","Professional,Scientific, and Technical","256049.00","12","0.01131"
"2009-12-31T00:00:00.000","Unclassified by Industry","124687.00","13","0.00551"
"2009-12-31T00:00:00.000","Health Care","42063.00","14","0.00186"
