"organization_name","type","website","headquarters_country","regional_focus_primary","regional_focus_secondary","impact_orientation_tiered","year_began_investing_in","notes_on_investment_thesis","fund_size_us_mm_unless_other","sector_focus","stage_of_investments","average_investment_size","type_of_investment","number_of_health_investments","sample_investments"
"500 Startups","Angel network","http://500.co",,"Global",,"No",,,,"Health as a vertical","Seed","$250 - $500K",,,
"Aavishkaar Venture Management Services Private Limited - Aavishkaar India Micro Venture Capital Fund","Fund","http://www.aavishkaar.in/funds/aavishkaar-india-ii-company-limited-aavishkaar-ii/","India","India",,,,"Agriculture, Dairy, Healthcare, Water and Sanitation, Technology for Development, Education and Renewable Energy; Aavishkaar II invests in enterprises active in the social infrastructure sector in rural and underserved India on a commercially sustainable basis","70","Health as a vertical","Early","$250 - $500K","Equity",,
"Abraaj Capital (Riyada Enterprise Development)","Fund","http://www.abraaj.com/node",,,,,,,,"Health as a vertical",,,,,
"Actis","Fund","http://www.act.is","London","Frontier / Emerging",,,,"Actis Capital LLP is a private equity firm focused on investments in emerging markets in Africa, China, India, Latin America, and South East Asia. Actis has over 100 investment professionals located in nine countries around the emerging markets.","5000","Health as a vertical","Multiple",,"Equity",,
"Actis Capital","Fund","www.act.is/","United Kingdom","Frontier / Emerging",,,,,"5000","Health as a vertical",,,"Equity",,
"Acumen Fund",,,"United States",,,"Yes, explicit",,,"60","Health as a vertical","Multiple","$500K - $1M","Multiple",,
"African Development Bank","DFI","http://www.afdb.org/en/","Uganda","Pan-Africa",,"No",,,,"Health as a vertical","Multiple","Varies widely","Multiple",,
"Aga Khan Foundation","Foundation","http://www.akdn.org/",,"Pan-Africa","Global",,,"The Aga Khan Development Network (AKDN) is a group of development agencies with mandates that include the environment, health, education, architecture, culture, microfinance, rural development, disaster reduction, the promotion of private-sector enterprise and the revitalisation of historic cities. AKDN agencies conduct their programmes without regard to faith, origin or gender.",,"Health as a vertical",,,"Grant",,
"Alphamundi","Fund","http://www.alphamundi.ch/index.php/en/","Switzerland","East Africa","Global","Yes, explicit",,"AlphaMundi Group Ltd is a commercial entity based in Switzerland and exclusively dedicated to Impact Investing: profitable investments that generate substantial net benefits to society.  AlphaMundi provides debt and equity financing to profitable and scalable ventures in strategic sustainable human development sectors such as microfinance, affordable education, fair trade agriculture and renewable energy.  AlphaMundi also contributes to the emergence of Impact Investing through education events, publications, and industry associations.",,"General","Growth",,"Multiple",,"http://www.alphamundi.ch/index.php/en/investments"
"America Gives Back","Foundation","www.americagivesback.org","Switzerland","Global","SS Africa",,,,"19","Health as a vertical",,,,,
"American Fund for Charities","Foundation","http://www.americanfund.info/index.html","Switzerland","SS Africa",,,,,,,,,"Grant",,
"American India Foundation","Foundation","www.aif.org","India",,,,,"Education, livelihood and public health",,"Health as a vertical",,,"Grant",,
"Ankur Capital","Fund","http://www.ankurcapital.com/",,"India",,"No",,"Ankur Capital is an India focused micro-fund that incubates and invests in start-up businesses that impact low-income communities. We focus on models that can provide radical improvements in livelihoods as well as ones that impact health and education in these communities. We partner with young companies providing intensive hands on support as well as seed capital. We look to build organizations that can grow and sustainably create impact.

We are a new fund with an innovative approach to very early stage investing. We aim to realize our investments in 7 years. The fund will seek to deliver debt like returns while creating impact in low income communities.","7","Health as a vertical","Early","Varies widely","Equity",,
"Australian Agency for International Development (AusAID)","Parastatal","http://www.ausaid.gov.au/Pages/home.aspx","Kenya","Global",,"No",,"Economic growth, education, environment, gender, governance, health, human rights, infrastructure, regional stability, rural development and water",,"Health as a vertical",,,"Grant",,
