"fiscal_year","country_region_or_secretariat","obligation_amount","tcb_category","funding_agency","funding_account","funding_account_code","implementing_agency","implementing_subagency","activity_title","activity_description","activity_id"
"1999","Albania","130400","Competition Policy, Business Environment, and Governance","U.S. Agency for International Development (USAID)","Account not specified (1999-2006)","72x9999","Department of Commerce (DOC)","Office of General Counsel","Untitled","No description available.","1010"
"1999","Albania","65200","Other Trade Capacity Building","U.S. Agency for International Development (USAID)","Account not specified (1999-2006)","72x9999","Department of Commerce (DOC)","Office of General Counsel","Untitled","No description available.","1010"
"1999","Albania","130400","WTO Accession and Compliance","U.S. Agency for International Development (USAID)","Account not specified (1999-2006)","72x9999","Department of Commerce (DOC)","Office of General Counsel","Untitled","No description available.","1010"
"1999","Angola","7696","WTO Accession and Compliance","U.S. Government (unspecified)","Account not specified (1999-2001)","99x9999","Department of Agriculture (USDA)","Foreign Agricultural Service (FAS)","Untitled","No description available.","1143"
"1999","Angola","26900","Trade-related Labor","U.S. Government (unspecified)","Account not specified (1999-2001)","99x9999","Department of Agriculture (USDA)","Foreign Agricultural Service (FAS)","Untitled","No description available.","1135"
"1999","Angola","320000","General trade facilitation (1999-2001)","U.S. Agency for International Development (USAID)","Account not specified (1999-2006)","72x9999","U.S. Government (unspecified)","Not specified (1999-2001)","Untitled","No description available.","1010"
"1999","Angola","80349","Trade-related Labor","U.S. Agency for International Development (USAID)","Account not specified (1999-2006)","72x9999","U.S. Agency for International Development (USAID)","Bureau for Democracy, Conflict, and Humanitarian Assistance (DCHA)","Untitled","No description available.","1047"
"1999","Angola","15000","General trade facilitation (1999-2001)","U.S. Government (unspecified)","Account not specified (1999-2001)","99x9999","Department of Agriculture (USDA)","Foreign Agricultural Service (FAS)","Untitled","No description available.","1136"
"1999","Angola","321000","Trade-related Agriculture","Overseas Private Investment Corporation (OPIC)","Overseas Private Investment Corporation, Program Account","71x0100","Overseas Private Investment Corporation (OPIC)",,"Untitled","No description available.","1176"
"1999","Angola","8700","Trade-related Agriculture","U.S. Government (unspecified)","Account not specified (1999-2001)","99x9999","Department of Agriculture (USDA)","Foreign Agricultural Service (FAS)","Untitled","No description available.","1245"
"1999","Angola","80000","Competition Policy, Business Environment, and Governance","U.S. Agency for International Development (USAID)","Account not specified (1999-2006)","72x9999","U.S. Government (unspecified)","Not specified (1999-2001)","Untitled","No description available.","1010"
"1999","Angola","6300","Trade-related Agriculture","U.S. Government (unspecified)","Account not specified (1999-2001)","99x9999","Department of Agriculture (USDA)","Foreign Agricultural Service (FAS)","Untitled","No description available.","1118"
"1999","Angola","20700","Trade-related Agriculture","U.S. Government (unspecified)","Account not specified (1999-2001)","99x9999","Department of Agriculture (USDA)","Foreign Agricultural Service (FAS)","Untitled","No description available.","1145"
"1999","Azerbaijan","1885000","General trade facilitation (1999-2001)","U.S. Agency for International Development (USAID)","Assistance for Europe, Eurasia and Central Asia (AEECA)","72x0306","U.S. Agency for International Development (USAID)","Caucasus","Untitled","No description available.","1213"
