"sbjnum","gender","genderweight","manderaweight","age","highest_ed","marital_status","county","q1_month","q1_year","q2","q3","q4","q5","q6_1","q6_2","q6_3","q6_4","q7_1","q7_2","q7_3","q7_4","q7_5","q7_6","q8_1","q8_2","q8_3","q8_4","q8_5","q8b","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q10_1","q10_2","q10_3","q10_4","q10_5","q11_1","q11_2","q11_3","q11_4","q11_5","q12_1","q12_2","q12_3","q12_4","q13","q14","q15_o1","q15_o2","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","baseline"
"27759081","1","0.785507077","0","23","high school","Single","1","5","2014","2","-1","2","1","4","5","1","4","4","5","5","5","4","2","2","4","2","1","1","NA","3","3","4","4","4","4","3","2","4","4","1","2","4","4","4","4","4","2","3","4","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27913483","1","0.785507077","0","25","high school","Single","1","3","2013","1","3","2","2","4","4","4","5","4","4","4","4","4","4","4","3","4","1","1","NA","4","4","4","4","4","4","2","1","4","1","1","3","5","4","5","4","4","5","5","5","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27839753","1","0.785507077","0","28","NA","Married","1","3","2014","2","-1","3","1","4","4","4","4","4","4","4","4","5","4","3","2","2","1","1","NA","5","4","4","4","4","4","3","1","4","4","1","1","2","1","1","1","5","3","5","4","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27880277","1","0.785507077","0","21","certificate/diploma holder","Single","1","7","2015","2","-1","2","1","4","4","4","5","4","4","4","4","4","5","2","3","3","2","1","NA","4","4","4","4","4","4","3","3","4","4","1","4","4","4","4","4","5","4","5","5","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27758795","1","0.785507077","0","18","high school","Single","1","1","2012","2","-1","2","2","4","4","4","5","3","4","4","3","4","1","4","2","3","3","1","NA","4","4","5","5","5","3","1","1","4","1","1","2","4","4","4","5","4","4","4","5","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27880279","1","0.785507077","0","23","high school","Single","1","8","2015","2","-1","3","2","4","5","4","4","2","4","4","4","4","1","2","1","1","1","1","NA","3","2","3","4","2","3","2","1","2","4","4","2","4","4","5","4","4","3","5","2","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27839754","1","0.785507077","0","22","high school","Single","1","1","2014","2","-1","3","2","4","4","4","4","4","3","4","3","4","5","2","3","3","2","1","NA","4","4","4","4","4","4","3","1","4","3","3","5","5","4","4","4","5","5","5","4","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27758792","1","0.785507077","0","20","high school","Single","1","2","2015","2","-1","3","1","4","4","5","4","4","3","4","5","4","4","4","2","4","1","1","NA","1","2","3","4","3","3","1","1","3","4","1","3","2","4","2","4","2","2","4","3","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
"27758794","1","0.785507077","0","26","Other","Married","1","1","2012","1","1","3","2","4","4","4","4","4","3","4","4","4","1","1","1","3","2","1","NA","3","4","5","4","4","4","1","1","4","1","4","4","4","5","4","4","1","1","2","4","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","4","2"
"27758921","1","0.785507077","0","25","Other","Married","1","8","2014","2","-1","5","1","4","4","5","4","4","3","5","4","3","4","2","3","2","3","1","NA","3","2","4","3","5","4","3","1","3","4","2","4","4","4","2","4","4","2","4","2","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","2"
