"country","survey","stratum","urbrur","region","pbs_id","hh_wt","c01a","c01b","c02","c03","c04","c05","c06_unit","c06_time","c07","c08","c09","c10","c11","c12","age","sex","modgflg","modhflg","modiflg","notmember","today","cluster","agecat","educat","literate","attendschool","achieveprimary","idcode"
"Uganda","Interim ZOI Survey 2015","42","rural","western","1","3726.69628617","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","self","26","false","months","2.0","false","false","true","false","less than primary","can read and write","26","male","ineligible for module g","ineligible for module h","ineligible for module i","member of household","2015-03-18T00:00:00.000","29","aged 25 to 29","less than primary","true","false","false","1"
"Uganda","Interim ZOI Survey 2015","42","rural","western","1","3726.69628617","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","spouse/partner","22","true",,,"true","false","true","false","less than primary","can read and write","22","female","individual has module g record","individual has module h record","ineligible for module i","member of household","2015-03-18T00:00:00.000","29","aged 20 to 24","less than primary","true","false","false","2"
"Uganda","Interim ZOI Survey 2015","42","rural","western","1","3726.69628617","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","son/daughter","6","true",,,"false","false","true","true","less than primary","cannot read or write","6","female","ineligible for module g","ineligible for module h","ineligible for module i","member of household","2015-03-18T00:00:00.000","29","aged 5 to 9","less than primary","false","true","false","3"
"Uganda","Interim ZOI Survey 2015","42","rural","western","1","3726.69628617","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","son/daughter","4","true",,,"false","true","true","true","less than primary","cannot read or write","4","female","ineligible for module g","ineligible for module h","individual has module i record","member of household","2015-03-18T00:00:00.000","29","aged 0 to 4","less than primary","false","true","false","4"
"Uganda","Interim ZOI Survey 2015","42","rural","western","1","3726.69628617","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","son/daughter","2","true",,,"false","true",,,,,"2","male","ineligible for module g","ineligible for module h","individual has module i record","member of household","2015-03-18T00:00:00.000","29","aged 0 to 4",,,,,"5"
"Uganda","Interim ZOI Survey 2015","12","rural","central","2","6487.8500388903","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","self","35","true",,,"false","false","false",,,"cannot read or write","35","male","ineligible for module g","ineligible for module h","ineligible for module i","member of household","2015-03-09T00:00:00.000","28","aged 35 to 39","no education","false","false","false","1"
"Uganda","Interim ZOI Survey 2015","12","rural","central","2","6487.8500388903","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","spouse/partner","26","true",,,"true","false","true","false","less than primary","can read and write","26","female","individual has module g record","individual has module h record","ineligible for module i","member of household","2015-03-09T00:00:00.000","28","aged 25 to 29","less than primary","true","false","false","2"
"Uganda","Interim ZOI Survey 2015","12","rural","central","2","6487.8500388903","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","son/daughter","9","true",,,"false","false","true","true","less than primary","cannot read or write","9","female","ineligible for module g","ineligible for module h","ineligible for module i","member of household","2015-03-09T00:00:00.000","28","aged 5 to 9","less than primary","false","true","false","3"
"Uganda","Interim ZOI Survey 2015","31","urban","northern","3","2042.6842105263001","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","self","48","true",,,"false","false","true","false","completed primary","can read and write","48","male","ineligible for module g","ineligible for module h","ineligible for module i","member of household","2015-03-08T00:00:00.000","27","aged 45 to 49","completed primary","true","false","true","1"
"Uganda","Interim ZOI Survey 2015","31","urban","northern","3","2042.6842105263001","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","spouse/partner","46","false","days","1.0","true","false","false",,,"can read and write","46","female","individual has module g record","individual has module h record","ineligible for module i","member of household","2015-03-08T00:00:00.000","27","aged 45 to 49","no education","true","false","false","2"
