"year","region","country","total_perf_measure_actual","total_staff_actual","percentage"
"FY 12","Africa","Angola","20","21","0.952"
"FY 12","Africa","Benin","7","15","0.467"
"FY 12","Africa","Democratic Republic of Congo","22","56","0.393"
"FY 12","Africa","East Africa Regional","52","109","0.477"
"FY 12","Africa","Ethiopia","53","106","0.50"
"FY 12","Africa","Ghana","26","34","0.765"
"FY 12","Africa","Guinea","15","52","0.288"
"FY 12","Africa","Kenya","70","93","0.753"
"FY 12","Africa","Liberia","29","43","0.674"
"FY 12","Africa","Madagascar","6","26","0.231"
"FY 12","Africa","Malawi","35","53","0.66"
"FY 12","Africa","Mali","16","50","0.32"
"FY 12","Africa","Mozambique","50","74","0.676"
"FY 12","Africa","Namibia","10","16","0.625"
"FY 12","Africa","Nigeria","55","66","0.833"
"FY 12","Africa","Rwanda","46","58","0.793"
"FY 12","Africa","Senegal","73","83","0.88"
"FY 12","Africa","South Africa","45","121","0.372"
"FY 12","Africa","South Sudan","19","97","0.196"
"FY 12","Africa","Sudan","18","29","0.621"
"FY 12","Africa","Tanzania","18","72","0.25"
"FY 12","Africa","Uganda","56","98","0.571"
"FY 12","Africa","West Africa Regional Program","26","52","0.50"
"FY 12","Africa","Zambia","40","54","0.741"
"FY 12","Africa","Zimbabwe","21","40","0.525"
"FY 12","Asia","Cambodia","27","56","0.482"
"FY 12","Asia","Indonesia","81","109","0.743"
"FY 12","Asia","Mongolia","4","6","0.667"
"FY 12","Asia","Philippines","60","86","0.698"
"FY 12","Asia","Timor-Leste","4","18","0.222"
"FY 12","Asia","Vietnam","19","38","0.50"
"FY 12","Asia","Regional Development Mission Asia","49","105","0.467"
"FY 12","Asia","Bangladesh","81","114","0.711"
"FY 12","Asia","India","56","68","0.824"
"FY 12","Asia","Nepal","61","64","0.953"
"FY 12","Asia","Sri Lanka","16","35","0.457"
"FY 12","Asia","Central Asia Regional","21","98","0.214"
"FY 12","Asia","Kyrgyzstan","6","17","0.353"
"FY 12","Europe and Eurasia","Albania","11","21","0.524"
"FY 12","Europe and Eurasia","Armenia","20","36","0.556"
"FY 12","Europe and Eurasia","Azerbaijan","8","16","0.50"
"FY 12","Europe and Eurasia","Belarus","6","8","0.75"
"FY 12","Europe and Eurasia","Bosnia","23","38","0.605"
"FY 12","Europe and Eurasia","Georgia","33","60","0.55"
"FY 12","Europe and Eurasia","Kosovo","23","44","0.523"
"FY 12","Europe and Eurasia","Macedonia","13","23","0.565"
"FY 12","Europe and Eurasia","Moldova","11","12","0.917"
"FY 12","Europe and Eurasia","Montenegro","2","2","1.00"
"FY 12","Europe and Eurasia","Russia","44","54","0.815"
"FY 12","Europe and Eurasia","Serbia","23","28","0.821"
"FY 12","Europe and Eurasia","Ukraine","60","73","0.822"
"FY 12","Latin America","Barbados","0","9","0.00"
"FY 12","Latin America","Bolivia","24","37","0.649"
"FY 12","Latin America","Brazil","14","13","1.077"
"FY 12","Latin America","Central America and Mexico","0","0",
"FY 12","Latin America","Colombia","41","58","0.707"
"FY 12","Latin America","Dominican Republic","36","46","0.783"
"FY 12","Latin America","Ecuador","17","23","0.739"
"FY 12","Latin America","El Salvador","39","86","0.453"
"FY 12","Latin America","Guatemala","40","61","0.656"
"FY 12","Latin America","Haiti","51","91","0.56"
"FY 12","Latin America","Honduras","32","32","1.00"
"FY 12","Latin America","Jamaica","20","21","0.952"
"FY 12","Latin America","Mexico","24","25","0.96"
"FY 12","Latin America","Nicaragua","19","40","0.475"
"FY 12","Latin America","Paraguay","13","15","0.867"
"FY 12","Latin America","Peru","61","91","0.67"
"FY 12","Latin America","South America Regional","0","0",
"FY 12","Middle East","Egypt","49","131","0.374"
"FY 12","Middle East","Iraq","30","63","0.476"
"FY 12","Middle East","Lebanon","14","15","0.933"
"FY 12","Middle East","Jordan","82","82","1.00"
"FY 12","Middle East","Morocco","4","38","0.105"
"FY 12","Middle East","West Bank/Gaza","36","81","0.444"
"FY 12","Middle East","Yemen","8","17","0.471"
"FY 12","Afghanistan and Pakistan","Afghanistan","172","489","0.352"
"FY 12","Afghanistan and Pakistan","Pakistan","135","148","0.912"
"FY 13","Afghanistan and Pakistan","Afghanistan","173","489","0.354"
"FY 13","Afghanistan and Pakistan","Pakistan","148","167","0.886"
"FY 13","Africa","Angola","18","18","1.00"
"FY 13","Africa","Benin","7","17","0.412"
"FY 13","Africa","Democratic Republic of Congo","38","64","0.594"
"FY 13","Africa","East Africa Regional","50","98","0.51"
"FY 13","Africa","Ethiopia","41","122","0.336"
"FY 13","Africa","Ghana","32","35","0.914"
"FY 13","Africa","Guinea","25","56","0.446"
"FY 13","Africa","Kenya","42","93","0.452"
"FY 13","Africa","Liberia","11","54","0.204"
"FY 13","Africa","Madagascar","8","27","0.296"
"FY 13","Africa","Malawi","45","55","0.818"
"FY 13","Africa","Mali","0","0",
"FY 13","Africa","Mozambique","70","92","0.761"
"FY 13","Africa","Namibia","13","18","0.722"
"FY 13","Africa","Nigeria","70","86","0.814"
"FY 13","Africa","Rwanda","39","58","0.672"
"FY 13","Africa","Senegal","84","105","0.80"
"FY 13","Africa","South Africa","60","99","0.606"
"FY 13","Africa","Southern Africa",,,
"FY 13","Africa","South Sudan","0","0",
"FY 13","Africa","Sudan","12","22","0.545"
"FY 13","Africa","Tanzania","36","74","0.486"
"FY 13","Africa","Uganda","80","101","0.792"
"FY 13","Africa","West Africa Regional Program","32","65","0.492"
"FY 13","Africa","Zambia","45","54","0.833"
"FY 13","Africa","Zimbabwe","26","40","0.65"
"FY 13","Asia","Bangladesh","111","141","0.787"
"FY 13","Asia","Burma","0","0",
"FY 13","Asia","Cambodia","26","41","0.634"
"FY 13","Asia","Central Asia Regional","66","96","0.688"
"FY 13","Asia","India","53","64","0.828"
"FY 13","Asia","Indonesia","0","0",
"FY 13","Asia","Kyrgyzstan","14","16","0.875"
"FY 13","Asia","Mongolia","5","5","1.00"
"FY 13","Asia","Nepal","50","65","0.769"
"FY 13","Asia","Philippines","65","87","0.747"
"FY 13","Asia","Regional Development Mission Asia","52","105","0.495"
"FY 13","Asia","Sri Lanka","6","31","0.194"
"FY 13","Asia","Timor-Leste","5","10","0.50"
"FY 13","Asia","Vietnam","21","43","0.488"
"FY 13","Europe and Eurasia","Albania","9","12","0.75"
"FY 13","Europe and Eurasia","Armenia","20","30","0.667"
"FY 13","Europe and Eurasia","Azerbaijan","13","18","0.722"
"FY 13","Europe and Eurasia","Belarus","6","6","1.00"
"FY 13","Europe and Eurasia","Bosnia","24","31","0.774"
"FY 13","Europe and Eurasia","Georgia","31","55","0.564"
"FY 13","Europe and Eurasia","Kosovo","23","45","0.511"
"FY 13","Europe and Eurasia","Macedonia","14","21","0.667"
"FY 13","Europe and Eurasia","Moldova","13","14","0.929"
"FY 13","Europe and Eurasia","Montenegro","0","0",
"FY 13","Europe and Eurasia","Russia","0","0",
"FY 13","Europe and Eurasia","Serbia","24","26","0.923"
"FY 13","Europe and Eurasia","Ukraine","33","81","0.407"
"FY 13","Latin America and Caribbean","Barbados","0","0",
"FY 13","Latin America and Caribbean","Bolivia","0","0",
"FY 13","Latin America and Caribbean","Brazil","7","7","1.00"
"FY 13","Latin America and Caribbean","Central America and Mexico","0","0",
"FY 13","Latin America and Caribbean","Colombia","45","54","0.833"
"FY 13","Latin America and Caribbean","Dominican Republic","23","33","0.697"
"FY 13","Latin America and Caribbean","Ecuador","19","25","0.76"
"FY 13","Latin America and Caribbean","El Salvador","40","86","0.465"
"FY 13","Latin America and Caribbean","Guatemala","42","75","0.56"
"FY 13","Latin America and Caribbean","Haiti","45","98","0.459"
"FY 13","Latin America and Caribbean","Honduras","33","33","1.00"
"FY 13","Latin America and Caribbean","Jamaica","15","17","0.882"
"FY 13","Latin America and Caribbean","Mexico","26","27","0.963"
"FY 13","Latin America and Caribbean","Nicaragua","32","40","0.80"
"FY 13","Latin America and Caribbean","Paraguay","12","12","1.00"
"FY 13","Latin America and Caribbean","Peru","61","79","0.772"
"FY 13","Latin America and Caribbean","South America Regional","0","0",
"FY 13","Middle East","Egypt","48","133","0.361"
"FY 13","Middle East","Iraq","28","33","0.848"
"FY 13","Middle East","Jordan","73","77","0.948"
"FY 13","Middle East","Lebanon","15","16","0.938"
"FY 13","Middle East","Morocco","19","23","0.826"
"FY 13","Middle East","West Bank and Gaza","50","78","0.641"
"FY 13","Middle East","Yemen","8","21","0.381"
"FY 14","Afghanistan and Pakistan","Afghanistan","0","0",
"FY 14","Afghanistan and Pakistan","Pakistan","155","172","0.901"
"FY 14","Africa","Angola","16","16","1.00"
"FY 14","Africa","Benin","7","17","0.412"
"FY 14","Africa","Democratic Republic of Congo","45","73","0.616"
"FY 14","Africa","East Africa Regional","25","86","0.291"
"FY 14","Africa","Ethiopia","66","131","0.504"
"FY 14","Africa","Ghana","43","46","0.935"
"FY 14","Africa","Guinea","17","17","1.00"
"FY 14","Africa","Kenya","42","93","0.452"
