"interview_eligibility","constituency","age","relationship_hh","beneficiary_gender","beneficiary_marital_status","beneficiary_household_status","household_head_employment","other_hh_employment_status","less_than_5_males","less_than_5_females","total_under_5","less_than_11_males","less_than_11_females","less_than_18_males","less_than_18_females","total_children","over_18_males","over_18_females","total_adults","total_family_size","chronically_ill_members","disabled_members","primary_income","other_source_income","household_monthly_income","household_main_expence","other_main_expence","household_source_food","last_yield","household_livestock_assets","under_5_meals","from_5_18_meals","from_18_over_meals","monthly_entittlement_value","entittlemnt_value","times_cash_received","last_time_cash_received","last_full_entittlement","reasons_not_receiving","other_reasons_for_not","understanding_cash_collection","completion_transaction","pin_enterer","cash_usage","used_cash_education","used_cash_repaid_food_loans","used_cash_health_expences","used_cash_shared_friends","used_cash_cash_lost","used_cash_household_items","used_cash_exchanged_health","used_cash_buliding","used_cash_cereals","used_cash_vegetable_oil","used_cash_pulses","used_cash_meat_proteins","used_cash_fruits_vegetables","used_cash_education_expences","used_cash_repaid_cash_food","used_cash_excanged_food_items","used_cash_health_services","used_cash_shared_relatives","used_cash_building","used_cash_not_spent_yet","used_cash_lost_cash","used_cash_saved_cash","used_cash_other_cash_usage","other_cash_usage_specify","cash_purchase_discouraged","other_cash_purchase","knowledge_free_withdrawal","knowledge_withdrawal_anywhere","average_amount_spent_transport","satisfaction_scale_mobile","explain_satisfaction","reasons_delay","other_reason_of_delay","impact_cash_acquire_more","impact_cash_more_food","impact_cash_more_meals","impact_cash_reduced_food","impact_cash_more_education","impact_cash_no_impact","impact_cash_other_impact","impact_cash_dont_know","impact_other_specify","decision_purchase_money","starch_7days","day_before_starch_consumption","main_source_starch_consumed","tubers_7days","day_before_tuber_consumption","main_source_tuber_consumed","pulses_7days","day_before_legume_consumption","main_source_legume_consumed","vegetables_7days","day_before_vegetables","main_source_vegetables","meat_7days","day_before_meat_consumption","main_source_meat_consumed","milk_7days","day_before_milk_consumption","main_source_milk_consumed","sugar_7days","day_before_sugar_consumption","main_source_sugar_consumed","oil_7days","day_before_oil_consumption","main_source_oil_consumed","fruits_7days","day_before_fruit_consumption","main_source_fruit_consumed","coping_limit_portion_size","coping_reduce_number_of_meals","coping_skip_day_without_eating","copingborrow_food","coping_rely_on_less_expensive","coping_purchase_food_on_credit","coping_gather_unusual_food","coping_havest_immature_crops","coping_send_hh_members_to","coping_send_hh_members_to_1","coping_restrict_consumption","coping_rely_on_casual_labour","household_hunger_scale_no","household_hunger_frequency","household_hunger_sleep_without","household_hunger_frequency_1","household_hunger_whole_day","household_hunger_frequency_2","attendance_registration","reasons_unattendance","other_reasons_unattendance","who_selected_beneficiary","other_selector","satisfaction_registration","reason_disatisfaction","second_reason_disastisfaction","third_reasons_disatisfaction","fourth_reason_disatisfaction","fifth_reason_disatisfaction","sixth_reason_disatisfaction","other_reason_disatisfaction","complaint_mechanism_awareness","type_complaint_known","other_mechanism","known_favours","favours_given_known","other_favours_known","observed_abuse","form_abuse_observed","project_aspect_violence","aspect_likely_domestic_abuse","satisfied_date_time","satisfied_amount_cash","satisfied_distance_withdrawal","satisfaction_network","satisfaction_customer_care","time_tacken_withdrawal_point","safety_withdrawal_point","safety_waiting_withdrawal","safety_from_withthdrawal","knowlegde_faw","knowledge_source_faw","training_attendance","faw_facilitator","name_ngo_facilitator","other_trainer","faw_material_received","planted_any_crop","harvest_what_planted","reason_know_not_harvesting","pecentage_crops_affected","reason_known_yield","period_yield","spending_health_care","reduce_expenditure_education","avoid_spending_agriculture","starch","tubers","pulses","vegetables","meat","milk","sugar","oil","fruits","hdds","hdds_cat","coping_limit_portion_size_1","coping_reduce_number_of_meals_1","coping_skip_day_without_eating_1","copingborrow_food_index","coping_rely_on_less_expensive_1","coping_purchase_food_on_credit_1","coping_gather_unusual_food_1","coping_havest_immature_crops_1","coping_send_hh_members_to_2","coping_send_hh_members_to_3","coping_restrict_consumption_1","coping_rely_on_casual_labour_1","limit","reduce","skip","borrow","less","immature","gather","restrict","elsewhere","beg","credit","labour","n1csi","n2csi","n3csi","n5csi","n4csi","n6csi","n7csi","n8csi","n9csi","n10csi","n11csi","n12csi","csi","fcs","fcg","starch_dummy","tubers_dummy","pulses_dummy","vegetables_dummy","meat_dummy","milk_dummy","sugar_dummy","oil_dummy","fruits_dummy","number_of_foodtypes","diet_diversity","livestock_categories","no_eat","sleep_hungry","nofood_day_night","hhs","hhs_cat"
"true","Sithobela","69","Household","Female","Widowed/Separated","Elderly HH","Not Employ",,"1","0","1","2","1","0","1","5","0","1","1","7","0","0","No Income",,"1-500","Food Purch",,"Market pur","0","4","3","2","2","true","570","four times","2-3 weeks","true",,,"false","false","money agen","Food only","false","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true",,"clothing",,"true","true","60","Extremely","Availability of money","false",,"true","true","false","true","false","false","2","false",,"Householdh","7","true","Market, sh","3","true","Market, sh","0","false","Not applic","1","false","Market, sh","1","false","Market, sh","0","false","Not applic","7","true","Market, sh","4","true","Market, sh","2","false","Market, sh","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Seldom (<1","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"true","Hotline",,"false",,,"false",,"false",,"true","true","false","true","true","2-3 hours","true","true","true","true","Community","true","Other (spe",,"World vision","true","true","true",,,"3-4 bags","3-4 months","true","false","false","1","1","0","1","1","0","1","1","1","7","High dieta","2.3","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","6.2","2.3","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","32.5","2","1","1","0","1","1","0","1","1","1","7","1","2","0","0","0","0","Little to"
"true","Lomahasha","67","Household","Female","Widowed/Separated","Elderly HH","Not Employ",,"1","1","2","0","1","0","0","3","1","2","3","8","0","0","Elderly gr",,"501-1000","Food Purch",,"Market pur","0","8","5","3","3","true","730","four times","1-2 weeks","false","informed t",,"false","false","family mem","Food only","false","false","false","false","false","false","false","false","true","false","true","true","false","false","false","false","false","false","false","false","false","false","true","Soap, sugar","i don't kn",,"false","true","42","Satisfied","Service is good","false",,"true","false","true","true","false","false","2","false",,"Householdh","7","true","Market, sh","3","true","Gifts from","4","true","Market, sh","2","false","Own produc","2","true","Market, sh","2","false","Market, sh","7","true","Market, sh","4","true","Market, sh","0","false","Not applic","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","false",,"false",,"false",,"false","Other (spe","Was in clinic","Community",,"true","false","false","false","false","false","false",,"true","Community",,"false",,,"false",,"false",,"true","true","true","true","true","30 minutes","true","true","true","true","Other (spe","false",,,,"false","true","false","Harsh weat",,,,"false","false","false","1","1","1","1","1","1","1","1","0","8","High dieta","2.3","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","3.1","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.5","3","1","1","1","1","1","1","1","1","0","8","1","3","0","0","0","0","Little to"
"true","Lubulini","79","Household","Female","Widowed/Separated","Elderly HH","Not Employ",,"0","0","0","0","0","0","1","1","0","1","1","2","0","0","Elderly gr",,"501-1000","Food Purch",,"Market pur","0","0","0","2","2","true","240","four times","1-2 weeks","true",,,"true","false","money agen","Food only","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","Sugar","clothing",,"false","true","40","Satisfied","Service is good","false",,"true","false","false","false","false","false","2","false",,"Householdh","7","true","Market, sh","2","false","Own produc","0","false","Not applic","3","true","Gifts from","0","false","Not applic","0","false","Not applic","5","true","Market, sh","2","false","Food aid","2","true","Market, sh","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"false",,,"false",,,"false",,"false",,"true","true","true","true","true","30 minutes","true","true","true","true","Community","true","NGO","World Vision",,"true","true","false","Harsh weat",,,,"false","false","false","1","1","0","1","0","0","1","1","1","6","Medium die","2.3","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","3.1","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.5","2","1","1","0","1","0","0","1","1","1","6","1","1","0","0","0","0","Little to"
"true","Sithobela","46","Household","Female","Widowed/Separated","Vulnerable","Not Employ",,"1","0","1","0","0","1","0","2","0","1","1","4","0","1","Other (spe","Donations","1-500","Food Purch",,"Market pur","1","0","2","2","2","true","370","four times","2-3 weeks","false","informed t",,"true","true",,"Food only","false","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true",,"clothing",,"true","true","40","Satisfied","Service good","false",,"true","true","false","true","false","false","1","false","No begging","Other fami","7","true","Market, sh","2","false","Market, sh","3","false","Market, sh","3","false","Market, sh","2","true","Market, sh","1","false","Market, sh","7","true","Market, sh","4","false","Market, sh","2","false","Market, sh","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"true","Hotline",,"false",,,"false",,"false",,"true","false","false","true","true","30 minutes","true","true","true","true","Community","true","Government",,,"false","true","true",,,"1-2 bags","1-2 months","false","false","false","1","1","1","1","1","1","1","1","1","9","High dieta","2.3","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","3.1","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.5","3","1","1","1","1","1","1","1","1","1","9","1","1","0","0","0","0","Little to"
"true","Sithobela","55","Household","Female","Widowed/Separated","Widow/er h","Not Employ",,"0","0","0","1","0","0","0","1","2","2","4","5","0","0","No Income",,"1-500","Food Purch",,"Market pur","0","0","4","0","3","true","380","four times","2-3 weeks","true",,,"false","false","money agen","Food and o","false","false","false","false","false","true","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false","true",,"alcohol or",,"true","true","40","Extremely","Availability of money","false",,"true","false","true","false","false","false","2","false",,"Householdh","7","true","Market, sh","2","false","Market, sh","3","false","Market, sh","3","false","Market, sh","2","true","Market, sh","0","false","Not applic","6","true","Market, sh","3","true","Market, sh","3","true","Own produc","Once in a","Once in a","Never","Never","Never","Never","Never","Never","Never","Never","Once in a","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"true","Hotline",,"false",,,"false",,"false",,"true","true","true","true","true","2-3 hours","true","true","true","true","Radio","true","Other (spe",,"World vision","true","true","true",,,"3-4 bags","3-4 months","false","false","false","1","1","1","1","1","0","1","1","1","8","High dieta","6.9","8.7","3.7","2.3","3","2.3","3.1","3.1","3","3.5","9.3","2.3","1.5","1.5","0","0","0","0","0","1.5","0","0","0","0","3","3","0","0","0","6","0","0","0","0","0","0","12","45.5","3","1","1","1","1","1","0","1","1","1","8","1","1","0","0","0","0","Little to"
"true","Lubulini","61","Household","Male","Married","Elderly-he","Not Employ",,"1","0","1","1","0","1","0","3","5","2","7","11","0","0","No Income",,"1-500","Food Purch",,"Market pur","0","0","3","3","2","true","570","four times","2-3 weeks","true",,,"false","false","family mem","Food only","false","false","false","false","false","false","false","false","true","false","true","true","false","false","false","false","false","false","false","false","false","false","true",,"alcohol or",,"true","true","40","Extremely","Availability of money","false",,"false","true","true","false","false","false","2","false",,"Householdh","7","true","Market, sh","3","false","Market, sh","2","false","Market, sh","2","true","Market, sh","1","false","Market, sh","1","false","Own produc","3","true","Market, sh","2","false","Market, sh","0","false","Not applic","Almost eve","Once in a","Never","Never","Seldom (<1","Never","Never","Never","Never","Never","Pretty oft","Once in a","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"true","Hotline",,"false",,,"false",,"false",,"true","false","true","true","true","30 minutes","true","true","true","true","Community","true","Other (spe",,"World vision","true","true","false","Crops atta","Kute lengikutfolile",,,"false","true","false","1","1","1","1","1","1","1","1","0","8","High dieta","11.5","8.7","3.7","2.3","6","2.3","3.1","3.1","3","3.5","12.4","6.9","7","1.5","0","0","0.5","0","0","4.5","0","0","0","1.5","14","3","0","0","1","18","0","0","0","0","0","9","36","38.5","3","1","1","1","1","1","1","1","1","0","8","1","1","0","0","0","0","Little to"
"true","Matsanjeni","42","Spouse","Female","Married","Vulnerable","Not Employ",,"0","1","1","0","0","0","2","3","2","3","5","9","0","0","Cash for w",,"1-500","Food Purch",,"Market pur","0","1","2","2","2","true","570","four times","1-2 weeks","true",,,,"false","family mem","Food only","false","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true",,"other (spe","Paying debt","true","false","40","Satisfied","Agent friendly","true","Availability of money with agent","true","true","false","false","false","false","2","false",,"both husba","7","true","Market, sh","3","false","Market, sh","3","true","Market, sh","3","true","Market, sh","2","false","Own produc","0","false","Not applic","7","true","Market, sh","7","true","Market, sh","0","false","Not applic","Seldom (<1","Never","Never","Never","Never","Never","Never","Never","Never","Never","Seldom (<1","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"true","Community",,"false",,,"false",,"false",,"true","false","false","true","true","30 minutes","true","true","false","true","Other (spe","true","NGO","World Vision",,"true","true","false","Other (spe",,,,"false","false","false","1","1","1","1","1","0","1","1","0","7","High dieta","4.6","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","6.2","2.3","0.5","0","0","0","0","0","0","0.5","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","3","47","3","1","1","1","1","1","0","1","1","0","7","1","1","0","0","0","0","Little to"
"true","Lomahasha","87","Household","Female","Widowed/Separated","Elderly HH","Not Employ",,"0","2","2","1","1","1","0","5","0","1","1","8","0","0","No Income",,"1-500","Food Purch",,"Market pur","3","0","4","3","3","true","350","four times","2-3 weeks","true",,,"true","false","money agen","Food only","false","false","false","false","false","false","false","false","true","false","true","true","true","false","false","false","false","false","false","false","false","false","true",,"clothing",,"false","true","30","Satisfied","I am able to get my money","false",,"true","false","false","false","false","false","2","false",,"Householdh","7","true","Market, sh","2","false","Market, sh","5","true","Market, sh","7","true","Own produc","3","false","Market, sh","0","false","Not applic","7","true","Market, sh","4","false","Market, sh","7","true","Market, sh","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"false",,,"false",,,"false",,"false",,"true","true","true","true","true","30 minutes","true","true","true","true","Community","true","NGO","World Vision",,"true","true","false","Harsh weat",,,,"false","false","false","1","1","1","1","1","0","1","1","1","8","High dieta","2.3","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","3.1","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64.5","3","1","1","1","1","1","0","1","1","1","8","1","1","0","0","0","0","Little to"
"true","Lomahasha","58","Household","Male","Married","Elderly-he","Not Employ",,"0","1","1","0","0","0","1","2","3","4","7","10","1","1","No Income",,"1-500","Food Purch",,"Market pur","12","0","0","3","2","true","580","three time","1-2 weeks","true",,,"true","false","money agen","Food only","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false","false","false","false","false","false","false","true",,"clothing",,"false","true","30","Satisfied","It is easy to access money, they do not need much information","false",,"false","true","false","false","false","false","2","false",,"both husba","7","true","Market, sh","2","false","Market, sh","3","true","Market, sh","7","true","Market, sh","2","false","Market, sh","2","false","Market, sh","7","true","Market, sh","7","true","Market, sh","1","false","Market, sh","Pretty oft","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","false",,"false",,"false",,"false","Attended t",,"Community",,"true","false","false","false","false","false","false",,"false",,,"false",,,"false",,"false",,"true","true","true","true","true","30 minutes","true","true","true","true","Community","false",,,,"false","true","true",,,"More than","5-6 months","false","false","false","1","1","1","1","1","1","1","1","1","9","High dieta","9.2","2.9","3.7","2.3","3","2.3","3.1","3.1","3","3.5","3.1","2.3","4.5","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","58","3","1","1","1","1","1","1","1","1","1","9","1","1","0","0","0","0","Little to"
"true","Sithobela","58","Household","Female","Widowed/Separated","Widow/er h","Not Employ",,"0","1","1","1","2","1","3","8","3","2","5","14","0","0","Petty Trad",,"1-500","Food Purch",,"Market pur","0","0","2","2","2","true","584","four times","2-3 weeks","true",,,"true","true",,"Food only","false","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true",,"clothing",,"true","true","25","Extremely","Uses Swazi bank money always available","false",,"true","true","true","false","false","false","2","false",,"Householdh","7","true","Market, sh","1","false","Own produc","5","true","Market, sh","3","false","Gathering","1","false","Market, sh","0","false","Not applic","7","true","Market, sh","7","true","Market, sh","2","true","Market, sh","Never","Never","Never","Never","Never","Never","Seldom (<1","Never","Never","Never","Never","Never","false",,"false",,"false",,"true",,,"Community",,"true","false","false","false","false","false","false",,"true","Hotline",,"false",,,"false",,"false",,"true","true","false","true","true","30 minutes","true","true","true","true","Other (spe","true","NGO","World Vision",,"true","true","true",,,"Less than","Less than","false","false","false","1","1","1","1","1","0","1","1","1","8","High dieta","2.3","2.9","3.7","2.3","3","2.3","6.2","3.1","3","3.5","3.1","2.3","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","47","3","1","1","1","1","1","0","1","1","1","8","1","1","0","0","0","0","Little to"
