"fiscal_year","region","country","obligations_actual_numerator","obligations_actual_denominator","_","leveraging_actual"
"FY 2016","Afghanistan and Pakistan","Afghanistan","13581723","868941491","0.016","70,627,960"
"FY 2016","Afghanistan and Pakistan","Pakistan","1329651","325632582","0.004","1,458,289"
"FY 2016","Africa","Angola","200000","41087905","0.005","0"
"FY 2016","Africa","Benin","0","20539244","0.0","0"
"FY 2016","Africa","Botswana","0","15775899","0.0","-"
"FY 2016","Africa","Burkina Faso","0","11209317","0.0","-"
"FY 2016","Africa","Burundi","2545431","34005423","0.075","3,003,018"
"FY 2016","Africa","Cote d'Ivoire","249717","25428276","0.01","325,000"
"FY 2016","Africa","Djibouti","0","5610539","0.0","-"
"FY 2016","Africa","Democratic Republic of Congo","4050000","185594011","0.022","4,209,471"
"FY 2016","Africa","East Africa Regional","0","57438146","0.0","0"
"FY 2016","Africa","Ethiopia","650000","242785841","0.003","0"
"FY 2016","Africa","Ghana","3155928","174501843","0.018","12,325,243"
"FY 2016","Africa","Guinea","0","30620513","0.0","-"
"FY 2016","Africa","Kenya","0","412321738","0.0","0"
"FY 2016","Africa","Liberia","0","172952069","0.0","0"
"FY 2016","Africa","Madagascar","0","48983975","0.0","-"
"FY 2016","Africa","Malawi","5640000","187607270","0.03","19,150,000"
"FY 2016","Africa","Mali","570810","121700886","0.005","453,970"
"FY 2016","Africa","Mozambique","6115822","220387805","0.028","1,500,000"
"FY 2016","Africa","Namibia","0","14629809","0.0","-"
"FY 2016","Africa","Niger","0","5443179","0.0","-"
"FY 2016","Africa","Nigeria","2000000","307618364","0.007","6,138,114"
"FY 2016","Africa","Rwanda","2221481","117441499","0.019","1,200,000"
"FY 2016","Africa","Sahel Regional",,"18259484","0.0",
"FY 2016","Africa","Senegal","0","89026267","0.0","1,708,455"
"FY 2016","Africa","South Africa","0","219546212","0.0","0"
"FY 2016","Africa","Southern Africa Regional","0","29744196","0.0","0"
"FY 2016","Africa","South Sudan","1370000","142537163","0.01","3,500,000"
"FY 2016","Africa","Sudan","0","0",,"0"
"FY 2016","Africa","Tanzania","3163970","252846727","0.013","0"
"FY 2016","Africa","Uganda","682449","262579441","0.003","0"
"FY 2016","Africa","West Africa Regional Program","405000","82772243","0.005","0"
"FY 2016","Africa","Zambia","0","226329889","0.0","-"
"FY 2016","Africa","Zimbabwe","0","63639119","0.0","-"
"FY 2016","Asia","Bangladesh","3855000","163567314","0.024","20,000,000"
"FY 2016","Asia","Burma","1210907","109314609","0.011","0"
"FY 2016","Asia","Cambodia","0","56560898","0.0","0"
"FY 2016","Asia","Central Asia Regional","1609876","48310071","0.033","0"
"FY 2016","Asia","India","4232000","112960979","0.037","12,492,325"
"FY 2016","Asia","Indonesia","2000000","132301871","0.015","284,037,981"
