"clientnumber","gender","location","translatednameoftraining","quarteroftraining"
"1","Male","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products","FY16Q1"
"2","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications","FY16Q2"
"3","Male","Mopti/Alatona","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications","FY16Q3"
"4","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing","FY16Q4"
"5","Male","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products","FY17Q1"
,"Male","Koulikoro/Kayes","(Translation) Training on Financing Agricultural Value Chains","FY17Q2"
"6","Male","Bamako","(Translation) Training of COFINA agents on financing agricultural credit","FY17Q3"
"7","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso","FY17Q4"
"8","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing","FY18Q1"
"9","Male","Sikasso","(Translation) Training on the financing of agricultural value chains and analysis of applications in Koutiala","FY18Q2"
"10","N/A","Koulikoro/Kayes","(Translation) Training of BOA staff on financing the agricultural value chain","FY18Q3"
"11","Male","Mopti/Alatona","(Translation) Banks / SFD capacity building governance and value chain","FY18Q4"
"12","Male","Koulikoro/Kayes",,"FY19Q1"
"13","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso","FY19Q2"
"14","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing","FY19Q3"
"15","Male","Sikasso","(Translation) Training on the financing of agricultural value chains and analysis of applications in Koutiala","FY19Q4"
"16","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing","FY20Q1"
"17","Male","Bamako","(Translation) Training of Microcred agents on the financing of the fattening phase Test","FY20Q2"
"18","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso","FY20Q3"
"19","Male","Bamako","(Translation) Training of NIYESIGISSO agents on agricultural credit financing",
"20","Male","Bamako","(Translation) Training of NIYESIGISSO agents on agricultural credit financing",
"21","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso",
"22","Male","Bamako","(Translation) Training of NIYESIGISSO agents on agricultural credit financing",
"23","Male","Mopti/Alatona","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications",
"24","Male","Bamako","(Translation) Training of NIYESIGISSO agents on agricultural credit financing",
"25","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing",
"26","Male","Bamako","(Translation) Training of Microcred agents on the financing of the fattening phase Test",
"62","N/A","Koulikoro/Kayes","(Translation) Orientation on the DCA",
"27","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso",
"28","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso",
"29","Male","Mopti/Alatona","(Translation) Banks / SFD capacity building governance and value chain",
"30","Male","Mopti/Alatona","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications",
"31","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso",
"32","Male","Mopti/Alatona","(Translation) Training Financing agricultural value chains",
"33","Female","Bamako","(Translation) Training of NIYESIGISSO agents on agricultural credit financing",
"34","Male","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products",
"35","Male","Bamako","(Translation) Training of Microcred agents on the financing of the fattening phase Test",
"36","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing",
"37","Male","Sikasso","(Translation) Training on Financing Agricultural Value Chains and Analysis of Applications in Sikasso",
"38","Male","Koulikoro/Kayes","(Translation) Training in development and adaptation of agricultural financial products",
"39","Male","Bamako","(Translation) Training Microcred Agents (BOABAB) on Agricultural Credit Financing",
