"uuid","region","country","proj_nm","st_date","end_date","awd_amount","awd_value","implementer","sector","intervention","intervention_type","proj_desc","proj_res","rfp_rftop","final_res","mind_eval","final_eval","audit","interim_rep","addl_docs","addl_info","corruption","stability"
"1","South and Central Asia (SCA)","Afghanistan","Assistance for Afghanistan's Anti-Corruption Authority (4A) Project","2010","2013","e) $25 M-$50 M","26642989","Management Systems International (MSI)","Independent Agencies, Civil Society","Corruption Prevention, Public Awareness","Awareness, Accountability","The five components of this program seek to take what already exists and improve upon it, implement it and find ways to ensure that the progress achieved is sustainable over the long term. The project will help the government of the Islamic Republic of Afghanistan strengthen its High Office of Oversight (HOO) - making it a strong, effective institution that is able to lead, monitor, coordinate and report on efforts to combat corruption across the country. The project will work and implement a program of institutional development and sustainability. It will also support the office in carrying out its priority responsibilities in asset registration and verification, complaints management and case tracking, and coordination and monitoring of anticorruption performance across other government agencies.","The program developed a working relationship with the High Office of Oversight and Anti-Corruption (HOO) management and staff at all levels to enable it to realize its stated objectives; it also helped the HOO to realize many of its mandated tasks, and in the process strengthened its institutional and functional capacities significantly. It has led outreach activities to raise the awareness and strengthen the capacities of civil society members to actively participate in promoting good governance.",,"http://pdf.usaid.gov/pdf_docs/PA00JP3T.pdf",,,,,"http://www.msiworldwide.com/project/supporting-afghanistan-high-office-of-oversight-and-anticorruption/",,"High Corruption","Unstable"
"2","South and Central Asia (SCA)","Afghanistan","Rule of Law Stabilization Program - Formal Component (RLS-Formal)","2010","2012","e) $25 M-$50 M","33700000","TetraTech ARD","Rule of Law","Court Administration, Professional Legal Education/Training, Public Information","Transparency, Awareness","The overall goal of the program was to support Rule of Law Strategy for Afghanistan, specifically Pillar 1 (improve the justice sector and reduce corruption) and Pillar 4 (build leadership in the justice sector and civil society).  To support Pillar 1, the contractor attempted to develop the capacity of judiciary and law schools. For Pillar 4, the contractor worked to raise public awareness and encourage citizens to resolve disputes through the formal justice sector.  The program was divided into four components: capacity building of the judiciary, capacity building of court management systems, capacity building of the faculties of law and Sharia; and  finally public legal outreach and awareness through strategic communication.","The project set up legal education training for judges and helped modernize the judicial system. The project trained and assigned judges to corruption panels and the new anticorruption tribunal on Afghan law.",,,,"http://pdf.usaid.gov/pdf_docs/PDACU496.pdf",,,,,"Very High Corruption","Very Unstable"
"3","South and Central Asia (SCA)","Afghanistan","Afghanistan Rule of Law Stabilization Project (AROLP) -- informal component (RLS-I)","2011","2012","c) $5 M-$10 M","10000000","Checchi and Company Consulting, Inc.","Rule of Law","Access to Justice","Awareness, Accountability","The project focused on strengthening and improving traditional dispute resolution mechanisms, strengthening linkages between the formal and informal justice sectors, and developing approaches to address long-standing intractable disputes.","The project reached 37,583 participants. In Phase 1,  the project assessed the dispute and dispute resolution context, dispute types and causes, and dispute resolution actors and their relationships to develop an understanding of need from which to frame programming and customize activities. The project designed and executed regional network meetings on long-standing intractable disputes in the South and East for 303 influential tribal elders and 14 women (South only) from every district of each region, and a regional network meeting in the North for 43 elders from the three target districts in that region. The South and East events resulted in lists of prioritized disputes (16 for the South, 13 for the East) and rosters of volunteer elders (63 for the South, 61 for the East) to collaborate in tackling those disputes. To date, the program elders have contributed to resolving 11 long-standing intractable disputes, defined as those which are or could become destabilizing.",,"http://pdf.usaid.gov/pdf_docs/PDACY340.pdf",,"http://pdf.usaid.gov/pdf_docs/PDACW029.pdf",,,"http://www.checchiconsulting.com/index.php?option=com_projects&country_id=29&Itemid=8",,"Very High Corruption","Very Unstable"
"4","South and Central Asia (SCA)","Afghanistan","Political Party Assessment","2012","2012","a) <$1 M",,"Checchi and Company Consulting, Inc.","Elections and Political Processes","Assessment","Assessment","The Political Party Assessment team aimed to reviewed materials produced by reporters, researchers, academics, and think tanks. The team interviewed over 120 individuals involved in Afghan politics in five cities across the country.  The team found that Afghanistan has significant traditions of democracy, some of which are long standing. Others, such as the past decade's electoral cycles, are more recent. The full expression of these traditions was found to be hampered by violence, corruption, and local interpretations of Islam that discourage questioning of many cultural norms and power structures and prevent the full participation of women in politics.","The assessment team found that the development of political organizations, whether parties or otherwise, was constrained both by Afghan and international programmatic factors. On the Afghan side, a failure of rule of law and Afghan governance gave Afghan political organizations little reason to develop beyond patronage-based organizations and therefore encouraged corruption. Further, the lack of effective and empowered elected government institutions at the local level, exacerbated by the failure to establish the elected sub-national elected government structures mandated by the Afghan constitution, left a gap between Afghans and their highly centralized, Kabul-based government. On the programmatic side, the team found that implementers targeted political party development programs at those with little reason to support change, ignored elected officials, were Kabul-centric, were poorly coordinated, did
not address political issues with elected officials, focused on form rather than function of political entities, and were supported inconsistently. In addition, the team found that the training was deficient in building political organizations and over-emphasized campaigning.",,"http://pdf.usaid.gov/pdf_docs/PNADZ833.pdf",,,,,,,"Very High Corruption","Very Unstable"
"30","Europe and Eurasia (E&E)","Albania","Justice Sector Strengthening Project (JuST)","2010","2015","c) $5 M-$10 M","9012613","Chemonics","Rule of Law, Civil Society","Legal/Institutional Strengthening/Reform, Court Administration, Professional Legal Education/Training, Advocacy, Investigative Reporting","Transparency, Accountability, Awareness","The Justice Sector Strengthening Project (JuST) promotes court transparency, fairness, and efficiency; bolsters watchdog and anticorruption roles of civil society organizations and media, and strengthens the legal profession and legal education in Albania.  This project is focused on improving justice delivery and responding to public demand for accountability in the justice sector.","As of September 30, 2012, the project installed digital recording equipment in 26 courtrooms in seven courts that expanded the number of hearings held in public courtrooms, and continued to support mediation programs in two courts. With the support of the program, the Union of Albanian Judges adopted a Strategy and Action Plan for 2012-2015, improved financial management systems, increased its membership by 33%, and tripled its budget. About 60 CSOs participated in capacity building workshops on Anti-Corruption and Introduction to the Justice System. Also, the project trained 21 journalists at the Law School for Journalists program and launched an in-depth training program under the Justice Reporting Fellows program.  JuST also piloted a Continuing Legal Education (CLE) program for lawyers and conducted 160 training sessions for 320 participants. A bar journal was launched by the National Chamber of Advocates, producing three quarterly issues in the first year. Finally, a computerized, searchable database of unified Supreme Court decisions was developed and implemented within the Magistrates School.","https://www.fbo.gov/index?s=opportunity&mode=form&tab=core&id=d6df616b7c21961e72db75bff1bdd465&_cview=1",,,,,"http://pdf.usaid.gov/pdf_docs/PA00HWM1.pdf",,,"High Corruption","Unstable"
"5","South and Central Asia (SCA)","Afghanistan","The Kabul City Initiative (KCI)","2010","2013","g) >$100 M","120000000","TetraTech ARD","Local Government, Civil Society","Service Delivery, Internal Controls, Public Awareness, Advocacy","Transparency, Accountability, Participation","The Kabul City Initiative (KCI) provided technical and material support to the Kabul Municipality. The project worked in close partnership with Kabul's mayor and municipal staff to enhance the capacities of Kabul Municipality's administration and management functions. KCI aimed to provide effective and responsive service delivery through Kabul Municipality departments and offices, and to improve the long-term sustainability and financial viability of the Kabul Municipality. As a result of KCI's activities, Kabul residents and business owners would hopefully share a renewed confidence in their local government's ability to provide improved municipal services, understand the responsibilities of their municipal leaders, and play an active role in the municipal decision-making process.","The Women's Council and Women's Business Development Community were established. As a result of KCI gender training for both women and men, and an active and dynamic elected Executive Committee of the Women's Council, greater workplace equity for women has been 
achieved.  Moreover, some 50 municipal staff undertook project management training at the Project Management Institute (PMI) in the second year of the project.",,,"http://pdf.usaid.gov/pdf_docs/PDACX755.pdf",,,,"http://www.tetratechintdev.com/intdev/index.php?option=com_k2&view=item&id=442:highlight-kci2011&Itemid=55&lang=us,%20http://afghanistan.usaid.gov/en/USAID/Activity/202/Kabul_City_Initiative_KCI,%20http://ard-online.net",,"Very High Corruption","Very Unstable"
"6","South and Central Asia (SCA)","Afghanistan","Parliamentary Assistance Project (APAP)","2004","2011","b) $1 M-$5 M","1635357","TetraTech ARD","Legislature","Public Information, Internal Controls, Budget, Financial Management Systems","Transparency, Accountability","The Afghanistan Parliamentary Assistance Project (APAP) worked to establish an Afghan parliament that operated as a strong, effective, and independent deliberative body. The project's primary objectives were to design a legislative strengthening strategy, help establish and develop a strong, independent, and effective parliament, provide technical assistance to parliamentary committees, strengthen Parliament's public outreach capacity, and establish and support a parliamentary budget office and educational institute. Overall, the project advanced the Afghan Parliament's institutional, technical, and political development by working with members in the upper and lower houses, parliament staff, leadership offices, and committees. In addition to legislative support, APAP activities aimed to improve Parliament's constituency outreach efforts, communications, information technology, and national budget review.","The quality of the legislative process was improved by creating Committee Support Teams for eight targeted committees, eventually expanding support to all committees in both houses. A publicly-available ""Online Bill Tracker"" was developed to improve legislative research capacity for parliamentarians, staff, and the general public. Mechanisms were developed to improve provincial input into the budget review process and seven pre-budget workshops between parliamentarians, provincial council representatives, and other ministry officials were supported. The capacity of the commissions to review and analyze the national budget and the consolidated Expenditure and Revenue Report of the Government  was improved.  Investigatory oversight visits were introduced to provinces to monitor budget execution as well as executive performance.  The Afghanistan Parliamentary Institute (API) was launched, and trainings were conducted on the legislative process, committee procedures, legislative research, budget process, oversight, representation, report writing, English, and Information Technology. APAP trained more than 3500 parliamentarians, staff members, civil society members, and journalists. Finally, the project worked with Parliament to negotiate and sign a memorandum of understanding with civil society organizations (CSOs) allowing for CSO support and participation in parliamentary processes. Over 200 national interactive radio roundtables, informational spots, radio newsletters, and radio documentaries were designed, produced, and broadcast to promote public knowledge of Parliament.",,,,,,,"http://portfolio.usaid.gov/ProjectDetail?id=a0cd00000011nrzAAA","http://pdf.usaid.gov/pdf_docs/PNADD565.pdf","Very High Corruption","Very Unstable"
"7","South and Central Asia (SCA)","Afghanistan","Afghanistan Local Governance and Community Development (LGCD)","2006","2011","g) >$100 M","349078330","Development Alternatives Incorporated","Local Government","Citizen Participation","Accountability, Participation","The project aimed to include assessments, rehabilitation of community infrastructure, basic vocational training, training of local government officials, cash-for-work activities, and provision of agricultural inputs and equipment. the project facilitated engagement between communities and government officials so that Afghans saw government as responsive to their needs and not as an external organization.","Conducted a groundbreaking survey of 6,000 Afghans to measure their perceptions of stability. In communities where the project worked, 42 percent of survey respondents reported a sense of stability, exceeding the project's target of 35 percent, even as the countrywide perception of stability declined. Respondents calling their stability situation ""acceptable"" or ""very good"" rose from 56 percent to 70 percent between March 2011 and June 2011, while respondents calling the situation in Kandahar ""not very good"" or ""very bad"" decreased from 12 to 7 percent. The project posted 150 community development advisors to 94 government institutions, trained 6,500 government officials, and helped 81 government institutions report publicly on their service delivery improvements. It equipped 528 government offices and 202 community organizations with basic office infrastructure and supplies in 2010-2011, including schools, provincial government offices, district centers, provincial ministry departments, community centers, associations (such as youth groups), and sports teams. The project also provided 196 institutions with information technology and internet connections in 2008-2009. Quick-impact projects were launched to provide tangible benefits in conflict-affected communities, completing the rehabilitation of 1,300 pieces of infrastructure, including 37 buildings, 268 kilometers of road, 436 kilometers of irrigation canals and karezes, and 86 boundary and protection walls. Finally, the project prepared 25 hectares of sports fields and managed grants that extended 6 pipe schemes and 436 other pieces of infrastructure such as culverts and water dividers.",,,,"http://pdf.usaid.gov/pdf_docs/PDACM816.pdf",,,"http://dai.com/our-work/projects/afghanistan%E2%80%94local-governance-and-community-development-lgcd",,"Very High Corruption","Very Unstable"
"8","South and Central Asia (SCA)","Afghanistan","Regional Afghan Municipalities Program for Urban Populations (RAMP UP)- Regional Command (RC) South","2010","2014","g) >$100 M","101046401","Chemonics","Local Government","Service Delivery, Internal Controls, Citizen Participation, Fiscal Management","Transparency,  Accountability","The objective of the Regional Afghan Municipalities Program for Urban Populations (RAMP UP) - South was to create effective, responsive, democratic, transparent, accountable, and gender sensitive municipal governance in targeted municipalities throughout the country. RAMP UP-South worked to: 1) Increase the capacity of the Government of the Islamic Republic of Afghanistan's (GIRoA) municipal officials; 2) improve the delivery of municipal services to citizens in target municipalities; and 3) increase municipal capacity to enable, support, and sustain economic growth.","RAMP UP-South activities supported the municipalities of the capital cities of six provinces in southern Afghanistan: Kandahar City municipality in Kandahar Province, Lashkar Gah municipality in Helmand province, Zaranj municipality in Nimroz province, Tirin Kot municipality in Uruzgan province, Qalat municipality in Zabul province, and Nili municipality in Daikundi province. With RAMP UP-South assistance, the targeted municipalities developed the sustainable capacity to plan, fund, manage and deliver essential services required and prioritized by its citizens. RAMP UP-South's work put municipal officials on the forefront in the planning and implementation of visible accomplishments. As a result, it was hoped, citizens would gain satisfaction with and trust in their municipal government.  RAMP UP - South generated $3,109,522 in municipal revenue and helped register 40,595 new businesses and 157,770 land parcels.  It also used Integrated Financial Management System (IFMS) to license and record 5,463 businesses, and assisted with 105 priority municipal service projects.",,,"http://pdf.usaid.gov/pdf_docs/PDACY089.pdf",,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Regional-Afghan-Municipalities-Program-for-Urban-Populations-%E2%80%93-South.aspx",,"Very High Corruption","Very Unstable"
"9","South and Central Asia (SCA)","Afghanistan","Regional Afghan Municipalities Program for Urban Populations (RAMP UP)- West","2010","2014","f) $50 M-$100 M","50498797","Development Alternatives Incorporated","Local Government","Service Delivery, Internal Controls, Citizen Participation, Fiscal Management","Transparency, Accountability,","The Regional Afghan Municipalities Program for Urban Populations, Regional Command West (RAMP UP West) project helped the Government of the Islamic Republic of Afghanistan (GIRoA) establish capable, legitimate governance at the municipal level in all four provincial capitals under ISAF Regional Command West: Herat, Farah, Chagcharan, and Qala-e-Naw. Its primary customers were municipal officials-mayors, revenue officers, engineers-and the citizens that benefit from municipal services. RAMP UP West took a ""learning by doing,"" approach by helping municipalities implement visible service delivery improvement projects. Through these projects, municipal officials would not only improve their capacity to deliver services themselves, but would also increase citizen satisfaction with, trust in, and support for the municipal government. The embedded technical advisors with municipal staff provided necessary resources and built the capacity of municipal staff to better perform their core management responsibilities, such as improving service delivery, supporting economic development, ensuring sound financial management, expanding revenues, and enhancing transparency and accountability.","RAMP UP - West assisted municipalities to implement 16 key infrastructure and service delivery projects previously identified by citizens as urgent needs, including construction of sidewalks, rehabilitation of roads, bridges and drainage canals, building of boulevards, parking lots, garbage bins and public green spaces.  Municipal Management and Capacity Building Plans were developed for each municipality, and over 200 municipal officials were trained in municipal finance, public administration, revenue enhancement, business registration, public relations and outreach, construction management, and public works maintenance.  Municipal officials in all four partner municipalities held two budget hearings each that allowed for citizen input into the budget preparation process.  The project also supported three partner municipalities to hold Youth and Municipality Seminars, bringing  145 young people together with their government to discuss city planning and touch on key issues such as cleanliness of the city and the role youth could play in keeping the city clean.  Finally, the project helped to produce Service Delivery Improvement Plans that involved citizens expressing their service needs/priorities and identifying specific projects during 44 sessions at the district level (2,650 residents).  Municipalities used these plans in their budget commissions to guide preparation of their next year budgets.  Moreover, multistakeholder Economic Development Steering Committees were established in each partner municipality to facilitate the inclusive development of Strategic Economic Development Plans.",,,"http://pdf.usaid.gov/pdf_docs/PDACY089.pdf",,,,"http://icma.org/en/international/projects/directory/Project/1002/Regional_Afghan_Municipalities_Program_for_Urban_Populations   http:/dai.com/our-work/projects/afghanistan%E2%80%94regional-afghan-municipalities-program-urban-populations-regional %25",,"Very High Corruption","Very Unstable"
