"country","survey","cluster","stratum","urbrur","zoi","pbs_id","hh_wt","c01a","c01b","c02","c03","c04","c05","c06_unit","c06_time","c07","c08","c09","c10","c11","c12","age","sex","modgflg","modhflg","modiflg","notmember","agecat","educat","literate","attendschool","achieveprimary","today","idcode"
"Nepal","Interim ZOI Survey 2015","20","32","rural","in zoi","1","1351.5431111111","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","self","23","true",,,"false","false","true","false","class 4","can read and write","23","male","ineligible for module g","ineligible for module h","ineligible for module i (age >= 3)","member of household","20 to 24","less than primary","true","false","false","2015-08-14T00:00:00.000","1"
"Nepal","Interim ZOI Survey 2015","20","32","rural","in zoi","1","1351.5431111111","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","spouse/partner","18","true",,,"true","false","true","false","class 5","can read and write","18","female","individual has module g record","individual has module h record","ineligible for module i (age >= 3)","member of household","15 to 19","completed primary","true","false","true","2015-08-14T00:00:00.000","2"
"Nepal","Interim ZOI Survey 2015","20","32","rural","in zoi","1","1351.5431111111","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","son/daughter","0","true",,,"false","true",,,,,"0","male","ineligible for module g","ineligible for module h","individual has module i record","member of household","0 to 4",,,,,"2015-08-14T00:00:00.000","3"
"Nepal","Interim ZOI Survey 2015","40","22","rural","in zoi","2","1922.1865035478","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","self","65","true",,,"false","false","false",,,"can sign (write) only","65","male","ineligible for module g","ineligible for module h","ineligible for module i (age >= 3)","member of household","65 to 69","no education","false","false","false","2015-08-27T00:00:00.000","1"
"Nepal","Interim ZOI Survey 2015","40","22","rural","in zoi","2","1922.1865035478","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","spouse/partner","58","true",,,"false","false","false",,,"can sign (write) only","58","female","individual has module g record","ineligible for module h","ineligible for module i (age >= 3)","member of household","55 to 59","no education","false","false","false","2015-08-27T00:00:00.000","2"
"Nepal","Interim ZOI Survey 2015","13","11","urban","in zoi","3","1608.4892477617002","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","male","self","41","true",,,"false","false","false",,,"can sign (write) only","41","male","ineligible for module g","ineligible for module h","ineligible for module i (age >= 3)","member of household","40 to 44","no education","false","false","false","2015-09-15T00:00:00.000","1"
"Nepal","Interim ZOI Survey 2015","13","11","urban","in zoi","3","1608.4892477617002","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","spouse/partner","38","true",,,"true","false","false",,,"cannot read or write","38","female","individual has module g record","individual has module h record","ineligible for module i (age >= 3)","member of household","35 to 39","no education","false","false","false","2015-09-15T00:00:00.000","2"
"Nepal","Interim ZOI Survey 2015","13","11","urban","in zoi","3","1608.4892477617002","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","son/daughter","16","true",,,"true","false","true","true","class 8","can read and write","16","female","ineligible for module g","individual has module h record","ineligible for module i (age >= 3)","member of household","15 to 19","completed primary","true","true","true","2015-09-15T00:00:00.000","3"
"Nepal","Interim ZOI Survey 2015","13","11","urban","in zoi","3","1608.4892477617002","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","son/daughter","13","true",,,"false","false","true","false","class 4","can read and write","13","female","ineligible for module g","ineligible for module h","ineligible for module i (age >= 3)","member of household","10 to 14","less than primary","true","false","false","2015-09-15T00:00:00.000","4"
"Nepal","Interim ZOI Survey 2015","13","11","urban","in zoi","3","1608.4892477617002","yes, primary male decisionmaker exists in household","yes, primary female decisionmaker exists in household","female","son/daughter","10","true",,,"false","false","true","true","class 1","can read and write","10","female","ineligible for module g","ineligible for module h","ineligible for module i (age >= 3)","member of household","10 to 14","less than primary","true","true","false","2015-09-15T00:00:00.000","5"
