"woreda","age","sex","head_hh","sex_hh","main_livelihood","number_in_hh","disabilities","camels_gc","camels_mc","camels_pc","total_camel","cattle_gc","cattle_mc","cattle_pc","total_cattle","sheep_gc","sheep_mc","sheep_pc","total_sheep","goats_gc","goats_pc","goats_mc","total_goats","camels_dry_2004ec","camels_die_2004ec","camel_sold_2004ec","camels_dry_2005ec","camels_sold_2005ec","camel_dry_2006ec","camels_die_2006ec","camel_sold_2006ec","cattle_dry_2004ec","cattle_die_2004ec","cattle_sold_2004ec","cattle_dry_2005ec","cattle_die_2005ec","cattle_sold_2005ec","cattle_dry_2006ec","cattle_die_2006ec","sheep_dry_2004ec","sheep_die_2004ec","sheep_sold_2004ec","sheep_dry_2005ec","sheep_die_2005ec","sheep_sold_2005ec","sheep_dry_2006ec","sheep_die_2006ec","sheep_sold_2006ec","goats_dry_2004ec","goats_die_2004ec","goats_sold_2004ec","goats_dry_2005ec","goats_die_2005ec","goats_sold_2005ec","goats_dry_2006ec","goats_die_2006ec","goats_sold_2006ec","lost_pasture","lost_disease","lost_water","lost_theft","migrate_jan","migrate_feb","migrate_mar","migrate_apr","migrate_may","migrate_jun","migrate_jul","migrate_aug","migrate_sept","migrate_oct","migrate_nov","migrate_dec","move_pasture","times_migrated","number_days_migrated","migrate_experience","migrate_scout","migrate_dagu","migration_govt","migration_other","migration_other_text","best_info_source","reliable_scouting","reliable_dagu","reliable_government","reliable_experience","reliable_other","coping_strategy_csa","coping_strategy_csb","coping_strategy_csc","coping_strategy_csd","coping_strategy_csi_score","coping_strategy_cse","coping_strategy_cs2","coping_strategy_drought_threat","coping_strategy_flood_threat","coping_strategy_too_much","coping_strategy_early_rain","coping_strategy_late_rain","coping_strategy_hail_threat","coping_strategy_wind_threat","coping_strategy_landslide","coping_strategy_cold_threat","coping_strategy_heat_threat","coping_strategy_livestock","coping_strategy_crop_disease","coping_strategy_other_threat","coping_strategy_other_threat_1","coping_strategy_risk_actions","coping_strategy_other_risk","coping_strategy_food_jan","coping_strategy_food_feb","coping_strategy_food_mar","coping_strategy_food_apr","coping_strategy_food_may","coping_strategy_food_june","coping_strategy_food_july","coping_strategy_food_aug","coping_strategy_food_sep","coping_strategy_food_oct","coping_strategy_food_nov","coping_strategy_food_dec","coping_strategy_food_stock","coping_strategy_water_and","coping_strategy_water_and_1","coping_strategy_water_and_2","coping_strategy_water_and_3","coping_strategy_water_and_4","coping_strategy_water_and_5","coping_strategy_water_and_6","coping_strategy_water_and_7","coping_strategy_water_and_8","coping_strategy_water_and_9","coping_strategy_water_and_10","coping_strategy_water_and_11","coping_strategy_water_and_12","coping_strategy_water_and_13","coping_strategy_water_and_14","coping_strategy_water_and_15","coping_strategy_water_and_16","coping_strategy_water_and_17","coping_strategy_water_and_18","coping_strategy_water_and_19","coping_strategy_water_and_20","coping_strategy_water_and_21","coping_strategy_water_and_22","coping_strategy_water_and_23","coping_strategy_water_and_24","coping_strategy_water_and_25","cattle_sold_2006ec","camels_die_2005ec"
"Meda_Welabu","31-40","Female_","true","---","Farming","9","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","2","0","96.43","0","true","true","false","false","false","true","false","false","false","false","false","true","true","true","rakkoo bishaanii fi fayyaa","reduce_meal spend_saving sell_assets reduce_livestock seed_stock","---","true","true","true","true","true","true","true","true","false","false","false","false","3","Pond","1","140","3","false","Pond","false","---","Crop","Crop","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","false","---","---","true","---","---"
"Dolo_Mena","21-30","Male","true","---","Farming","7","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","true","true","false","false","false","true","false","false","false","false","true","true","true","true","hanqina roobaa, rakkina daandii","reduce_meal spend_saving sell_assets","---","true","true","true","true","true","false","false","true","true","true","false","false","3","River","1","60","2","false","River","false","---","Crop","Crop","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","false","---","---","true","---","---"
"Meda_Welabu","31-40","Male","true","---","Farming","8","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","2","3","1","76.795","2","true","false","false","false","false","false","false","false","false","false","false","true","true","true","rakkoo bishaanii","reduce_meal spend_saving sell_assets reduce_livestock seed_stock","---","false","false","false","true","true","true","true","true","true","false","false","false","4","Pond","1","160","3","false","Pond","false","---","Livestock","Crop","Dec","climate","---","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","true","---","---"
"Rayitu","41-50","Female_","true","---","Livestock","4","false","20 or more","1","0","5","0","0","0","0","20 or more","1","2","7","20 or more","2","1","8","0","0","0","0","0","0","0","0","20 or more","20 or more","0","0","0","0","0","0","20 or more","3","20 or more","8","4","20 or more","4","0","0","10","20 or more","20 or more","20 or more","0","0","20 or more","0","0","No","Yes","Yes","Yes","No","No","No","yes","yes","No","yes","yes","No","No","No","No","Yes","2","2","yes","yes","yes","No","No","---","Previous_experience","more","Less","Less","Less","Same","3","3","2","3","57.16","4","true","false","false","false","false","true","true","false","false","true","false","false","true","false","---","wild_food","---","false","false","true","true","true","true","true","true","false","true","true","true","3","Unprotected_well","1","120","3","false","Unprotected_well","true","No","Livestock","Livestock","Dec","climate","---","---","---","---","Dec","climate","---","false","water_harvest","---","false","DK","---","false","0","0"
"Rayitu","21-30","Male","true","---","Livestock","8","false","20 or more","2","0","6","0","0","0","0","1","2","1","4","20 or more","6","4","15","3","1","2","3","0","0","0","0","10","20 or more","4","10","10","2","20 or more","10","20 or more","2","20 or more","6","0","20 or more","6","2","3","20 or more","20 or more","20 or more","20 or more","0","5","20 or more","20 or more","20 or more","Yes","Yes","Yes","Yes","yes","No","No","No","No","yes","No","No","No","No","No","No","No","2","60","yes","yes","yes","No","yes","abuurraa","Scouting","more","Less","Less","Less","Less","0","0","7","0","82.15","3","true","true","false","false","false","true","false","false","false","false","false","false","true","true","waraana","reduce_meal sell_assets seed_stock govt_program","---","false","false","false","true","true","false","false","false","false","false","false","true","1","Unprotected_well","1","80","2","false","Unprotected_well","false","---","Livestock","Livestock","Inc","govt price","---","---","---","---","Inc","govt climate","---","false","Other_tech","homaa hin jiru","false","DK","---","true","1","1"
"Dolo_Mena","51-60","Male","true","---","Livestock","8","false","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20 or more","20 or more","2","1","1","0","20 or more","20 or more","0","0","0","0","0","0","0","0","0","20 or more","0","20 or more","20 or more","1","2","20 or more","0","20 or more","No","Yes","Yes","Yes","yes","yes","yes","yes","yes","No","No","No","yes","yes","yes","yes","No","0","0","No","yes","yes","No","yes","abuurraa","Scouting","more","Less","more","more","Less","1","2","1","1","80.365","2","true","true","false","false","false","true","false","false","false","false","true","true","true","true","haqina roobaa","reduce_meal spend_saving sell_assets seed_stock","---","true","true","true","true","true","true","false","false","false","false","true","true","4","River","1","60","2","false","River","false","---","Crop","Crop","Dec","climate","---","---","---","---","Dec","climate","---","false","---","---","true","Ethiopian_gov","---","true","0","0"
"Meda_Welabu","21-30","Male","true","---","Farming","5","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","true","true","false","false","false","false","false","false","false","false","false","true","true","true","hanqini roobaa ni jira","reduce_meal spend_saving sell_assets reduce_livestock seed_stock","---","true","true","true","false","false","false","false","false","false","false","false","false","5","Protected_Well","1","60","1","false","Unprotected_well","true","Yes","Livestock","Livestock","Dec","climate Other_inc","hanqina roobaa","Dec","climate","---","---","---","---","false","---","---","true","Ethiopian_gov","---","true","---","---"
"Meda_Welabu","31-40","Male","true","---","Livestock","8","false","0","3","0","3","0","0","0","0","0","0","0","0","20 or more","0","0","5","0","0","0","0","0","0","0","0","20 or more","1","2","20 or more","20 or more","2","20 or more","20 or more","0","0","0","0","0","0","0","0","0","13","20 or more","0","20 or more","3","0","11","20 or more","20 or more","No","Yes","Yes","Yes","yes","yes","yes","yes","yes","No","No","No","No","yes","yes","yes","No","2","60","No","yes","yes","No","yes","abuurraa","Scouting","more","Less","more","more","Less","0","0","0","0","100","0","true","true","false","false","false","true","false","false","false","false","true","true","true","true","hanqina roobaa","reduce_meal spend_saving sell_assets reduce_livestock seed_stock","---","true","true","true","true","true","false","false","false","false","false","false","false","4","Unprotected_spring","1","210","3","false","Unprotected_spring","false","---","Livestock","Livestock","Dec","climate","---","---","---","---","Dec","climate","---","true","new_crop","---","false","---","---","true","0","0"
"Rayitu","31-40","Male","true","---","Livestock","6","false","0","0","0","0","0","0","0","0","20 or more","4","4","16","20 or more","4","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20 or more","5","20 or more","20","7","20 or more","17","7","3","20 or more","20 or more","20 or more","18","5","4","17","20 or more","20 or more","No","No","Yes","Yes","No","No","No","No","No","No","No","yes","yes","yes","No","No","No","2","60","yes","yes","yes","No","No","---","Previous_experience","more","more","more","more","Less","0","1","0","0","96.43","0","true","true","false","false","false","true","false","false","false","false","true","false","true","true","walwaraansa","reduce_meal spend_saving sell_assets","---","false","false","false","false","true","true","true","false","false","true","true","true","2","Unprotected_well","1","50","2","false","Unprotected_well","false","---","Livestock","Livestock","Dec","climate Other_inc","hoongeen waan rukuteef","---","---","---","Dec","climate Other_inc","bona hoo'aan waan qabameef","false","Other_tech","hin fayyafamne","true","Ethiopian_gov","---","false","0","0"
"Meda_Welabu","21-30","Female_","true","---","Farming","3","false","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","NA","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","100","0","true","true","false","false","false","true","false","false","false","false","true","true","true","true","hanqina roobaa","borrow reduce_meal spend_saving sell_assets reduce_livestock","---","true","true","true","true","true","false","false","false","false","false","false","false","3","Protected_Well","2","60","2","false","Protected_Well","true","Yes","Crop","Crop","Dec","climate","---","Dec","climate","---","---","---","---","true","new_crop","---","true","Ethiopian_gov","---","true","---","---"
