"country","pbs_id","urbrur","weai_wt","stratum","survey","zoi","g104","g106","g107","g108","g109","g110","g111","g201_a","g201_b","g201_c","g201_d","g201_e","g201_f","g202_a","g202_b","g202_c","g202_d","g202_e","g202_f","g203_a","g203_b","g203_c","g203_d","g203_e","g203_f","g301a_a","g301a_b","g301a_c","g301a_d","g301a_e","g301a_f","g301a_g","g301a_h","g301a_i","g301a_j","g301a_k","g301a_l","g301a_m","g301a_n","g301b_a","g301b_b","g301b_c","g301b_d","g301b_e","g301b_f","g301b_g","g301b_h","g301b_i","g301b_j","g301b_k","g301b_l","g301b_m","g301b_n","g302_a","g302_b","g302_c","g302_d","g302_e","g302_f","g302_g","g302_h","g302_i","g302_j","g302_k","g302_l","g302_m","g302_n","g303_a","g303_b","g303_c","g303_d","g303_e","g303_f","g303_g","g304_a","g304_b","g304_c","g304_d","g304_e","g304_f","g304_g","g305_a","g305_b","g305_c","g305_d","g305_e","g305_f","g305_g","g306_a","g306_b","g306_c","g306_d","g306_e","g306_f","g306_g","g307_a","g307_b","g307_c","g307_d","g307_e","g308_a","g308_b","g308_c","g308_d","g308_e","g309_a","g309_b","g309_c","g309_d","g309_e","g401","g402","g403","g404_a","g404_b","g404_c","g404_d","g404_e","g404_f","g404_g","g404_h","g404_i","g404_j","g404_k","g405_a","g405_b","g405_c","g405_d","g405_e","g405_f","g405_g","g405_h","g405_i","g405_j","g405_k","g501_a","g501_b","g501_c","g501_d","g501_e","g501_f","g501_g","g502_a","g502_b","g502_c","g502_d","g502_e","g502_f","g502_g","g601b","g602","today","cluster","idcode"
"Mozambique","1","urban","504.4441056911","41","Interim ZOI Survey 2015","data collected by westat","[a] alone","25","true","true","NA","Formerly married or lived with a man","separated","true","false","false","false","true","false","input into most or all decisions",".",".",".",,,"input into most or all decisions",".",".",".",,,"true","false","false","true","false","true","false","false","true","false","true","true","false","false","2",,".","3",,"3",,,"1",,"1","1",,,"[a] self only",,".","[a] self only",,"[a] self only",,,"[a] self only",,"[a] self only","[a] self only",".",".","[a] self only",,".","[a] self only",,"[a] self only",,"[a] self only",,".","[a] self only",,"[a] self only",,"[a] self only",,".","[a] self only",,"[a] self only",,"[a] self only",,".","[a] self only",,"[a] self only",,"no","no","no","yes, cash","no",".",,,"[a] self only",".",".",".",".","[a] self only",".","yes, but with difficulty","yes, but with difficulty","no, not at all comfortable","no","no","no","no","no","don't know","don't know","true","true","no","don't know",".",".",".",".",".",".",".","no","yes",,,"[a] self only","[a] self only","[a] self only","[z] not applicable","[a] self only","[z] not applicable","[a] self only",".",".",".",".",".",".",".","less than usual","very satisfied","2015-10-30T00:00:00.000","16","2"
"Mozambique","2","rural","1248.1340445269","52","Interim ZOI Survey 2015","data collected by westat","[a] alone","21","true","true","Currently married or living with a man","NA","NA","true","true","false","false","false","false","input into some decisions","input into some decisions",".",".",,,"input into some decisions","input into some decisions",".",".",,,"true","false","false","true","false","true","false","false","true","false","true","true","false","true","2",,".","5",,"2",,,"2",,"3","1",,"1","[a] self only",,".","[ab] self and partner/spouse",,"[ab] self and partner/spouse",,,"[ab] self and partner/spouse",,"[b] partner/spouse only","[a] self only",".","[a] self only","[ab] self and partner/spouse",,".","[ab] self and partner/spouse",,"[ab] self and partner/spouse",,"[z] not applicable",,".","[z] not applicable",,"[z] not applicable",,"[z] not applicable",,".","[z] not applicable",,"[z] not applicable",,"[ab] self and partner/spouse",,".","[ab] self and partner/spouse",,"[ab] self and partner/spouse",,"yes, in-kind","no","no","no","no","[a] self only",,,".",".","[ab] self and partner/spouse",".",".",".",".","yes, but with difficulty","yes, but with difficulty","yes, but with difficulty","yes","no","no","no","no","no","no","true","true","don't know","don't know","no",".",".",".",".",".",".","no","no",,,"[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[z] not applicable","[z] not applicable","[z] not applicable","[ab] self and partner/spouse","small extent","medium extent","medium extent",".",".",".","small extent","about the same as usual","neutral, neither satisfied nor dissatisfied","2015-10-02T00:00:00.000","14","2"
"Mozambique","3","rural","2239.2888461538","42","Interim ZOI Survey 2015","data collected by westat","[a] alone","37","true","true","NA","Formerly married or lived with a man","widowed","true","true","false","false","false","false","input into most or all decisions","input into most or all decisions",".",".",,,"input into most or all decisions","input into most or all decisions",".",".",,,"false","false","false","true","false","false","false","false","false","false","false","false","false","true",,,".","6",,,,,".",,,,,"1",".",,".","[a] self only",,".",,,".",,".",".",".","[a] self only",".",,".","[a] self only",,".",,".",,".","[a] self only",,".",,".",,".","[9] refused",,".",,".",,".","[a] self only",,".",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","yes, but with difficulty","not applicable","yes, but with difficulty","no","no","no","no","no","no","no","true","true","no","no",".",".",".",".",".",".",".","yes","yes",,,"[a] self only","[a] self only","[a] self only","[9] refused","[9] refused","[9] refused","[a] self only",".",".",".",".",".",".",".","less than usual","very satisfied","2015-09-17T00:00:00.000","3","2"
"Mozambique","7","urban","4025.7988505747","41","Interim ZOI Survey 2015","data collected by westat","[a] alone","50","true","true","Currently married or living with a man","NA","NA","false","false","false","false","false","false",".",".",".",".",,,".",".",".",".",,,"false","false","false","false","false","false","false","false","false","true","false","true","false","true",,,".",,,,,,".","1",,"2",,"1",".",,".",".",,".",,,".",,".","[ab] self and partner/spouse",".","[b] partner/spouse only",".",,".",".",,".",,".",,".",".",,".",,".",,".",".",,".",,".",,".",".",,".",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","yes, but with difficulty","not applicable","yes, but with difficulty","no","no","no","no","no","no","no","true","true","no","no",".",".",".",".",".",".",".","no","yes",,,"[z] not applicable","[z] not applicable","[z] not applicable","[9] refused","[z] not applicable","[z] not applicable","[a] self only",".",".",".",".",".",".",".","more than usual","9","2015-10-13T00:00:00.000","1","2"
"Mozambique","8","rural","955.1294008983","32","Interim ZOI Survey 2015","data collected by westat","[a] alone","36","true","true","Currently married or living with a man","NA","NA","true","true","false","true","false","false","input into most or all decisions","input into most or all decisions",".","input into most or all decisions",,,"input into most or all decisions","input into most or all decisions",".","input into most or all decisions",,,"false","false","false","true","false","false","false","false","false","false","false","false","false","false",,,".","15",,,,,".",,,,,,".",,".","[ab] self and partner/spouse",,".",,,".",,".",".",".",".",".",,".","[ab] self and partner/spouse",,".",,".",,".","[ab] self and partner/spouse",,".",,".",,".","[ab] self and partner/spouse",,".",,".",,".","[ab] self and partner/spouse",,".",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","yes, comfortably","yes, comfortably","yes, comfortably","don't know","don't know","don't know","don't know","don't know","don't know","don't know",,,"don't know","don't know",".",".",".",".",".",".",".",".",".",,,"[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[z] not applicable","[a] self only","[z] not applicable","[ab] self and partner/spouse","medium extent","medium extent","medium extent",".",".",".","medium extent","about the same as usual","7","2015-10-07T00:00:00.000","42","2"
"Mozambique","9","rural","955.1294008983","32","Interim ZOI Survey 2015","data collected by westat","[a] alone","37","true","true","NA","Formerly married or lived with a man","separated","true","false","false","false","false","false","input into some decisions",".",".",".",,,"input into some decisions",".",".",".",,,"true","false","false","false","false","false","false","false","true","false","false","false","false","false","1",,".",,,,,,"1",,,,,,"[a] self only",,".",".",,".",,,"[a] self only",,".",".",".",".","[a] self only",,".",".",,".",,"[a] self only",,".",".",,".",,"[a] self only",,".",".",,".",,"[a] self only",,".",".",,".",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no","no","yes","no","no","no","no","true","true","no","no",".",".","no",".",".",".",".","no","no",,,"[z] not applicable","[a] self only","[a] self only","[z] not applicable","[z] not applicable","[z] not applicable","[a] self only",".",".",".",".",".",".",".","about the same as usual","neutral, neither satisfied nor dissatisfied","2015-10-07T00:00:00.000","42","2"
"Mozambique","10","rural","2085.3391304348","42","Interim ZOI Survey 2015","data collected by westat","[a] alone","30","true","true","Currently married or living with a man","NA","NA","true","false","false","true","false","false","input into some decisions",".",".","input into some decisions",,,"input into some decisions",".",".","input into some decisions",,,"true","false","false","false","false","true","false","false","false","false","false","true","false","true","1",,".",,,"3",,,".",,,"2",,"1","[ab] self and partner/spouse",,".",".",,"[ab] self and partner/spouse",,,".",,".","[ab] self and partner/spouse",".","[b] partner/spouse only","[ab] self and partner/spouse",,".",".",,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,".",".",,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,".",".",,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,".",".",,"[ab] self and partner/spouse",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","yes, but with difficulty","yes, but with difficulty","yes, but with difficulty","no","no","no","no","no","no","no","true","false","no","no",".",".",".",".",".",".",".","no",".",,,"[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","small extent","small extent","small extent","small extent","small extent","small extent","small extent","less than usual","very satisfied","2015-10-16T00:00:00.000","32","2"
"Mozambique","18","rural","1987.9600370094","32","Interim ZOI Survey 2015","data collected by westat","[a] alone","66","true","true","NA","Formerly married or lived with a man","separated","true","false","false","false","false","false","input into most or all decisions",".",".",".",,,"input into most or all decisions",".",".",".",,,"true","false","false","false","false","true","false","false","false","false","false","true","false","false","1",,".",,,"1",,,".",,,"1",,,"[a] self only",,".",".",,"[a] self only",,,".",,".","[a] self only",".",".","[a] self only",,".",".",,"[a] self only",,"[a] self only",,".",".",,"[a] self only",,"[z] not applicable",,".",".",,"[z] not applicable",,"[a] self only",,".",".",,"[a] self only",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","don't know","no","no","no","no","don't know","no","true","true","no","don't know",".",".",".",".",".",".",".","no","no",,,"[a] self only","[a] self only","[a] self only","[z] not applicable","[z] not applicable","[z] not applicable","[a] self only",".",".",".",".",".",".",".","less than usual","very satisfied","2015-09-25T00:00:00.000","35","2"
"Mozambique","11","rural","666.4991352201","42","Interim ZOI Survey 2015","data collected by westat","[a] alone","32","true","true","Currently married or living with a man","NA","NA","true","false","false","false","false","false","input into some decisions",".",".",".",,,"input into some decisions",".",".",".",,,"true","false","false","false","false","false","false","false","true","false","false","false","false","false","3",,".",,,,,,"1",,,,,,"[ab] self and partner/spouse",,".",".",,".",,,"[ab] self and partner/spouse",,".",".",".",".","[ab] self and partner/spouse",,".",".",,".",,"[ab] self and partner/spouse",,".",".",,".",,"[ab] self and partner/spouse",,".",".",,".",,"[ab] self and partner/spouse",,".",".",,".",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no","no","no","no","no","no","no","true","true","no","no",".",".",".",".",".",".",".","no","yes",,,"[z] not applicable","[ab] self and partner/spouse","[ab] self and partner/spouse","[z] not applicable","[z] not applicable","[z] not applicable","[ab] self and partner/spouse",".","medium extent","medium extent",".",".",".","medium extent","about the same as usual","neutral, neither satisfied nor dissatisfied","2015-10-27T00:00:00.000","22","2"
"Mozambique","12","rural","3784.257518797","62","Interim ZOI Survey 2015","data collected by westat","[a] alone","29","true","true","Currently married or living with a man","NA","NA","true","false","true","true","false","false","input into most or all decisions",".","input into most or all decisions","input into most or all decisions",,,"input into most or all decisions",".","input into most or all decisions","input into most or all decisions",,,"true","false","false","true","false","true","false","false","true","false","false","true","true","false","1",,".","1",,"3",,,"1",,,"1","1",,"[ab] self and partner/spouse",,".","[a] self only",,"[ab] self and partner/spouse",,,"[ab] self and partner/spouse",,".","[a] self only","[ab] self and partner/spouse",".","[z] not applicable",,".","[z] not applicable",,"[z] not applicable",,"[z] not applicable",,".","[z] not applicable",,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,".","[a] self only",,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,".","[ab] self and partner/spouse",,"[ab] self and partner/spouse",,"no","no","no","no","no",".",,,".",".",".",".",".",".",".","no, not at all comfortable","not applicable","no, not at all comfortable","no","yes","no","yes","no","no","no","true","false","no","no",".","no",".","yes",".",".",".","no",".",,,"[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[a] self only","[z] not applicable","[ab] self and partner/spouse","medium extent","medium extent","medium extent","medium extent",".",".","medium extent","less than usual","neutral, neither satisfied nor dissatisfied","2015-10-23T00:00:00.000","20","2"
