"stratum","urbrur","pbs_id","hh_wt","crop","cultivate","idcode","jrslt","age","sex","purpose","numvariety","croprotation","slashplant","burnplant","herbplant","zerotillage","handtillage","animaltraction","tractor","plowsystem","rowplant","random","intercropping","terracing","mulching","trenching","contouring","waterbyhand","canals","permhose","pump","selfrelseed","agroseed","nonagroseed","aidseed","opvseed","hybridseed","localnursery","ownnursery","friendseedling","organicfert","inorganicfert","foliarfeed","fertilizer","fertplanting","fertmidcrop","pesticide","weedhoe","herbicide","trainfert","trainpest","trainherb","harvhand","harvmachine","dryground","drydung","drystraw","dryplant","drytarp","dryyard","dryrack","drysolar","drymech","shellhand","shellstick","sheller","bag1layer","bag23layer","baghermetic","house","homeunit","crib","granary","stores","warehouse","silo","impgenetics","impculture","imppestman","impsoil","impirrigate","impwater","imppostharvest","implandprep","impextservices","impherbicide","impharvest","numimptech","anyimptech","today","cluster"
"42","rural","1","3726.69628617","maize","true","2.0","complete","22","female","grown for both food & market",,"true","false","false","false","false","true","false","false","true","true","false","false","false","false","false",,"false","false","false","false","true","false","false","false","true","false",,,,"false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","true","false","false","true",,"false","false","false","false","false","does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","1.0","uses improved tech.","2015-03-18T00:00:00.000","29"
"42","rural","1","3726.69628617","coffee","true","2.0","complete","22","female","grown for market only",,,,,,,,,,,,,"false",,"false",,"false",,,,,,,,,,,"false","true","false","true","false","false","true",,,"true","false","false","false","false","false",,,"false","false",,"false","false","false","false","false","false",,,,"false","false","false","false","false",,,"false","false","false","does not use improved tech.","does not use improved tech.","uses improved tech.","uses improved tech.",,"does not use improved tech.","does not use improved tech.",,"does not use improved tech.","does not use improved tech.",,"2.0","uses improved tech.","2015-03-18T00:00:00.000","29"
"42","rural","1","3726.69628617","beans","true","2.0","complete","22","female","grown for both food & market","2.0","false","false","false","false","false","true","false","false","true","false","true","false","false","false","false",,"false","false","false","false","true","false","false","false","true","false",,,,"false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"true","false","false","false","false","false","false","true","false","true","false","false","true",,"false","false","false","false",,"does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","0.0","does not use improved tech.","2015-03-18T00:00:00.000","29"
"12","rural","2","6487.8500388903","maize","true","1.0","complete","35","male","grown for both food & market",,"false","false","false","false","false","false","false","false","false","false","false","true","false","true","true",,"false","false","false","false","true","false","false","false","true","false",,,,"false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true",,"false","false","false","false","false","does not use improved tech.","does not use improved tech.","does not use improved tech.","uses improved tech.","does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","2.0","uses improved tech.","2015-03-09T00:00:00.000","28"
"12","rural","2","6487.8500388903","coffee","true","1.0","complete","35","male","grown for market only",,,,,,,,,,,,,"true",,"true",,"true",,,,,,,,,,,"false","true","false","false","false","false","false",,,"false","false","false","false","false","false",,,"false","false",,"false","false","false","false","false","false",,,,"false","false","false","true","false",,,"false","false","false","does not use improved tech.","does not use improved tech.","does not use improved tech.","uses improved tech.",,"uses improved tech.","does not use improved tech.",,"does not use improved tech.","does not use improved tech.",,"2.0","uses improved tech.","2015-03-09T00:00:00.000","28"
"12","rural","2","6487.8500388903","beans","true","2.0","complete","26","female","grown for market only","1.0","true","false","false","false","false","false","false","false","false","false","false","true","false","true","false",,"false","false","false","false","true","false","false","false","true","false",,,,"false","false","false","false","false","false","false","false","false","false","false","false","true","false","true","false",,"false","false","false","false","false","false","true","false","false","true","false","false","true",,"false","false","false","false",,"does not use improved tech.","does not use improved tech.","does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","1.0","uses improved tech.","2015-03-09T00:00:00.000","28"
"31","urban","3","2042.6842105263001","coffee","false",,"no household member cultivated crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-08T00:00:00.000","27"
"31","urban","3","2042.6842105263001","beans","true","2.0","complete","46","female","grown for both food & market","2.0","true","false","false","false","false","false","true","false","true","false","true","false","false","false","false",,"false","false","false","false","false","false","true","false","true","false",,,,"false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false",,"false","true","false","false","false","false","false","true","false","true","false","false","true",,"false","false","false","false",,"does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","uses improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","3.0","uses improved tech.","2015-03-08T00:00:00.000","27"
"31","urban","3","2042.6842105263001","maize","true","2.0","complete","46","female","grown for food only",,"true","false","false","false","false","true","false","false","true","true","false","false","false","false","false",,"false","false","false","false","false","false","true","false","true","false",,,,"false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","true",,"false","false","false","false","false","does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","2.0","uses improved tech.","2015-03-08T00:00:00.000","27"
"11","urban","4",,"beans","false",,"no household member cultivated crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-12T00:00:00.000","41"
"11","urban","4",,"maize","false",,"no household member cultivated crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-12T00:00:00.000","41"
"11","urban","4",,"coffee","false",,"no household member cultivated crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-12T00:00:00.000","41"
"31","urban","5","3897.3660151323998","maize","false",,"no household member cultivated crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-21T00:00:00.000","17"
"31","urban","5","3897.3660151323998","coffee","false",,"no household member cultivated crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-21T00:00:00.000","17"
"31","urban","5","3897.3660151323998","beans","true","1.0","complete","30","male","grown for both food & market","1.0","false","false","false","false","false","true","false","false","true","true","false","true","false","false","false",,"false","false","false","false","false","true","false","false","false","true",,,,"false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false",,"true","true","false","false","false","false","false","true","false","true","false","false","true",,"false","false","false","false",,"uses improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","uses improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","does not use improved tech.","3.0","uses improved tech.","2015-03-21T00:00:00.000","17"
