"country","policy_area","secondary_policy_area_with","progress_to_date"
"Bangladesh","Agricultural Inputs","Same","In progress - on target"
"Bangladesh","Agricultural Inputs","Enabling Environment","In progress - on target"
"Bangladesh","Agricultural Inputs","Same","On hold"
"Bangladesh","Agricultural Inputs","Enabling Environment","On hold"
"Bangladesh","Agricultural Inputs","Institutional Architecture","In progress - on target"
"Bangladesh","Agricultural Inputs","Same","In progress - behind target"
"Bangladesh","Agricultural Inputs","Institutional Architecture","In progress - behind target"
"Bangladesh","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Bangladesh","Agricultural Inputs","Institutional Architecture","On hold"
"Bangladesh","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Bangladesh","Agricultural Inputs","Enabling Environment","In progress - behind target"
"Bangladesh","Agricultural Inputs","Same","In progress - behind target"
"Bangladesh","Markets & Trade","Same","In progress - on target"
"Bangladesh","Markets & Trade","Same","In progress - on target"
"Cambodia","Agricultural Inputs","Same","Completed"
"Cambodia","Agricultural Inputs","Same","In progress - on target"
"Cambodia","Agricultural Inputs","Same","In progress - on target"
"Cambodia","Agricultural Inputs","Institutional Architecture","In progress - behind target"
"Cambodia","Agricultural Inputs","Same","In progress - on target"
"Cambodia","Agricultural Inputs","Same","In progress - on target"
"Cambodia","Markets & Trade","Institutional Architecture","In progress - behind target"
"Cambodia","Enabling Environment for Private Sector Investment","Institutional Architecture","On hold"
"Cambodia","Enabling Environment for Private Sector Investment","Same","On hold"
"East Africa Regional","Agricultural Inputs","Markets & Trade","In progress - behind target"
"East Africa Regional","Agricultural Inputs","Markets & Trade","In progress - on target"
"East Africa Regional","Agricultural Inputs","Markets & Trade","In progress - on target"
"East Africa Regional","Agricultural Inputs","Markets & Trade","Completed"
"East Africa Regional","Markets & Trade","Institutional Architecture","In progress - on target"
"East Africa Regional","Markets & Trade","Institutional Architecture","In progress - behind target"
"East Africa Regional","Markets & Trade","Institutional Architecture","In progress - on target"
"East Africa Regional","Markets & Trade","Enabling Environment","Completed"
"East Africa Regional","Markets & Trade","Enabling Environment","In progress - on target"
"East Africa Regional","Markets & Trade","Enabling Environment","Completed"
"East Africa Regional","Markets & Trade","Enabling Environment","In progress - behind target"
"East Africa Regional","Markets & Trade","Enabling Environment","Completed"
"East Africa Regional","Markets & Trade","Enabling Environment","In progress - behind target"
"East Africa Regional","Markets & Trade","Agricultural Inputs","In progress - behind target"
"East Africa Regional","Markets & Trade","Enabling Environment","In progress - on target"
"East Africa Regional","Markets & Trade","Enabling Environment","Completed"
"East Africa Regional","Markets & Trade","Enabling Environment","In progress - on target"
"East Africa Regional","Markets & Trade","Enabling Environment","Completed"
"ECAM","Agricultural Inputs","Enabling Environment","2- In progress - on target"
"ECAM","Agricultural Inputs","Institutional Architecture","2- Completed"
"ECAM","Agricultural Inputs","Enabling Environment","2- Completed"
"ECAM","Agricultural Inputs","Same","2- In progress - on target"
"ECAM","Markets & Trade","Enabling Environment","6- Completed"
"ECAM","Markets & Trade","Institutional Architecture","6- In progress - on target"
"ECAM","Markets & Trade","Institutional Architecture","6- In progress - on target"
"ECAM","Markets & Trade","Enabling Environment","6- In progress - on target"
"ECAM","Markets & Trade","Institutional Architecture","6- In progress - on target"
"ECAM","Markets & Trade","Institutional Architecture","6- In progress - on target"
"ECAM","Markets & Trade","Institutional Architecture","6- Completed"
"ECAM","Markets & Trade","Institutional Architecture","6- In progress - on target"
"ECAM","Markets & Trade","Agricultural Inputs","6- In progress - on target"
"ECAM","Institutional Architecture for Improved Policy Formulation","Institutional Architecture","7- Completed"
