"country","survey","zoi","cluster","project","pbs_id","subgroup3","strata3","urbrur","ghht","today","weai_wt3","g104","g105_m","g105_y","g106","g107","g108","g109","g110","g111","g201_a","g202_a","g203_a","g201_b","g202_b","g203_b","g201_c","g202_c","g203_c","g201_d","g202_d","g203_d","g201_e","g202_e","g203_e","g201_f","g202_f","g203_f","g301a_a","g301b_a","g302_a","g303_a","g304_a","g305_a","g306_a","g301a_b","g301b_b","g302_b","g303_b","g304_b","g305_b","g306_b","g301a_c","g301b_c","g302_c","g303_c","g304_c","g305_c","g306_c","g301a_d","g301b_d","g302_d","g303_d","g304_d","g305_d","g306_d","g301a_e","g301b_e","g302_e","g303_e","g304_e","g305_e","g306_e","g301a_f","g301b_f","g302_f","g303_f","g304_f","g305_f","g306_f","g301a_g","g301b_g","g302_g","g303_g","g304_g","g305_g","g306_g","g301a_h","g301b_h","g302_h","g301a_i","g301b_i","g302_i","g301a_j","g301b_j","g302_j","g301a_k","g301b_k","g302_k","g301a_l","g301b_l","g302_l","g301a_m","g301b_m","g302_m","g301a_n","g301b_n","g302_n","g307_a","g308_a","g309_a","g307_b","g308_b","g309_b","g307_c","g308_c","g309_c","g307_d","g308_d","g309_d","g307_e","g308_e","g309_e","g401","g402","g403","g404_a","g405_a","g404_b","g405_b","g404_c","g405_c","g404_d","g405_d","g404_e","g405_e","g404_f","g405_f","g404_g","g405_g","g404_h","g405_h","g404_i","g405_i","g404_j","g405_j","g404_k","g405_k","g501_a","g502_a","g501_b","g502_b","g501_c","g502_c","g501_d","g502_d","g501_e","g502_e","g501_f","g502_f","g501_g","g502_g","g601b","g602","idcode"
"Malawi","2015 Interim Feed the Future survey","data collected by westat","183","FTF","10011","true","mchinji ftf","rural","male and female adults","09-21-2015","964.7025146484","[a] alone","11","1991","23","true","true","yes, currently married",,,"true","input into some decisions","input into some decisions","false",,,"false",,,"no",,,"true","input into some decisions","input into some decisions","false",,,"true","2","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"no",,,,,,,"true","1.0","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","false",,,,,,,"true","2.0","[ab] self and partner/spouse","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[ab] self and partner/spouse","no",,,,,,,"no",,,"true","1","[ab] self and partner/spouse","no",,,"false",,,"no",,,"no",,,"yes","1.0","[b] partner/spouse only","no",,,"no",,,"no",,,"yes, cash","[ab] self and partner/spouse","[b] partner/spouse only","no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","yes","no","yes","false","no",,"yes","false","don't know",,"no",,"no",,"yes","no","yes","true","no",,"no",,"[b] partner/spouse only","small extent","[ab] self and partner/spouse","small extent","[ab] self and partner/spouse","medium extent","[ab] self and partner/spouse","small extent","[ab] self and partner/spouse","small extent","[b] partner/spouse only","small extent","[ab] self and partner/spouse","small extent","less than usual","very satisfied","2"
"Malawi","2015 Interim Feed the Future survey","data collected by westat","269","FTF","10037","true","ntcheu ftf","rural","female adult(s) only","09-25-2015","1009.7247924805","[a] alone","7","1982","33","true","true","no, not in a union","yes, formerly married","separated","false",,,"false",,,"false",,,"no",,,"true","input into most or all decisions","input into most or all decisions","false",,,"true","2","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,,,,,"true","2.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","false",,,,,,,"true","3.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,"false",,,"no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, cash","[a] self only","[a] self only","no",,,"yes, comfortably","yes, comfortably","yes, comfortably","yes","no","yes","true","yes","no","no",,"no",,"no",,"no",,"no",,"yes","true","yes","true","no",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"about the same as usual","very satisfied","2"
"Malawi","2015 Interim Feed the Future survey","data collected by westat","158","FTF","10042","true","dedza ftf","rural","male and female adults","09-26-2015","1098.6223144531","[a] alone","3","1975","40","true","true","no, not in a union","yes, formerly married","divorced","false",,,"false",,,"false",,,"no",,,"true","input into most or all decisions","input into most or all decisions","false",,,"true","2","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"yes","1 to 4","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","false",,,,,,,"false",,,,,,,"true","2.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,"false",,,"no",,,"false",,,"yes","1.0","[a] self only","no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, comfortably","yes, comfortably","yes, comfortably","no",,"yes","false","no",,"no",,"no",,"yes","false","no",,"no",,"yes","false","no",,"yes","false","[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"about the same as usual","very satisfied","2"
"Malawi","2015 Baseline Food for Peace survey","data collected by icf","148","FTF","10050","true","machinga ftf","rural","male and female adults","09-05-2015","822.9680786133","[a] alone","9","1988","27",,"true","yes, currently married",,,"true","input into most or all decisions","input into most or all decisions","true","input into most or all decisions","input into most or all decisions","false",,,"yes","input into most or all decisions","input into most or all decisions","false",,,"false",,,"true","3+","[d] other non-hh member only","[d] other non-hh member only","[d] other non-hh member only","[d] other non-hh member only","[d] other non-hh member only","no",,,,,,,"no",,,,,,,"false",,,,,,,"false",,,,,,,"true","3.0","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[b] partner/spouse only","no",,,,,,,"no",,,"true","1","[a] self only","no",,,"true","4.0","[a] self only","yes","1.0","[b] partner/spouse only","no",,,"yes","1.0","[b] partner/spouse only","no",,,"no",,,"no",,,"no",,,"yes, cash","[b] partner/spouse only","[b] partner/spouse only","yes, comfortably","yes, comfortably","yes, comfortably","yes","no","yes","true","yes","no","yes","true","no",,"no",,"no",,"no",,"yes","false","no",,"no",,"[b] partner/spouse only","small extent","[b] partner/spouse only","small extent","[b] partner/spouse only","medium extent","[z] not applicable",,"[z] not applicable",,"[b] partner/spouse only","medium extent","[a] self only",,"about the same as usual","3","2"
"Malawi","2015 Interim Feed the Future survey","data collected by westat","223","FTF","10053","true","lilongwe ftf","rural","female adult(s) only","09-28-2015","1131.1684570313","[a] alone","10","1996","18","true","true","no, not in a union","yes, formerly married","divorced","true","input into most or all decisions","input into some decisions","true","input into most or all decisions","input into some decisions","false",,,"no",,,"true","input into most or all decisions","input into most or all decisions","false",,,"true","1","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,,,,,"true","3.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","false",,,,,,,"true","1.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,"true","1","[a] self only","no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","yes","no","no",,"no",,"yes","false","no",,"no",,"yes","false","yes","no","yes","true","no",,"no",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"less than usual","8","2"
"Malawi","2015 Baseline Food for Peace survey","data collected by icf","117","FTF","10071","true","balaka ftf","rural","male and female adults","07-28-2015","492.48165893550004","[a] alone","2","1974","41",,"true","yes, currently married",,,"true","input into some decisions","no input or input into very few decisions","true","input into some decisions","no input or input into very few decisions","false",,,"no",,,"false",,,"false",,,"true","2","[a] self only","[a] self only","[a] self only","[a] self only","[b] partner/spouse only","no",,,,,,,"no",,,,,,,"true","7.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","false",,,,,,,"true","7.0","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"no",,,"true","1","[b] partner/spouse only","no",,,"false",,,"yes","1.0","[b] partner/spouse only","no",,,"yes","1.0","[b] partner/spouse only","no",,,"no",,,"no",,,"yes, cash","[a] self only","[a] self only","no",,,"yes, comfortably","yes, comfortably","yes, comfortably","yes","yes","yes","true","yes","no","yes","false","no",,"yes","false","no",,"yes","yes","yes","true","yes","true","no",,"[b] partner/spouse only","medium extent","[b] partner/spouse only","medium extent","[b] partner/spouse only","not at all","[a] self only",,"[a] self only",,"[b] partner/spouse only","not at all","[a] self only",,"about the same as usual","neutral, neither satisfied nor dissatisfied","2"
"Malawi","2015 Baseline Food for Peace survey","data collected by icf","85","FTF","10073","true","machinga ftf","rural","female adult(s) only","09-04-2015","1390.5059814453","[b] adult females present","4","1960","55",,"true","no, not in a union","yes, formerly married","widowed","true","input into some decisions","input into some decisions","true","input into some decisions","input into most or all decisions","false",,,"no",,,"false",,,"false",,,"true","1","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,,,,,"false",,,,,,,"false",,,,,,,"true","1.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,"false",,,"no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"yes","true","no",,"no",,"[a] self only",,"[a] self only",,"[a] self only",,"[z] not applicable",,"[a] self only",,"[z] not applicable",,"[a] self only",,"less than usual","not satisfied","1"
"Malawi","2015 Baseline Food for Peace survey","data collected by icf","117","FTF","10089","true","balaka ftf","rural","male and female adults","07-29-2015","492.48165893550004","[b] adult females present","4","1988","27",,"true","yes, currently married",,,"true","input into some decisions","input into some decisions","true","input into some decisions","input into some decisions","true","input into some decisions","input into some decisions","yes","no input or input into very few decisions","input into some decisions","true","input into some decisions","input into some decisions","false",,,"true","2","[a] self only","[b] partner/spouse only","[d] other non-hh member only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"yes","1 to 4","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","true","3.0","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","false",,,,,,,"true","3.0","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"no",,,"true","1","[b] partner/spouse only","no",,,"true","3.0","[b] partner/spouse only","yes","1.0","[b] partner/spouse only","no",,,"yes","1.0","[b] partner/spouse only","no",,,"no",,,"no",,,"no",,,"yes, cash","[b] partner/spouse only","[b] partner/spouse only","yes, comfortably","yes, comfortably","yes, comfortably","yes","no","yes","true","no",,"yes","true","no",,"no",,"no",,"yes","no","yes","true","no",,"no",,"[b] partner/spouse only","to a high extent","[b] partner/spouse only","small extent","[b] partner/spouse only","small extent","[b] partner/spouse only","small extent","[a] self only",,"[b] partner/spouse only","medium extent","[b] partner/spouse only","to a high extent","about the same as usual","very satisfied","2"
"Malawi","2015 Baseline Food for Peace survey","data collected by icf","68","FTF-FFP-PCI","10091","true","machinga ftf-ffp-pci","rural","male and female adults","09-04-2015","999.3282470703","[a] alone","2","1993","22",,"true","yes, currently married",,,"true","input into most or all decisions","input into most or all decisions","true","input into some decisions","input into some decisions","false",,,"no",,,"true","input into most or all decisions","input into most or all decisions","false",,,"true","1","[d] other non-hh member only","[d] other non-hh member only","[d] other non-hh member only","[d] other non-hh member only","[d] other non-hh member only","no",,,,,,,"no",,,,,,,"false",,,,,,,"false",,,,,,,"false",,,,,,,"no",,,,,,,"no",,,"true","1","[a] self only","no",,,"true","1.0","[b] partner/spouse only","yes","2.0","[ab] self and partner/spouse","no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, comfortably","yes, comfortably","yes, comfortably","no",,"no",,"no",,"yes","false","no",,"no",,"no",,"no",,"yes","false","no",,"no",,"[ab] self and partner/spouse","medium extent","[a] self only",,"[b] partner/spouse only","small extent","[z] not applicable",,"[b] partner/spouse only","small extent","[z] not applicable",,"[b] partner/spouse only","small extent","more than usual","6","2"
"Malawi","2015 Interim Feed the Future survey","data collected by westat","39","FTF","10098","true","lilongwe ftf","rural","female adult(s) only","10-13-2015","1151.0870361328","[a] alone","12","1975","39","true","true","yes, currently married",,,"true","input into some decisions","input into some decisions","true","input into some decisions","input into some decisions","false",,,"yes","input into most or all decisions","input into most or all decisions","true","input into most or all decisions","input into most or all decisions","false",,,"true","3+","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"no",,,,,,,"false",,,,,,,"false",,,,,,,"true","7.0","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"no",,,"true","1","[b] partner/spouse only","yes","6.0","[b] partner/spouse only","true","2.0","[b] partner/spouse only","no",,,"no",,,"yes","1.0","[b] partner/spouse only","no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no",,"no",,"no",,"yes","false","no",,"no",,"no",,"yes","yes","yes","true","no",,"no",,"[b] partner/spouse only","to a high extent","[b] partner/spouse only","to a high extent","[b] partner/spouse only","to a high extent","[b] partner/spouse only","to a high extent","[a] self only",,"[b] partner/spouse only","medium extent","[a] self only",,"more than usual","very satisfied","2"
