"gender","county","location_of_institution","type_of_instituion"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Other","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Other","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Other","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Other","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Other","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Other","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"MALE","WAJIR","Wajir","Vocational"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","NA","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"FEMALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Garissa","Tertiary"
"MALE","WAJIR","Wajir","Tertiary"
"MALE","WAJIR","Wajir","Vocational"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"FEMALE","MANDERA","NA","Vocational"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","Other","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","Garissa","Tertiary"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","N/A","Vocational"
"MALE","MANDERA","N/A","Vocational"
"MALE","MANDERA","MANDERA_TOWN","Tertiary"
"MALE","MANDERA","Garissa","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"FEMALE","MANDERA","NA","Vocational"
"MALE","MANDERA","MANDERA_TOWN","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","Other","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA","Vocational"
"MALE","MANDERA","Garissa","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Tertiary"
"MALE","MANDERA","MANDERA","Vocational"
"MALE","MANDERA","NAIROBI","Tertiary"
"MALE","MANDERA","MANDERA","Vocational"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","Wajir","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"FEMALE","MANDERA","MANDERA_EAST","Vocational"
"MALE","MANDERA","NA","Vocational"
"FEMALE","MANDERA","MANDERA_EAST","Vocational"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","NAIROBI","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"FEMALE","MANDERA","NA","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","Other","Tertiary"
"MALE","MANDERA","MANDERA_EAST","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"FEMALE","MANDERA","NA","Tertiary"
"MALE","MANDERA","Other","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Tertiary"
"MALE","MANDERA","MANDERA_TOWN","Vocational"
"MALE","MANDERA","NAIROBI","Tertiary"
