LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000171-0001-7,EAST LA COMMUNITY CORP,,121 N CHICAGO STREET,LOS ANGELES,90033-2904,121 CHICAGO 90033-2904,530 S BOYLE AVENUE,LOS ANGELES,90033-3817,531100,Lessors of real estate (including mini warehouses & self-storage units),14,06/05/1995,,"(34.0447, -118.2123)",23450,9,522,350,,38
0000000171-0002-5,EAST LA COMMUNITY CORP,,115 N SOTO STREET,LOS ANGELES,90033-2932,115 SOTO 90033-2932,530 S BOYLE AVENUE,LOS ANGELES,90033-3817,531100,Lessors of real estate (including mini warehouses & self-storage units),14,01/26/2007,,"(34.0441, -118.2094)",23450,9,519,945,,38
0000000171-0003-3,EAST LA COMMUNITY CORP,,2917 E 1ST STREET UNIT #101,LOS ANGELES,90033-3667,2917 1st 90033-3667,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),14,01/01/2021,,"(34.0409, -118.2027)",23450,9,519,945,,38
0000000455-0001-2,OPERATION YOUTH EDUCATIONAL SERVICES /C,,2900 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-3110,2900 CESAR E CHAVEZ 90033-3110,POST OFFICE BOX #33165,LOS ANGELES,90033-0165,611000,"Educational services (including schools, colleges, & universities)",14,01/01/1991,,"(34.044, -118.2016)",23450,9,519,945,,38
0000001539-0001-9,CALIFORNIA CHILDREN'S ACADEMY,,233 N BREED STREET,LOS ANGELES,90033-2902,233 BREED 90033-2902,2701 N MAIN STREET,LOS ANGELES,90031-3320,624410,Child day care services,14,12/01/1991,,"(34.0465, -118.21)",23450,9,522,350,,38
0000001901-0001-4,PROJECT AMIGA,,2130 E 1ST STREET,LOS ANGELES,90033-3958,2130 1ST 90033,2001 TYLER AVENUE #203,EL MONTE,91733-3510,611000,"Educational services (including schools, colleges, & universities)",14,06/25/1993,,"(34.0446, -118.2132)",23450,9,522,350,,38
0000001963-0001-5,WHITE MEMORIAL CENTER CHARITABLE FOUNDATION,,1720 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-2414,1720 CESAR E CHAVEZ 90033-2414,,,,622000,Hospitals,14,07/15/1998,,"(34.051, -118.2173)",23450,9,511,349,,38
0000005956-0001-4,SONIA F PENATE,PENATE FAMILY CHILD CARE,2106 CITY VIEW AVENUE,LOS ANGELES,90033-1805,2106 CITY VIEW 90033-1805,,,,624410,Child day care services,14,05/25/2002,,"(34.0522, -118.2089)",23450,9,512,509,,38
0000006074-0001-6,JESUS SALAZAR,SALAZAR CREATIONS,2435 WABASH AVENUE,LOS ANGELES,90033-2509,2435 WABASH 90033-2509,,,,315000,Apparel mfg.,14,05/14/2003,,"(34.0524, -118.2024)",23450,9,,1216,,38
0000006178-0001-2,ERIKA H BANKS MD,,1510 SAN PABLO STREET #233,LOS ANGELES,90033-5320,1510 SAN PABLO 90033-5406,,,,621111,Offices of physicians (except mental health specialists),14,,,"(34.063, -118.2029)",23450,9,510,488,,1
