"dataset_link","public","derived_view","u_id","department","domain","type","name","description","visits","creation_date","last_update_date_data","category","keywords","downloads","owner_uid","license","publication_stage","published_version_name","published_version_uid","data_provided_by","source_link","routing_approval","api_endpoint","system","last_updated","what_geographic_unit_is_the_data_collected","refresh_rate","does_this_data_have_a_location_column_yes_or_no","geometrytype","hasattachments","parent_uid","moderation_status","provenance","owner","individual_owner_name_s_not_public","individual_owner_email_s_not_public"
"https://data.lacity.org/d/wbab-cfvw","false","true","wbab-cfvw","Mayor's Office","data.lacity.org","chart","Population by Zip Code","This data comes from the 2010 Census Profile of General Population and Housing Characteristics. Zip codes are limited to those that fall at least partially within LA city boundaries. The dataset will be updated after the next census in 2020. 
To view all possible columns and access the data directly, visit http://factfinder.census.gov/faces/affhelp/jsf/pages/metadata.xhtml?lang=en&type=table&id=table.en.DEC_10_SF1_SF1DP1#main_content.","1","2020-11-13T00:16:00.000Z","2016-03-07T02:52:00.000Z",,,"0","j7w9-mrpe","Creative Commons 1.0 Universal (Public Domain Dedication)","unpublished",,,"U.S. Census","https://www.census.gov/2010census/data/",,"https://data.lacity.org/resource/wbab-cfvw.json",,,,"Other - See Description","No",,,"nxs9-385f",,"community","Catherine S",,
"https://data.lacity.org/d/nxw7-u22u","false","true","nxw7-u22u","LAPD","data.lacity.org","chart","Areas calls for service in LAPD 2019","This dataset reflects calls for service incidents in the City of Los Angeles in the year 2019. This data is as accurate as the data in the database. Please note questions or concerns in the comments.","2","2020-11-11T14:08:00.000Z","2020-03-28T01:36:00.000Z","A Safe City",,"0","gj2p-awmc","Creative Commons 1.0 Universal (Public Domain Dedication)","unpublished",,,"Los Angeles Police Department",,,"https://data.lacity.org/resource/nxw7-u22u.json",,,,"Weekly","No",,,"r4ka-x5je",,"community","Kathleen Jacoby",,
"https://data.lacity.org/d/bern-9rh3","false","true","bern-9rh3","Building and Safety","data.lacity.org","map","Permit Checking","The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.","1","2020-11-11T02:43:00.000Z","2020-11-09T10:19:00.000Z","A Prosperous City",,"0","3yp8-mch8","Creative Commons Attribution 4.0 International","unpublished",,,"LADBS","https://creativecommons.org/licenses/by/4.0/",,"https://data.lacity.org/resource/bern-9rh3.json",,,"Latitude/longitude","Weekly","Yes",,,"d9aa-v8bm",,"community","Julian Carr",,
"https://data.lacity.org/d/sapw-xd2z","false","true","sapw-xd2z","LAPD","data.lacity.org","chart","Homicide 2019 YTD","This dataset reflects incidents of crime in the City of Los Angeles from 2010 - 2019. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.","2","2020-11-09T23:23:00.000Z","2020-11-11T14:01:00.000Z","A Safe City",,"0","5ze7-3n2b","Creative Commons 1.0 Universal (Public Domain Dedication)","published",,,"Los Angeles Police Department","http://data.lacity.org",,"https://data.lacity.org/resource/sapw-xd2z.json",,,"Latitude/longitude","Weekly","Yes",,,"63jg-8b9z",,"community","Dustin DeRollo",,
"https://data.lacity.org/d/yata-niks","false","true","yata-niks","LAPD","data.lacity.org","chart","2020 Homicides","This dataset reflects incidents of crime in the City of Los Angeles dating back to 2020. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.","4","2020-11-09T23:18:00.000Z","2020-11-11T14:10:00.000Z","A Safe City",,"0","5ze7-3n2b","Creative Commons 1.0 Universal (Public Domain Dedication)","published",,,"Los Angeles Police Department","http://data.lacity.org",,"https://data.lacity.org/resource/yata-niks.json",,,"Latitude/longitude","Weekly","Yes",,,"2nrs-mtv8",,"community","Dustin DeRollo",,
"https://data.lacity.org/d/npmp-86jq","false","true","npmp-86jq","LAPD","data.lacity.org","chart","Mental Health Calls for Service LAPD 2019","This dataset reflects calls for service incidents in the City of Los Angeles in the year 2019. This data is as accurate as the data in the database. Please note questions or concerns in the comments.","1","2020-11-08T15:13:00.000Z","2020-03-28T01:36:00.000Z","A Safe City",,"0","gj2p-awmc","Creative Commons 1.0 Universal (Public Domain Dedication)","unpublished",,,"Los Angeles Police Department",,,"https://data.lacity.org/resource/npmp-86jq.json",,,,"Weekly","No",,,"r4ka-x5je",,"community","Kathleen Jacoby",,
"https://data.lacity.org/d/uicy-cqmp","false","false","uicy-cqmp","Building and Safety","data.lacity.org","dataset","Building and Safety Residential Care Facility Submitted Applications",,"8","2020-11-05T20:27:00.000Z","2020-11-11T08:00:00.000Z","A Safe City",,"1","tdwf-cih6",,"published",,,,,,"https://data.lacity.org/resource/uicy-cqmp.json",,,,"Weekly","Yes",,,,,"official","Building and Safety OpenData","Dwayne Norman , Ling Ke, Minh Ong","dwayne.norman@lacity.org, minh.ong@lacity.org, ling.ke@lacity.org"
"https://data.lacity.org/d/uv9c-hcma","false","true","uv9c-hcma","LAPD","data.lacity.org","chart","2020 criminal homicides","This dataset reflects incidents of crime in the City of Los Angeles dating back to 2020. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.","1","2020-11-04T23:30:00.000Z","2020-11-11T14:10:00.000Z","A Safe City",,"0","wtrx-cia2","Creative Commons 1.0 Universal (Public Domain Dedication)","unpublished",,,"Los Angeles Police Department","http://data.lacity.org",,"https://data.lacity.org/resource/uv9c-hcma.json",,,"Latitude/longitude","Weekly","Yes",,,"2nrs-mtv8",,"community","Nasir",,
"https://data.lacity.org/d/y5xc-m9kz","false","true","y5xc-m9kz","LAPD","data.lacity.org","chart","2019 criminal homicides","This dataset reflects incidents of crime in the City of Los Angeles from 2010 - 2019. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.","1","2020-11-04T23:20:00.000Z","2020-11-11T14:01:00.000Z","A Safe City",,"0","wtrx-cia2","Creative Commons 1.0 Universal (Public Domain Dedication)","unpublished",,,"Los Angeles Police Department","http://data.lacity.org",,"https://data.lacity.org/resource/y5xc-m9kz.json",,,"Latitude/longitude","Weekly","Yes",,,"63jg-8b9z",,"community","Nasir",,
"https://data.lacity.org/d/spr7-jwnq","false","true","spr7-jwnq",,"data.lacity.org","filter","viewable","The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.","1","2020-10-29T18:09:00.000Z","2020-11-09T10:19:00.000Z","A Prosperous City","ladbs,department of building and safety,building and safety,building,safety,construction services,construction,permit,permit number,permit type,occupancy,sign,building permit,building new,new building,building alter repair,repair,remodel,building addition,building demolition,demolition permit,demolition,building relocation,relocation permit,relocation,swimming pool permit,swimming pool,spa,grading permit,grading,sign permit,electrical permit,electrical,solar pv permit,solar photovoltaic,solar pv,solar,photovoltaic,mechanical permit,mechanical,plumbing permit,plumbing,hvac permit,hvac,heating,ventilation,air-conditioning,air conditioning,ac,fire sprinkler permit,fire sprinkler,pressure vessel permit,pressure vessel,pv,elevator permit,elevator,commercial,1 or 2 family dwelling,apartment,valuation,plan check","0","6tik-hicg","Creative Commons Attribution 4.0 International","unpublished",,,"LADBS","https://creativecommons.org/licenses/by/4.0/",,"https://data.lacity.org/resource/spr7-jwnq.json",,,,,,,,"yv23-pmwf",,"community","jilsanderror@gmail.com",,
"https://data.lacity.org/d/9tva-zyvy","false","true","9tva-zyvy",,"data.lacity.org","filter","viewable","The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.","0","2020-10-29T18:09:00.000Z","2020-11-09T10:19:00.000Z","A Prosperous City","ladbs,department of building and safety,building and safety,building,safety,construction services,construction,permit,permit number,permit type,occupancy,sign,building permit,building new,new building,building alter repair,repair,remodel,building addition,building demolition,demolition permit,demolition,building relocation,relocation permit,relocation,swimming pool permit,swimming pool,spa,grading permit,grading,sign permit,electrical permit,electrical,solar pv permit,solar photovoltaic,solar pv,solar,photovoltaic,mechanical permit,mechanical,plumbing permit,plumbing,hvac permit,hvac,heating,ventilation,air-conditioning,air conditioning,ac,fire sprinkler permit,fire sprinkler,pressure vessel permit,pressure vessel,pv,elevator permit,elevator,commercial,1 or 2 family dwelling,apartment,valuation,plan check","0","6tik-hicg","Creative Commons Attribution 4.0 International","unpublished",,,"LADBS","https://creativecommons.org/licenses/by/4.0/",,"https://data.lacity.org/resource/9tva-zyvy.json",,,,,,,,"yv23-pmwf",,"community","jilsanderror@gmail.com",,
"https://data.lacity.org/d/s7sg-72iw","false","true","s7sg-72iw",,"data.lacity.org","gis map","Tuba","Official Sanitary Sewer System in the City of Los Angeles created and maintained by the Bureau of Engineering / GIS Mapping Division. GIS Data contains the Pipes, Structures, Wyes, Laterals (House Connections), Sewer Easements, and Flow Direction.","4","2020-10-28T03:41:00.000Z","2020-11-06T19:38:00.000Z","A Livable and Sustainable City","sewer,wastewater,pipe,wye,maintenance hole,house connection,sewer flow,gis,geographic information","0","ajq7-eaa6","Creative Commons 1.0 Universal (Public Domain Dedication)","published",,,"Bureau of Engineering",,,"https://data.lacity.org/resource/s7sg-72iw.json",,,,,,,,"7aty-5ywx",,"community","Reece",,
"https://data.lacity.org/d/iu2q-8hhk","false","true","iu2q-8hhk","Building and Safety","data.lacity.org","map","Grading 2020","The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.","4","2020-10-27T11:47:00.000Z","2020-11-09T10:19:00.000Z","A Prosperous City",,"0","ap5u-tpst","Creative Commons Attribution 4.0 International","unpublished",,,"LADBS","https://creativecommons.org/licenses/by/4.0/",,"https://data.lacity.org/resource/iu2q-8hhk.json",,,"Latitude/longitude","Weekly","Yes",,,"yv23-pmwf",,"community","jifarrar",,
