LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000275170-0002-2,GARCO ENTERPRISES INC,MCDONALD'S #7072,10611 W PICO BLVD,LOS ANGELES,90064-2213,10611 PICO 90064-2213,,,,722110,Full-service restaurants,5,03/01/1999,,"(34.0433, -118.4222)",24029,6,874,817,9,75
0000289721-0001-5,HOMAK ENTERPRISES INC,MCDONALD'S #2203,15700 VENTURA BLVD,ENCINO,91436-2904,15700 VENTURA 91436-2904,,,,722110,Full-service restaurants,4,10/01/2001,,"(34.1551, -118.4749)",19737,6,338,670,6,62
0000289721-0003-1,HOMAK ENTERPRISES INC,MCDONALD'S # 17114,23340 AVENUE SAN LUIS,WOODLAND HILLS,91364-1099,23340 AVENUE SAN LUIS 91364-1099,15700 VENTURA BLVD,ENCINO,91436-2904,722110,Full-service restaurants,3,07/28/2015,,"(34.16, -118.6348)",19346,4,310,650,,49
0000551373-0001-9,ONEMOR INC,MCDONALD'S,1625 WILSHIRE BLVD,LOS ANGELES,90017-1610,1625 WILSHIRE 90017-1610,2202 S FIGUEROA STREET SUITE #4003,LOS ANGELES,90007-2049,722110,Full-service restaurants,1,01/10/2002,,"(34.0557, -118.2709)",23078,11,561,836,,68
0000576494-0001-8,HOMAK ENTERPRISES INC,MCDONALD'S #27077 | MCDONALDS # 27077,18909 VENTURA BLVD,TARZANA,91356-3211,18909 VENTURA 91356-3211,15700 VENTURA BLVD,ENCINO,91436-2904,722110,Full-service restaurants,3,10/03/2001,,"(34.1723, -118.5449)",19339,4,321,1496,6,10
0000584039-0001-8,AL-MATT INC,MCDONALD'S RESTAURANT,505 W FLORENCE AVENUE,LOS ANGELES,90044-6101,505 FLORENCE 90044-6101,201 E ROOSEVELT ROAD,LONG BEACH,90807-2609,722110,Full-service restaurants,8,11/15/2001,,"(33.9746, -118.2829)",23675,14,775,756,7,
0000646017-0001-6,SANCHEZ FAMILY CORPORATION,MCDONALD'S #6688,201 W WASHINGTON BLVD,LOS ANGELES,90015-3514,201 WASHINGTON 90015-3514,4140   OCEANSIDE BLVD   SUITE #159-170,OCEANSIDE,92056-6005,722110,Full-service restaurants,14,12/01/2001,,"(34.032, -118.2667)",23076,13,694,1220,7,76
0000649093-0001-9,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 5547 | MCDONALDS #5547,1452 W CARSON STREET,TORRANCE,90501-3920,1452 CARSON 90501-3920,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,15,10/01/1962,,"(33.8315, -118.3028)",25715,15,945,1320,,55
0000649093-0030-2,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 27113,1845 S LA CIENEGA BLVD,LOS ANGELES,90035-4603,1845 LA CIENEGA 90035-4603,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,10,11/20/2002,,"(34.0433, -118.3765)",23666,12,887,1102,,23
0000720983-0001-6,LOPATY NORTH HOLLYWOOD CARRY OUT RESTAURANT INC,MCDONALD'S,12919 VICTORY BLVD,N HOLLYWOOD,91606-2923,12919 VICTORY 91606-2923,18747 SHERMAN WAY SUITE #227,RESEDA,91335-4055,722110,Full-service restaurants,2,01/01/1965,,"(34.1866, -118.4145)",8889,5,185,503,,70
0000957670-0001-5,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,4947 HUNTINGTON DRIVE N,LOS ANGELES,90032-1643,4947 HUNTINGTON 90032-1643,980 S ARROYO PARKWAYS    SUITE #220,PASADENA,91105-3926,722110,Full-service restaurants,14,03/01/1999,,"(34.0875, -118.1752)",23449,9,503,374,,91
