"permit_nbr","primary_address","zip_code","cd","pin_nbr","associated_pins","apn","zone","apc","cpa","cnc","hl","ct","group","permit_type","permit_sub_type","use_code","use_desc","submitted_date","issue_date","cofo_date","du_changed","adu_changed","square_footage","status","valuation","construction","height","type_lat_lon","lat","lon","refresh_time","work_desc"
"06014-20001-01321","10314 N ODELL AVE","91040","2","204B193   594","204B193   594","2560010013","R1-1","North Valley","Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga","Sunland - Tujunga",,"1034.00","Building","Bldg-Addition","1 or 2 Family Dwelling","1","Dwelling - Single Family","2006-04-18T00:00:00.000","2006-04-18T00:00:00.000",,,,"131","Permit Finaled","12000","Type V-N Construction",,"ADDRESS","34.2566","-118.31215","2022-09-10T00:00:00.000","Extend (E) Bedroom & Add Bath Room With Walk-In Closet.  Remodel (E) Entry Porch."
"02048-20001-00043","6915 N VAN NUYS BLVD","91405","11","183B149   525","183B149   525","2219026042","C2-1L ; R3-2","South Valley","Van Nuys - North Sherman Oaks",,,"1278.01","Building","Sign","Onsite","19","Sign",,"2002-03-22T00:00:00.000",,,,,"Permit Finaled","1056",,,"ADDRESS","34.19621","-118.44905","2022-09-10T00:00:00.000","Supplemnt To Permit 02vn03705 To Install 2 4'X6' Non-Illuminated Wall Signs To Read First Class Body Shop"
"01016-10000-00084","5100 N FIGUEROA ST","90042","1","150A227   198","150A225   209; 150A225   214; 150A227   160; 150A227   194; 150A227   198","5468005043","[Q]C4-1VL-HPOZ","East Los Angeles","Northeast Los Angeles",,"YES","1838.00","Building","Bldg-Alter/Repair","Commercial","23","Shoring (Temporary)","2001-01-03T00:00:00.000","2001-01-26T00:00:00.000",,,,,"Permit Finaled","10000",,,"ADDRESS","34.10543","-118.20084","2022-09-10T00:00:00.000","Temporary Shoring (Earth) 240' Long X 6ft Max Ht Along North And Northeast Property Lines."
"07014-20000-08485","522 W 79TH ST","90044","8","099B201   607","099B201   607","6032028021","RD1.5-1","South Los Angeles","South Los Angeles",,,"2377.20;2383.10","Building","Bldg-Addition","1 or 2 Family Dwelling","1","Dwelling - Single Family","2007-12-14T00:00:00.000","2007-12-14T00:00:00.000","2012-10-23T00:00:00.000",,,"408","CofO Issued","36000","Type V-N Construction",,"ADDRESS","33.9676","-118.28352","2022-09-10T00:00:00.000","357 Sq Ft Addition To (E) Sfd For Master Bedroom & Family Room.  New Additon Of 51 Sq Ft Covered Porch To (E) Sfd. All Work Per Type V Sheet."
"04014-20002-05537","7624 W WENTWORTH ST","91042","2","207B197   221","207B197   221","2557007011","R1-1","North Valley","Sunland-La Tuna Cyn-Lakevw Ter-Shadow Hls-Tuj","Sunland-Tujunga",,"1031.02","Building","Bldg-Alter/Repair","1 or 2 Family Dwelling","1","Dwelling - Single Family",,"2004-07-12T00:00:00.000",,,,,"Permit Expired","301",,,"ADDRESS","34.26666","-118.29876","2022-09-10T00:00:00.000","Site Plan Revision - Change Rear Yard Setback From 21' To 18'"
"04016-10002-07658","1338-1340 S ABBOT KINNEY BLVD","90291","11","108B145  1340","108B145  1340","4238004039","C2-1-O-CA","West Los Angeles","Venice","Grass Roots Venice",,"2735.00","Building","Bldg-Alter/Repair","Commercial","16","Retail","2008-12-03T00:00:00.000","2008-12-03T00:00:00.000",,,,"6886","Permit Finaled","0",,,"ADDRESS","33.99075","-118.46691","2022-09-10T00:00:00.000","Supplemental Permit To Correct Structural Inventory.  ** No Fee - Department Error **(Remove Entire First Floor Int. Walls And Remove 3 Mezzanines & Stairs. Provide New Demissing Wall And Interior Partition With New Mezzanine And Stairs)."
"08016-10000-10532","928 S WESTERN AVE #105","90006","10","132B193  1012","132B193  1012","5093009022","C2-1","Central","Wilshire","Wilshire Center - Koreatown",,"2125.00","Building","Bldg-Alter/Repair","Commercial","16","Retail","2008-06-23T00:00:00.000","2008-06-24T00:00:00.000",,,,,"Permit Finaled","3000",,,"ADDRESS","34.05485","-118.30886","2022-09-10T00:00:00.000","New Glass Sliding Door At Storefront And New Counter"
"07016-10000-11323","422 S GAFFEY ST","90731","15","015B197   112","015B197   112","7451026030","[Q]C2-1XL","Harbor","San Pedro","Central San Pedro","YES","2966.00","Building","Bldg-Alter/Repair","Commercial","16","Retail","2007-06-18T00:00:00.000","2007-08-06T00:00:00.000",,,,,"Permit Expired","80500",,,"ADDRESS","33.74001","-118.29213","2022-09-10T00:00:00.000","Tenant Improvement Of (E) Retail Space (#06010-10000-03439).  Non-Bearing Partitions, Fixtures, And Finishes.  (A=1995 Sf)."
"06014-10001-03662","19302 W OXNARD ST","91356","3","177B117   682","177B117   682","2153034011","RA-1","South Valley","Encino - Tarzana","Tarzana",,"1393.01","Building","Bldg-Addition","1 or 2 Family Dwelling","1","Dwelling - Single Family","2006-04-26T00:00:00.000","2007-03-08T00:00:00.000",,,,"2537","Permit Finaled","301","Type V-N Construction","27.83","ADDRESS","34.17907","-118.55371","2022-09-10T00:00:00.000","Supplemental Permit To Include Changes To Original Plan: 1.  Add 2 New Approved Fireplaces On The Second Floor.  2.  Relocation Of Shear Walls And Windows On The Second Floor.  3.  Widening Of Concrete Landing On The First Floor.  4.  Widening Of Bathroom And Closet On Second Floor."
"00016-10000-00785","4549 N ELLENWOOD DR","90041","14","159A221   398","159A221   398","5473035003","R3-1","East Los Angeles","Northeast Los Angeles",,"YES","1813.00","Building","Bldg-Alter/Repair","Apartment","5","Apartment",,"2000-03-15T00:00:00.000",,"-1",,,"Permit Finaled","4000","Type V-N Construction",,"ADDRESS","34.12806","-118.21966","2022-09-10T00:00:00.000","Convert A 5-Units Apartment Building To A 4-Units Apartment. Unit 1 And Unit 2 Being Combined Into One Unit. Work Already Done. Issue Permit For Housing Dept. Notice To Comply."
