LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000171-0001-7,EAST LA COMMUNITY CORP,,121 N CHICAGO STREET,LOS ANGELES,90033-2904,121 CHICAGO 90033-2904,530 S BOYLE AVENUE,LOS ANGELES,90033-3817,531100,Lessors of real estate (including mini warehouses & self-storage units),14,06/05/1995,,"(34.0447, -118.2123)",23450,9,522,350,,38
0000000171-0002-5,EAST LA COMMUNITY CORP,,115 N SOTO STREET,LOS ANGELES,90033-2932,115 SOTO 90033-2932,530 S BOYLE AVENUE,LOS ANGELES,90033-3817,531100,Lessors of real estate (including mini warehouses & self-storage units),14,01/26/2007,,"(34.0441, -118.2094)",23450,9,519,945,,38
0000000171-0003-3,EAST LA COMMUNITY CORP,,2917 E 1ST STREET UNIT #101,LOS ANGELES,90033-3667,2917 1st 90033-3667,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),14,01/01/2021,,"(34.0409, -118.2027)",23450,9,519,945,,38
0000000224-0001-1,"ARROWHEAD BRASS PRODUCTS,LLC",,5147 ALHAMBRA AVENUE,LOS ANGELES,90032-3413,5147 ALHAMBRA 90032-3413,,,,452000,General merchandise stores,14,,,,,,,,,
0000000320-0005-3,PUBLIC STORAGE INC,PUBLIC STORAGE #00203,4889 VALLEY BLVD,LOS ANGELES,90032-3314,4889 VALLEY 90032-3314,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),14,01/01/1985,,"(34.0676, -118.1781)",23449,9,507,771,,91
0000000320-0012-6,PUBLIC STORAGE INC,PUBLIC STORAGE #27805,1702 S SAN PEDRO STREET,LOS ANGELES,90015-3709,1702 SAN PEDRO 90015-3709,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),14,06/22/1988,,"(34.0288, -118.2566)",23082,9,702,1220,7,76
0000000320-0014-2,PUBLIC STORAGE INC,PUBLIC STORAGE #22324,4002 N MISSION ROAD,LOS ANGELES,90032-2514,4002 MISSION 90032-2514,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),14,10/02/1988,,"(34.074, -118.1963)",23448,11,487,337,,1
0000000320-0017-7,PUBLIC STORAGE INC,PUBLIC STORAGE #23218,2370 COLORADO BLVD,LOS ANGELES,90041-1145,2370 COLORADO 90041-1145,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),14,11/30/1988,,"(34.1398, -118.2181)",23672,9,356,570,30,60
0000000320-0019-3,PUBLIC STORAGE INC,PUBLIC STORAGE #21910,649 S BOYLE AVENUE,LOS ANGELES,90023-1268,649 BOYLE 90023-1268,POST OFFICE BOX #25025,GLENDALE,91221-5025,,,14,03/13/1989,,"(34.0386, -118.2197)",23450,9,523,947,,38
0000000320-0026-6,PUBLIC STORAGE INC,PUBLIC STORAGE #20220,4583 HUNTINGTON DRIVE S,LOS ANGELES,90032-1940,4583 HUNTINGTON 90032-1940,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),14,05/26/1994,,"(34.0852, -118.1864)",23449,9,500,610,,91
