LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000008205-0001-6,SOLMAN AKSAD / MOHAMMED A AHAD,HOLLYWOOD PARKING,1637 N CAHUENGA BLVD,HOLLYWOOD,90028-6201,1637 CAHUENGA 90028-6201,6510   WHITSETT AVENUE,NORTH HOLLYWOOD,91606-2324,812930,Parking lots & garages,13,04/16/2003,,"(34.1004, -118.3295)",23446,8,422,468,,34
0000011746-0001-1,MICHAEL MOSHE,M M PAINTING,5939 WHITSETT AVENUE #18,N HOLLYWOOD,91607-4813,5939 WHITSETT 91607-4813,,,,235210,Painting and Wall Covering Contractors (1997 NAICS),2,02/01/2000,,"(34.1782, -118.4052)",8890,5,188,525,,70
0000012138-0016-3,VOLUNTEERS OF AMERICA OF LOS ANGELES,,6428 WHITSETT AVENUE,NORTH HOLLYWOOD,91606-2322,6428 Whitsett 91606-2322,3600 WILSHIRE BLVD SUITE #1500,LOS ANGELES,90010-2619,624200,"Community food & housing, & emergency & other relief services",2,02/18/2020,,"(34.1876, -118.4049)",8889,5,188,406,,70
0000013219-0001-8,THIRTY-SIXTH CHURCH OF CHRIST SCIENTIST,,12360 VENTURA BLVD,STUDIO CITY,91604-2508,12360 VENTURA 91604-2508,4032 WHITSETT AVENUE,STUDIO CITY,91604-2422,451211,Book stores,4,03/01/2000,,"(34.1429, -118.4016)",8492,5,352,710,6,84
0000015313-0001-3,"FRIENDS & FAMILY CREATIONS, INC",CREATIVE SOUND,4302 WHITSETT AVENUE APT #3,STUDIO CITY,91604-1618,4302 WHITSETT 91604-1618,,,,424990,Other miscellaneous nondurable goods,4,01/01/1997,,"(34.1485, -118.4051)",8492,5,346,1504,,84
0000017191-0001-1,CESAR AMILCAR LINARES,,5838 WHITSETT AVENUE #101,VALLEY VILLAGE,91607-1189,5838 WHITSETT 91607-1189,,,,561110,Office administrative services,2,03/01/1991,,"(34.1767, -118.4052)",8890,5,188,525,,70
0000025294-0001-5,LARRY R/CAROL A BERMAN,CASCADE APARTMENTS,4925 WHITSETT AVENUE,VALLEY VILLAGE,91607-3551,4925 WHITSETT 91607-3551,14011 VENTURA BLVD #200,SHERMAN OAKS,91423-5218,531100,Lessors of real estate (including mini warehouses & self-storage units),2,12/01/1973,,"(34.1597, -118.4052)",8890,5,191,1332,17,39
0000027386-0001-3,GREG KEVORKIAN,THRIFTY CLEANERS,5410 WHITSETT AVENUE,N HOLLYWOOD,91607-1615,5410 WHITSETT 91607-1615,POST OFFICE BOX #950832,MISSION HILLS,91395-0832,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),2,09/20/1999,,"(34.169, -118.4052)",8890,5,204,1235,17,39
0000032755-0001-1,STERPA/ASSOCIATES INC,WHITSETT PROPERTIES,4945 WHITSETT AVENUE #104,VALLEY VILLAGE,91607-3540,4945 WHITSETT 91607-3540,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),2,10/01/1973,,"(34.16, -118.4052)",8890,5,191,1332,17,39
0000033875-0001-3,MARIAELENA ORTIZ BERMUDE,HALLO GUARDIAN ANGEL,5060   WHITSETT AVENUE   APT #7,VALLEY VILLAGE,91607-3041,5060 WHITSETT 91607-3041,5060   WHITSETT AVENUE   APT #7,VALLEY VILLAGE,91607-3041,561600,Investigation & security services,2,06/03/2003,,"(34.1629, -118.4049)",8890,5,191,1332,17,39
0000039646-0001-4,ELVA I CHAVEZ,,5453   WHITSETT AVENUE,VALLEY VILLAGE,91607-1674,5453 WHITSETT 91607-1674,11225 HUON STREET APT #201,NORTH HOLLYWOOD,91601-4475,561300,Employment services,2,09/01/2001,,"(34.1698, -118.4054)",8890,5,200,523,17,39
0000048717-0001-5,MARK WURM,3715 PACIFIC/75 WINDWARD/5320 WHITSETT AV PROPERTY (VENICE BEACH HOSTEL),1515 PACIFIC AVENUE,VENICE,90291-3611,1515 PACIFIC 90291-3611,POST OFFICE BOX #1941,VENICE,90294-1941,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",11,02/01/1993,,"(33.988, -118.4725)",25073,10,909,1263,10,30
0000070287-0001-1,MARIBEL CATALA,BEL'S ONLINE,551 S KINGSLEY DRIVE,LOS ANGELES,90020-3505,551 KINGSLEY 90020-3505,6750 Whitsett #273,North Hollywood,91606-5702,424400,Grocery & related products,10,01/01/2004,,"(34.064, -118.3032)",23081,12,591,1261,,89
0000073895-0001-6,THOMAS CARSON,,6114   WHITSETT AVENUE,NORTH HOLLYWOOD,91606-4560,6114 WHITSETT 91606-4560,304 VISTA DEL MAR SUITE #D,REDONDO BEACH,90277-5844,531100,Lessors of real estate (including mini warehouses & self-storage units),2,04/01/1989,,"(34.1815, -118.4049)",8889,5,188,564,,70
0000075045-0001-7,MASTRO CONSTRUCTION INC,SUPER HANDYMAN SERVICE,7718 WHITSETT AVENUE,NORTH HOLLYWOOD,91605-2242,7718 WHITSETT 91605-2242,,,,,,2,09/23/2003,,"(34.2107, -118.4052)",8888,5,153,472,,14
0000102146-0001-9,RALPH F CLEMENTS,R F CLEMENTS INVESTMENTS,4327 WHITSETT AVENUE,STUDIO CITY,91604-1657,4327 WHITSETT 91604-1657,1521 GREENFIELD AVENUE UNIT #301,LOS ANGELES,90025-3466,531100,Lessors of real estate (including mini warehouses & self-storage units),4,01/01/1976,,"(34.149, -118.4052)",8492,5,346,1505,,84
0000108652-0001-9,JULIE DOWNEY,,4336 WHITSETT AVENUE,STUDIO CITY,91604-1660,4336 WHITSETT 91604-1660,12841   BLOOMFIELD STREET   UNIT #306,STUDIO CITY,91604-1573,531100,Lessors of real estate (including mini warehouses & self-storage units),4,01/01/1994,,"(34.1492, -118.4052)",8492,5,346,1505,,84
0000113699-0001-5,SANDRA C LOVELACE,,5240 WHITSETT AVENUE APT #3,VALLEY VILLAGE,91607-2483,5240 WHITSETT 91607-2483,5240 WHITSETT AVENUE APT #3,VALLEY VILLAGE,91607-2483,541600,"Management, scientific, & technical consulting services",2,01/01/1999,,"(34.1655, -118.4052)",8890,5,205,637,17,39
0000131067-0001-4,DORA Z BRAN,SMALL SENSES,5060 WHITSETT AVENUE APT #7,VALLEY VILLAGE,91607-3041,5060 WHITSETT 91607-3041,,,,621399,Offices of all other miscellaneous health practitioners,2,10/05/2000,,"(34.1624, -118.4052)",8890,5,191,636,17,39
0000138065-0001-6,PONDRUTTANA SRIJUMNONG,,4343 WHITSETT AVENUE APT #204,STUDIO CITY,91604-1692,4343 WHITSETT 91604-1692,5929   CARPENTER AVENUE,VALLEY VILLAGE,91607-1309,452000,General merchandise stores,4,09/20/2004,,"(34.1493, -118.4052)",8492,5,346,1505,,84
0000180666-0001-3,ELIZABETH GURLEKIAN,,4252   WHITSETT AVENUE   APT #303,STUDIO CITY,91604-1788,4252 WHITSETT 91604-1788,,,,541600,"Management, scientific, & technical consulting services",4,03/01/2001,,"(34.1483, -118.4049)",8492,5,346,1504,,84
0000195027-0001-7,SAM ADAL,GOLDEN STATE APTS,6961 WHITSETT AVENUE,N HOLLYWOOD,91605-5432,6961 WHITSETT 91605-5432,20944 SHERMAN WAY #201,CANOGA PARK,91303-3634,531100,Lessors of real estate (including mini warehouses & self-storage units),2,12/17/1997,,"(34.1971, -118.4052)",8888,5,180,1503,,14
0000195903-0001-5,DEON BUSH,ON DEMAND SNACKS,5404   WHITSETT AVENUE   #189,VALLEY VILLAGE,91607-1615,5404 WHITSETT 91607-1615,POST OFFICE BOX #57163,SHERMAN OAKS,91413-2163,423920,Toy & hobby goods & supplies,2,01/03/2001,,"(34.1688, -118.4051)",8890,5,204,1235,17,39
0000199667-0001-0,MARCOS A HERNANDEZ,MARCOS POOL SERVICE,6961 WHITSETT AVENUE #2,N HOLLYWOOD,91605-5424,6961 WHITSETT 91605-5424,,,,561300,Employment services,2,03/01/1995,,"(34.1971, -118.4052)",8888,5,180,1503,,14
