"permit_nbr","primary_address","zip_code","cd","pin_nbr","associated_pins","apn","zone","apc","cpa","cnc","hl","ct","group","permit_type","permit_sub_type","use_code","use_desc","submitted_date","issue_date","cofo_date","du_changed","adu_changed","square_footage","status","valuation","construction","height","type_lat_lon","lat","lon","refresh_time","work_desc"
"03010-20000-01794","12005 W VOSE ST","91605","2","183B165   117","183B165   117","2321003032","M2-1VL","South Valley","North Hollywood","North Hollywood Northeast",,"1232.03","Building","Bldg-New","Commercial","8","Auto Repair Garage","2003-05-15T00:00:00.000",,,,,"1250","Reviewed by Supervisor","55000","Type V-N Construction","20","ADDRESS","34.19855","-118.39457","2022-09-10T00:00:00.000","25' X 50' Building For Auto Repair Spray Booth."
"05010-20000-05453","20209 LIVORNO WAY",,,,,,"(T)C4-2D",,"Chatsworth - Porter Ranch",,"YES",,"Building","Bldg-New","1 or 2 Family Dwelling","35","Condo-Single Family","2005-09-29T00:00:00.000",,,"1",,"1326","Reviewed by Supervisor","121000","Type V-N Construction","27.5",,,,"2022-09-10T00:00:00.000","New Sfd W/ Att. Garage Per Std. Plan #624 Option Gx-3dr"
"07030-30000-04132","12331 W STANWOOD DR","90066","11","117B153   752","117B153   752","4248005006","R1-1","West Los Angeles","Palms - Mar Vista - Del Rey","Mar Vista",,"2715.00","Building","Grading","1 or 2 Family Dwelling","70","Grading - Hillside","2007-12-20T00:00:00.000",,,,,,"Verifications in Progress","80",,,"ADDRESS","34.0158","-118.44244","2022-09-10T00:00:00.000","Site Grading For Propose Basement Addition And Retaining Wall."
"04014-20000-01917","22160 W VENTURA BLVD","91364","3","171B101   122","171B101   122","2169001014","C4-1VLD","South Valley","Canoga Park-West Hills-Winnetka-Woodland Hills","Woodland Hills-Warner Center","YES","1374.01","Building","Bldg-Addition","Commercial",,,"2004-03-08T00:00:00.000",,,,,,"Reviewed by Supervisor","16000",,,"ADDRESS","34.16836","-118.61018","2022-09-10T00:00:00.000","Open<??????>Patio Addition To Restaurant <Architectural Features??Monument Signage?????>"
"03010-30000-02130","134 N HIGHLAND AVE","90004","4","138B185   195","138B185   195","5513008009","RE9-1","Central","Wilshire",,,"2141.00","Building","Bldg-New","1 or 2 Family Dwelling","7","Garage - Private","2003-06-11T00:00:00.000",,,,,,"Reviewed by Supervisor","20000","Type V-N Construction",,"PIN","34.07470259","-118.3381433","2022-09-10T00:00:00.000","New 2-Car Garage, 21' X 21'.  2 Of 3 Permits, Sfd Addition Under Pcis # 03014-30000-04294, Existing Garage Demo Under Pcis # 03019-30000-00???."
"08014-10000-03855","10647 W BURBANK BLVD","91601","2","174B177   564","174B177   563; 174B177   564","2415022006","C2-1","South Valley","North Hollywood - Valley Village","Mid-Town North Hollywood",,"1243.00","Building","Bldg-Addition","Commercial","16","Retail","2008-08-20T00:00:00.000",,,,,"62","PC Info Complete","35000","Type V-B Construction",,"ADDRESS","34.17232","-118.36319","2022-09-10T00:00:00.000","Adding   62  Sq.Ft.   In The Front Of The Building,  Demolishing Front Wall Of The Building And Non-Bearing Int. Walls And Building New Glass Store Front,  Upgrading  3  Existing Bathrooms To Have  Handicaped Access."
"03014-30000-00327","8147 W CABORA DR","90293","11","096B153    79","096B153    79","4115020002","R1-1","West Los Angeles","Westchester - Playa del Rey",,,"2766.01","Building","Bldg-Addition","1 or 2 Family Dwelling","1","Dwelling - Single Family","2003-01-17T00:00:00.000",,,,,"0","Reviewed by Supervisor","12000","Type V-N Construction",,"ADDRESS","33.96211","-118.4413","2022-09-10T00:00:00.000","Addition Of 1 Car Garage( 9'-6""X21'-0"")To 3rd Story Of (E) 3 Story Sfd/Garage."
"06020-10000-01230","11437 W DECENTE DR","91604","2","162B169  1101","162B169  1101","2378031010","R1-1","South Valley","Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass","Studio City","YES","1438.00","Building","Nonbldg-New","1 or 2 Family Dwelling","23","Miscellaneous Bldg/Structure","2006-04-06T00:00:00.000",,,,,"0","Verifications in Progress","25000",,,"ADDRESS","34.13668","-118.38101","2022-09-10T00:00:00.000","(N) Rear Deck 16' X 28' In Rear Yard.*****Gpi Calls Out For Soils Report And Soils Engineers Approval Of The Plans****"
"09016-20000-03707","11400 W VANOWEN ST","91606","2","180B173    20","180B173    20","2320019004","C2-1VL","South Valley","North Hollywood",,,"1232.05","Building","Bldg-Alter/Repair","Commercial","16","Grocery Store","2009-03-18T00:00:00.000",,,,,,"Reviewed by Supervisor","5000","Type V-B Construction",,"PIN","34.19366376","-118.37926691","2022-09-10T00:00:00.000","Split (E) Commissary Space Into Flower Shop And Market ( No Change To Parkings )Mini Shopping Ctr Operation Hour Bet 7am To 11 Pm"
"99048-10000-01453","5870 W MELROSE AVE","90004","4","141B185   638","141B185   601; 141B185   621; 141B185   624; 141B185   638","5523006026","C2-1/R1-1","Central",,,,"1923.00","Building","Sign","Offsite",,,"1999-08-23T00:00:00.000",,,,,,"Corrections Issued","40000",,,"PIN","34.08308992","-118.32850431","2022-09-10T00:00:00.000","Installation Of Off-Site Sign 14' X 4' X 33' (Height) Double Faced As Per Standard Plan #87."
