SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,ReasonCode,ResolutionCode,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-410543831,12/30/2016 10:52:00 PM,01/07/2017 10:04:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/07/2017 12:00:00 AM,01/07/2017 10:04:00 AM,,Q,Y,N,"11736 S STANFORD AVE, 90059",11736,S,STANFORD,AVE,90059,33.92688294,-118.2620885,"(33.92688294, -118.262088536)",704,E,7,South Los Angeles APC,15,Joe Buscaino,90,HARBOR GATEWAY NORTH NC,SOUTHEAST,24354,810,1196,7,15,53
1-410525311,12/30/2016 09:54:00 PM,01/10/2017 09:11:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,Y,NC,01/05/2017 12:00:00 AM,01/10/2017 09:11:00 AM,,Q,Y,N,"MARYLAND ST AT LUCAS AVE, 90017",,,,,90017,34.05652427,-118.2627101,"(34.0565242688, -118.262710061)",634,D,3,Central APC,1,Gilbert Cedillo,97,WESTLAKE NORTH NC,RAMPART,23078,565,1047,54,11,67
1-410495831,12/30/2016 06:05:00 PM,01/10/2017 08:43:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,N,NC,01/06/2017 12:00:00 AM,01/10/2017 08:43:00 AM,,Q,Y,N,"PROSPECT AVE AT MYRA AVE, 90027",,,,,90027,34.10179452,-118.2803994,"(34.1017945158, -118.280399435)",594,B,4,Central APC,4,David Ryu,36,LOS FELIZ NC,NORTHEAST,23445,466,601,,7,3
1-410465211,12/30/2016 04:51:00 PM,01/07/2017 12:39:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,,N,WV,01/07/2017 12:00:00 AM,01/07/2017 12:39:00 PM,,A,Y,N,"23024 W LEONORA DR, 91367",23024,W,LEONORA,DR,91367,34.16526747,-118.6279677,"(34.1652674696, -118.627967673)",559,G,3,South Valley APC,3,Bob Blumenfield,16,WOODLAND HILLS-WARNER CENTER NC,TOPANGA,19346,303,1553,,4,49
1-410457381,12/30/2016 04:48:00 PM,01/17/2017 03:46:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WLA,01/11/2017 12:00:00 AM,01/17/2017 03:46:00 PM,56,A,Y,N,"2524 S ALSACE AVE, 90016",2524,S,ALSACE,AVE,90016,34.03315032,-118.3548169,"(34.0331503242, -118.35481691)",633,C,6,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,665,1361,,12,17
1-410459141,12/30/2016 04:47:00 PM,01/07/2017 01:04:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,WLA,01/07/2017 12:00:00 AM,01/07/2017 01:04:00 PM,,A,Y,N,"5401 W SMILEY DR, 90016",5401,W,SMILEY,DR,90016,34.02889801,-118.3616305,"(34.0288980089, -118.361630543)",633,B,7,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,666,1119,,12,17
1-410458031,12/30/2016 04:45:00 PM,01/09/2017 02:25:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WLA,01/09/2017 12:00:00 AM,01/09/2017 02:25:00 PM,3,A,Y,N,"2524 S ALSACE AVE, 90016",2524,S,ALSACE,AVE,90016,34.03315032,-118.3548169,"(34.0331503242, -118.35481691)",633,C,6,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,665,1361,,12,17
1-410450041,12/30/2016 04:37:00 PM,01/07/2017 09:29:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/07/2017 12:00:00 AM,01/07/2017 09:29:00 AM,,A,Y,N,"6502 WILCOX AV, 90068",6502,,WILCOX,AV,90068,34.10622982,-118.3308621,"(34.1062298186, -118.330862088)",593,E,3,Central APC,4,David Ryu,29,HOLLYWOOD HILLS WEST NC,HOLLYWOOD,24033,406,718,,7,82
1-410444021,12/30/2016 04:32:00 PM,01/05/2017 01:27:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,HB,01/05/2017 12:00:00 AM,01/05/2017 01:27:00 PM,,A,Y,N,"329 W 17TH ST, 90731",329,W,17TH,ST,90731,33.7286428,-118.2842585,"(33.7286428015, -118.284258522)",824,C,6,Harbor APC,15,Joe Buscaino,96,COASTAL SAN PEDRO NC,HARBOR,3342,980,1208,15,15,33
1-410411801,12/30/2016 04:00:00 PM,01/06/2017 09:48:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,SLA,01/06/2017 12:00:00 AM,01/06/2017 09:48:00 AM,,A,Y,N,"3216 W 73RD ST, 90043",3216,W,73RD,ST,90043,33.97349805,-118.3293251,"(33.9734980508, -118.329325058)",703,F,1,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET,23674,759,1071,7,14,24
1-410395471,12/30/2016 03:52:00 PM,01/03/2017 09:56:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,WV,01/03/2017 12:00:00 AM,01/03/2017 09:56:00 AM,,A,Y,N,"18547 W SATICOY ST, 91335",18547,W,SATICOY,ST,91335,34.20851783,-118.5377417,"(34.2085178319, -118.537741721)",530,J,4,South Valley APC,3,Bob Blumenfield,15,RESEDA NC,WEST VALLEY,18909,249,551,,4,12
1-410399251,12/30/2016 03:52:00 PM,01/03/2017 01:24:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,EV,01/03/2017 12:00:00 AM,01/03/2017 01:24:00 PM,,A,Y,N,"14075 W FOOTHILL BLVD, 91342",14075,W,FOOTHILL,BLVD,91342,34.31506067,-118.4398841,"(34.315060671, -118.439884094)",482,A,3,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION,18912,47,1399,,1,47
1-410385751,12/30/2016 03:45:00 PM,01/04/2017 09:39:00 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/04/2017 12:00:00 AM,01/04/2017 09:39:00 AM,,A,Y,N,"5453 S 3RD AVE, 90043",5453,S,3RD,AVE,90043,33.99164724,-118.3205264,"(33.9916472402, -118.320526381)",673,G,5,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET,23674,752,1046,7,14,24
1-410381061,12/30/2016 03:45:00 PM,01/03/2017 12:53:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,Y,WV,01/03/2017 12:00:00 AM,01/03/2017 12:53:00 PM,,A,Y,N,"18325 W SATICOY ST, 91335",18325,W,SATICOY,ST,91335,34.2085573,-118.53276,"(34.2085573035, -118.532759966)",530,J,4,South Valley APC,12,Mitchell Englander,15,RESEDA NC,WEST VALLEY,18909,254,283,,2,12
