SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-411044411,12/31/2016 09:54:00 PM,01/05/2017 09:26:00 AM,SR Created,BOS,Homeless Encampment,Closed,Self Service,,N,SLA,01/05/2017 12:00:00 AM,01/05/2017 09:26:00 AM,Y,N,"3779 S HOBART BLVD, 90018",3779,S,HOBART,BLVD,90018,34.0180219,-118.3079988,"(34.0180219048, -118.307998768)",673,H,1,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST,24027,730,1011,7,14,32
1-410987867,12/31/2016 03:15:00 PM,03/02/2017 10:40:00 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,Android,Y,NC,01/18/2017 12:00:00 AM,03/02/2017 10:40:00 AM,Y,,"435 S HOOVER ST, 90020",435,S,HOOVER,ST,90020,34.06554281,-118.2844784,"(34.065542812, -118.284478413)",634,B,2,Central APC,13,Mitch O'Farrell,53,RAMPART VILLAGE NC,OLYMPIC,23081,578,1317,,8,80
1-410936781,12/31/2016 01:58:00 PM,01/05/2017 08:38:00 AM,SR Created,BOS,Homeless Encampment,Closed,Call,,N,EV,01/05/2017 12:00:00 AM,01/05/2017 08:38:00 AM,Y,N,"11104 AQUA VISTA ST, 91602",11104,,AQUA VISTA,ST,91602,34.14487073,-118.3726011,"(34.144870726, -118.372601127)",563,A,5,South Valley APC,2,Paul Krekorian,27,STUDIO CITY NC,NORTH HOLLYWOOD,8489,348,389,,5,84
1-410883784,12/31/2016 01:00:00 PM,01/07/2017 12:35:00 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,WV,01/07/2017 12:00:00 AM,01/07/2017 12:35:00 PM,Y,,"6241 N GLADE AVE, 91367",6241,N,GLADE,AVE,91367,34.18398977,-118.6079352,"(34.1839897698, -118.607935151)",530,A,7,South Valley APC,3,Bob Blumenfield,16,WOODLAND HILLS-WARNER CENTER NC,TOPANGA,19347,299,434,,4,49
1-410870168,12/31/2016 12:49:00 PM,01/06/2017 10:56:00 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,WV,01/06/2017 12:00:00 AM,01/06/2017 10:56:00 AM,Y,,"19259 W VENTURA BLVD, 91356",19259,W,VENTURA,BLVD,91356,34.17279965,-118.5529567,"(34.1727996508, -118.55295667)",560,G,2,South Valley APC,3,Bob Blumenfield,17,TARZANA NC,WEST VALLEY,19339,321,1494,6,4,10
1-410862661,12/31/2016 12:36:00 PM,01/19/2017 06:53:00 AM,SR Created,BOS,Homeless Encampment,Closed,Call,,N,WLA,01/06/2017 12:00:00 AM,01/19/2017 06:53:00 AM,Y,N,"SANTA MONICA BLVD AT BENTLEY AVE, 90025",,,,,90025,34.04796548,-118.4433572,"(34.0479654798, -118.443357208)",632,B,5,West Los Angeles APC,5,Paul Koretz,63,WESTWOOD NC,WEST LOS ANGELES,23443,855,1385,9,6,72
1-410813862,12/31/2016 11:55:00 AM,01/07/2017 12:58:00 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,WLA,01/07/2017 12:00:00 AM,01/07/2017 12:58:00 PM,Y,,"HARLOW AVE AT BEVERLY DR, 90034",,,,,90034,34.02970983,-118.3994494,"(34.0297098344, -118.39944944)",632,G,7,West Los Angeles APC,5,Paul Koretz,61,SOUTH ROBERTSON NC,WEST LOS ANGELES,23451,879,1006,,6,95
1-410812854,12/31/2016 11:54:00 AM,01/05/2017 03:01:00 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,EV,01/05/2017 12:00:00 AM,01/05/2017 03:01:00 PM,Y,,"11050 W RIVERSIDE DR, 91602",11050,W,RIVERSIDE,DR,91602,34.15217887,-118.3722506,"(34.1521788661, -118.37225055)",563,A,4,South Valley APC,4,David Ryu,28,GREATER TOLUCA LAKE NC,NORTH HOLLYWOOD,8489,343,701,,7,5
1-410813638,12/31/2016 11:53:00 AM,06/26/2017 10:30:00 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,WLA,01/09/2017 12:00:00 AM,06/26/2017 10:25:00 AM,Y,,"EXPOSITION BOULEVARD S/R AT BAGLEY AVE, 90034",,,,,90034,34.02849079,-118.3971016,"(34.028490786, -118.397101635)",632,G,7,West Los Angeles APC,5,Paul Koretz,115,PALMS NC,PACIFIC,23451,885,1129,,6,74
1-410808531,12/31/2016 11:47:00 AM,07/10/2017 09:26:00 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,Y,SLA,01/05/2017 12:00:00 AM,07/10/2017 09:16:00 AM,Y,,"1428 W 58TH ST, 90062",1428,W,58TH,ST,90062,33.98958279,-118.3013194,"(33.9895827854, -118.301319426)",673,J,5,South Los Angeles APC,8,Marqueece Harris-Dawson,81,EMPOWERMENT CONGRESS CENTRAL AREA NDC,77TH STREET,24027,744,1051,7,14,35
