LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000001234-0001-1,HOPE FOR HEARING RESEARCH FOUNDATION,,5855 GREEN VALLEY CIRCLE #305,CULVER CITY,90230-6969,5855 GREEN VALLEY 90230-6969,,,,611000,"Educational services (including schools, colleges, & universities)",0,08/01/1991,,"(33.9831, -118.3883)",24678,,2148,78,,
0000001408-0001-5,PRINTMAX INC,PRINTMAX,6463 VALLEY CIRCLE TERRACE,WEST HILLS,91307-2747,6463 VALLEY CIRCLE 91307-2747,,,,561430,Business service centers (including private mail centers & copy shops),12,02/01/1991,,"(34.188, -118.6561)",4283,2,302,1477,,44
0000001769-0001-6,DISABILITY RIGHTS CALIFORNIA,,5901 GREEN VALLEY CIRCLE #3 FLR,CULVER CITY,90230-6938,5901 GREEN VALLEY 90230-6938,100 HOWE AVENUE SUITE #185N,SACRAMENTO,95825-8219,624100,Individual & family services,0,08/08/1996,,"(33.9835, -118.3909)",24678,,2148,78,,
0000023101-0001-6,SAINT BERNARDINE OF SIENA SCHOOL,,6061 VALLEY CIRCLE BLVD,WOODLAND HILLS,91367-1144,6061 VALLEY CIRCLE 91367-1144,6061 VALLEY CIRCLE BLVD,WOODLAND HILLS,91367-1144,451211,Book stores,3,08/01/1994,,"(34.181, -118.6562)",19347,4,308,1481,,49
0000043103-0001-8,WHITE STRIPES ENTERTAINMENT,,6625 GREEN VALLEY CIRCLE #302,CULVER CITY,90230-8108,6625 GREEN VALLEY 90230-8108,,,,512100,Motion picture & video industries (except video rental),0,,,"(33.9779, -118.3859)",24678,,2149,,,
0000057458-0001-9,EMOTIONAL HEALTH ASSOCIATION,SHARE THE SELF-HELP AND RECOVERY EXCHANGE,6666 GREEN VALLEY CIRCLE,LOS ANGELES,90230-7068,6666 GREEN VALLEY 90230-7068,,,,611000,"Educational services (including schools, colleges, & universities)",0,02/01/1993,,"(33.9778, -118.386)",24678,,2149,,,
0000224195-0001-5,LYNDA LEE ABDO,,8485 VALLEY CIRCLE BLVD #101,WEST HILLS,91304-3034,8485 VALLEY CIRCLE 91304-3034,8485 VALLEY CIRCLE BLVD APT #101,CANOGA PARK,91304-3034,424990,Other miscellaneous nondurable goods,12,10/06/1979,,"(34.2235, -118.6467)",4284,2,2336,1459,53,44
0000288899-0001-8,TEMPLE ALIYAH,,6025 VALLEY CIRCLE BLVD,WOODLAND HILLS,91367-1144,6025 VALLEY CIRCLE 91367-1144,,,,524290,Other insurance related activities,3,05/09/1977,,"(34.1803, -118.6561)",19347,4,308,1551,,49
0000446735-0001-1,PATRICIA PENNY,PAT PENNY REALTORS,5839 GREEN VALLEY CIRCLE,CULVER CITY,90230-6937,5839 GREEN VALLEY 90230,,,,531210,Offices of real estate agents & brokers,0,,,"(33.9831, -118.3892)",24678,,2148,78,,
0000491884-0001-8,STAN CLINE & NORA SAFRAN,NOSTALGIA GRAPHICS,10141   VALLEY CIRCLE BLVD   UNIT #5,CHATSWORTH,91311-7831,10141 VALLEY CIRCLE 91311-7831,10141   VALLEY CIRCLE BLVD   UNIT #5,CHATSWORTH,91311-7831,323100,Printing & related support activities,12,01/10/1984,,"(34.2536, -118.6161)",4284,2,88,1252,,43
