LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000467-0001-5,LOUISIANA TO LOS ANGELES ORGANIZING COMMITTEE INC,,5214 S WESTERN AVENUE,LOS ANGELES,90062-2701,5214 WESTERN 90062-2701,POST OFFICE BOX #431067,LOS ANGELES,90043-9067,722110,Full-service restaurants,8,02/05/2000,,"(33.9949, -118.3089)",24027,14,743,1051,7,35
0000001176-0001-7,KOREAN GARDENS RESTAURANT INC,YONGSUSAN RESTAURANT,950 S VERMONT AVENUE,LOS ANGELES,90006-1611,950 VERMONT 90006-1611,,,,722110,Full-service restaurants,10,07/15/1975,,"(34.054, -118.2916)",22723,12,621,1246,,63
0000001228-0001-6,DIKRAN AND ANNY KESKERIAN TRS KESKERIAN FAMILY TRUST,,1611 W 12TH STREET,LOS ANGELES,90015-1951,1611 12TH 90015-1951,POST OFFICE BOX #480221,LOS ANGELES,90048-1221,722110,Full-service restaurants,1,02/24/1992,,"(34.0463, -118.2762)",23076,11,575,908,,8
0000001738-0001-1,PABLO/LETICIA GARCIA,TONY'S BURGER,2115 S CENTRAL AVENUE,LOS ANGELES,90011-1236,2115 CENTRAL 90011-1236,,,,722110,Full-service restaurants,9,02/22/1992,,"(34.0227, -118.252)",22727,13,707,969,7,6
0000002505-0001-7,SOUTHSIDE PIZZA INC,DOMINOS PIZZA,950 W MANCHESTER AVENUE,LOS ANGELES,90044-4916,950 MANCHESTER 90044-4916,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,8,08/05/1996,,"(33.96, -118.2906)",23675,14,801,1164,7,45
0000002505-0002-5,SOUTHSIDE PIZZA INC,DOMINOS PIZZA,3631 CRENSHAW BLVD #113,LOS ANGELES,90016-4869,3631 CRENSHAW 90016-4869,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,10,04/15/1997,,"(34.0228, -118.335)",23079,12,662,920,7,19
0000002859-0001-8,MOUY GAUV,CHINA BEAUTY,5465 N FIGUEROA STREET,LOS ANGELES,90042-4117,5465 FIGUEROA 90042,,,,722110,Full-service restaurants,1,01/15/2000,,"(34.108, -118.1959)",23673,11,374,1022,28,93
0000002978-0001-9,THE BEST PIZZA INC,QUICKIE'S PIZZA,4362 LAUREL CANYON BLVD,STUDIO CITY,91604-1709,4362 LAUREL CANYON 91604-1709,,,,722110,Full-service restaurants,4,12/01/1999,,"(34.1496, -118.3964)",8492,5,347,390,,84
0000003564-0001-1,HAROUNI HAFCO INC,HAFCO/ASSOC,756 S LAKE STREET,LOS ANGELES,90057-4012,756 LAKE 90057-4012,6334 WILSHIRE BLVD,LOS ANGELES,90048-5002,722110,Full-service restaurants,1,02/29/1992,,"(34.056, -118.2784)",24352,11,570,628,,63
0000003647-0001-6,LUCKY SCOOPS CORPORATION,KANPAI JAPANESE SUSHI BAR & GRILL,8325 LINCOLN BLVD,LOS ANGELES,90045-2413,8325 LINCOLN 90045-2413,,,,722110,Full-service restaurants,11,06/01/2003,,"(33.9621, -118.4212)",23676,10,929,1520,10,16
0000003647-0002-4,LUCKY SCOOPS CORPORATION,,8736 S SEPULVEDA BLVD #C,LOS ANGELES,90045-4004,8736 SEPULVEDA 90045-4004,8325 LINCOLN BLVD,LOS ANGELES,90045-2413,722110,Full-service restaurants,11,03/15/2015,,"(33.958, -118.3961)",23676,10,936,791,10,16
0000003783-0001-1,ALBERT QUAN TRAN,MISS DONUT,18231 SHERMAN WAY,RESEDA,91335-4551,18231 SHERMAN 91335-4551,,,,722110,Full-service restaurants,3,01/01/2000,,"(34.2011, -118.5301)",18909,4,258,284,,12
0000004317-0001-8,JOSE G TEPAZ,,7221 ATLANTIC AVENUE,CUDAHY,90201-4302,7221 ATLANTIC 90201-4302,,,,722110,Full-service restaurants,0,,,"(33.9699, -118.1881)",24345,,1597,,,
0000004337-0001-5,OUTLAWSRESTAURANT INC,,230 CULVER BLVD,PLAYA DEL REY,90293-7702,230 CULVER 90293-7702,,,,722110,Full-service restaurants,11,,,"(33.9592, -118.4479)",25075,10,937,1140,29,16
0000005367-0001-3,FRESHCO MANAGEMENT INC,POQUITO MAS | POQUITO MAS                         090109,21049 VENTURA BLVD,WOODLAND HILLS,91364-2202,21049 VENTURA 91364-2202,POST OFFICE BOX #24200,LOS ANGELES,90024-0200,722110,Full-service restaurants,3,06/09/2003,,"(34.1667, -118.5917)",19346,4,312,1491,6,49
0000005444-0001-1,THE R&J AMUSEMENT COMPANY LLC,GRIFFITH PARK MERRY-GO-ROUND,1153 DE LUZ ROAD,FALLBROOK,92028-9742,1153 DE LUZ 92028-9742,1153 DE LUZ ROAD,FALLBROOK,92028-9742,722110,Full-service restaurants,0,01/01/1976,,"(33.393, -117.2528)",29543,,,,,
0000005646-0001-6,MERIE S VILLATORO,CLEMEN'S RESTAURANT,3551 S WESTERN AVENUE,LOS ANGELES,90018-3825,3551 WESTERN 90018-3825,,,,722110,Full-service restaurants,8,06/23/2003,,"(34.0236, -118.3088)",23079,14,690,912,7,32
0000005775-0001-1,PANDHER FAST FOOD INC,SUBWAY #2333,13632 FOOTHILL BLVD,SYLMAR,91342-3102,13632 FOOTHILL 91342-3102,,,,722110,Full-service restaurants,7,03/22/2000,,"(34.3075, -118.4303)",18912,1,42,1307,,47
0000005775-0006-1,PANDHER FAST FOOD INC,SUBWAY,12771 VAN NUYS BLVD,PACOIMA,91331-1627,12771 VAN NUYS 91331-1627,,,,722110,Full-service restaurants,7,06/22/2002,,"(34.2742, -118.4109)",18907,1,17,1369,,11
0000005775-0008-8,PANDHER FAST FOOD INC,,6576   VAN NUYS BLVD,VAN NUYS,91401-1426,6576 VAN NUYS 91401-1426,12771   VAN NUYS BLVD,PACOIMA,91331-1627,722110,Full-service restaurants,6,06/12/2019,,"(34.1903, -118.448)",19733,3,236,290,,18
0000006056-0001-8,DVC INC,FABROCINI'S,2960 N BEVERLY GLEN CIRCLE,LOS ANGELES,90077-1724,2960 BEVERLY GLEN 90077-1724,,,,722110,Full-service restaurants,5,03/15/2000,,"(34.1277, -118.4445)",24037,6,827,1359,11,81
0000006108-0001-7,2400 FLETCHER DRIVE INC,RICKS DRIVE IN/OUT,2400 FLETCHER DRIVE,LOS ANGELES,90039-2802,2400 FLETCHER 90039-2802,,,,722110,Full-service restaurants,13,10/26/1981,,"(34.1059, -118.2565)",23670,8,394,1000,,90
0000006300-0001-7,ANTONIO BENITEZ RODRIGUEZ,TACOS LOS TORITOS 3,13060 GLENOAKS BLVD #106,SYLMAR,91342-3960,13060 GLENOAKS 91342-3960,13191 HERRICK AVENUE,SYLMAR,91342-3932,722110,Full-service restaurants,7,01/01/1992,,"(34.3077, -118.4499)",18912,1,49,222,,47
0000006603-0001-5,GAM JA GOL CORPORATION,,3003 W OLYMPIC BLVD #107,LOS ANGELES,90006-6511,3003 OLYMPIC 90006-6511,,,,722110,Full-service restaurants,10,05/01/2003,,"(34.0526, -118.3004)",22723,12,617,646,,89
0000006665-0001-6,FERNANDO GARCIA,RESTAURANT AND PUPUSERIA LA ARCA,5570 N FIGUEROA STREET,LOS ANGELES,90042-4120,5570 FIGUEROA 90042-4120,,,,722110,Full-service restaurants,1,05/15/2003,,"(34.1089, -118.1941)",23673,11,374,1022,28,93
0000006809-0001-9,MARWAHA RESTAURANTS INC,DENNY'S #7213,5525 SEPULVEDA BLVD,SHERMAN OAKS,91411-3438,5525 SEPULVEDA 91411-3438,2551 W WOODLAND DRIVE,ANAHEIM,92801-2608,722110,Full-service restaurants,4,05/01/2003,,"(34.1707, -118.4661)",19735,7,246,649,,83
0000006874-0001-1,RARM INC,FREO SEGAL MAUROS CAFE,8112 MELROSE AVENUE,LOS ANGELES,90046-7012,8112 MELROSE 90046-7012,,,,722110,Full-service restaurants,5,01/02/1992,,"(34.0837, -118.3661)",23679,6,460,1078,,26
0000007648-0001-0,HECTOR R ROSALES,PARAISO RESTAURANT,113 W 3RD STREET,LOS ANGELES,90013-1303,113 3RD 90013-1303,7321 RIO HONDO PLACE,DOWNEY,90241-2036,722110,Full-service restaurants,14,02/11/2000,,"(34.0498, -118.2461)",22728,9,542,1183,,76
0000007689-0001-9,FERNANDO VAZQUEZ,LAS MARGARITAS RESTAURANT,2914 WHITTIER BLVD,LOS ANGELES,90023-1529,2914 WHITTIER 90023-1529,,,,722110,Full-service restaurants,14,02/01/2000,,"(34.0311, -118.2085)",23441,9,524,351,,38
0000007779-0001-3,JUSTIN TANG,MR GOOD'S DONUT,4601 HUNTINGTON DRIVE N,LOS ANGELES,90032-1919,4601 HUNTINGTON 90032-1919,,,,722110,Full-service restaurants,14,03/01/2000,,"(34.0862, -118.1876)",23449,9,498,384,,91
0000007879-0001-1,JUAN J GUERRA/ENRIQUE GUERRA,TAMS BURGERS # 10,4701 S BROADWAY,LOS ANGELES,90037-3244,4701 BROADWAY 90037-3244,,,,722110,Full-service restaurants,9,12/02/1991,,"(34.001, -118.2783)",23668,13,737,655,7,
