LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000001345-0001-8,STANLEY RICHARD FRIESEN,BIRDBRAIN ARTS,16600 HAMLIN STREET,LAKE BALBOA,91406-5615,16600 HAMLIN 91406-5615,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6,01/01/1999,,,,,,,,
0000001765-0003-4,REGINALD T THORNTON,,6930 DE CELIS PLACE,LAKE BALBOA,91406-4639,6930 De Celis 91406-4639,POST OFFICE BOX #75957,LOS ANGELES,90075-0957,711510,"Independent artists, writers, & performers",6,01/01/2019,,"(34.1966, -118.494)",19734,3,263,300,,61
0000013595-0002-1,AZITA SOLEIMANI,,7038   RUBIO AVENUE,LAKE BALBOA,91406-3715,7038 RUBIO 91406-3715,,,,561110,Office administrative services,6,01/01/2014,,"(34.1987, -118.4953)",19734,3,263,300,,61
0000020590-0067-8,CHRISTIANSEN AMUSEMENTS INC,,17000 HAYNES STREET,LAKE BALBOA,91406-5420,17000 HAYNES 91406-5420,POST OFFICE BOX #997,ESCONDIDO,92033-0997,711100,Performing arts companies,6,05/17/2010,,"(34.1893, -118.5035)",19734,3,261,571,,61
0000031925-0001-9,MARIO E ANAYA JR,AAA ELECTRIC,6918 RUBIO AVENUE,LAKE BALBOA,91406-4620,6918 RUBIO 91406-4620,,,,233210,Single Family Housing Construction (1997 NAICS),6,01/01/2000,,"(34.1963, -118.4957)",19734,3,263,300,,61
0000036067-0001-5,JOHN S MAJKUT,ARTIFICIAL EAR,7121 LOUISE AVENUE,LAKE BALBOA,91406-3551,7121 LOUISE 91406-3551,POST OFFICE BOX #18846,ENCINO,91416-8846,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6,08/15/2003,,"(34.1998, -118.5098)",19734,3,261,301,,61
0000039982-0001-5,E & E INFINITY ENTERPRISES INC,,17216   SATICOY STREET   #309,LAKE BALBOA,91406-2103,17216 SATICOY 91406-2103,17216 SATICOY STREET #309,LAKE BALBOA,91406-2103,561300,Employment services,6,08/01/2003,,"(34.2083, -118.5081)",19734,3,259,315,,61
0000062787-0001-0,EDWARD J/MARGARET KELLY,,7100 BALBOA BLVD #409,LAKE BALBOA,91406-3636,7100 BALBOA 91406-3636,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),6,01/01/1984,,"(34.1993, -118.5011)",19734,3,263,300,,61
0000070299-0001-3,ROMAN HUBER,ROMAN'S CONSTRUCTION & LANDSCAPING,7009 BIANCA AVENUE,LAKE BALBOA,91406-3513,7009 BIANCA 91406-3513,,,,541320,Landscape architecture services,6,01/01/1999,,"(34.1976, -118.5131)",19734,3,261,1091,,61
0000090175-0001-2,REBECCA L DENNIS,,6531 LASAINE AVENUE,LAKE BALBOA,91406-5429,6531 LASAINE 91406-5429,6531 LASAINE AVENUE,LAKE BALBOA,91406-5429,621399,Offices of all other miscellaneous health practitioners,6,08/01/1993,,"(34.1897, -118.5109)",19734,3,260,571,,61
0000093681-0001-1,REFERRAL ENGINE COMPANY,,6556 ANDASOL AVENUE,LAKE BALBOA,91406-5444,6556 ANDASOL 91406-5444,,,,541600,"Management, scientific, & technical consulting services",6,01/01/2005,,"(34.19, -118.512)",19734,3,260,571,,61
0000123608-0001-4,BAHMAN MOJALLAL,CBM SPECIAL EVENTS,7412 BALBOA BLVD,LAKE BALBOA,91406-2705,7412 BALBOA 91406-2705,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",6,03/01/1993,,"(34.2052, -118.5011)",19734,3,263,436,,61
0000129526-0001-8,MARCELLA ALESSANDRA BARREIRO-PRYSTUPA,HANDWRITING ANALYST DOCUMENT EXAMINER,6730 FORBES AVENUE,LAKE BALBOA,91406-5512,6730 FORBES 91406-5512,,,,561500,Travel arrangement & reservation services,6,09/18/2000,,"(34.1926, -118.4989)",19734,3,262,297,,61
0000135443-0001-1,THE MILLER DE WULF CORPORATION,PERFORMANCE GRAPHICS,7466 LOUISE AVENUE,LAKE BALBOA,91406-2427,7466 LOUISE 91406-2427,7466 LOUISE AVENUE,VAN NUYS,91406-2427,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",6,08/01/1996,,"(34.2062, -118.5098)",19734,3,259,315,,61
0000140910-0002-5,RHYTHM & FLOW INC,,16932   ENADIA WAY,LAKE BALBOA,91406-3601,16932 ENADIA 91406-3601,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",6,11/03/2017,,"(34.1999, -118.5025)",19734,3,261,301,,61
0000154417-0001-3,MCGILL & ASSOCIATES INC,ARGO,17443   COHASSET STREET,LAKE BALBOA,91406-2410,17443 COHASSET 91406-2410,6451 YARMOUTH AVENUE,RESEDA,91335-6215,531210,Offices of real estate agents & brokers,6,01/01/2002,,"(34.207, -118.5133)",19734,3,259,243,,61
0000156210-0001-0,JAY D BUCHSBAUM,JAY DAVID BUCHSBAUM PHOTOGRAPHY,16529 VICTORY BLVD APT #205,LAKE BALBOA,91406-5659,16529 VICTORY 91406-5659,,,,541920,Photographic services,6,01/17/1985,,"(34.1869, -118.4934)",19734,3,262,297,,61
0000172179-0001-8,ALEX P GONZALEZ,A & A LANDSCAPE SERVICES,6530 ALDEA AVENUE,LAKE BALBOA,91406-5453,6530 ALDEA 91406-5453,6530 ALDEA AVENUE,LAKE BALBOA,91406-5453,,,6,05/24/2000,,"(34.1893, -118.5079)",19734,3,261,571,,61
