LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000182-0002-3,HERITAGE AND TRADITION INC,,3756 ALOHA STREET,LOS ANGELES,90027-3302,3756 ALOHA 90027-3302,,,,,4,01/18/2005,"(34.1059, -118.2748)",23445,7,464,1312,,3
0000000320-0027-4,PUBLIC STORAGE INC,PUBLIC STORAGE #20249,4610 VAN NUYS BLVD,SHERMAN OAKS,91403-2915,4610 VAN NUYS 91403-2915,POST OFFICE BOX #25025,GLENDALE,91221-5025,,4,11/01/1994,"(34.1549, -118.4486)",19736,7,333,676,6,83
0000000320-0032-1,PUBLIC STORAGE INC,PUBLIC STORAGE #20295,12345 VENTURA COURT,STUDIO CITY,91604-2513,12345 VENTURA 91604-2513,POST OFFICE BOX #25025,GLENDALE,91221-5025,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",4,08/11/1995,"(34.1434, -118.4018)",8492,5,352,710,6,84
0000000320-0035-5,PUBLIC STORAGE INC,PUBLIC STORAGE #102,15350 OXNARD STREET,VAN NUYS,91411-2505,15350 OXNARD 91411-2505,POST OFFICE BOX #25025,GLENDALE,91221-5025,Lessors of real estate (including mini warehouses & self-storage units),4,01/02/2001,"(34.1793, -118.4678)",19735,7,241,882,,18
0000000340-0001-8,CHESHIRE COUNTY CO INC,,3716 BARHAM BLVD UNIT #B110,LOS ANGELES,90068-1037,3716 BARHAM 90068-1037,3716   BARHAM BLVD   UNIT ##B110,LOS ANGELES,90068-1037,Advertising & related services,4,07/01/1973,"(34.1412, -118.3416)",24033,7,407,715,,82
0000000411-0001-0,J B R DEVELOPMENT CO /C ET AL,1725 CAMINO PALMERO APTS LLC,1725 CAMINO PALMERO STREET,LOS ANGELES,90046-2947,1725 CAMINO PALMERO 90046-2947,8383 WILSHIRE BLVD SUITE #1036,BEVERLY HILLS,90211-2440,Lessors of real estate (including mini warehouses & self-storage units),4,06/01/1974,"(34.102, -118.3499)",23677,7,411,797,,82
0000000537-0001-2,L D S SOCIAL SERVICES,,13042 BURBANK BLVD,SHERMAN OAKS,91401-5409,13042 BURBANK 91401,,,,Travel arrangement & reservation services,4,12/13/1993,"(34.1721, -118.417)",19729,7,185,515,,83
0000000575-0001-8,AHF HEALTHCARE CENTERS /C,AHF HEALTHCARE CENTER/VALLEY,4835 VAN NUYS BLVD #200,SHERMAN OAKS,91403-2139,4835 VAN NUYS 91403-2139,6255 W SUNSET BLVD #21FL,LOS ANGELES,90028-7422,Outpatient  care centers,4,03/01/2000,"(34.1582, -118.4487)",19736,7,248,674,,83
0000000730-0001-7,SCOTT T HIGGINS,,3900 GOODLAND AVENUE,STUDIO CITY,91604-2316,3900 GOODLAND 91604-2316,,,,Travel arrangement & reservation services,4,01/01/1999,"(34.1401, -118.4088)",8492,5,352,1236,,84
0000000740-0001-1,STUDIO CITY BEAUTIFICATION ASSOCIATION,STUDIO CITY FARMER'S MARKET,12153 VENTURA BLVD,STUDIO CITY,91604-2507,12153 VENTURA 91604-2507,POST OFFICE BOX #1374,STUDIO CITY,91614-0374,Landscape architecture services,4,04/01/1991,"(34.1434, -118.3968)",8492,5,352,710,6,84
0000000740-0002-9,STUDIO CITY BEAUTIFICATION ASSOCIATION,,12069 VENTURA PLACE UNIT #H,STUDIO CITY,91604-2603,12069 Ventura 91604-2603,POST OFFICE BOX #1374,STUDIO CITY,91614-0374,All other personal services,4,01/01/2022,"(34.145, -118.3949)",8492,5,347,390,6,84
0000000810-0001-8,ETHEL DE ROSAS,,1748 N KENMORE AVENUE #101,LOS ANGELES,90027-4044,1748 KENMORE 90027-4044,,,,Travel arrangement & reservation services,4,02/21/1999,"(34.1026, -118.2972)",23445,7,401,1327,16,3
0000001116-0002-3,BYDESIGN FINANCIAL SOLUTIONS,,6735 FOREST LAWN DRIVE,HOLLYWOOD,90068-1047,6735 FOREST LAWN 90068-1047,,,,,4,03/01/2007,"(34.144, -118.3398)",24033,7,407,715,,82
0000001305-0001-3,JEREMY P HOWARD,,14320 VENTURA BLVD SUITE #502,SHERMAN OAKS,91423-2717,14320 VENTURA 91423-2717,14320 VENTURA BLVD SUITE #502,SHERMAN OAKS,91423-2717,Motion picture & video industries (except video rental),4,02/02/1999,"(0.0, 0.0)",,,,,,
0000001313-0001-8,RONALD D KELLUM,,8033 W SUNSET BLVD APT #933,WEST HOLLYWOOD,90046-2401,8033 SUNSET 90046-2401,,,,"Independent artists, writers, & performers",4,01/01/1999,"(34.098, -118.3649)",23677,7,409,728,,82
0000001339-0001-2,INDECENT EXPOSURE,,2152 N BEACHWOOD DRIVE,LOS ANGELES,90068-3409,2152 BEACHWOOD 90068-3409,,,,Sound recording industries,4,07/01/1992,"(34.1094, -118.3215)",24033,7,405,371,,64
0000001436-0002-5,SP PLUS CORPORATION,LOT #80961,3575 CAHUENGA BLVD W,LOS ANGELES,90068-1366,3575 CAHUENGA 90068-1366,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,,4,11/01/2004,"(34.1339, -118.358)",24033,7,350,591,11,82
0000001436-0059-9,SP PLUS CORPORATION,LOT #74027,12050 VENTURA BLVD,STUDIO CITY,91604-2638,12050 VENTURA 91604-2638,3470   WILSHIRE BLVD   SUITE #400,LOS ANGELES,90010-3927,Parking lots & garages,4,05/01/1995,"(34.1437, -118.3935)",8492,5,351,1353,6,84
0000001436-0141-2,SP PLUS CORPORATION,LOT #74017,12711 VENTURA BLVD,STUDIO CITY,91604-2431,12711 VENTURA 91604-2431,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,Parking lots & garages,4,06/11/1986,"(34.1447, -118.4099)",8492,5,352,1236,6,84
0000001436-0215-0,SP PLUS CORPORATION,#81151,15314 MAGNOLIA BLVD,SHERMAN OAKS,91403-,15314 MAGNOLIA 91403-,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,Parking lots & garages,4,10/26/1999,"(34.1648, -118.4664)",19732,7,248,675,,83
0000001436-0280-0,SP PLUS CORPORATION,STANDARD PARKING,16133 VENTURA BLVD,ENCINO,91436-2403,16133 VENTURA 91436-2403,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,Parking lots & garages,4,04/01/2013,"(34.1565, -118.4847)",19737,6,326,1500,6,62
0000001436-0285-1,SP PLUS CORPORATION,LOT #80880,16530 VENTURA BLVD,ENCINO,91436-4554,16530 VENTURA 91436-4554,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,Parking lots & garages,4,10/01/2003,"(34.1576, -118.493)",19737,6,326,1499,6,62
