"apn","project_number","name","ahtf_pa","site_cd","community","council_district","development_stage","construction_type","housing_type","hcidla_funded","leverage","tax_exempt_conduit_bond","tdc","photo","jobs","developer","management_company","contact_phone"
"2656018027","09-104740","CROSSINGS AT NORTH HILLS","9311-9345 Sepulveda Blvd., 91343","1","NORTH HILLS","0","READY FOR OCCUPANCY","ACQUISITION + NEW CONSTRUCTION","FAMILY","3657320","11196299","0","14853619","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png","79","UHC 00137 NORTH HILLS DEVELOPMENT, LLC","N/A","N/A"
"5077027011","06-117195","CONCORD APARTMENTS (GRP. A & B) (SITE 5)","2674 W JAMES M. WOOD BLVD CA 90006","5","WILSHIRE CENTER","1","READY FOR OCCUPANCY","REHAB","FAMILY","0","7334438","8579256","15913694","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5407024005","10-117558","YALE STREET FAMILY HOUSING","715-721 YALE ST  Los Angeles, CA 90012","1","CHINATOWN","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","5093531","18993842","0","24087373","http://hcidapp.lacity.org/mpphotos/10-117558/Photo/Website/Yale%20Street%20Family.png","199","Affirmed Housing Group","SOLARI ENTERPRISES, INC","(714) 282-2520"
"5154026023","111","HISTORIC BARBIZON HOTEL APTS.","1927 W 6TH ST 1-51 CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","5009394","13935814","0","18945208","http://hcidapp.lacity.org/mpphotos/000111/Photo/Website/CD_1_-_Barbizon_Hotel.png","47","NEIGHBORHOOD EFFORT,","THE EBERLY COMPANY","(323) 937-6468"
"5408018028","50007","YALE TERRACE","716 N YALE ST 1-55 CA 90012","1","CHINATOWN","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","LARGE FAMILY / WAIVER REQUIRED","2133310","23154000","0","25287310","http://hcidapp.lacity.org/mpphotos/050007/Photo/Website/CD%201%20-%20Yale%20Terrace%20-%20050007.jpg","184","ADVANCED DEVELOPMENT & INVESTMENT,","FPI MANAGEMENT INC.","(714) 641-5110"
"5076018023","15-123418","WESTMORE ELDEN ELMS PH2","1255 S ELDEN AVE CA 90006","1","PICO-UNION","1","UNDERCONSTRUCTION","NEW CONSTRUCTION","FAMILY","0","1","0","1","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"West Hollywood Community Housing Corporation","JOHN STEWART COMPANY","(213) 787-2700"
"5445007903","11-117797","TAYLOR YARD APARTMENTS","1311 N SAN FERNANDO RD  Los Angeles, CA 90065","1","MT. WASHINGTON","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","6199789","11514000","3500000","21213789","http://hcidapp.lacity.org/mpphotos/11-117797/Photo/Website/11-117797.jpg","205","MCCORMACK BARON & ASSOCIATES,","MCCORMACK BARON RAGAN MANAGEMENT","(213) 236-2694"
"5124024011","15-122656","ST. JAMES PARK (SITE 2)","34 ST JAMES PARK  Los Angeles, CA 90007","2","UNIVERSITY PARK","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","FAMILY","0","27481703","9879228","37360931","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Retirement Housing Foundation","FOUNDATION PROPERTY MANAGEMENT, INC.","(213) 746-9548"
"5474023016","70171","TRES LOMAS GARDEN APTS.","4343 N TOLAND WAY CA 90041","1","GLASSELL PARK","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","SENIORS","2225251","4586754","562729","7374734","http://hcidapp.lacity.org/mpphotos/070171/Photo/Website/CD%2014%20-%20Tres%20Lomas%20-%20070171.JPG","24","National Community Renaissance of California","NATIONAL COMMUNITY RENAISSANCE OF CALIFORNIA","(909) 483-2444"
"5154032016","07-117236","MACARTHUR PARK TOWER","450 S GRAND VIEW ST CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","SENIORS","0","21975257","7387654","29362911","http://hcidapp.lacity.org/mpphotos/07-117236/Photo/Website/BONDS%20MacArthur%20Park%20Tower%20(wide%20shot).png",,"Retirement Housing Foundation","FOUNDATION PROPERTY MANAGEMENT, INC.","(562) 257-5100"
