"location_account","business_name","dba_name","city","zip_code","primary_naics_description","location_start_date"
"0000627543-0002-2","CALIFORNIA STATE UNIVERSITY LOS ANGELES",,"LOS ANGELES","90032-4226","Parking lots & garages","2023-01-01T00:00:00.000"
"0000969451-0066-1","THE REGENTS OF THE UNIVERSITY OF CALIFORNIA AT LOS ANGELES",,"LOS ANGELES","90024-6541","Parking lots & garages","2023-01-01T00:00:00.000"
"0000678503-0005-1","LOS ANGELES COMMUNITY COLLEGE DISTRICT","LOS ANGELES MISSION COLLEGE","SYLMAR","91342-3200","Parking lots & garages","2023-01-01T00:00:00.000"
"0003326073-0001-4","BOOKOFF U.S.A. INC.",,"LOS ANGELES","90012-4246","Other miscellaneous nondurable goods","2023-01-01T00:00:00.000"
"0003313176-0001-8","ELYSIUM BLINKER PROFESSIONAL CORPORATION",,"Los Angeles","90034-5109","Veterinary services","2022-12-31T00:00:00.000"
"0003301545-0001-4","DOUGLAS HURLEY, INC",,"Los Angeles","90065-2844",,"2022-12-31T00:00:00.000"
"0003300832-0001-4","MAVERICK PROPERTIES I, LLC",,"Los Angeles","90006-4841","Real estate property managers","2022-12-31T00:00:00.000"
"0003311777-0001-7","CENM REAL ESTATE LLC",,"PICO RIVERA","90660-3566","Other activities related to real estate","2022-12-31T00:00:00.000"
"0003309190-0001-5","JULIA KINIGSBERG","ON THE DAILY FIT","Los Angeles","90035-4446","Other personal care services (including diet & weight reducing centers)","2022-12-31T00:00:00.000"
"0003296996-0001-8","MUNALUCHI MARIANNI INC",,"Sun Valley","91352-4435","Apparel mfg.","2022-12-30T00:00:00.000"
"0003326831-0001-6","THE A S HAVE IT LLC","JP APPLIANCE","LOS ANGELES","90013-","All other specialty trade contractors","2022-12-30T00:00:00.000"
"0003294792-0001-9","PROMINENT HAIR EXTENSIONS","PROMINENT HAIR EXTENSIONS","Los Angeles","90047-4249",,"2022-12-30T00:00:00.000"
"0003290676-0001-2","NICOLAKE","LYONS FIRE PROTECTION","Newhall","91321-3953","All other specialty trade contractors","2022-12-28T00:00:00.000"
