LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0002178173-0001-3,CRUZ VERDE INC,GREEN CROSS OF TORRANCE,1658 W CARSON STREET SUITE # B C,TORRANCE,90501-2836,1658 CARSON 90501-2836,POST OFFICE BOX #955,NORTH HOLLYWOOD,91603-0955,888888,Medical Marijuana Collective,15,11/01/2006,,"(33.8314, -118.3079)",25715,15,945,1320,,55
0002201665-0001-0,DELTA 9 THC LLC,DELTA-9 T.H.C,824 E ANAHEIM STREET UNIT #B,WILMINGTON,90744-6833,824 ANAHEIM 90744-6833,,,,888888,Medical Marijuana Collective,15,12/01/2006,,"(33.7805, -118.2523)",3350,15,963,807,,15
0002221186-0001-3,HERBALCURE CORPORATION,HERBALCURE,17601 S DENVER AVENUE,GARDENA,90248-3412,17601 DENVER 90248-3412,13274   FIJI WAY   SUITE #250,MARINA DEL REY,90292-7298,888888,Medical Marijuana Collective,15,04/18/2011,,"(33.8706, -118.2831)",24685,15,943,779,,55
0002224443-0001-1,BEACH ENLIGHTENMENT AND COMPASSIONATE HEALING CORPORATION,LIBERTY BEACH CENTER,1115 W 190TH STREET,GARDENA,90248-4303,1115 190TH 90248-4303,,,,888888,Medical Marijuana Collective,15,02/08/2007,,,,,,,,
0002246867-0001-7,SUNRISE CAREGIVER FOUNDATION INC,,22865 LOCKNESS AVENUE,TORRANCE,90501-5103,22865 LOCKNESS 90501-5103,,,,888888,Medical Marijuana Collective,15,03/13/2007,,"(33.8176, -118.3065)",25715,15,946,1321,,55
0002247121-0001-5,HERBAL SOLUTIONS SOUTHERN CALIFORNIA INC,EVOLV CANNABIS | LA BREA COMPASSIONATE CAREGIVERS,25937   WESTERN AVENUE,LOMITA,90717-3361,25937 WESTERN 90717-3361,25937   WESTERN AVENUE,LOMITA,90717-3361,888888,Medical Marijuana Collective,15,05/15/2007,,"(33.7871, -118.3081)",3335,15,951,644,,29
0002257045-0001-9,THERAPEUTIC HEALTH COLLECTIVE,,621 W ROSECRANS AVENUE UNIT #101,GARDENA,90248-1516,621 ROSECRANS 90248-1516,,,,888888,Medical Marijuana Collective,15,06/20/2007,,"(33.9018, -118.2858)",24685,15,940,761,7,53
0002275038-0001-7,KUSH KORNER II,K.K.II,813   CRISTOBAL AVENUE,WILMINGTON,90744-4708,813 CRISTOBAL 90744-4708,10058   SUNLAND BLVD,SUNLAND,91040-1649,888888,Medical Marijuana Collective,15,09/13/2007,,"(33.7816, -118.243)",3350,15,2329,430,,15
0002333808-0002-5,GREEN EARTH PHARMACY INC,GREEN EARTH PHARMACY | KUSH,1227 W 253RD STREET,HARBOR CITY,90710-2413,1227 253RD 90710-2413,,,,888888,Medical Marijuana Collective,15,04/30/2007,,"(33.795, -118.2982)",26327,15,958,1288,,29
0002456876-0001-3,INFINITY MEDICAL ALLIANCE INC,,1609   LOCKNESS PLACE,TORRANCE,90501-5119,1609 LOCKNESS 90501-5119,1609 LOCKNESS PLACE,TORRANCE,90501-5119,888888,Medical Marijuana Collective,15,04/10/2007,,"(33.8187, -118.3057)",25715,15,946,1321,,55
0002766766-0001-4,DUONG NGUYEN,ROLLING GREEN GROUP,16400 S VERMONT AVENUE,GARDENA,90247-4914,16400 VERMONT 90247-4914,,,,888888,Medical Marijuana Collective,15,03/07/2014,,"(33.8825, -118.2912)",24684,15,941,1197,7,53
0003043880-0001-4,OPHIUCHUS INC,PCH HERBARIUM,1605   PACIFIC COAST HIGHWAY   #107,HARBOR CITY,90710-2600,1605 PACIFIC COAST 90710-2600,,,,888888,Medical Marijuana Collective,15,03/01/2018,,"(33.7899, -118.3047)",26327,15,949,1309,,29
0003067561-0001-9,WALIBE SOLUTIONS INC,,400 N MARINE AVENUE,WILMINGTON,90744-5629,400 MARINE 90744-5629,,,,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.7744, -118.2629)",3350,15,966,1560,,15
0003068088-0001-4,CALMEDS FARMERS UNION,,1606 LOCKNESS PLACE,TORRANCE,90501-5119,1606 LOCKNESS 90501-5119,1431 W PICO BLVD,LOS ANGELES,90015-2405,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.8177, -118.3055)",25715,15,946,1321,,55
0003068547-0001-6,BALL FAMILY FARMS,,15001 S FIGUEROA STREET,GARDENA,90248-1721,15001 FIGUEROA 90248-1721,,,,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.8957, -118.2842)",24685,15,941,761,7,53
0003072724-0001-4,TOKERMAN FARMS LLC,,13324   ESTRELLA AVENUE   UNIT #C,GARDENA,90248-1519,13324 ESTRELLA 90248-1519,,,,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.9108, -118.2855)",24685,15,939,1243,7,53
0003073895-0001-0,PARADISE FACTORY LLC,,385 W 20TH STREET,SAN PEDRO,90731-5503,385 20TH 90731-5503,,,,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.7258, -118.2855)",3342,15,980,1208,15,33
0003075130-0001-2,KYLE S RYAN,,1513   SEPULVEDA BLVD,TORRANCE,90501-5128,1513 SEPULVEDA 90501-5128,,,,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.8157, -118.3039)",25715,15,946,1321,,55
0003078390-0001-2,LA TEST LABS LLC,LA TESTING LAB,621 W ROSECRANS AVENUE   SUITE #104,GARDENA,90248-1516,621 ROSECRANS 90248-1516,621 W ROSECRANS AVENUE   SUITE #104,GARDENA,90248-1516,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.9029, -118.2856)",24685,15,940,1243,7,53
