LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0003328034-0001-9,FRANCISCO VALDOVINOS,PUPPY LOVE VARIETIES,227 E 2ND STREET UNIT #101,LOS ANGELES,90012-3802,227 2nd 90012-3802,,,,452000,General merchandise stores,14,07/18/2022,,"(34.0501, -118.2423)",22728,9,536,1502,,28
0003328032-0001-0,J & P DOES IT RIGH LLC,,323 W 71ST STREET,LOS ANGELES,90003-1838,323 71st 90003-1838,323 W 71ST STREET,LOS ANGELES,90003-1838,561790,Other services to buildings & dwellings,9,08/11/2022,,"(33.9758, -118.2792)",22352,13,787,995,7,46
0003328031-0001-5,CLUB LAY LOW CORP,,16819   HOLLYWOOD DRIVE,GRANADA HILLS,91344-,16819 HOLLYWOOD 91344,,,,339900,Other miscellaneous mfg.,0,07/22/2022,,,,,,,,
0003328030-0001-1,"SOUTH COAST FIRE EQUIPMENT, INC.",,2020 S BAKER AVENUE,ONTARIO,91761-7709,2020 Baker 91761-7709,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",0,08/10/2022,,"(34.0369, -117.6165)",9733,,,,,
0003328029-0001-8,CHRISTOPHER HALLIDAY,HALLIDAY PRODUCTS INC,6401 EDGEWATER DRIVE,ORLANDO,32810-4203,6401 EDGEWATER 32810-4203,,,,425120,Wholesale trade agents & brokers,0,07/13/2022,,"(28.6156, -81.4256)",4168,,,,,
0003328027-0001-9,ERMELINDA M AYALA QUINTANILLA,,7440 ALABAMA AVENUE    #204,CANOGA PARK,91303-1312,7440 Alabama 91303-1312,,,,561720,Janitorial services,3,01/01/2021,,"(34.2059, -118.5987)",4278,4,288,1465,,37
0003328026-0001-4,MERCED NAVAR,,310  1/2 S BONNIE BRAE STREET,LOS ANGELES,90057-3184,310 Bonnie Brae 90057-3184,20300 BALTAR STREET,WINNETKA,91306-1804,531100,Lessors of real estate (including mini warehouses & self-storage units),1,01/01/2022,,"(34.0617, -118.2702)",24352,11,563,836,,67
0003328025-0001-0,ERICA L NAGASHIMA,,3645 KALSMAN DRIVE UNIT #2,LOS ANGELES,90016-4446,3645 KALSMAN 90016-4446,,,,512100,Motion picture & video industries (except video rental),10,01/01/2014,,,,,,,,
0003328024-0001-5,CHRISTINE FERRITER,,5062 LANKERSHIM BLVD    #2,NORTH HOLLYWOOD,91601-4225,5062 LANKERSHIM 91601-4225,,,,711510,"Independent artists, writers, & performers",2,01/01/2018,,"(34.1626, -118.3729)",8488,5,210,553,,13
0003328023-0001-1,NH ACUPUNCTURE CLINIC INC,,10359 BALBOA BLVD,GRANADA HILLS,91344-7318,10359 Balboa 91344-7318,,,,621340,"Offices of physical, occupational & speech therapists, & audiologists",12,07/29/2022,,"(34.259, -118.5024)",18514,2,83,1416,39,79
