"location_account","business_name","dba_name","street_address","city","zip_code","location_description","mailing_address","mailing_city","mailing_zip_code","naics","primary_naics_description","council_district","location_start_date","location_end_date","location_1"
"0000000108-0001-3","PALACE OF VENICE GUEST HOME /C",,"1727 CRENSHAW BLVD","LOS ANGELES","90019-6037","1727 CRENSHAW 90019-6037",,,,"721310","Rooming & boarding houses","10","1991-05-15T00:00:00.000",,"(34.0425, -118.3295)"
"0000000121-0001-9","WILCARE ECONOMIC DEVELOPMENT CORPORATION",,"9911 AVALON BLVD","LOS ANGELES","90003-4805","9911 AVALON 90003-4805","448 E 99TH STREET","LOS ANGELES","90003-4804","721310","Rooming & boarding houses","8","1999-01-01T00:00:00.000",,"(33.9463, -118.2651)"
"0000000132-0001-7","CARLOS ANGEL",,"1221 W 7TH STREET SUITE #N-111","LOS ANGELES","90017-2394","1221 7TH 90017-2394",,,,"561300","Employment services","1","1999-07-01T00:00:00.000",,"
,  
(34.0521, -118.2662)"
"0000000133-0001-1","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"4917 S BROADWAY","LOS ANGELES","90037-3211","4917 BROADWAY 90037-3211","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","9","1991-01-01T00:00:00.000",,"(33.9981, -118.2783)"
"0000000141-0001-6","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"1330 WILSHIRE BLVD #208","LOS ANGELES","90017-1705","1330 WILSHIRE 90017-1705","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","1","1991-01-01T00:00:00.000",,"(34.0543, -118.2678)"
"0000000143-0001-5","DIAMOND PERFORATED METALS INC",,"11093 BEECH AVENUE","FONTANA","92337-7268","11093 BEECH 92337-7268","7300 W SUNNYVIEW AVENUE","VISALIA","93291-9605","423500","Metal & mineral (except petroleum)","0","1974-07-01T00:00:00.000",,"(34.0526, -117.4713)"
"0000000150-0001-5","A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C",,"2015 W TEMPLE STREET","LOS ANGELES","90026-4913","2015 TEMPLE 90026-4913","2607 VAN BUREN PLACE","LOS ANGELES","90007-2129","611000","Educational services (including schools, colleges, & universities)","13","1991-01-01T00:00:00.000",,
"0000000156-0001-2","SPRINGBOARD NON-PROFIT CONSUMER CREDIT MANAGEMENT","MONEY MANAGEMENT INTERNATIONAL","1605 W OLYMPIC BLVD #9023","LOS ANGELES","90015-3828","1605 OLYMPIC 90015-3828",,,,"523900","Other financial investment activities (including investment advice)","1","1999-02-01T00:00:00.000",,
"0000000168-0001-5","KIMBERLY FREESH",,"10926 OWENSMOUTH AVENUE","CHATSWORTH","91311-1342","10926 OWENSMOUTH 91311-1342",,,,"611000","Educational services (including schools, colleges, & universities)","12","2000-12-01T00:00:00.000",,"(34.2685, -118.6019)"
"0000000171-0001-7","EAST LA COMMUNITY CORP",,"121 N CHICAGO STREET","LOS ANGELES","90033-2904","121 CHICAGO 90033-2904","530 S BOYLE AVENUE","LOS ANGELES","90033-3817","531100","Lessors of real estate (including mini warehouses & self-storage units)","14","1995-06-05T00:00:00.000",,"(34.0447, -118.2123)"
