SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-88226601,12/31/2015 09:59:00 PM,01/02/2016 02:29:00 PM,SR Created,BOS,Dead Animal Removal,Closed,Call,,N,EV,,01/02/2016 02:29:00 PM,Y,N,"6827 W FOOTHILL BLVD, 91042",6827,W,FOOTHILL,BLVD,91042,34.24781809,-118.2802653,"(34.2478180903, -118.280265306)",504,B,5,North Valley APC,7,Felipe Fuentes,10,SUNLAND-TUJUNGA NC,FOOTHILL,3222,4,538,18,1,7
1-88226481,12/31/2015 08:15:00 PM,12/31/2015 08:21:00 PM,SR Created,BOS,Dead Animal Removal,Cancelled,Call,,N,SLA,,12/31/2015 08:21:00 PM,Y,N,"118 W 67TH ST, 90003",118,W,67TH,ST,90003,33.97897178,-118.2752618,"(33.9789717768, -118.275261824)",674,C,7,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),NEWTON,22352,787,995,7,13,46
1-88226431,12/31/2015 08:02:00 PM,01/06/2016 09:38:00 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,EV,01/06/2016 12:00:00 AM,01/06/2016 09:38:00 AM,Y,N,"14227 W MOORPARK ST, 91423",14227,W,MOORPARK,ST,91423,34.1509936,-118.4430256,"(34.1509935991, -118.443025561)",562,A,4,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS,19736,333,676,,7,83
1-88214281,12/31/2015 06:59:00 PM,01/02/2016 09:04:00 AM,SR Created,BOS,Bulky Items,Closed,Email,,N,WLA,01/02/2016 12:00:00 AM,01/02/2016 09:04:00 AM,Y,N,"9032 W CRESTA DR, 90035",9032,W,CRESTA,,90035,34.04592422,-118.3875995,"(34.0459242166, -118.387599456)",632,H,5,West Los Angeles APC,5,,,SOUTH ROBERTSON NC,,23666,875,749,,6,95
1-88213271,12/31/2015 06:58:00 PM,01/02/2016 09:02:00 AM,SR Created,BOS,Bulky Items,Closed,Email,,N,WLA,01/02/2016 12:00:00 AM,01/02/2016 09:02:00 AM,Y,N,"9032 W CRESTA DR, 90035",9032,W,CRESTA,DR,90035,34.04592422,-118.3875995,"(34.0459242166, -118.387599456)",632,H,5,West Los Angeles APC,5,Paul Koretz,61,SOUTH ROBERTSON NC,WEST LOS ANGELES,23666,875,749,,6,95
1-88212231,12/31/2015 06:29:00 PM,01/04/2016 03:51:00 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,,N,SLA,01/04/2016 12:00:00 AM,01/04/2016 03:51:00 PM,Y,N,"2933 S RIMPAU BLVD, 90016",2933,S,RIMPAU,BLVD,90016,34.02703776,-118.3515512,"(34.0270377601, -118.351551166)",633,C,7,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,664,924,7,12,17
1-88213191,12/31/2015 06:28:00 PM,01/04/2016 12:35:00 PM,SR Created,BOS,Bulky Items,Closed,Call,,N,SLA,01/04/2016 12:00:00 AM,01/04/2016 12:35:00 PM,Y,N,"2933 S RIMPAU BLVD, 90016",2933,S,RIMPAU,BLVD,90016,34.02703776,-118.3515512,"(34.0270377601, -118.351551166)",633,C,7,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,664,924,7,12,17
1-88218911,12/31/2015 06:27:00 PM,01/04/2016 10:52:00 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,SLA,01/04/2016 12:00:00 AM,01/04/2016 10:52:00 AM,Y,N,"2933 S RIMPAU BLVD, 90016",2933,S,RIMPAU,BLVD,90016,34.02703776,-118.3515512,"(34.0270377601, -118.351551166)",633,C,7,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,664,924,7,12,17
1-88218741,12/31/2015 06:14:00 PM,01/06/2016 12:33:00 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,,N,EV,01/06/2016 12:00:00 AM,01/06/2016 12:33:00 PM,Y,N,"15014 W MAGNOLIA BLVD, 91403",15014,W,MAGNOLIA,BLVD,91403,34.16479842,-118.4601816,"(34.1647984222, -118.460181622)",561,J,3,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS,19732,248,675,,7,83
1-88213931,12/31/2015 06:13:00 PM,01/06/2016 10:48:00 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,EV,01/06/2016 12:00:00 AM,01/06/2016 10:48:00 AM,Y,N,"15014 W MAGNOLIA BLVD, 91403",15014,W,MAGNOLIA,BLVD,91403,34.16479842,-118.4601816,"(34.1647984222, -118.460181622)",561,J,3,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS,19732,248,675,,7,83
