"permit_nbr","primary_address","zip_code","cd","pin_nbr","associated_pins","apn","zone","apc","cpa","cnc","hl","ct","group","permit_type","permit_sub_type","use_code","use_desc","submitted_date","issue_date","cofo_date","du_changed","adu_changed","square_footage","status","valuation","construction","height","type_lat_lon","lat","lon","refresh_time","work_desc"
"12016-20001-14626","5050 N ALHAMA DR","91364","3","171B105  1211","171B105  1211","2167017027","R1-1","South Valley","Canoga Park-West Hills-Winnetka-Woodland Hill","Woodland Hills - Warner Center","YES","1375.02","Building","Bldg-Alter/Repair","1 or 2 Family Dwelling","1","Dwelling - Single Family",,"2012-08-16T00:00:00.000",,,,,"Issued","2000",,,"ADDRESS","34.16092","-118.59307","2022-09-10T00:00:00.000","Re-Roof With Class A Or B Material Weighing Less Than 6 Pound Per Sq. Ft.  Water Damage/ Dry Rot Repair Less Than 10% Of Replacement Cost Of Building."
"18010-10000-02133","1129-1129 1/2 W BROWNING BLVD","90037","8","114B197    34","114B197    34","5037023020","RD1.5-1","South Los Angeles","South Los Angeles","Empowerment Congress North Area",,"2312.20","Building","Bldg-New","1 or 2 Family Dwelling","2","Duplex","2018-05-11T00:00:00.000","2019-08-20T00:00:00.000","2021-02-27T00:00:00.000","2",,"2702","CofO Issued","283810","Type V-B Construction","27.25","BUILDING","34.01239921","-118.29509279","2022-09-10T00:00:00.000","New 2 Story Duplex (Front Building)"
"18048-10000-01698","2121 S ARLINGTON AVE","90018","10","123B189    14","123B189    14","5060029027","[Q]C2-1-O","South Los Angeles","West Adams - Baldwin Hills - Leimert","Untd Nghbrhds of Hstrc Arlington Hghts/W Adams/Jef",,"2188.00","Building","Sign","Onsite","19","Wall Sign","2018-07-03T00:00:00.000","2018-07-03T00:00:00.000",,,,,"Issued","5000",,,"ADDRESS","34.03725","-118.31794","2022-09-10T00:00:00.000","Remove & Replace (2) Illuminated Wall Signs Logo On Existing Gas Station Canopy."
"19010-20000-05642","22017 W FIG TREE LN","91311","12","210B101    72","210B101    72","2723005003","A2-1","North Valley","Chatsworth - Porter Ranch","Chatsworth",,"1132.11","Building","Bldg-New","1 or 2 Family Dwelling","1","Dwelling - Single Family","2019-12-16T00:00:00.000","2021-09-02T00:00:00.000",,"1",,"4861","Issued","480000","Type V-B Construction","27",,,,"2022-09-10T00:00:00.000","New Sfd/Gar, Lot-4, Tract 74478, Plan 2b"
"18047-30000-00412","755 N STRADELLA ROAD","90077","5","141B149   145","141B149   145","4369022003","RE20-1-H-HCR","West Los Angeles","Bel Air - Beverly Crest","Bel Air - Beverly Crest","YES","2621.00","Building","Swimming-Pool/Spa","1 or 2 Family Dwelling","20","Pool/Spa - Private","2018-03-01T00:00:00.000","2018-03-01T00:00:00.000","2021-05-03T00:00:00.000",,,,"CofO Issued","40000",,,"ADDRESS","34.08265","-118.45298","2022-09-10T00:00:00.000","Replaster, Split Main Drains, Replacing Equipment Adding Fountain/Water Feature."
"16010-10003-03232","3219 S ROSEWOOD AVE","90066","11","114B149   195","114B149   195","4247007030","R1-1","West Los Angeles","Palms - Mar Vista - Del Rey","Mar Vista",,"2714.00","Building","Bldg-Alter/Repair","1 or 2 Family Dwelling","1","Dwelling - Single Family","2016-12-21T00:00:00.000","2017-01-23T00:00:00.000",,,,,"Permit Finaled","0",,,"ADDRESS","34.0111","-118.45168","2022-09-10T00:00:00.000","Minor Revisions To Interior Layout And Minor Structural Revisions,Supplemental To Building Permit: 16010-10000-03232"
"10020-20000-00661","6206 W MARYLAND DR","90048","5","135B177   287","135B177   287","5510018025","R1-1-O","Central","Wilshire","Mid City West",,"2147.00","Building","Nonbldg-New","1 or 2 Family Dwelling","23","Fence Wall","2010-03-19T00:00:00.000","2010-03-19T00:00:00.000",,,,,"Permit Finaled","2000",,,"ADDRESS","34.06668","-118.3633","2022-09-10T00:00:00.000","28 L.F. Of 6' High Max. Conc. Blk. Fence Wall Per City Standard Detail"
"19010-20000-04460","20604 W WALNUT CIR UNIT #132","91326","12","216B109    14","216B109    14","2701001040","[T]RE-1","North Valley","Chatsworth - Porter Ranch","Porter Ranch","YES","1082.02","Building","Bldg-New","1 or 2 Family Dwelling","35","Condo-Single Family","2019-11-01T00:00:00.000","2020-07-13T00:00:00.000","2021-05-05T00:00:00.000","1",,"2912","CofO Issued","357505","Type V-B Construction","28.34","BUILDING","34.29410851","-118.5825946","2022-09-10T00:00:00.000","Two Story Sfd-Condo With Attach 2 Car Garage (Standard Plan #647-Plan 1a)_Building Shall Be Fully Sprinkler Through Out With Nfpa 13d."
"21030-20000-00734","9871 W EDMORE PL","91352","2","189B181    42","189B181    42","2403023006","RS-1","North Valley","Sun Valley - La Tuna Canyon","Sun Valley Area","YES","1021.04","Building","Grading","1 or 2 Family Dwelling","70","Grading - Hillside","2021-02-04T00:00:00.000","2021-07-16T00:00:00.000",,,,,"Permit Finaled","305",,,"ADDRESS","34.21802","-118.34623","2022-09-10T00:00:00.000","Backfill And Pad Excavation For New Retaining Wall"
"11016-20000-25682","14925 W BURBANK BLVD","91411","2","174B149   850","174B149   809; 174B149   810; 174B149   811; 174B149   850","2243010027","C1.5-1VL ; R1-1","South Valley","Van Nuys - North Sherman Oaks","Van Nuys",,"1284.00","Building","Bldg-Alter/Repair","Commercial","16","Retail",,"2011-12-30T00:00:00.000",,,,,"Permit Finaled","11200",,,"ADDRESS","34.17229","-118.4584","2022-09-10T00:00:00.000","Complete Work Done Under Previously Expired Permit  08016-20000-11100.   80% Percent Completed As           Determined By Inspection.Change Of Owner."
