Event Name,Event Description,Fee Required,Type of Event,Subject Matter,Age Groupings,Event by Service Area,Event Sponsor,Event Date & Time Start,Event Date & Time Ends,Location Common Name,Location Address,Contact Name,Contact Number,Contact Email,Information Website,Elected Official Office Name,Elected Officials Name,Neighborhood Council,City Reference ID,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
Office of Comunity Beautification ~ Office of Councilmember Curren D. Price Jr. ~ Iglesia Paraiso ,Community Clean-Up,No,Volunteerism,,,,BPW OCB,08/31/0008 12:00:00 AM,08/29/2015 12:00:00 PM,Iglesia Paraiso,"5100 S. Broadway Street
Los Angeles, California 90037
(33.996486, -118.278322)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,23668,737,988,7,13,
Office of Councilmember Felipe Fuentes & Mission Hills NC ~ Office of Community Beautification,Trash pickup / Graffiti Removal / Sidewalk Cleanup,No,Volunteerism,Housing and Community Development,,,BPW OCB,03/07/2015 08:00:00 AM,03/07/2015 11:00:00 AM,Chatsworth St. next to Lee's Auto & Muffler,"Chatsworth St.
Mission Hills, California
(34.26449116400005, -118.46066083499994)",Maria Sheets,213-978-0227,maria.sheets@lacity.org,http://www.laocb.org,,,Council District 7,,19330,74,398,,1,4
186th Area Home Owners Ascc.,Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/11/2015 08:00:00 AM,04/11/2015 01:00:00 PM,186th Street Elementary School,"1581 W. 186th St
Los Angles
(33.862027975000046, -118.30491933299999)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,,,,,,24685,943,798,,15,55
Happiness Weekend Clean Up,,No,Volunteerism,,,,BPW OCB,04/11/2015 08:00:00 AM,04/11/2015 01:00:00 PM,5330 3rd Avenue in Council District 8,,Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,,,,,,,,,,,
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at Bette Davis Park.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/11/2015 09:00:00 AM,04/11/2015 12:00:00 PM,Bette Davis Park,"Victory and Verdugo Wash
Atwater Village Area
(40.02416191300006, -105.24804792999998)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/bette-davis-picnic-area/),,,,,20986,,,,,
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at Sepulveda Basin.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/11/2015 09:00:00 AM,04/11/2015 12:00:00 PM,Sepulveda Basin,"Victory and Balboa Blvd
Van Nuys
(34.18663071200007, -118.50109985199998)",Paul Racs,213-978-0229,paul.racs@lacity.org,Clink here for registration link. (http://folar.org/events/cleanup-2015/big-tujunga-wash-at-haines-channel-canyon/),,,,,19734,262,1223,,3,61
Friends of the LA River:  Great River Cleanup,"Cleanup of the LA River at Big Tujunga Wash.  Sponsored by Friends of the LA River, Office of Community Beautification, Keep Los Angeles Beautiful.",,volunteerism,,,,BPW OCB,04/11/2015 09:00:00 AM,04/11/2015 12:00:00 PM,Big Tujunga Wash at Haines Channel Canyon,"Wentworth and Tunjunga Valley Street
Tujunga
(34.25183392800005, -118.29096869899996)",Paul Racs,213-978-0229,paul.racs@lacity.org,Check link above for registration information. (http://folar.org/events/cleanup-2015/big-tujunga-wash-at-haines-channel-canyon/),,,,,3222,3,1270,18,1,7
Office of Community Beautification ~ Judy Burton Technology High School,3rd Annual Team Up to Clean-Up,No,Volunteerism,,,,BPW OCB,04/18/2015 07:00:00 AM,04/18/2015 12:00:00 AM,Judy Burton Technology High School,"10101 South Broadway Street
Los Angeles, California 90003
(33.94454100100006, -118.27841835699996)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22352,804,1191,7,14,45
Office of Community Beautification ~ West Adams High School,Community Clena-Up,No,Volunteerism,,,,BPW OCB,04/18/2015 08:00:00 AM,04/18/2015 01:00:00 PM,West Adams High School,"1500 West Washington Blvd
Los Angeles, California
(34.039982922000036, -118.28971958399995)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22724,681,1282,,11,8
"Office of Community Beautification ~ The New 9th Councilmember Curren D. Price, Jr.",Earth Day Community Clean-Up,No,Volunteerism,,,,BPW OCB,04/18/2015 08:30:00 AM,04/18/2015 01:00:00 PM,The New 9th Field Office,"4301 South Central Avenue
Los Angeles, California 90011
(34.005490518000045, -118.25652234399996)",Thomas Corrales,213-978-0230,thomas.corrales@lacity.org,http://www.laocb.org,,,,,22727,717,664,7,13,
