SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-411056851,12/31/2016 11:51:00 PM,01/01/2017 09:18:00 AM,SR Created,BOS,Dead Animal Removal,Closed,Self Service,,N,EV,,01/01/2017 09:18:00 AM,Y,N,"13922 W OSBORNE ST, 91331",13922,W,OSBORNE,ST,91331,34.23409856,-118.4367399,"(34.2340985645, -118.43673991)",502,B,7,North Valley APC,6,Nury Martinez,6,ARLETA NC,MISSION,18907,139,453,,3,41
1-411056141,12/31/2016 11:39:00 PM,01/04/2017 05:56:00 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,,Y,CCAC,01/04/2017 05:56:00 PM,01/04/2017 05:56:00 PM,Y,N,"430 N CORONADO ST, 90026",430,N,CORONADO,ST,90026,34.07371387,-118.2724016,"(34.0737138726, -118.272401627)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,470,838,,8,31
1-411057731,12/31/2016 11:37:00 PM,01/01/2017 07:21:00 AM,SR Created,BOS,Dead Animal Removal,Closed,Call,,N,WLA,,01/01/2017 07:21:00 AM,Y,N,"11914 W ATLANTIC AVE, 90066",11914,W,ATLANTIC,AVE,90066,33.99885,-118.4204465,"(33.9988499952, -118.42044647)",672,D,4,West Los Angeles APC,11,Mike Bonin,67,MAR VISTA CC,PACIFIC,24031,903,1343,10,10,27
1-411056761,12/31/2016 11:32:00 PM,01/04/2017 05:39:00 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,,Y,CCAC,01/04/2017 05:39:00 PM,01/04/2017 05:39:00 PM,Y,N,"2435 W TEMPLE ST, 90026",2435,W,TEMPLE,ST,90026,34.07199373,-118.2730177,"(34.0719937299, -118.273017652)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,470,838,,8,31
1-411056681,12/31/2016 11:30:00 PM,01/04/2017 05:52:00 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,,Y,CCAC,01/04/2017 05:51:00 PM,01/04/2017 05:52:00 PM,Y,N,"414 N CORONADO ST, 90026",414,N,CORONADO,ST,90026,34.07334691,-118.2726177,"(34.0733469063, -118.272617749)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,470,838,,8,31
1-411057631,12/31/2016 11:27:00 PM,01/04/2017 05:38:00 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,,Y,CCAC,01/04/2017 05:37:00 PM,01/04/2017 05:38:00 PM,Y,N,"CORONADO ST AT TEMPLE ST, 90026",,,,,90026,34.07218753,-118.2739192,"(34.0721875331, -118.273919201)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,556,612,,8,31
1-411062521,12/31/2016 11:26:00 PM,01/04/2017 05:55:00 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,Y,CCAC,01/04/2017 05:55:00 PM,01/04/2017 05:55:00 PM,Y,N,"322 N CORONADO ST, 90026",322,N,CORONADO,ST,90026,34.07272434,-118.272997,"(34.0727243439, -118.272996952)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,470,838,,8,31
1-411056041,12/31/2016 11:23:00 PM,01/13/2017 04:17:00 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,Y,CCAC,01/13/2017 04:17:00 PM,01/13/2017 04:17:00 PM,Y,N,"404 N CORONADO ST, 90026",404,N,CORONADO,ST,90026,34.07311041,-118.2727693,"(34.073110406, -118.272769338)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,470,838,,8,31
1-411054431,12/31/2016 11:17:00 PM,01/04/2017 05:50:00 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,,Y,CCAC,01/04/2017 05:49:00 PM,01/04/2017 05:50:00 PM,Y,N,"401 N CORONADO ST, 90026",401,N,CORONADO,ST,90026,34.07338015,-118.2728936,"(34.0733801524, -118.272893647)",634,C,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART,23444,472,612,,8,31
1-411056601,12/31/2016 11:07:00 PM,01/04/2017 10:01:00 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,N,HBT,01/03/2017 09:53:00 AM,01/04/2017 10:01:00 AM,Y,N,"1438 N SERRANO AVE, 90027",1438,N,SERRANO,AVE,90027,34.09773834,-118.3069544,"(34.0977383414, -118.306954378)",593,H,4,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,HOLLYWOOD,23445,428,456,16,8,58
