LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000038528-0002-9,ALAN A KLEIMAN,,18634   HILLSBORO ROAD,NORTHRIDGE,91326-3912,18634 HILLSBORO 91326-3912,POST OFFICE BOX #171,POWAY,92074-0171,453920,Art dealers,12,09/01/1992,,"(34.2613, -118.5409)",18905,2,80,1226,,77
0000048384-0001-4,CHARLES C HILL,,1158 PALMS BLVD,VENICE,90291-3525,1158 PALMS 90291-3525,1354 MORNINGSIDE WAY,VENICE,90291-2934,453920,Art dealers,11,12/08/2003,,"(34.0003, -118.457)",25073,10,911,1264,10,30
0000049215-0001-2,BARBARA STRASEN,,1305 S DODSON AVENUE,SAN PEDRO,90732-3929,1305 DODSON 90732-3929,1305 S DODSON AVENUE,SAN PEDRO,90732-3929,453920,Art dealers,15,04/07/2000,,"(33.7322, -118.3122)",3343,15,978,1454,,25
0000119904-0002-6,GREGORY M KOOSED,OFF THE WALL ART DESIGNS,319 W 6TH STREET,SAN PEDRO,90731-3317,319 6th 90731-3317,,,,453920,Art dealers,15,02/20/2020,,"(33.7385, -118.284)",3342,15,970,433,,36
0000126661-0001-6,ZLATKA PIRIN PANEVA,,14937 MC KENDREE AVENUE,PACIFIC PALISADES,90272-2635,14937 MC KENDREE 90272-2635,140 S CAMDEN DRIVE #102,BEVERLY HILLS,90212-2321,453920,Art dealers,11,02/01/2004,,"(34.0527, -118.5231)",25066,10,834,785,,
0000196410-0001-1,LONDON LOUVER LLC,,45 N VENICE BLVD,VENICE,90291-4127,45 VENICE 90291-4127,,,,453920,Art dealers,11,07/11/1996,,"(33.9846, -118.4708)",25073,10,909,1132,10,30
0000261992-0001-1,"L A LOUVER GALLERY, INC.",,45 N VENICE BLVD,VENICE,90291-4127,45 VENICE 90291-4127,,,,453920,Art dealers,11,04/01/1976,,"(33.9846, -118.4708)",25073,10,909,1132,10,30
0000299657-0001-1,BLUM & POE LLC,"BLUM & POE, LLC",2727 S LA CIENEGA BLVD,LOS ANGELES,90034-2643,2727 LA CIENEGA 90034-2643,,,,453920,Art dealers,10,09/04/2003,,"(34.0333, -118.3757)",23451,12,886,987,,95
0000326573-0002-0,"ITS A WONDERFUL WORLD, INC.",,1110 SEWARD STREET,LOS ANGELES,90038-1308,1110 SEWARD 90038-1308,1110 SEWARD STREET,LOS ANGELES,90038-1308,453920,Art dealers,13,01/01/2008,,"(34.0909, -118.3331)",23669,8,424,535,,34
0000462448-0002-5,KATHLEEN A WILSON,KATHLEEN A. WILSON & ASSOCIATES,4006 PUNTA ALTA DRIVE,LOS ANGELES,90008-1131,4006 PUNTA ALTA 90008-1131,,,,453920,Art dealers,10,02/21/2014,,"(34.0121, -118.3595)",22725,12,760,1113,,54
0000468583-0002-9,GREENWAY ARTS ALLIANCE,,544 N FAIRFAX AVENUE,LOS ANGELES,90036-1771,544 FAIRFAX 90036-1771,,,,453920,Art dealers,5,07/19/2009,,"(34.0809, -118.3614)",23667,6,447,804,,26
0000468583-0003-7,GREENWAY ARTS ALLIANCE,,7850 MELROSE AVENUE,LOS ANGELES,90046-7210,7850 MELROSE 90046-7210,544 N FAIRFAX AVENUE,LOS ANGELES,90036-1771,453920,Art dealers,5,07/19/2009,,"(34.0837, -118.3607)",23667,6,447,804,,26
0000609125-0002-3,JORY FELICE,,3803 BOYCE AVENUE,LOS ANGELES,90039-1629,3803 BOYCE 90039-1629,,,,453920,Art dealers,13,11/01/2013,,"(34.1218, -118.2616)",23670,8,398,567,,42
0000616231-0002-1,WEIDMAN GALLERY & CUSTOM FRAMING INC,,8254   MELROSE AVENUE,LOS ANGELES,90046-6821,8254 MELROSE 90046-6821,,,,453920,Art dealers,5,08/01/2011,,"(34.0834, -118.3694)",23679,6,461,1078,,26
0000646891-0001-3,GUY DILL INC,,1321 INNES PLACE,VENICE,90291-3617,1321 INNES 90291-3617,,,,453920,Art dealers,11,05/30/1988,,"(33.9895, -118.4728)",25073,10,909,1263,10,30
0000691035-0003-6,KIRSTEN SCHILLING,ARABESQUE AROMAS,5831 W OLYMPIC BLVD UNIT #3,LOS ANGELES,90036-4629,5831 Olympic 90036-4629,5831 W Olympic #3,Los Angeles,90036-4629,453920,Art dealers,5,05/01/2021,,"(34.0577, -118.3573)",23667,7,638,1293,,26
0000725455-0001-0,AMADEA BAILEY,,3918 ALLA ROAD,LOS ANGELES,90066-4114,3918 ALLA 90066-4114,,,,453920,Art dealers,11,03/23/1998,,"(33.9955, -118.4404)",24031,10,902,1394,10,27
0000779188-0002-9,NINA HOFFMANN,LAVENDER VLRCONS ART,6839 MAYNARD AVENUE,WEST HILLS,91307-2606,6839 MAYNARD 91307-2606,6839   MAYNARD AVENUE,WEST HILLS,91307-2606,453920,Art dealers,12,07/02/2018,,"(0.0, 0.0)",,,,,,
0000807326-0002-1,CHONG HEE LEE,,210 N WESTERN AVENUE #201,LOS ANGELES,90004-4127,210 WESTERN 90004-4127,12750 CENTER COURT DRIVE S SUITE #230,CERRITOS,90703-9341,453920,Art dealers,10,08/15/2008,,"(34.0753, -118.3091)",22721,12,585,1125,,89
0000811470-0002-2,TAMARA CRAIG,LILYMIKEY GROOMING,5723 VENICE BLVD,LOS ANGELES,90019-5015,5723 VENICE 90019-5015,,,,453920,Art dealers,10,03/26/2005,,"(34.0432, -118.363)",23080,12,652,1104,,69
0000821250-0002-5,MARILYN ANN STEMPEL,,11321 MOORPARK STREET UNIT #205,NORTH HOLLYWOOD,91602-2674,11321 MOORPARK 91602-2674,4826   AGNES AVENUE,VALLEY VILLAGE,91607-3703,453920,Art dealers,2,12/22/2010,,"(34.1503, -118.3776)",8489,5,343,1335,,84
0000834556-0002-5,DALE A HARRIS & MARCELLA RUBLE,HARRIS & RUBLE GALLERY,6424 SANTA MONICA BLVD,LOS ANGELES,90038-1513,6424 SANTA MONICA 90038-1513,4771 CROMWELL AVENUE,LOS ANGELES,90027-1143,453920,Art dealers,13,01/01/2011,,"(34.0907, -118.3297)",23669,8,442,535,,34
0000842303-0001-1,ARAM WAHAN SHAHENIAN,QUEEN ART GALLERY,15617 KALISHER STREET,GRANADA HILLS,91344-4336,15617 KALISHER 91344-4336,,,,453920,Art dealers,12,02/24/2010,,"(34.2771, -118.4724)",19329,2,68,385,,78
0000847921-0001-4,KYUNG SOON LEE,LEE & LEE GALLERY,3130 WILSHIRE BLVD #502,LOS ANGELES,90010-1206,3130 WILSHIRE 90010-1206,,,,453920,Art dealers,10,06/01/1991,,"(34.0617, -118.2899)",22722,12,600,684,,89
0000853800-0002-0,AUSTIN YOUNG,FRUITIQUE,844   SANBORN AVENUE,LOS ANGELES,90029-3081,844 SANBORN 90029-3081,844 SANBORN AVENUE,LOS ANGELES,90029-3081,453920,Art dealers,13,11/01/2013,,"(34.0872, -118.2838)",23447,8,475,1221,,90
0000874682-0002-1,MARK SHIELDS,,11122 MORRISON STREET APT #107,NORTH HOLLYWOOD,91601-5315,11122 MORRISON 91601-5315,,,,453920,Art dealers,2,01/01/2006,,"(34.1607, -118.3725)",8488,5,211,1333,,13
0000972486-0002-4,SUSAN MCRIGHT,BLUE MCRIGHT,1337 PALMS BLVD,VENICE,90291-2907,1337 PALMS 90291-2907,,,,453920,Art dealers,11,01/01/2005,,"(34.0025, -118.4527)",25073,10,911,853,10,30
0002006228-0002-0,DANIEL MBELLA NJAPOUM,,1655 N WESTERN AVENUE,LOS ANGELES,90027-4820,1655 WESTERN 90027-4820,,,,453920,Art dealers,13,03/28/2019,,"(34.1007, -118.3096)",23446,8,420,608,16,57
0002009446-0001-8,CRAFT CONTEMPORARY,,5814 WILSHIRE BLVD,LOS ANGELES,90036-4501,5814 WILSHIRE 90036-4501,,,,453920,Art dealers,5,12/20/2004,,"(34.0623, -118.3552)",23667,7,638,1293,,26
0002010250-0002-7,NICKI BAIR,,562 BIENVENEDA AVENUE,PACIFIC PALISADES,90272-3335,562 BIENVENEDA 90272-3335,,,,453920,Art dealers,11,01/01/2010,,"(34.0459, -118.5401)",25066,10,837,787,,
0002010578-0001-7,ANDREW R FREEMAN,,1302 N AVENUE 56,LOS ANGELES,90042-1832,1302 AVENUE 56 90042-1832,2564   VIA TEJON,PALOS VERDES ESTATES,90274-1348,453920,Art dealers,14,01/01/2001,,"(34.1217, -118.1964)",23673,9,362,1224,,93
0002015657-0001-0,LARRY R GROSSMAN,RETROVISIONS,5309 COLDWATER CANYON AVENUE UNIT #C,SHERMAN OAKS,91401-6130,5309 COLDWATER CANYON 91401-6130,,,,453920,Art dealers,4,03/05/2002,,"(34.1667, -118.4137)",19729,7,203,645,,
0002040434-0001-5,DAYALIYAH LOPEZ,,3326   MALABAR STREET,LOS ANGELES,90063-3806,3326 MALABAR 90063-3806,6021 HOLLYWOOD BLVD #4604,LOS ANGELES,90028-5411,453920,Art dealers,0,11/10/2002,,"(34.044, -118.1917)",24028,,1541,37,,
0002041713-0001-5,RENA E HALEY,,415   MOLINO STREET   #6,LOS ANGELES,90013-1896,415 MOLINO 90013-1896,415 MOLINO STREET SUITE #6,LOS ANGELES,90013-1898,453920,Art dealers,14,05/13/2005,,"(34.0425, -118.2344)",23074,9,533,1287,,28
0002043533-0001-1,VOILA! ART FOR THE MODERN EYE,,749 N LA BREA AVENUE,LOS ANGELES,90038-3338,749 LA BREA 90038-3338,,,,453920,Art dealers,5,02/01/2004,,"(34.0846, -118.3442)",23669,6,446,805,,26
0002048296-0001-8,SAM MALEKI,GALLERY ART GROUP,1249 S LA CIENEGA BLVD,LOS ANGELES,90035-2520,1249 LA CIENEGA 90035-2520,POST OFFICE BOX #351807,LOS ANGELES,90035-8833,453920,Art dealers,5,07/01/2005,,"(34.0546, -118.3761)",23666,6,642,829,,23
0002053883-0001-0,MELISSA ANN LAMBERT,LAMBERT DESIGNS,12313 MOORPARK STREET UNIT #4,STUDIO CITY,91604-1281,12313 MOORPARK 91604-1281,,,,453920,Art dealers,4,07/08/2005,,"(34.1503, -118.4012)",8492,5,346,1504,,84
0002055325-0001-1,"MULLERSTUDIO, INC",,1050 E ELIZABETH STREET,PASADENA,91104-2412,1050 ELIZABETH 91104-2412,2564   VIA TEJON,PALOS VERDES ESTATES,90274-1348,453920,Art dealers,0,01/01/2003,,"(34.1733, -118.129)",3231,,1356,,,
0002058790-0002-6,WALTER FREDRIC MACIEL,,2642 S LA CIENEGA BLVD,LOS ANGELES,90034-2604,2642 LA CIENEGA 90034-2604,,,,453920,Art dealers,10,03/18/2006,,"(34.0341, -118.3769)",23451,12,886,987,,69
0002083299-0001-1,NORMAN CLARKE,NORMANS PAINTING,5107 VISTA DEL MONTE AVENUE,SHERMAN OAKS,91403-1448,5107 VISTA DEL MONTE 91403-1448,,,,453920,Art dealers,4,01/01/2006,,"(34.1634, -118.4501)",19732,7,248,674,,83
0002086243-0001-7,VIRGINIA M COOK,,480 MUSEUM DRIVE,LOS ANGELES,90065-5048,480 MUSEUM 90065-5048,480 MUSEUM DRIVE APT #1/2,LOS ANGELES,90065-5048,453920,Art dealers,1,01/01/2004,,"(34.1047, -118.209)",24030,11,376,589,13,92
0002092058-0001-4,STEPHEN BERENS,,5150 DAHLIA DRIVE,LOS ANGELES,90041-1405,5150 DAHLIA 90041-1405,,,,453920,Art dealers,14,01/01/2002,,"(34.1413, -118.1997)",23672,9,354,1438,,60
0002092790-0001-0,TORSTEN KELLER,,9721 WORNOM AVENUE,SHADOW HILLS,91040-1533,9721 WORNOM 91040-1533,,,,453920,Art dealers,7,02/05/2002,,"(34.2468, -118.3519)",3221,1,10,1373,8,9
0002093191-0001-2,DINA S FINZI,CLAY CARVINGS,6337 W 5TH STREET,LOS ANGELES,90048-4717,6337 5TH 90048-4717,,,,453920,Art dealers,5,01/01/2003,,"(34.0678, -118.3656)",23679,6,630,1097,,26
0002100318-0001-8,ANTHONY SIMPSON / EILEEN GOLDEN,CURIOSITY,1444 N POINSETTIA PLACE #207,LOS ANGELES,90046-4365,1444 POINSETTIA 90046-4365,,,,453920,Art dealers,13,01/01/2002,,"(34.0969, -118.3483)",23677,7,410,863,,82
0002101932-0001-4,BRIAN HOLLISTER,,2328 VESTAL AVENUE,LOS ANGELES,90026-2058,2328 VESTAL 90026-2058,,,,453920,Art dealers,13,09/01/2000,,"(34.0937, -118.2491)",23444,8,480,1427,,31
0002102001-0001-2,JOHN BROWN,JABCO FINE ART,4005 MONROE STREET #3,LOS ANGELES,90029-2988,4005 MONROE 90029-2988,4005 MONROE STREET UNIT ##3,LOS ANGELES,90029-2988,453920,Art dealers,13,08/20/2003,,"(34.0856, -118.2846)",23447,8,436,522,,58
0002110164-0001-8,DARYOUSH SAFAI ARCHITECT INC,AIA ARCHITECT,2932 WILSHIRE BLVD SUITE #210,SANTA MONICA,90403-4944,2932 WILSHIRE 90403-4944,,,,453920,Art dealers,0,01/01/2004,,"(34.0385, -118.4743)",25713,,2128,,,
