"rampid","title","stagename","category","type","bidpost","closedate","department","url"
"204079","IFB 137894 - CABLE, COPPER","Open","Commodity","RFB - Request For Bid","2022-09-08T00:50:02.000","2022-09-22T21:00:00.000","Water & Power","https://www.rampla.org/s/opportunity-details?id=0066g00003bjxQXAAY"
"204075","Asphalt Construction, Retrofit, Maintenance and/or Repairs","Open","Construction","RFQ - Request For Qualification","2022-09-08T00:00:00.000","2022-11-14T22:00:00.000","Recreation and Parks","https://www.rampla.org/s/opportunity-details?id=0066g00003bjxJ1AAI"
"204076","Nasco Sludge Judge Ultra Sample Pole Complete Unit","Open","Commodity","RFQ - Request for Quote","2022-09-07T23:35:07.000","2022-09-13T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjxKFAAY"
"204074","IFB 137537 - PANELS, RACK MOUNTED","Open","Commodity","RFB - Request For Bid","2022-09-07T22:30:20.000","2022-09-21T21:00:00.000","Water & Power","https://www.rampla.org/s/opportunity-details?id=0066g00003bjxDzAAI"
"204073","Diaphragm Pump, Sandpiper, Mfr.: Warren Rupp","Open","Commodity","RFQ - Request for Quote","2022-09-07T22:30:19.000","2022-09-13T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjxDuAAI"
"204072","Gear Oil, Chevron GO GL1 90","Open","Commodity","RFQ - Request for Quote","2022-09-07T22:00:00.000","2022-09-14T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjxD1AAI"
"204071","IFB 137903 - TERMINAL, COPPER, COMPRESSION","Open","Commodity","RFB - Request For Bid","2022-09-07T21:50:05.000","2022-09-22T21:00:00.000","Water & Power","https://www.rampla.org/s/opportunity-details?id=0066g00003bjx9AAAQ"
"204067","TRUCK, FLATBED, STAKESIDE, W/ LIFTGATE ELECTRIC","Open","Commodity","RFB - Request For Bid","2022-09-07T19:20:04.000","2022-09-15T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwwRAAQ"
"204066","2023 Chevrolet Bolt EUV (1FF48), FWD, 4dr, LT","Open","Commodity","RFQ - Request for Quote","2022-09-07T19:20:03.000","2022-09-13T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwwMAAQ"
"204065","Performance Audit and Consulting Services","Open","Personal Services","RFQ - Request For Qualification","2022-09-07T19:00:00.000","2022-09-28T22:00:00.000","Harbor Department, Port of Los Angeles","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwq9AAA"
"204064","Market Research for Mobile Storage Containers, Purch/Rental","Open","Commodity","RFQ - Request for Quote","2022-09-07T18:05:04.000","2022-09-13T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwnfAAA"
"204062","IFB 137881 - CONDUIT, ARDUINI, CREWS","Open","Commodity","RFB - Request For Bid","2022-09-07T17:20:02.000","2022-09-22T21:00:00.000","Water & Power","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwi1AAA"
"204061","IFB 137904 - CONNECTOR, BUS TYPE, 600 VOLT","Open","Commodity","RFB - Request For Bid","2022-09-07T17:05:03.000","2022-09-21T21:00:00.000","Water & Power","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwgtAAA"
"204056","On-Call Trash Cleanup Services RFP Notice","Open","Personal Services","RFP - Request For Proposal","2022-09-07T16:00:00.000","2022-09-30T22:00:00.000","Harbor Department, Port of Los Angeles","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwMvAAI"
"204060","CHECKS","Open","Commodity","RFQ - Request for Quote","2022-09-07T15:35:02.000","2022-09-15T18:00:00.000","General Services","https://www.rampla.org/s/opportunity-details?id=0066g00003bjwWwAAI"
