"dataset_link","public","derived_view","u_id","department","domain","type","name","description","visits","creation_date","last_update_date_data","category","keywords","downloads","owner_uid","license","publication_stage","data_provided_by","source_link","routing_approval","api_endpoint","system","last_updated","what_geographic_unit_is_the_data_collected","refresh_rate","does_this_data_have_a_location_column_yes_or_no","geometrytype","hasattachments","owner"
"https://data.lacity.org/d/nxs9-385f","true","false","nxs9-385f","Mayor's Office","data.lacity.org","dataset","2010 Census Populations by Zip Code","This data comes from the 2010 Census Profile of General Population and Housing Characteristics. Zip codes are limited to those that fall at least partially within LA city boundaries. The dataset will be updated after the next census in 2020. 
To view all possible columns and access the data directly, visit http://factfinder.census.gov/faces/affhelp/jsf/pages/metadata.xhtml?lang=en&type=table&id=table.en.DEC_10_SF1_SF1DP1#main_content.","3315","2016-03-07T02:47:00.000Z","2016-03-07T02:52:00.000Z",,"census,population,zip code","267706","95pg-i79k","Creative Commons 1.0 Universal (Public Domain Dedication)","published","U.S. Census","https://www.census.gov/2010census/data/",,"https://data.lacity.org/resource/nxs9-385f.json",,,,"Other - See Description","No",,,"ChelseaU"
"https://data.lacity.org/d/fw6y-ht9f","true","false","fw6y-ht9f","LA Sanitation","data.lacity.org","dataset","2013 Community-Wide Greenhouse Gas Emissions",,"94","2019-04-25T23:02:00.000Z","2019-04-25T23:04:00.000Z","A Livable and Sustainable City",,"229","wrs9-spaj",,"published",,,,"https://data.lacity.org/resource/fw6y-ht9f.json",,,,"Other - See Description","No",,,"JPathman"
"https://data.lacity.org/d/u3bu-it6d","true","false","u3bu-it6d","LA Sanitation","data.lacity.org","dataset","2014 Community-Wide Greenhouse Gas Emissions",,"68","2019-04-25T22:58:00.000Z","2019-04-25T23:02:00.000Z","A Livable and Sustainable City",,"224","wrs9-spaj",,"published",,,,"https://data.lacity.org/resource/u3bu-it6d.json",,,,"Other - See Description","No",,,"JPathman"
"https://data.lacity.org/d/fdwe-pgcu","true","false","fdwe-pgcu","Housing and Community Investment","data.lacity.org","dataset","2014 Registered Foreclosure Properties","The 2014 Foreclosure Properties registered at HCIDLA between 1/1/2014 and 12/31/2014.","114434","2014-05-28T22:28:00.000Z","2018-08-07T22:52:00.000Z","A Well Run City","foreclosure,2014,hcidla","3532","tdkf-rwnq","Creative Commons 1.0 Universal (Public Domain Dedication)","published",,,,"https://data.lacity.org/resource/fdwe-pgcu.json",,,,"Other - See Description","Yes",,,"HCIDLA OpenData"
"https://data.lacity.org/d/f4qm-39q9","true","false","f4qm-39q9","LA Sanitation","data.lacity.org","dataset","2015 Community-Wide Greenhouse Gas Emissions",,"88","2019-04-25T22:53:00.000Z","2019-04-25T22:55:00.000Z","A Livable and Sustainable City",,"188","wrs9-spaj",,"published",,,,"https://data.lacity.org/resource/f4qm-39q9.json",,,,"Other - See Description","No",,,"JPathman"
"https://data.lacity.org/d/f37w-ye7d","true","false","f37w-ye7d","Housing and Community Investment","data.lacity.org","dataset","2015 Registered Foreclosure Properties","2015 Foreclosure Properties registered with the HCIDLA from January 1, 2015 through December 31, 2015.","886","2016-01-04T21:22:00.000Z","2016-01-16T00:00:00.000Z","A Well Run City","foreclosure,2015,hcidla,foreclosures","2701","tdkf-rwnq","Creative Commons 1.0 Universal (Public Domain Dedication)","published","HCIDLA","http://www.hcidla.org",,"https://data.lacity.org/resource/f37w-ye7d.json",,,"Street address","Other - See Description","Yes",,,"HCIDLA OpenData"
"https://data.lacity.org/d/bb9g-p6se","true","false","bb9g-p6se","LA Sanitation","data.lacity.org","dataset","2016 Community-Wide Greenhouse Gas Emissions",,"91","2019-04-25T22:51:00.000Z","2019-04-25T22:53:00.000Z","A Livable and Sustainable City",,"228","wrs9-spaj",,"published",,,,"https://data.lacity.org/resource/bb9g-p6se.json",,,,"Other - See Description","No",,,"JPathman"
"https://data.lacity.org/d/4sbs-dcfn","true","false","4sbs-dcfn","Housing and Community Investment","data.lacity.org","dataset","2016 Registered Foreclosure Properties","2016 Foreclosure Properties registered with HCIDLA between January 1, 2016 and December 31, 2016","1300","2016-04-22T21:08:00.000Z","2017-01-18T22:28:00.000Z","A Well Run City","foreclosure,2016,hcidla,foreclosures,foreclosed","2940","tdkf-rwnq","Creative Commons 1.0 Universal (Public Domain Dedication)","published","LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT","http://www.hcidla.org",,"https://data.lacity.org/resource/4sbs-dcfn.json",,,,"Other - See Description","Yes",,,"HCIDLA OpenData"
"https://data.lacity.org/d/cq4z-inke","true","false","cq4z-inke","Transportation","data.lacity.org","dataset","2016 Walk To School Day Registration - Online Report  - WTSD 2016",,"85","2017-07-06T19:42:00.000Z","2017-07-06T19:42:00.000Z","A Livable and Sustainable City","walk to school","955","q2rc-webd","Creative Commons 1.0 Universal (Public Domain Dedication)","published","Los Angeles Department of Transportation",,,"https://data.lacity.org/resource/cq4z-inke.json",,,"Street address","Annual","Yes",,,"Allan Nguyen"
"https://data.lacity.org/d/kkrh-b4e3","true","false","kkrh-b4e3","LA Sanitation","data.lacity.org","dataset","2017 Community-Wide Greenhouse Gas Emissions",,"604","2019-04-25T22:40:00.000Z","2019-04-25T22:51:00.000Z","A Livable and Sustainable City",,"304","wrs9-spaj",,"published",,,,"https://data.lacity.org/resource/kkrh-b4e3.json",,,,"Other - See Description","No",,,"JPathman"
"https://data.lacity.org/d/r53k-qp8f","true","false","r53k-qp8f","Housing and Community Investment","data.lacity.org","dataset","2017 Registered Foreclosure Properties",,"132","2019-08-01T16:09:00.000Z","2019-08-01T21:05:00.000Z","A Well Run City","2017,foreclosure,hcidla,registered,foreclosures,foreclosed,properties","1144","dqgh-u6z8",,"published","LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT","https://hcidla.lacity.org",,"https://data.lacity.org/resource/r53k-qp8f.json",,,"Latitude/longitude","Quarterly","Yes",,,"Diana Wong"
"https://data.lacity.org/d/e6cg-sqdy","true","false","e6cg-sqdy","Housing and Community Investment","data.lacity.org","dataset","2018 Registered Foreclosure Properties","2018 Foreclosure Properties registered with the HCIDLA from January 1, 2018 through December 31, 2018","847","2018-10-25T22:43:00.000Z","2019-01-24T22:31:00.000Z","A Well Run City","foreclosure,2018,hcidla,foreclosures,foreclosed","1247","dqgh-u6z8",,"published","LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT","https://hcidla.lacity.org",,"https://data.lacity.org/resource/e6cg-sqdy.json",,,"Street address","Quarterly","Yes",,,"Diana Wong"
"https://data.lacity.org/d/rsxb-x48z","true","false","rsxb-x48z","Housing and Community Investment","data.lacity.org","dataset","2019 Registered Foreclosure Properties","2019 Foreclosure Properties registered with the HCIDLA from January 1, 2019 through December 31, 2019","927","2019-04-22T17:52:00.000Z","2020-01-06T17:27:00.000Z","A Well Run City","foreclosure,2019,hcidla,foreclosures,foreclosed,registered","1505","dqgh-u6z8",,"published","LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT","https://hcidla.lacity.org",,"https://data.lacity.org/resource/rsxb-x48z.json",,,"Latitude/longitude","Quarterly","Yes",,,"Diana Wong"
"https://data.lacity.org/d/kde4-k7yx","true","false","kde4-k7yx","Housing and Community Investment","data.lacity.org","dataset","2020 Registered Foreclosure Properties","2020 Foreclosure Properties registered with the HCIDLA from January 1, 2020 through December 31, 2020.","301","2020-04-01T16:45:00.000Z","2020-10-06T21:51:00.000Z","A Well Run City","foeclosue,2020,hcidla,foreclosures,foreclosured,registered","242","dqgh-u6z8","Creative Commons 1.0 Universal (Public Domain Dedication)","published","LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT","https://hcidla.lacity.org",,"https://data.lacity.org/resource/kde4-k7yx.json",,,"Latitude/longitude","Quarterly","Yes",,,"Diana Wong"
"https://data.lacity.org/d/bpyg-ytsg","true","false","bpyg-ytsg","Information Technology","data.lacity.org","dataset","311 Call Center Service Request Data - Archived 2013-2014","This data shows the source of 311 requests and the wait time to speak to an agent when dialing 311 for years 2013-2014.
For the new 311 dataset (refreshed daily), see https://data.lacity.org/A-Well-Run-City/MyLA311-Service-Request-Data-2016/ndkd-k878","1199","2014-05-30T21:33:00.000Z","2018-09-04T21:55:00.000Z","A Well Run City","311,myla311,311 app","1881","yb4r-dcys","Creative Commons 1.0 Universal (Public Domain Dedication)","published",,,,"https://data.lacity.org/resource/bpyg-ytsg.json",,,,"Other - See Description","No",,,"ITA OpenData"
"https://data.lacity.org/d/txn4-36ky","true","false","txn4-36ky","LADWP","data.lacity.org","dataset","Active Conservation in the City of Los Angeles","Active Water Conservation by Acre Feet in the City of Los Angeles. An Acre Foot is a unit of volume equal to one foot water in depth spread across one Acre (325,853.38 gallons).","367","2014-05-12T23:04:00.000Z","2015-03-04T00:03:00.000Z","A Livable and Sustainable City","water,conservation","1573","hb8e-gdsp","Creative Commons 1.0 Universal (Public Domain Dedication)","published","LADWP",,,"https://data.lacity.org/resource/txn4-36ky.json",,,,"Monthly","No",,,"LA DWP OpenData"
"https://data.lacity.org/d/4ca8-mxuh","true","false","4ca8-mxuh","Bureau of Engineering","data.lacity.org","dataset","Addresses in the City of Los Angeles","Official addresses assigned in the City of Los Angeles created and maintained by the Bureau of Engineering.","17303","2014-05-13T23:08:00.000Z","2020-11-13T14:21:00.000Z","A Well Run City","addresses,address,house number,street name","4969","d7t2-dvpb","Creative Commons 1.0 Universal (Public Domain Dedication)","published","Bureau of Engineering",,,"https://data.lacity.org/resource/4ca8-mxuh.json",,,"Street address","Daily","Yes",,,"Public Works: Engineering OpenData"
"https://data.lacity.org/d/kszm-sdw4","true","false","kszm-sdw4","LAFD","data.lacity.org","dataset","All Stations Response Metrics","Archived response Time metrics for all LAFD stations. Filtered views for each of the years is also available. 

PDF Files are attached to the dataset.","418","2017-04-10T22:25:00.000Z","2017-04-10T22:29:00.000Z","A Safe City",,"569","9uet-7vvk",,"published",,,,"https://data.lacity.org/resource/kszm-sdw4.json",,,,"Other - See Description","No",,,"Fire OpenData"
"https://data.lacity.org/d/2qdj-cyiz","true","false","2qdj-cyiz","LADWP","data.lacity.org","dataset","Amount Of CO2 Generated by LADWP","The State of California has adopted targets to reduce Green House Gas (GHG) emissions to 1990 levels by 2020 and to ultimately achieve an 80% reduction from 1990 levels by 2050.  GHG reduction efforts from the electricity sector, including LADWP, are a critical component in meeting these targets.","780","2014-05-15T00:56:00.000Z","2018-11-02T19:59:00.000Z","A Livable and Sustainable City","greenhouse gases,co2,ghg","2618","hb8e-gdsp","Creative Commons 1.0 Universal (Public Domain Dedication)","published","LADWP",,,"https://data.lacity.org/resource/2qdj-cyiz.json",,,,"Annual","No",,,"LA DWP OpenData"
"https://data.lacity.org/d/8cmr-fbcu","true","false","8cmr-fbcu","Animal Services","data.lacity.org","dataset","Animal Services Intake Data","Dept of Animal Services animal intake data for 2011, 2012 and 2013","4318","2014-05-27T23:02:00.000Z","2014-05-27T23:04:00.000Z","A Well Run City","animal shelter,city pound,dog,cat,rabbit","6443","s8gh-rehm","Creative Commons 1.0 Universal (Public Domain Dedication)","published","City of Los Angeles, Department of Animal Services",,,"https://data.lacity.org/resource/8cmr-fbcu.json",,,,"Other - See Description","No",,,"Animal Services OpenData"
