"name","display_name","categories","display_categories","description","address","phone","website","source","latitude","longitude","yelp_alias","yelp_api","yelp_id"
"Pampered at Tiffany's","Pampered at Tiffany's","Skin Care, Nail Salons, Waxing","Beauty, Grooming and Personal Care","Skin Care, Nail Salons, Waxing","Long Beach, CA 90802","15627197510","https://www.yelp.com/biz/pampered-at-tiffanys-long-beach-3","https://www.yelp.com/biz/pampered-at-tiffanys-long-beach-3","33.7415317","-118.1941785","pampered-at-tiffanys-long-beach-3","true","ToIXQn4ZZh3_l6XjU3xKbg"
"Ms Glen's Therapeutic Manicures & Pedicures","Ms Glen's Therapeutic Manicures & Pedicures","Nail Salons, Massage","Beauty, Grooming and Personal Care","Nail Salons, Massage","6320 Howard B. Drollinger Way, Ste 206, Westchester, CA 90045","13106459791","https://www.yelp.com/biz/ms-glens-therapeutic-manicures-and-pedicures-westchester","https://www.yelp.com/biz/ms-glens-therapeutic-manicures-and-pedicures-westchester","33.9544851","-118.3970302","ms-glens-therapeutic-manicures-and-pedicures-westchester","true","jHN9T0JseoPicZc-WAhuRA"
"Couture Weave Boutique & Nail Cottage","Couture Weave Boutique & Nail Cottage","Hair Extensions, Nail Salons, Eyelash Service","Beauty, Grooming and Personal Care","Hair Extensions, Nail Salons, Eyelash Service","5872 W Pico Blvd, Los Angeles, CA 90019","13235250707","https://www.yelp.com/biz/couture-weave-boutique-and-nail-cottage-los-angeles","https://www.yelp.com/biz/couture-weave-boutique-and-nail-cottage-los-angeles","34.05128922","-118.367135","couture-weave-boutique-and-nail-cottage-los-angeles","true","uhwD8FsIvRnWhdlGjK7z9g"
"Slay My Set","Slay My Set","Nail Technicians","Beauty, Grooming and Personal Care","Nail Technicians","Pasadena, CA 90037","13232409734","https://www.yelp.com/biz/slay-my-set-pasadena-4","https://www.yelp.com/biz/slay-my-set-pasadena-4","34.09475","-118.20585","slay-my-set-pasadena-4","true","Cy0qZdu9USFpt7nuZp0hRg"
"Sunset City Nails","Sunset City Nails","Nail Salons","Beauty, Grooming and Personal Care","Nail Salons","12107 Ventura Blvd, Studio City, CA 91604","18187627000","https://www.yelp.com/biz/sunset-city-nails-studio-city","https://www.yelp.com/biz/sunset-city-nails-studio-city","34.1436345","-118.3960109","sunset-city-nails-studio-city","true","Zp6bPsSULiqcnFiuz98JpA"
"Mobile Hairdressers Los Angeles","Mobile Hairdressers Los Angeles","Hair Salons, Makeup Artists, Nail Technicians","Beauty, Grooming and Personal Care","Hair Salons, Makeup Artists, Nail Technicians","Beverly Hills, CA 90211","12133141217","https://www.yelp.com/biz/mobile-hairdressers-los-angeles-beverly-hills","https://www.yelp.com/biz/mobile-hairdressers-los-angeles-beverly-hills","34.06498","-118.38288","mobile-hairdressers-los-angeles-beverly-hills","true","yMWA96lcFwoFR9Gz_uR7RA"
"The Talonted Vixen Atelier","The Talonted Vixen Atelier","Nail Technicians","Beauty, Grooming and Personal Care","Nail Technicians","15125 Ventura Blvd, Ste 10, Tarzana, CA 91403",,"https://www.yelp.com/biz/the-talonted-vixen-atelier-tarzana-2","https://www.yelp.com/biz/the-talonted-vixen-atelier-tarzana-2","34.153603","-118.462601","the-talonted-vixen-atelier-tarzana-2","true","ubGiaKV0JJqYSPLC_ht-1A"
"Powder Beauty","Powder Beauty","Nail Salons, Waxing, Eyelash Service","Beauty, Grooming and Personal Care","Nail Salons, Waxing, Eyelash Service","452 S La Brea Ave, Los Angeles, CA 90036","13234529286","https://www.yelp.com/biz/powder-beauty-los-angeles","https://www.yelp.com/biz/powder-beauty-los-angeles","34.0653999","-118.34367","powder-beauty-los-angeles","true","KGLkq50SP2gTgpRkErZTgw"
"Daelycyous Nail Designs","Daelycyous Nail Designs","Nail Salons","Beauty, Grooming and Personal Care","Nail Salons","841 W 9th St, Salon Bellezza, San Pedro, CA 90731","13109871116","https://www.yelp.com/biz/daelycyous-nail-designs-san-pedro","https://www.yelp.com/biz/daelycyous-nail-designs-san-pedro","33.7358","-118.29551","daelycyous-nail-designs-san-pedro","true","aIh3T6rLfmuFNNaU7aI-Eg"
"Damone Roberts Beverly Hills Salon","Damone Roberts Beverly Hills Salon","Makeup Artists, Eyelash Service, Eyebrow Services","Beauty, Grooming and Personal Care","Makeup Artists, Eyelash Service, Eyebrow Services","8383 Wilshire Blvd, Ste 50, Studio 206, Beverly Hills, CA 90211","13102712100","https://www.yelp.com/biz/damone-roberts-beverly-hills-salon-beverly-hills-2","https://www.yelp.com/biz/damone-roberts-beverly-hills-salon-beverly-hills-2","34.0650997","-118.3733621","damone-roberts-beverly-hills-salon-beverly-hills-2","true","OqhAx4ZicjWBn0ImGcMGrg"
