LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0002163060-0001-5,THE HIGHER PATH PATIENT ASSOCIATION,JPHP MANAGEMENT  | THE HIGHER PATH,14080 VENTURA BLVD,SHERMAN OAKS,91423-3542,14080 VENTURA 91423-3542,,,,888888,Medical Marijuana Collective,4,06/29/2006,,"(34.1494, -118.4396)",19736,7,334,682,6,83
0002173631-0001-4,"MISSION HILLS PATIENTS COLLECTIVE, INC",,18446   HART STREET   UNIT #M1-M2,RESEDA,91335-4215,18446 HART 91335-4215,18446   HART STREET   UNIT #M1-M2,RESEDA,91335-4215,888888,Medical Marijuana Collective,4,08/14/2006,,"(34.1971, -118.5351)",18909,4,264,578,,12
0002182264-0001-5,HERBAL SOLUTIONS PRE ICO LLC,URBAN TREEZ,11376   VENTURA BLVD,STUDIO CITY,91604-3139,11376 VENTURA 91604-3139,2711 N SEPULVEDA BLVD   #270,MANHATTAN BEACH,90266-2725,888888,Medical Marijuana Collective,4,09/14/2006,,"(34.1396, -118.3787)",8492,5,351,712,6,84
0002190496-0001-3,PLATINUM CLUB INC,PLATINUM CLUB,18441   VANOWEN STREET,RESEDA,91335-5324,18441 VANOWEN 91335-5324,16045   SHERMAN WAY   UNIT #78,VAN NUYS,91406-4085,888888,Medical Marijuana Collective,4,10/13/2006,,"(34.1939, -118.5349)",18909,4,264,578,,12
0002190532-0001-1,KB COLLECTIVE FOR COMPASSION AND CARE INC,THE KIND CENTER & KB CENTER FOR COMPASSIONATE CARE,1944 N CAHUENGA BLVD,LOS ANGELES,90068-3853,1944 CAHUENGA 90068-3853,4872   TOPANGA CANYON BLVD   #344,WOODLAND HILLS,91364-4229,888888,Medical Marijuana Collective,4,10/13/2006,,"(34.1066, -118.3303)",24033,7,406,718,,64
0002195649-0001-1,ASHMOON INC,HOLLYWOOD HIGH GRADE,7051 SANTA MONICA BLVD #B,WEST HOLLYWOOD,90038-1042,7051 SANTA MONICA 90038-1042,21777   VENTURA BLVD   SUITE #262,WOODLAND HILLS,91364-1861,888888,Medical Marijuana Collective,4,11/02/2006,,,,,,,,
0002198991-0001-0,THE WELLNESS EARTH ENERGY DISPENSARY INC,PROJECT CANNABIS STUDIO CITY,11557 VENTURA BLVD,STUDIO CITY,91604-2611,11557 VENTURA 91604-2611,,,,888888,Medical Marijuana Collective,4,11/09/2006,,"(34.1399, -118.3837)",8492,5,351,712,6,84
0002207035-0001-3,PERENNIAL HOLISTIC WELLNESS CENTER INC,SWEETFLOWER STUDIO CITY,11705 VENTURA BLVD,STUDIO CITY,91604-2616,11705 VENTURA 91604-2616,,,,888888,Medical Marijuana Collective,4,12/07/2006,,"(34.1414, -118.388)",8492,5,347,1353,6,84
0002208457-0001-0,420 FOR THE PEOPLE COOPERATIVE INC,,12433   VENTURA BLVD,STUDIO CITY,91604-2407,12433 VENTURA 91604-2407,19528   VENTURA BLVD   #308,TARZANA,91356-2917,888888,Medical Marijuana Collective,4,12/15/2006,,"(34.1429, -118.4042)",8492,5,352,710,6,84
0002210774-0001-6,STUDIO CITY CAREGIVERS INC,UNIVERSAL COLLECTIVE,3625 CAHUENGA BLVD W,LOS ANGELES,90068-1205,3625 CAHUENGA 90068-1205,,,,888888,Medical Marijuana Collective,4,12/21/2006,,"(34.1344, -118.3596)",24033,7,350,591,11,82
0002212464-0001-2,BUDS & ROSES COLLECTIVE INC,BUDS & ROSES,13047 VENTURA BLVD,STUDIO CITY,91604-2249,13047 VENTURA 91604-2249,,,,888888,Medical Marijuana Collective,4,01/01/2007,,"(34.1457, -118.4172)",8492,5,353,421,6,84
0002220929-0001-3,CHINATOWN PATIENT COLLECTIVE GROUP INC,COLLECTIVE GROUP CO,15223   BURBANK BLVD,VAN NUYS,91411-3505,15223 BURBANK 91411-3505,7250   NUNES LANE,EUREKA,95503-7193,888888,Medical Marijuana Collective,4,01/30/2007,,"(34.1725, -118.4648)",19735,7,241,882,,18
0002226606-0001-1,MMR CENTER INC,MEDICAL MARIJUANA RELIEF CENTER,14000   VENTURA BLVD,SHERMAN OAKS,91423-3512,14000 VENTURA 91423-3512,27630 ONYX LANE,CASTAIC,91384-3160,888888,Medical Marijuana Collective,4,02/16/2007,,"(34.1488, -118.4374)",19736,7,334,682,6,83
0002239627-0001-1,RED MOON INC,,14350 OXNARD STREET,VAN NUYS,91401-3311,14350 OXNARD 91401-3311,,,,888888,Medical Marijuana Collective,4,04/01/2007,,"(34.1793, -118.4453)",19729,7,243,948,,18
0002242390-0001-6,WELCOME THE HEALING TOUCH INC,,18013 VENTURA BLVD UNIT #A,ENCINO,91316-3517,18013 VENTURA 91316-3517,,,,888888,Medical Marijuana Collective,4,04/25/2007,,"(34.1646, -118.5248)",4286,6,323,328,6,62
0002245640-0001-4,NEW APOTHECARY INC,,15374   DICKENS STREET,SHERMAN OAKS,91403-3007,15374 DICKENS 91403-3007,,,,888888,Medical Marijuana Collective,4,05/08/2007,,"(34.1531, -118.4689)",19732,6,338,670,6,62
0002261175-0001-1,HAZELWOOD PATIENTS COLLECTIVE,,17523 VENTURA BLVD,ENCINO,91316-3836,17523 VENTURA 91316-3836,,,,888888,Medical Marijuana Collective,4,07/18/2007,,"(34.1615, -118.5148)",4286,6,325,328,6,62
0002274920-0001-3,DEC MEDICAL GROUP INC,CANNASUTRA | DEC MEDICAL INC,11101 VENTURA BLVD #1,STUDIO CITY,91604-3134,11101 VENTURA 91604-3134,13664 OTTOMAN STREET,ARLETA,91331-6314,888888,Medical Marijuana Collective,4,09/14/2007,,"(34.1411, -118.3719)",8492,5,349,712,6,84
0002406834-0001-8,LIZBOR INC,WHTC,3760 CAHUENGA BLVD,STUDIO CITY,91604-3578,3760 CAHUENGA 91604-3578,,,,888888,Medical Marijuana Collective,4,02/01/2009,,"(34.1358, -118.3619)",24033,7,350,591,6,82
0002854331-0001-2,PURE VAPE INC.,,3940 LAUREL CANYON BLVD UNIT #565,STUDIO CITY,91604-3709,3940 LAUREL CANYON 91604-3709,,,,888888,Medical Marijuana Collective,4,02/13/2014,,"(34.142, -118.3946)",8492,5,351,1353,6,84
0002878596-0001-5,FABRICATION LLC,,15303   VENTURA BLVD   SUITE #1040,SHERMAN OAKS,91403-5805,15303 VENTURA 91403-5805,,,,888888,Medical Marijuana Collective,4,09/29/2015,,"(34.1541, -118.4673)",19732,7,335,883,6,83
0002915833-0001-0,"SLOANE & ROW, INC.",,2629   WAVERLY DRIVE,LOS ANGELES,90039-2724,2629 WAVERLY 90039-2724,,,,888888,Medical Marijuana Collective,4,01/13/2016,,"(34.1069, -118.2589)",23670,7,394,595,,90
0003016578-0002-3,SEROB PAPAZYAN,,14310   OXNARD STREET,VAN NUYS,91401-3311,14310 OXNARD 91401-3311,14350   OXNARD STREET,VAN NUYS,91401-3311,888888,Medical Marijuana Collective,4,01/01/2018,,"(34.1791, -118.4449)",19729,7,243,948,,18
