"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"West Hills Neighborhood Council Joint Special Mtg. of the Board & Budget Committee",,"No ","Neighborhood Council","Government",,,"ITA","2025-05-18T19:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc77095811_05182025.pdf",,,,"95811"
"Mar Vista Community Council (MVCC) Planning, Land Use and Management Committee Mtg. ",,"No ","Neighborhood Council","Government",,,"ITA","2025-05-18T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc81095808_05182025.pdf",,,,"95808"
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2017-05-06T08:00:00.000","2017-05-06T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 90007
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2017-04-08T08:00:00.000","2017-04-08T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 90007
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2017-03-04T08:00:00.000","2017-03-04T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 90007
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2017-02-04T08:00:00.000","2017-02-04T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 90007
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Board of Public Works Meeting","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2017-01-11T10:00:00.000","2017-01-11T12:00:00.000","City Hall Room 350","200 N. Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://cityweb.ci.la.ca.us/NETDOCS3/docsmanager/docroot/bpw/agendas/bpwagendas86108633_01112017.html",,,,
"Office of Community Beautification ~ 68th Street Elementary School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-17T10:00:00.000","2016-12-17T15:00:00.000","68th Street Elementary School","612 West 68th Street
Los Angeles, California 90044
(33.978296, -118.284338)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Los Angeles Convention Center - L.A. Yoga Expo",,"Yes","Convention / Expo",,,,"Convention Center","2016-12-17T10:00:00.000","2016-12-17T18:00:00.000","Los Angeles Convention Center, Concourse Hall EF","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://theyogaexpo.org/",,,,
"Office of Community Beautification ~  Office of Councilman Joe Buscaino","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-17T09:30:00.000","2016-12-17T11:30:00.000",,"Imperial Hwy and Olive Street
Los Angeles, California 
(33.930998, -118.279608)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Harbor Gateway North Neighborhood Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-12-17T08:00:00.000","2016-12-17T14:00:00.000",,"219 East 116 Place
Los Angeles, California 90061
(33.928273, -118.271054)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Los Angeles Convention Center - Naturalization",,"No",,,,,"Convention Center","2016-12-13T07:00:00.000","2016-12-13T15:00:00.000","Los Angeles Convention Center, West Hall AB","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"Los Angeles Convention Center - Afrolicious Hair Show","$20 entrance fee at the door.","Yes","Consumer Show",,,,"Convention Center","2016-12-11T11:00:00.000","2016-12-11T17:00:00.000","Los Angeles Convention Center, Meeting Room 515AB","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.afrolicioushairaffair.com/schedule-la.html",,,,
"Los Angeles Convention Center - 2016 International Drone Expo L.A.",,"Yes","Convention / Expo",,,,"Convention Center","2016-12-10T09:00:00.000","2016-12-10T16:00:00.000","Los Angeles Convention Center, South Hall G","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.internationaldroneexpo.com/index.html",,,,
"Office of Community Beautification ~ Watts Neighborhood Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-12-10T09:00:00.000","2016-12-10T17:00:00.000",,"Gorman Ave. Los Angeles
California, 90002 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification ~ Hollywood High School Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-12-10T09:00:00.000","2016-12-10T13:00:00.000","Hollywood High School","1521 N. Highland Ave. Los Angeles
California, 90028 
(34.099203, -118.338684)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification ~ Hollywood High School ~ Campus Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-12-10T09:00:00.000","2016-12-10T13:00:00.000","Hollywood High School","1521 N. Highland Ave. Los Angeles
California, 90028 
(34.099203, -118.338684)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification ~ Nightingale Middle School Campus and Community Cleanup ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-12-10T08:30:00.000","2016-12-10T12:30:00.000","Nightingale Middle School","3311 N Figueroa St, Los Angeles
California, 90065 
(34.086865, -118.21846)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Van Nuys Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-12-10T08:00:00.000","2016-12-10T12:00:00.000","Van Nuys High School","6535 Cedros Ave
California, 91411 
(34.189248, -118.453076)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez ","Office of Councilwoman Nury Martinez ",,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Liggett Elementary School & Panorama City Neighborhood Council ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-12-10T08:00:00.000","2016-12-10T11:00:00.000","Liggett Elementary School","9373 Moonbeam Ave. Los Angeles
California, 91402 
(34.241031, -118.445878)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez","Office of Councilwoman Nury Martinez","Panorama City Neighborhood Council ",
"Office of Community Beautification: Rayen Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-12-10T08:00:00.000","2016-12-10T11:00:00.000",,"Orion Ave. & Rayen St.
North Hills, CA 91343","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
